,Concept_ID,eu,ku
0,Auge::N,begi,çav
1,Ohr::N,belarri,guh
2,Nase::N,sudur,bêvil
3,Mund::N,aho,dev
4,Zahn::N,hortz,didan
5,Zunge::N,mihi,ziman
6,Lippe::N,ezpain,lêv
7,Wange::N,masail,dêm
8,Wange::N,masail,hinarik
9,Gesicht::N,aurpegi,rû
10,Stirn::N,bekoki,enî
11,Haar::N,ile,por
12,Haar::N,bilo,por
13,Schnurrbart::N,bibote,simbêl
14,Schnurrbart::N,sudurpeko,simbêl
15,Bart::N,bizar,rih
16,Kinn::N,kokots,zenî
17,Kiefer[Anatomie]::N,masailezur,arguşk
18,Kehle::N,eztarri,qirik
19,Hals::N,sama,stû
20,Hals::N,sama,qirik
21,Genick::N,garondo,stû
22,Kopf::N,buru,serî
23,Rücken::N,bizkar,pişt
24,Bauch::N,sabel,ûr
25,Bauch::N,sabel,zik
26,Nabel::N,zilbor,navik
27,Busen::N,titi,sîng
28,Busen::N,ugatz,sîng
29,Brust::N,bular,sîng
30,Schulter::N,besaburu,mil
31,Arm::N,beso,çepil
32,Ellenbogen::N,ukondo,enîşk
33,Hand::N,esku,dest
34,Handfläche::N,ahur,kefadest
35,Finger::N,hatz,tilî
36,Fingernagel::N,azazkal,neynuk
37,Nagel[Anatomie]::N,azazkal,bizmar
38,Zeh::N,behatz,tilî linga
39,Fuß::N,oin,ling
40,Ferse::N,orpo,pahnî
41,Ferse::N,oinburu,pahnî
42,Knie::N,belaun,kabok
43,Oberschenkel::N,izter,rahn
44,Bein::N,zango,çip
45,Körper::N,soin,laş
46,Körper::N,soin,gowde
47,Haut::N,azal,çerm
48,Blut::N,odol,xwîn
49,Ader::N,zain,reh
50,Sehne::N,gihar-zain,reh
51,Knochen::N,hezur,hestî
52,Gehirn::N,garun,mêjî
53,Gehirn::N,burmuin,mêjî
54,Herz::N,bihotz,dil
55,Magen::N,urdail,navêş
56,Leber::N,gibel,kezeb
57,Atem::N,hats,hilm
58,Atem::N,arnasa,hilm
59,Hunger::N,gose,birçîtî
60,Träne::N,malko,hêstir
61,Geschmack::N,dasta,tam
62,Geruch::N,usain,bêhn
63,Schlaf::N,lo,xew
64,Traum::N,amets,xewn
65,Himmel::N,zeru,ezman
66,Sonne::N,eguzki,roj
67,Mond::N,ilargi,heyv
68,Stern::N,izar,stêrk
69,Luft::N,aire,ba
70,Wind::N,haize,ba
71,Welle::N,uhin,şewl
72,Welle::N,olatu,şewl
73,Wasser::N,ur,av
74,Stein::N,harri,kevir
75,Boden::N,lur,herd
76,Boden::N,zoru,herd
77,Erde::N,lur,ax
78,Staub::N,hauts,toz
79,Rauch::N,ke,dû
80,Funke::N,zirta,çirûşk
81,Funke::N,txinparta,çirûşk
82,Feuer::N,su,agir
83,Licht::N,argi,ronahî
84,Schatten::N,itzal,sî
85,Schatten::N,geriza,sî
86,Wetter::N,eguraldi,hewa
87,Nebel::N,laino,mij
88,Wolke::N,hodei,ewr
89,Regen::N,euri,baran
90,Schnee::N,elur,berf
91,Eis::N,horma,qeşa
92,Frost::N,izotzaldi,xûsik
93,Kälte::N,hotz,serma
94,Hitze::N,bero,germayî
95,Raureif::N,antzigar,şext
96,Regenbogen::N,ostadar,heftreng
97,Regenbogen::N,ortzadar,heftreng
98,Donner::N,ostots,gire-gir
99,Donner::N,ihurtzuri,gire-gir
100,Strömung::N,laster,şewl
101,Tropfen::N,xorta,dilop
102,Schaum::N,bits,kef
103,Schmutz::N,lohi,gemar
104,Schmutz::N,zikin,gemar
105,See::N,laku,gol
106,See::N,aintzira,gol
107,Sumpf::N,zingira,hezek
108,Moor::N,zohikaztegi,mafêl
109,Wiese::N,larre,sûrik
110,Wiese::N,belardi,sûrik
111,Wald::N,baso,çiya
112,Wald::N,baso,daristan
113,Wald::N,oihan,çiya
114,Wald::N,oihan,daristan
115,Hügel::N,muino,gir
116,Hügel::N,pentoka,gir
117,Anhöhe::N,garai,sere gir
118,Anhöhe::N,goragune,sere gir
119,Berg::N,mendi,kaş
120,Gipfel::N,gain,sere gir
121,Gipfel::N,tontor,sere gir
122,Höhle::N,kobazulo,şikeft
123,Abhang::N,aldapa,kaş
124,Quelle::N,iturri,kanî
125,Quelle::N,iturbegi,kanî
126,Bach::N,lats,çem
127,Bach::N,erreka,çem
128,Fluss::N,ibai,çem
129,Fluss::N,ibai,rûbar
130,Fluss::N,uhaitz,çem
131,Fluss::N,uhaitz,rûbar
132,Ufer::N,bazter,kevî
133,Küste::N,itsasalde,berav
134,Festland::N,lehor,bejahî
135,Meer::N,itsaso,behr
136,Bucht::N,golko,derav
137,Insel::N,irla,girav
138,Insel::N,uharte,girav
139,Blume::N,lili,kulînk
140,Gras::N,belar,giha
141,Wurzel::N,zuztar,reh
142,Wurzel::N,sustrai,reh
143,Baum::N,zuhaitz,dar
144,Stamm::N,enbor,bavik
145,Rinde::N,azal,qaqil
146,Ast::N,adar,gulî
147,Zweig::N,abar,şax
148,Blatt::N,hosto,pel
149,Birke::N,urki,dara sipî
150,Kiefer[Baum]::N,ler,dara bî
151,Weide[Baum]::N,zume,dara belalûk
152,Weide[Baum]::N,sahats,dara belalûk
153,Tanne::N,izei,merx
154,Horn::N,adar,strô
155,Feder::N,luma,pîrtîk
156,Feder::N,hegaki,pîrtîk
157,Fell::N,ile,heyar
158,Fell::N,larru,heyar
159,Flügel::N,hego,per
160,Klaue::N,atzapar,napîk
161,Kralle::N,erpe,dinik
162,Kralle::N,erpe,dirnax
163,Kralle::N,atzapar,dinik
164,Kralle::N,atzapar,dirnax
165,Schwanz::N,isats,dûv
166,Schwanz::N,buztan,dûv
167,Ei::N,arrautza,hêk
168,Nest::N,habia,hêlîn
169,Bau::N,ohantze,avahî
170,Tier::N,abere,heywan
171,Tier::N,piztia,heywan
172,Herde::N,saldo,hoz
173,Herde::N,abere talde,hoz
174,Kuh::N,behi,çêlek
175,Bulle::N,zezen,ga
176,Pferd::N,zaldi,hesp
177,Schaf::N,ardi,mîh
178,Schwein::N,urde,beraz
179,Schwein::N,txerri,beraz
180,Hund::N,txakur,seh
181,Katze::N,katu,pişîk
182,Bär::N,hartz,hirç
183,Eichhörnchen::N,urtxintxa,pilûr
184,Elch::N,altze,pazkovî
185,Fuchs::N,azeri,rovî
186,Hase::N,erbi,kîroşk
187,Maus::N,sagu,mişk
188,Wolf::N,otso,gur
189,Vogel::N,txori,çûk
190,Vogel::N,hegazti,çûk
191,Schwarm::N,aldra,lufik
192,Huhn::N,oilo,mirîşk
193,Hahn::N,oilar,dîk
194,Gans::N,antzara,qaz
195,Adler::N,arrano,eylo
196,Ente::N,ahate,werdek
197,Eule::N,hontza,bûm
198,Eule::N,hontza,kund
199,Kranich::N,kurrilo,quling
200,Krähe::N,bele,qijik
201,Kuckuck::N,kuku,pepûk
202,Schwan::N,beltxarga,qû
203,Fisch::N,arrain,masî
204,Barsch::N,perka,okûn
205,Hecht::N,lutxo,mesîyê lûf
206,Schlange[Tier]::N,suge,mar
207,Wurm::N,har,kurm
208,Spinne::N,armiarma,pîrê
209,Ameise::N,inurri,mîro
210,Ameise::N,inurri,gêrîk
211,Laus::N,zorri,spi
212,Mücke::N,eltxo,mêş
213,Fliege::N,euli,mêş
214,Schmetterling::N,pinpirin,perperîk
215,Schmetterling::N,tximeleta,perperîk
216,Beere::N,baia,hirç
217,Apfel::N,sagar,sêv
218,Pilz::N,onddo,bîrov
219,Pilz::N,perretxiko,bîrov
220,Zwiebel::N,tipula,pîvaz
221,Saat::N,haziak,tov
222,Korn::N,ale,dexl
223,Korn::N,pikor,dexl
224,Heu::N,belar ondu,sap
225,Schale::N,azal,qaşik
226,Grube::N,hobi,çahl
227,Falle::N,harrapagailu,dafik
228,Schlinge::N,bilur,dahf
229,Schlinge::N,xedera,dahf
230,Spur::N,lorratz,rêç
231,Asche::N,errauts,xweli
232,Dreck::N,satsukeria,gemarî
233,Eisen::N,burdina,hesing
234,Gold::N,urre,zêr
235,Gold::N,urregorri,zêr
236,Silber::N,zilar,zîv
237,Silber::N,urrezuri,zîv
238,Kohle::N,ikatz,komir
239,Glas::N,beira,qedeh
240,Lehm::N,buztin,kelpîç
241,Sand::N,harea,qûm
242,Sand::N,hondar,qûm
243,Mensch::N,gizaki,mirov
244,Mann::N,gizon,mêr
245,Frau::N,andere,jin
246,Frau::N,emakume,jin
247,Kind::N,haur,zarok
248,Junge::N,mutil,kur
249,Mädchen::N,neska,keç
250,Mädchen::N,neska,keçik
251,Familie::N,sendi,malbat
252,Familie::N,familia,malbat
253,Großvater::N,aitona,bapîr
254,Großvater::N,aitatxi,bapîr
255,Großmutter::N,amona,pîrik
256,Großmutter::N,amatxi,pîrik
257,Eltern::N,gurasoak,bavudê
258,Vater::N,aita,bav
259,Mutter::N,ama,dê
260,Mutter::N,ama,dayik
261,Sohn::N,seme,kur
262,Tochter::N,alaba,keç
263,Bruder::N,neba,bira
264,Bruder::N,anaia,bira
265,Schwester::N,ahizpa,xweh
266,Onkel::N,osaba,am
267,Onkel::N,osaba,xal
268,Tante::N,izeba,metik
269,Tante::N,izeba,xaltîk
270,Ehemann::N,senar,mêr
271,Ehefrau::N,emazte,kulfet
272,Freude::N,poz,kêfxweşî
273,Freude::N,pozkari,kêfxweşî
274,Gelächter::N,barre,pîrqînî
275,Gelächter::N,karkara,pîrqînî
276,Glück::N,zori,bext
277,Kummer::N,xangrin,derd
278,Kummer::N,atsekabe,derd
279,Wunsch::N,nahi,daxwaz
280,Wunsch::N,nahi,xwestek
281,Wunsch::N,nahikunde,daxwaz
282,Wunsch::N,nahikunde,xwestek
283,Lust::N,gogo,şewq
284,Geist::N,gogo,aqil
285,Gedanke::N,gogoeta,fikir
286,Gedächtnis::N,oroimen,aqil
287,Gedächtnis::N,gogoramen,aqil
