,Concept_ID,az,is
0,Auge::N,göz,auga
1,Ohr::N,qulaq,eyra
2,Nase::N,burun,nef
3,Mund::N,ağız,munnur
4,Zahn::N,diş,tönn
5,Zunge::N,dil,tunga
6,Lippe::N,dodaq,vör
7,Wange::N,yanaq,kinn
8,Wange::N,yanaq,vangi
9,Gesicht::N,üz,andlit
10,Stirn::N,alın,enni
11,Haar::N,saç,hár
12,Schnurrbart::N,bığ,yfirskegg
13,Bart::N,saqqal,skegg
14,Kinn::N,çənə,haka
15,Kiefer[Anatomie]::N,çənə,kjálki
16,Kiefer[Anatomie]::N,çənə,skoltur
17,Kehle::N,boğaz,kverk
18,Hals::N,boyun,háls
19,Genick::N,ənsə,hnakki
20,Kopf::N,baş,höfuð
21,Rücken::N,bel,hryggur
22,Bauch::N,qarın,kviður
23,Nabel::N,göbək,nafli
24,Busen::N,məmə,barmur
25,Brust::N,döş,brjóst
26,Schulter::N,çiyin,öxl
27,Arm::N,qol,armur
28,Ellenbogen::N,dirsək,olnbogi
29,Hand::N,əl,hönd
30,Handfläche::N,ovuc,lófi
31,Finger::N,barmaq,fingur
32,Fingernagel::N,barmaq dırnağı,fingurnögl
33,Nagel[Anatomie]::N,dırnak,nögl
34,Zeh::N,ayaq barmağı,tá
35,Fuß::N,ayaq,fótur
36,Ferse::N,daban,hæll
37,Knie::N,diz,kné
38,Oberschenkel::N,bud,læri
39,Bein::N,qıç,fótleggur
40,Körper::N,əndam,búkur
41,Körper::N,əndam,líkami
42,Haut::N,dəri,húð
43,Haut::N,dəri,skinn
44,Blut::N,qan,blóð
45,Ader::N,damar,æð
46,Sehne::N,vətər,sin
47,Knochen::N,sümük,bein
48,Gehirn::N,beyin,heili
49,Herz::N,ürək,hjarta
50,Magen::N,mədə,magi
51,Leber::N,qara ciyər,lifur
52,Atem::N,nəfəs,andi
53,Atem::N,nəfəs,andardráttur
54,Hunger::N,aclıq,hungur
55,Träne::N,göz yaşı,tár
56,Geschmack::N,tam,smekkur
57,Geschmack::N,ləzzət,smekkur
58,Geruch::N,qoxu,lykt
59,Schlaf::N,yuxu,svefn
60,Traum::N,röya,draumur
61,Himmel::N,göy,himinn
62,Himmel::N,səma,himinn
63,Sonne::N,günəş,sól
64,Mond::N,ay,tungl
65,Stern::N,ulduz,stjarna
66,Luft::N,hava,loft
67,Wind::N,yel,vindur
68,Wind::N,külək,vindur
69,Welle::N,dalğa,alda
70,Welle::N,dalğa,bylgja
71,Wasser::N,su,vatn
72,Stein::N,daş,steinn
73,Boden::N,yer,botn
74,Boden::N,zəmin,botn
75,Erde::N,yer torpaq,jörð
76,Staub::N,toz,ryk
77,Staub::N,toz,duft
78,Rauch::N,tüstü,reykur
79,Funke::N,qığılcım,neisti
80,Feuer::N,od,eldur
81,Licht::N,işıq,ljós
82,Schatten::N,kölgə,skuggi
83,Wetter::N,hava,veður
84,Nebel::N,duman,þoka
85,Wolke::N,bulud,ský
86,Regen::N,yağış,regn
87,Regen::N,yağmur,regn
88,Schnee::N,qar,snjór
89,Eis::N,buz,ís
90,Frost::N,ayaz,frost
91,Kälte::N,soyuq,kuldi
92,Hitze::N,coşğunluq,hiti
93,Raureif::N,qırov,hrím
94,Regenbogen::N,göy qurşağı,regnbogi
95,Donner::N,göy gurultusu,þruma
96,Strömung::N,axın,straumur
97,Tropfen::N,damcı,dropi
98,Schaum::N,köpük,froða
99,Schmutz::N,çamır,óhreinindi
100,See::N,göl,stöðuvatn
101,Sumpf::N,bataqlıq,fen
102,Moor::N,bataqlıq,mýri
103,Wiese::N,çəmən,engi
104,Wald::N,meşə,skógur
105,Hügel::N,təpə,hæð
106,Hügel::N,təpə,hóll
107,Anhöhe::N,təpə,hæð
108,Anhöhe::N,təpə,hóll
109,Berg::N,dağ,fell
110,Berg::N,dağ,fjall
111,Gipfel::N,zirvə,tindur
112,Höhle::N,mağara,hellir
113,Abhang::N,yamac,hlíð
114,Abhang::N,yamac,brekka
115,Quelle::N,bulaq,lind
116,Quelle::N,bulaq,uppspretta
117,Bach::N,kiçik çay,lækur
118,Fluss::N,çay,á
119,Fluss::N,çay,fljót
120,Ufer::N,kənar,árbakki
121,Ufer::N,kənar,sjávarbakki
122,Küste::N,sahil,strönd
123,Festland::N,materik,meginland
124,Meer::N,dəniz,haf
125,Meer::N,dəniz,sjór
126,Bucht::N,körfəz,vík
127,Insel::N,ada,eyja
128,Blume::N,çiçək,blóm
129,Gras::N,ot,gras
130,Wurzel::N,kök,rót
131,Baum::N,ağac,tré
132,Stamm::N,gövdə,stofn
133,Rinde::N,qabıq,börkur
134,Ast::N,şax,grein
135,Zweig::N,budaq,angi
136,Zweig::N,budaq,kvistur
137,Blatt::N,yarpaq,blað
138,Birke::N,tozağacı,birki
139,Kiefer[Baum]::N,şam,fura
140,Weide[Baum]::N,söyüd,víðir
141,Tanne::N,küknar,greni
142,Horn::N,buynuz,horn
143,Feder::N,tük,fjöður
144,Feder::N,lələk,fjöður
145,Fell::N,xəz,skinn
146,Flügel::N,qanad,vængur
147,Klaue::N,pəncə,kló
148,Kralle::N,dırnaq,kló
149,Schwanz::N,quyruq,rófa
150,Schwanz::N,quyruq,skott
151,Ei::N,yumurta,egg
152,Nest::N,yuva,hreiður
153,Bau::N,yuva,greni
154,Bau::N,yuva,bæli
155,Tier::N,heyvan,dýr
156,Herde::N,sürü,hjörð
157,Kuh::N,inək,kýr
158,Bulle::N,öküz,boli
159,Pferd::N,at,hestur
160,Schaf::N,qoyun,kind
161,Schwein::N,donuz,svín
162,Hund::N,it,hundur
163,Hund::N,köpək,hundur
164,Katze::N,pişik,köttur
165,Bär::N,ayı,björn
166,Eichhörnchen::N,dələ,íkorni
167,Elch::N,sığın,elgur
168,Fuchs::N,tülkü,refur
169,Hase::N,dovşan,héri
170,Maus::N,siçan,mús
171,Wolf::N,qurd,úlfur
172,Vogel::N,quş,fugl
173,Schwarm::N,sürü,sægur
174,Huhn::N,toyuq,hæna
175,Hahn::N,xoruz,hani
176,Gans::N,qaz,gæs
177,Adler::N,qartal,örn
178,Adler::N,qaraquş,örn
179,Ente::N,ördək,önd
180,Eule::N,bayquş,uggla
181,Kranich::N,durna,trana
182,Krähe::N,qarğa,kráka
183,Kuckuck::N,ququ,gaukur
184,Schwan::N,qu quşu,svanur
185,Fisch::N,balıq,fiskur
186,Barsch::N,tar,aborri
187,Hecht::N,durnabalığı,gedda
188,Schlange[Tier]::N,ilan,naðra
189,Wurm::N,qurd,ormur
190,Spinne::N,hörümçək,kónguló
191,Ameise::N,qarışqa,maur
192,Laus::N,bit,lús
193,Mücke::N,ağcaqanad,mý
194,Mücke::N,ağcaqanad,mýfluga
195,Fliege::N,milçək,fluga
196,Schmetterling::N,kəpənək,fiðrildi
197,Beere::N,gilə,ber
198,Apfel::N,alma,epli
199,Pilz::N,göbələk,sveppur
200,Zwiebel::N,soğan,laukur
201,Saat::N,əkin,fræ
202,Saat::N,əkin,útsæði
203,Korn::N,taxıl,korn
204,Heu::N,quru ot,hey
205,Schale::N,qabıq,hýði
206,Grube::N,çuxur,gryfja
207,Falle::N,tələ,gildra
208,Falle::N,duzaq,gildra
209,Schlinge::N,ilmək,snara
210,Spur::N,iz,spor
211,Asche::N,kül,aska
212,Dreck::N,kir,óþverri
213,Eisen::N,dəmir,járn
214,Gold::N,altun,gull
215,Silber::N,gümüş,silfur
216,Kohle::N,kömür,kol
217,Glas::N,şüşə,gler
218,Lehm::N,gil,leir
219,Lehm::N,palçıq,leir
220,Sand::N,qum,sandur
221,Mensch::N,adam,maður
222,Mensch::N,adam,manneskja
223,Mensch::N,insan,maður
224,Mensch::N,insan,manneskja
225,Mann::N,kişi,maður
226,Mann::N,kişi,karlmaður
227,Frau::N,qadın,kona
228,Kind::N,uşaq,barn
229,Kind::N,uşaq,krakki
230,Junge::N,oğlan,drengur
231,Mädchen::N,qız,stelpa
232,Familie::N,ailə,fjölskylda
233,Großvater::N,baba,afi
234,Großmutter::N,nənə,amma
235,Eltern::N,valideyn,foreldrar
236,Vater::N,ata,faðir
237,Mutter::N,ana,móðir
238,Sohn::N,oğul,sonur
239,Tochter::N,qız,dóttir
240,Bruder::N,qardaş,bróðir
241,Schwester::N,bacı,systir
242,Onkel::N,əmi,föðurbróðir
243,Onkel::N,dayı,föðurbróðir
244,Tante::N,bibi,frænka
245,Tante::N,bibi,móðursystir
246,Ehemann::N,ər,eiginmaður
247,Ehefrau::N,arvad,eiginkona
248,Freude::N,nəşə,gleði
249,Freude::N,sevinc,gleði
250,Gelächter::N,gülüş,hlátur
251,Gelächter::N,qəhqəhə,hlátur
252,Glück::N,səadət,gæfa
253,Glück::N,xoşbəxtlik,gæfa
254,Kummer::N,qəm,sorg
255,Kummer::N,kədər,sorg
256,Wunsch::N,arzu,ósk
257,Lust::N,həvəs,fýsn
258,Lust::N,həvəs,löngun
259,Geist::N,ruh,andi
260,Gedanke::N,fikir,hugsun
261,Gedanke::N,düşüncə,hugsun
262,Gedächtnis::N,xatir,minni
263,Gedächtnis::N,hafizə,minni
264,Verstand::N,ağıl,vit
265,Sinn::N,məna,merking
266,Grund::N,səbəb,ástæða
267,Wahrheit::N,haqq,sannleikur
268,Wahrheit::N,doğruluq,sannleikur
269,Gespräch::N,söhbət,samtal
270,Gespräch::N,qonuşma,samtal
271,Märchen::N,nağıl,ævintýri
272,Erzählung::N,hekayə,saga
273,Nachricht::N,xəbər,frétt
274,Neuigkeit::N,xəbər,frétt
275,Neuigkeit::N,yenilik,frétt
276,Name::N,ad,nafn
277,Rätsel::N,tapmaca,gáta
278,Rede::N,nitq,ræða
279,Sprache::N,dil,mál
280,Sprache::N,dil,tungumál
281,Stimme::N,səs,rödd
282,Wort::N,söz,orð
283,Wort::N,kəlmə,orð
284,Zeichen::N,nişan,tákn
285,Zeichen::N,nişan,merki
286,Ruf::N,çığırtı,kall
287,Lärm::N,gurultu,hávaði
288,Laut::N,səs,hljóð
289,Ton::N,ton,tónn
290,Lied::N,mahnı,ljóð
291,Lied::N,mahnı,söngur
292,Ruhe::N,sakitlik,ró
293,Ruhe::N,sakitlik,kyrrð
294,Leute::N,xalq,fólk
295,Volk::N,millət,þjóð
296,Arbeit::N,iş,vinna
297,Arbeit::N,əmək,vinna
298,Gast::N,qonaq,gestur
299,Gast::N,müsafir,gestur
300,Geschenk::N,hədiyyə,gjöf
301,Spiel::N,oyun,leikur
302,Spiel::N,tamaşa,leikur
303,Gesellschaft::N,cəmiyyet,selskapur
304,Hilfe::N,kömək,hjálp
305,Hilfe::N,yardım,hjálp
306,Freund::N,dost,vinur
307,Kamerad::N,yoldaş,félagi
308,Angelegenheit::N,iş,mál
309,Angelegenheit::N,iş,málefni
310,Anzahl::N,say,tala
311,Anzahl::N,say,fjöldi
312,Art::N,çeşid,tegund
313,Stück::N,dənə,biti
314,Stück::N,dənə,stykki
315,Stück::N,parça,biti
316,Stück::N,parça,stykki
317,Teil::N,qisim,hluti
318,Teil::N,qisim,partur
319,Hälfte::N,yarım,helmingur
320,Kreis::N,dairə,hringur
321,Kreuz::N,xaç,kross
322,Kreuz::N,xaç,krossmark
323,Linie::N,xətt,lína
324,Strich::N,cızıq,strik
325,Abstand::N,məsafə,millibil
326,Entfernung::N,məsafə,fjarlægð
