,Concept_ID,uz,la
0,Auge::N,ko'z,oculus
1,Ohr::N,quloq,auris
2,Nase::N,burun,nasus
3,Mund::N,og'iz,os
4,Zahn::N,tish,dens
5,Zunge::N,til,lingua
6,Lippe::N,dudoq,labrum
7,Wange::N,bet,gena
8,Gesicht::N,yuz,vultus
9,Stirn::N,manglay,frons
10,Haar::N,soch,capillus
11,Schnurrbart::N,mo'ylov,barba labri superioris
12,Bart::N,soqol,barba
13,Kinn::N,ängak,mentum
14,Kiefer[Anatomie]::N,iyak,mala
15,Kehle::N,bo'g'iz,iugulums
16,Hals::N,bo'yin,collum
17,Genick::N,gardan,cervices
18,Kopf::N,bosh,caput
19,Rücken::N,orqa,tergum
20,Bauch::N,qorin,venter
21,Nabel::N,kindik,umbilicus
22,Busen::N,ämchak,sinus
23,Brust::N,ko'krak,pectus
24,Schulter::N,elka,umerus
25,Arm::N,bilak,bracchium
26,Ellenbogen::N,tirsak,cubitum
27,Hand::N,qo'l,manus
28,Handfläche::N,kaft,palma
29,Finger::N,barmoq,digitus
30,Fingernagel::N,tirnoq,unguiculus
31,Nagel[Anatomie]::N,tirnoq,unguis
32,Zeh::N,oyoq barmog'i,digitus
33,Fuß::N,oyoq,pes
34,Ferse::N,tovon,calx
35,Knie::N,tiz,genu
36,Oberschenkel::N,son,femur
37,Bein::N,oyoq,crus
38,Körper::N,badna,corpus
39,Haut::N,teri,cutis
40,Haut::N,teri,pellis
41,Blut::N,qon,sanguis
42,Ader::N,qon tomir,vena
43,Sehne::N,tomir,nervus
44,Knochen::N,suyak,os
45,Gehirn::N,miya,cerebrum
46,Herz::N,qalb,cor
47,Herz::N,qalb,animus
48,Magen::N,oshqozon,stomachus
49,Leber::N,bag'ir,iecur
50,Atem::N,dam,spiritus
51,Hunger::N,ochlik,fames
52,Träne::N,yosh,lacrima
53,Geschmack::N,tam,sapor
54,Geschmack::N,tam,gustus
55,Geruch::N,jid,odor
56,Schlaf::N,uyqu,somnus
57,Traum::N,tush,somnium
58,Himmel::N,osmon,caelum
59,Sonne::N,quyosh,sol
60,Mond::N,oy,luna
61,Stern::N,yulduz,sidus
62,Stern::N,yulduz,stella
63,Luft::N,havo,aer
64,Wind::N,el,ventus
65,Welle::N,to'lqin,unda
66,Wasser::N,suv,aqua
67,Stein::N,tosh,lapis
68,Boden::N,tuproq,solum
69,Erde::N,er,terra
70,Staub::N,chang,pulvis
71,Rauch::N,tutun,fumus
72,Funke::N,yalt,scintilla
73,Feuer::N,o't,ignis
74,Licht::N,yorug',lux
75,Licht::N,yorug',lumen
76,Schatten::N,soya,umbra
77,Wetter::N,havo,caelum
78,Wetter::N,havo,tempestas
79,Nebel::N,tuman,nebula
80,Wolke::N,bulut,nubes
81,Regen::N,yomg'ir,imber
82,Regen::N,yomg'ir,pluvia
83,Schnee::N,qor,nix
84,Eis::N,muz,glacies
85,Frost::N,ajoz,gelu
86,Kälte::N,ajoz,frigus
87,Hitze::N,issiq,calor
88,Hitze::N,issiq,aestus
89,Raureif::N,qirov,pruina
90,Regenbogen::N,kamalak,arcus
91,Donner::N,guldur,tonitrus
92,Strömung::N,oqim,fluctus
93,Tropfen::N,tomchi,gutta
94,Schaum::N,ko'pik,spuma
95,Schmutz::N,gard,sordes
96,Schmutz::N,gard,squalor
97,See::N,ko'l,lacus
98,Sumpf::N,botqoq,palus
99,Moor::N,qir-adir,palus
100,Wiese::N,o'tzor,pratum
101,Wald::N,o'rmon,silva
102,Hügel::N,tepa,collis
103,Anhöhe::N,adir,specula
104,Berg::N,tog',mons
105,Gipfel::N,cho'qqi,vertex
106,Höhle::N,kavak,caverna
107,Höhle::N,kavak,spelunca
108,Abhang::N,to'sh,declivum
109,Quelle::N,buloq,fons
110,Bach::N,o'zan,rivus
111,Fluss::N,daryo,flumen
112,Ufer::N,sohil,ripa
113,Küste::N,qirg'oq,litus
114,Festland::N,materik,continens
115,Meer::N,dengiz,mare
116,Bucht::N,qo'ltiq,sinus
117,Insel::N,orol,insula
118,Blume::N,gul,flos
119,Gras::N,sabza,herba
120,Gras::N,sabza,gramen
121,Wurzel::N,tub,radix
122,Wurzel::N,tomir,radix
123,Baum::N,daraxt,arbor
124,Stamm::N,o'simta,truncus
125,Rinde::N,qobiq,cortex
126,Ast::N,shox,ramus
127,Zweig::N,butoq,ramus
128,Blatt::N,barg,folium
129,Birke::N,qayin,betulla
130,Kiefer[Baum]::N,qarag'ay,pinus
131,Weide[Baum]::N,shum,salix
132,Tanne::N,archa,abies
133,Horn::N,mugiz,cornu
134,Feder::N,par,penna
135,Fell::N,mo'yna,pellis
136,Flügel::N,qanot,ala
137,Klaue::N,tirnoq,unguis
138,Kralle::N,tirnoq,unguis
139,Schwanz::N,quyruq,cauda
140,Ei::N,tuxum,ovum
141,Nest::N,oshyon,nidus
142,Bau::N,o'pqon,cavum
143,Bau::N,o'pqon,latibulum
144,Tier::N,hayvon,bestia
145,Herde::N,gala,grex
146,Kuh::N,inak,vacca
