,Concept_ID,uk,mhr
0,Auge::N,око,шинча́
1,Ohr::N,вухо,пы́лыш
2,Nase::N,ніс,нер
3,Mund::N,рот,умша́
4,Zahn::N,зуб,пӱй
5,Zunge::N,язик,йы́лме
6,Lippe::N,губа,тӱ́рвӧ
7,Wange::N,щока,шӱ́ргӧ
8,Gesicht::N,обличчя,чури́й
9,Stirn::N,лоб,саҥга́
10,Haar::N,волосся,ӱп
11,Schnurrbart::N,вуса,ӧ́рыш
12,Bart::N,борода,понда́ш
13,Kinn::N,підборіддя,оҥыла́ш
14,Kiefer[Anatomie]::N,щелепа,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,щелепа,пӱйората́
16,Kehle::N,горло,лога́р
17,Hals::N,шия,шӱй
18,Genick::N,потилиця,шӱйло́дыш
19,Kopf::N,голова,вуй
20,Rücken::N,спина,туп
21,Bauch::N,живіт,мӱ́шкыр
22,Nabel::N,пупок,кы́лымде
23,Busen::N,груди,чы́зе
24,Brust::N,груди,оҥ
25,Schulter::N,плече,ва́че
26,Arm::N,рука,кид
27,Ellenbogen::N,лікоть,кынерву́й
28,Hand::N,рука,кид
29,Hand::N,рука,копа́
30,Handfläche::N,долоня,со́во
31,Finger::N,палець,парня́
32,Fingernagel::N,ніготь,кидкӱ́ч
33,Fingernagel::N,ніготь,парнягӱ́ч
34,Nagel[Anatomie]::N,ніготь,кӱч
35,Zeh::N,палець на нозі,йолварня́
36,Fuß::N,нога,йол
37,Fuß::N,нога,йолкопа́
38,Ferse::N,п’ятка,тага́н
39,Knie::N,коліно,пулву́й
40,Oberschenkel::N,стегно,э́рде
41,Bein::N,нога,йол
42,Körper::N,тіло,кап
43,Haut::N,шкіра,кова́ште
44,Blut::N,кров,вӱр
45,Ader::N,вена,шӧн
46,Sehne::N,сухожилля,шӧн
47,Sehne::N,сухожилля,кӱсе́н
48,Knochen::N,кістка,лу
49,Gehirn::N,мозок,вем
50,Gehirn::N,мозок,вуйве́м
51,Herz::N,серце,шӱм
52,Magen::N,шлунок,пага́р
53,Leber::N,печінка,мокш
54,Atem::N,дихання,шӱ́лыш
55,Hunger::N,голод,шужыма́ш
56,Träne::N,сльоза,шинчавӱ́д
57,Geschmack::N,смак,там
58,Geruch::N,запах,пуш
59,Schlaf::N,сон,о́мо
60,Schlaf::N,сплячка,о́мо
61,Traum::N,сон,йӱдо́мо
62,Himmel::N,небо,кава́
63,Sonne::N,сонце,ке́че
64,Mond::N,місяць,ты́лзе
65,Stern::N,зірка,шӱ́дыр
66,Luft::N,повітря,юж
67,Wind::N,вітер,марде́ж
68,Welle::N,хвиля,то́лкын
69,Wasser::N,вода,вӱд
70,Stein::N,камінь,кӱ
71,Boden::N,ґрунт,рок
72,Erde::N,земля,мла́нде
73,Staub::N,пил,пура́к
74,Rauch::N,дим,шикш
75,Funke::N,іскра,сеске́м
76,Funke::N,іскра,тулйы́п
77,Feuer::N,вогонь,тул
78,Licht::N,світло,со́то
79,Schatten::N,тінь,ӱ́мыл
