,Concept_ID,lt,os
0,Auge::N,akis,цӕст
1,Ohr::N,ausis,хъус
2,Nase::N,nosis,фындз
3,Mund::N,burna,дзых
4,Zahn::N,dantis,дӕндаг
5,Zunge::N,liežuvis,ӕвзаг
6,Lippe::N,lūpa,был
7,Wange::N,žandas,рус
8,Wange::N,žandas,уадул
9,Wange::N,žandas,ӕхсӕрфарс
10,Wange::N,skruostas,рус
11,Wange::N,skruostas,уадул
12,Wange::N,skruostas,ӕхсӕрфарс
13,Gesicht::N,veidas,цӕсгом
14,Stirn::N,kakta,ных
15,Haar::N,plaukai,хил
16,Schnurrbart::N,ūsai,рихи
17,Bart::N,barzda,зачъе
18,Kinn::N,smakras,роцъо
19,Kiefer[Anatomie]::N,žandikaulis,ӕфсӕр
20,Kehle::N,gerklė,хъуыр
21,Hals::N,kaklas,къубал
22,Genick::N,sprandas,къӕбут
23,Kopf::N,galva,сӕр
24,Rücken::N,nugara,фӕсонтӕ
25,Bauch::N,pilvas,гуыбын
26,Nabel::N,bamba,бикъ
27,Busen::N,krūtinė,дзидзи
28,Brust::N,krūtis,риу
29,Schulter::N,petys,уӕхск
30,Arm::N,ranka,цонг
31,Ellenbogen::N,alkūnė,рæмбын
32,Hand::N,ranka,къух
33,Hand::N,plaštaka,къух
34,Handfläche::N,delnas,армытъӕпӕн
35,Handfläche::N,plaštaka,армытъӕпӕн
36,Finger::N,pirštas,ӕнруылдз
37,Fingernagel::N,nagas,ных
38,Nagel[Anatomie]::N,nagas,ных
39,Zeh::N,pirštas,къух
40,Fuß::N,pėda,фад
41,Ferse::N,kulnas,зӕвӕт
42,Knie::N,kelis,уӕраг
43,Oberschenkel::N,kulšis,агъд
44,Oberschenkel::N,šlaunis,агъд
45,Bein::N,koja,зӕнг
46,Körper::N,kūnas,буар
47,Haut::N,oda,царм
48,Blut::N,kraujas,туг
49,Ader::N,kraujagyslė,дадзин
50,Ader::N,kraujagyslė,тугдадзин
51,Sehne::N,sausgyslė,хъиутæ
52,Sehne::N,sausgyslė,нуар
53,Knochen::N,kaulas,стӕг
54,Gehirn::N,smegenys,магъз
55,Herz::N,širdis,зӕрдӕ
56,Magen::N,skrandis,ахсӕн
57,Leber::N,kepenys,игæр
58,Atem::N,kvapas,улӕфт
59,Hunger::N,badas,стонг
60,Hunger::N,alkis,стонг
61,Träne::N,ašara,цæссыг
62,Geschmack::N,skonis,ад
63,Geruch::N,kvapas,смаг
64,Schlaf::N,miegas,хуыссӕг
65,Traum::N,sapnas,фын
66,Himmel::N,dangus,арв
67,Himmel::N,dangus,уӕларв
68,Sonne::N,saulė,хур
69,Mond::N,mėnulis,мӕй
70,Stern::N,žvaigždė,стъалы
71,Luft::N,oras,уӕлдӕф
72,Wind::N,vėjas,дымгӕ
73,Welle::N,banga,уылӕн
74,Welle::N,vilnis,уылӕн
75,Wasser::N,vanduo,дон
76,Stein::N,akmuo,дур
77,Boden::N,žemė,зӕхх
78,Boden::N,dugnas,зӕхх
79,Erde::N,žemė,сыджыт
80,Staub::N,dulkės,рыг
81,Rauch::N,dūmai,фӕздӕг
82,Funke::N,kibirkštis,цӕхӕр
83,Feuer::N,ugnis,зынг
84,Licht::N,šviesa,рухс
85,Schatten::N,paūksmė,аууон
86,Wetter::N,oras,боныхъӕд
87,Nebel::N,migla,мигъ
88,Nebel::N,rūkas,мигъ
89,Wolke::N,debesis,ӕврагъ
90,Regen::N,lietus,уарын
91,Schnee::N,sniegas,мит
92,Eis::N,ledas,их
93,Frost::N,šalna,ихæн
94,Kälte::N,šaltis,уазал
95,Hitze::N,karštis,ӕнтӕф
96,Raureif::N,šerkšnas,халас
97,Regenbogen::N,vaivorykštė,арвырон
98,Regenbogen::N,vaivorykštė,арвырдын
99,Donner::N,perkūnas,æрвнæрын
100,Donner::N,griaustinis,æрвнæрын
101,Strömung::N,tėkmė,цыд
102,Tropfen::N,lašas,æртах
103,Schaum::N,putos,фынк
104,Schmutz::N,purvas,цъыф
105,See::N,ežeras,цад
106,Sumpf::N,klampynė,цъыфдзаст
107,Sumpf::N,liūnas,цъыфдзаст
108,Moor::N,pelkė,цъыфдзаст
109,Wiese::N,pieva,уыгӕрдӕн
110,Wald::N,miškas,хъӕд
111,Hügel::N,kalva,обау
112,Hügel::N,kalva,къуыбыр
113,Anhöhe::N,kauburys,уæлвæз
114,Anhöhe::N,kauburys,уæлхох
115,Berg::N,kalnas,хох
116,Gipfel::N,viršūnė,цъупп
117,Höhle::N,ola,лӕгӕт
118,Abhang::N,šlaitas,къул
119,Abhang::N,nuokalnė,къул
120,Quelle::N,versmė,суадон
121,Quelle::N,šaltinis,суадон
122,Bach::N,upelis,мӕсчъыдон
123,Fluss::N,upė,дон
124,Fluss::N,upė,цӕугӕдон
125,Ufer::N,krantas,был
126,Küste::N,pajūris,донбыл
127,Festland::N,sausuma,сурзæхх
128,Meer::N,jūra,денджыз
129,Bucht::N,įlanka,донбакæлæн
130,Bucht::N,užutekis,донбакæлæн
131,Insel::N,sala,сакъадах
132,Blume::N,gėlė,дидинӕг
133,Gras::N,žolė,кӕрдӕг
134,Wurzel::N,šaknis,уидаг
135,Baum::N,medis,бӕлас
136,Stamm::N,kamienas,хӕтӕл
137,Rinde::N,žievė,цъар
138,Ast::N,šaka,арх
139,Zweig::N,šakelė,къалиу
140,Blatt::N,lapas,сыф
141,Birke::N,beržas,бæрз
142,Kiefer[Baum]::N,pušis,нӕзы
143,Weide[Baum]::N,karklas,хӕрис
144,Tanne::N,eglė,наз
145,Tanne::N,kėnis,наз
146,Horn::N,ragas,сыкъа
147,Feder::N,plunksna,сис
148,Fell::N,kailis,царм
149,Flügel::N,sparnas,базыр
150,Klaue::N,kanopa,ных
151,Kralle::N,nagas,дзӕмбы
152,Schwanz::N,uodega,къӕдзил
153,Ei::N,kiaušinis,айк
154,Nest::N,gūžta,ахстон
155,Nest::N,lizdas,ахстон
156,Bau::N,ola,хуынкъ
157,Tier::N,gyvūnas,сырд
158,Tier::N,gyvūnas,цӕрӕгой
159,Herde::N,banda,дзуг
160,Herde::N,banda,рӕгъау
161,Herde::N,kaimenė,дзуг
162,Herde::N,kaimenė,рӕгъау
163,Kuh::N,karvė,хъуг
164,Bulle::N,bulius,гал
165,Pferd::N,arklys,бӕх
166,Schaf::N,avis,фыс
167,Schwein::N,kiaulė,хуы
168,Hund::N,šuo,куыдз
169,Katze::N,katė,гӕды
170,Bär::N,lokys,арс
171,Eichhörnchen::N,voveraitė,æхсæрæг
172,Elch::N,briedis,цæгатаг саг
173,Fuchs::N,lapė,рувас
174,Hase::N,kiškas,тæрхъус
175,Maus::N,pelė,мыст
176,Wolf::N,vilkas,бирӕгъ
177,Vogel::N,paukštis,цъиу
178,Vogel::N,paukštis,маргъ
179,Schwarm::N,spiečius,бал
180,Huhn::N,višta,карк
181,Hahn::N,gaidys,уасӕг
182,Gans::N,žąsis,хъаз
183,Adler::N,erelis,цӕргӕс
184,Ente::N,antis,ацц
185,Eule::N,pelėda, уыг
186,Eule::N,pelėda,сидахъ
187,Kranich::N,gervė,зырнæг
188,Kranich::N,gervė,хърихъупп
189,Krähe::N,varna,халон
190,Kuckuck::N,gegužė,гаккук
191,Schwan::N,gulbė,доныхъаз
192,Fisch::N,žuvis,кӕсаг
193,Barsch::N,ešerys,окунь
194,Hecht::N,lydeka,хихор кӕсаг
195,Schlange[Tier]::N,gyvatė,калм
196,Wurm::N,kirmėlė,зулкъ
197,Wurm::N,kirmėlė,къуыдыргалм
198,Spinne::N,voras,хӕлуарӕг
199,Ameise::N,skruzdė,мæлдзыг
200,Laus::N,utėlė,сыст
201,Mücke::N,uodas,къогъо
202,Fliege::N,musė,бындз
203,Schmetterling::N,drugys,гæлæбу
204,Schmetterling::N,peteliškė,гæлæбу
205,Beere::N,uoga,гагадыргъ
206,Apfel::N,obuolys,фӕткъуы
207,Pilz::N,grybas,зокъо
208,Pilz::N,grybas,къозо
209,Zwiebel::N,svogūnas,хъӕдындз
210,Saat::N,sėkla,тауинаг
211,Saat::N,sėkla,мыггаг
212,Korn::N,grūdai,мыггаг
213,Korn::N,grūdai,тауинаг
214,Heu::N,šienas,хос
215,Schale::N,žievelė,цъар
216,Grube::N,duobė,урм
217,Grube::N,duobė,къахт
218,Grube::N,duobė,дзыхъхъ
219,Falle::N,pinklės,цъысым
220,Falle::N,pinklės,къӕппӕг
221,Falle::N,žabangai,цъысым
222,Falle::N,žabangai,къӕппӕг
223,Schlinge::N,kilpa,цасм
224,Spur::N,vėžė,фæд
225,Spur::N,pėdos,фæд
226,Spur::N,pėdsakas,фæд
227,Asche::N,pelenai,фӕнык
228,Asche::N,pelenai,ӕртхутӕг
229,Dreck::N,purvas,цъыф
230,Eisen::N,geležis,ӕфсӕйнаг
231,Gold::N,auksas,сыгъзӕрин
232,Silber::N,sidabras,ӕвзист
233,Kohle::N,anglis,ӕвзалы
234,Glas::N,stiklas,авг
235,Lehm::N,molis,ӕлыг
236,Sand::N,smėlis,змис
237,Mensch::N,žmogus,лӕг
238,Mensch::N,žmogus,адӕймаг
239,Mensch::N,žmogus,удгоймаг
240,Mann::N,vyras,лӕг
241,Mann::N,vyras,нӕлгоймаг
242,Mann::N,vyriškis,лӕг
243,Mann::N,vyriškis,нӕлгоймаг
244,Frau::N,moteris,сылгоймаг
245,Kind::N,vaikas,сывӕллон
246,Junge::N,vaikinas,лӕппу
247,Junge::N,berniukas,лӕппу
248,Mädchen::N,mergytė,чызг
249,Mädchen::N,mergaitė,чызг
250,Familie::N,šeima,бинонтæ
251,Großvater::N,senelis,фыдыфыд
252,Großvater::N,senelis,мадыфыд
253,Großmutter::N,senelė,фыды мад
254,Großmutter::N,senelė,мады мад
255,Eltern::N,tėvai,ныййарджытæ
256,Vater::N,tėvas,фыд
257,Mutter::N,motina,мад
258,Sohn::N,sūnus,фырт
259,Tochter::N,duktė,чызг
260,Bruder::N,brolis,ӕфсымӕр
261,Schwester::N,sesuo,хо
262,Onkel::N,dėdė,фыдыфсымӕр
263,Tante::N,teta,мадыхо
264,Ehemann::N,vyras,мой
265,Ehefrau::N,žmona,ус
266,Freude::N,džiaugsmas,цин
267,Freude::N,džiaugsmas,циндзинад
268,Gelächter::N,juokas,худын
269,Gelächter::N,juokas,худт
270,Gelächter::N,juokas,худæг
271,Glück::N,laimė,амонд
272,Kummer::N,vargas,хъыг
273,Kummer::N,rūpestis,хъыг
274,Wunsch::N,troškimas,бӕллиц
275,Wunsch::N,pageidavimas,бӕллиц
276,Lust::N,noras,монц
277,Lust::N,geidulys,монц
278,Geist::N,dvasia,уд
279,Gedanke::N,mintis,хъуыды
280,Gedächtnis::N,atmintis,мысæн
281,Gedächtnis::N,atmintis,мысын
282,Gedächtnis::N,atmintis,зæрдылдарын
283,Verstand::N,protas,зонд
284,Sinn::N,prasmė,нысаниуæг
285,Grund::N,priežastis,ӕфсон
286,Wahrheit::N,tiesa,æцæг
287,Wahrheit::N,teisybė,æцæг
288,Gespräch::N,pokalbis,ныхас
289,Märchen::N,pasaka,аргъау
290,Erzählung::N,apsakymas,радзырд
291,Erzählung::N,pasakojimas,радзырд
292,Nachricht::N,žinia,уац
293,Neuigkeit::N,naujiena,хабар
294,Name::N,vardas,ном
295,Rätsel::N,mįslė,уыци-уыци
296,Rätsel::N,mįslė,базон-базон
297,Rede::N,kalba,раныхас
298,Sprache::N,kalba,ӕвзаг
299,Stimme::N,balsas,хъӕлӕс
300,Wort::N,žodis,дзырд
301,Zeichen::N,žymė,нысан
302,Zeichen::N,ženklas,нысан
303,Ruf::N,šauksmas,сидт
304,Lärm::N,triukšmas,уынæр
305,Laut::N,garsas,зӕл
306,Laut::N,garsas,мыр
307,Ton::N,tonas,мыр
308,Ton::N,garsas,мыр
309,Lied::N,daina,зарӕг
310,Lied::N,giesmė,зарӕг
311,Ruhe::N,ramybė,æнцой
312,Ruhe::N,ramumas,æнцой
313,Leute::N,žmonės,адӕм
314,Volk::N,tauta,адӕм
315,Arbeit::N,darbas,фӕллой
316,Arbeit::N,triūsas,фӕллой
317,Gast::N,svečias,уазӕг
318,Geschenk::N,dovana,хуын
319,Spiel::N,žaismas,хъазт
320,Spiel::N,žaidimas,хъазт
321,Gesellschaft::N,draugija,дзыллæ
322,Gesellschaft::N,draugija,æхсæнад
323,Gesellschaft::N,kompanija,дзыллæ
324,Gesellschaft::N,kompanija,æхсæнад
325,Hilfe::N,pagalba,æххуыс
326,Hilfe::N,pagalba,ахъаз
327,Freund::N,draugas,лымӕн
328,Freund::N,bičiulis,лымӕн
329,Kamerad::N,draugas,ӕмбал
330,Angelegenheit::N,dalykas,хъуыддаг
331,Angelegenheit::N,reikalas,хъуыддаг
332,Anzahl::N,kiekis,бӕрц
333,Anzahl::N,skaičius,бӕрц
334,Art::N,rūšis,хуыз
335,Art::N,rūšis,хуызад
336,Stück::N,gabalas,кæрдих
337,Stück::N,gabalas,комдзаг
338,Teil::N,dalis,хай
339,Hälfte::N,pusė,æрдæг
340,Hälfte::N,pusė,æмбис
341,Kreis::N,ratas,зиллакк
342,Kreis::N,apskritis,зиллакк
343,Kreis::N,apskritimas,зиллакк
344,Kreuz::N,kryžius,дзуар
345,Linie::N,linija,хахх
346,Strich::N,brėžis,хахх
347,Strich::N,brūkšnys,хахх
348,Abstand::N,atstumas,æхсæнуат
349,Entfernung::N,atstumas,дæрддзæг
350,Entfernung::N,atstumas,дардцæг
351,Gegend::N,vietovė,ран
352,Platz::N,vieta,бууат
353,Ort::N,vieta,ран
354,Ort::N,vieta,бынат
355,Ort::N,vietovė,ран
356,Ort::N,vietovė,бынат
357,Seite::N,pusė,фахс
358,Seite::N,šonas,фахс
359,Mitte::N,vidurys,астӕу
360,Gegenstand::N,dalykas,дзаума
361,Sache::N,daiktas,дзаума
362,Rand::N,kraštas,кӕрон
363,Rand::N,pakraštys,кӕрон
364,Kante::N,kraštas,фӕрск
365,Ecke::N,kertė,тигъ
366,Ecke::N,kertė,фисын
367,Ecke::N,kampas,тигъ
368,Ecke::N,kampas,фисын
369,Spitze::N,priekis,бырынкъ
370,Spitze::N,priešakys,бырынкъ
371,Ende::N,galas,кӕрон
372,Loch::N,skylė,хуынкъ
373,Winkel::N,kampas,къуым
374,Winkel::N,kampelis,къуым
375,Muster::N,raštas,нывæфтыд
376,Muster::N,raštas,кæдзист
377,Größe::N,dydis,ас
378,Größe::N,didumas,ас
379,Länge::N,ilgis,дӕргъ
380,Länge::N,ilgumas,дӕргъ
381,Höhe::N,aukštis,бæрзонд
382,Höhe::N,aukštis,бæрзæнд
383,Höhe::N,aukštis,бæрзонддзинад
384,Höhe::N,aukštuma,бæрзонд
385,Höhe::N,aukštuma,бæрзæнд
386,Höhe::N,aukštuma,бæрзонддзинад
387,Gewicht::N,svoris,уӕз
388,Gewicht::N,svarstis,уӕз
389,Menge::N,kiekis,бӕрц
390,Menge::N,daugybė,бӕрц
391,Haufen::N,krūva,кӕри
392,Haufen::N,šūsnis,кӕри
393,Reihe::N,greta,рӕнхъ
394,Boot::N,valtis,чема
395,Boot::N,laivelis,чема
396,Ruder::N,irklas,къохар
397,Schlitten::N,rogės,дзоныгъ
398,Schlitten::N,rogutės,дзоныгъ
399,Ski::N,slidė,къахдзоныгътæ
400,Ski::N,slidė,лыжæтæ
401,Lagerfeuer::N,laužas,арт
402,Last::N,našta,уаргъ
403,Last::N,nešulys,уаргъ
404,Gang::N,eisena,цыд
405,Schritt::N,žingsnis,санчъех
406,Schritt::N,žingsnis,къахдзӕф
407,Norden::N,šiaurė,цæгат
408,Norden::N,žiemiai,цæгат
409,Süden::N,pietūs,хуссар
410,Westen::N,vakarai,ныгуылæн
411,Osten::N,rytai,скæсæн
412,Holz::N,mediena,хъӕдӕрмӕг
413,Brett::N,lenta,фæйнæг
414,Platte::N,plokštė,къӕй
415,Stütze::N,atrama,быцæу
416,Stütze::N,atspara,быцæу
417,Stange::N,lazda,хъил
418,Stange::N,kartis,хъил
419,Stock::N,lazda,лӕдзӕг
420,Stab::N,kartis,хъил
421,Rohr::N,vamzdis,хӕтӕл
422,Haus::N,namas,хӕдзар
423,Heim::N,namai,къона
424,Ofen::N,krosnis,пец
425,Fußboden::N,grindys,астӕрд
426,Tisch::N,stalas,стъол
427,Stuhl::N,kėdė,бандон
428,Wiege::N,lopšys,авдæн
429,Bett::N,lova,сынтӕг
430,Bett::N,patalai,сынтӕг
431,Regal::N,lentyna,тӕрхӕг
432,Regal::N,lentyna,уӕлвӕйнӕг
433,Kiste::N,dėžė,асыкк
434,Fenster::N,langas,рудзынг
435,Fenster::N,langas,фæрссаг
436,Tür::N,durys,дуар
437,Tor::N,vartai,кулдуар
438,Zaun::N,tvora,æмбонд
439,Zaun::N,tvora,быру
440,Zaun::N,tvora,гæрæн
441,Dach::N,stogas,уӕлхӕдзар
442,Leiter::N,kopėčios,асин
443,Besen::N,šluota,уисой
444,Spaten::N,lopeta,бел
445,Spaten::N,kastuvas,бел
446,Schaufel::N,semtuvas,æвгæнæн
447,Schaufel::N,semtuvas,кæфой
448,Gabel::N,šakutė,вилкæ
449,Löffel::N,šaukštas,уидыг
450,Messer::N,peilis,кард
451,Nagel::N,vinis,зӕгӕл
452,Netz::N,tinklas,хыз
453,Haken::N,vagis,хæдз
454,Haken::N,vagis,хæбырæгъ
455,Haken::N,kablys,хæдз
456,Haken::N,kablys,хæбырæгъ
457,Griff::N,kotas,фистон
458,Griff::N,rankena,фистон
459,Schloss::N,spyna,гуыдыр
460,Schloss::N,užraktas,гуыдыр
461,Bild::N,paveikslas,ныв
462,Figur::N,figūra,кæрдгæныв
463,Puppe::N,lėlė,чындз
464,Beutel::N,krepšys,дзӕкъул
465,Beutel::N,maišelis,дзӕкъул
466,Bündel::N,ryšulys,баст
467,Tasche::N,krepšelis,хызын
468,Tasche::N,krepšelis,дзæкъул
469,Eimer::N,kibiras,къæрта
470,Eimer::N,kibiras,чъыбыла
471,Eimer::N,kibiras,ведра
472,Deckel::N,dangtis,сæр
473,Deckel::N,dangtis,æмбæрзæн
474,Geschirr::N,indai,мигæнæн
475,Geschirr::N,indai,мигæнæнтæ
476,Sack::N,maišas,голлаг
477,Tasse::N,puodukas,пиала
478,Tasse::N,puodukas,къус
479,Topf::N,puodas,аг
480,Topf::N,puodas,чысыл аг
481,Kessel::N,katilas,аг
482,Essen::N,valgis,хӕрд
483,Nahrung::N,penas,хойраг
484,Nahrung::N,maistas,хойраг
485,Speise::N,patiekalas,хӕринаг
486,Fleisch::N,mėsa,дзидза
487,Fleisch::N,mėsa,фыдызгъӕл
488,Getreide::N,javai,халсар
489,Brei::N,košė,кас
490,Brot::N,duona,дзул
491,Scheibe::N,riekė,къӕбӕр
492,Fett::N,taukai,сой
493,Fett::N,riebalai,сой
494,Butter::N,sviestas,нӕлхӕ
495,Öl::N,aliejus,зети
496,Salz::N,druska,цӕхх
497,Suppe::N,sriuba,бас
498,Honig::N,medus,мыд
499,Milch::N,pienas,ӕхсыр
500,Tee::N,arbata,цай
501,Leder::N,oda,мæскуы
502,Wolle::N,vilna,фӕсмын
503,Stoff::N,audeklas,хъуымац
504,Nadel::N,adata,судзин
