,Concept_ID,ce,myv
0,Auge::N,бӏаьрг,сельме
1,Ohr::N,лерг,пиле
2,Nase::N,мара,судо
3,Mund::N,бага,курго
4,Zahn::N,церг,пей
5,Zunge::N,мотт,кель
6,Lippe::N,балда,турва
7,Wange::N,бесни,чамабока
8,Wange::N,бесни,чамаумарь
9,Gesicht::N,юьхь,чама
10,Stirn::N,хьаж,коня
11,Haar::N,мас,черь
12,Schnurrbart::N,мекх,ус
13,Schnurrbart::N,мекх,муюк
14,Bart::N,маж,сакал
15,Kinn::N,чӏениг,уло
16,Kiefer[Anatomie]::N,мочхал,пейпакар
17,Kiefer[Anatomie]::N,мочхал,пейловажа
18,Kehle::N,къамкъарг,кирьгапарь
19,Hals::N,ворта,кирьга
20,Genick::N,кӏесаркӏаг,човонь
21,Kopf::N,корта,пря
22,Rücken::N,букъ,копорь
23,Bauch::N,кийра,пеке
24,Nabel::N,цӏонга,почо
25,Busen::N,зударийн накха,поте
26,Brust::N,накха,меште
27,Schulter::N,белш,лавтов
28,Arm::N,пхьарс,кедь
29,Ellenbogen::N,пхьаьрсан гола,кенерепакарь
30,Hand::N,куьг,кедь
31,Handfläche::N,кераюкъ,кедькуншка
32,Handfläche::N,кераюкъ,кедьлапушка
33,Finger::N,пӏелг,сур
34,Fingernagel::N,мӏара,кенже
35,Nagel[Anatomie]::N,мӏара,кенже
36,Zeh::N,кога пӏелг,пильге сур
37,Fuß::N,ког,пильге
38,Ferse::N,кӏажа,кочкаря
39,Knie::N,гола,эле
40,Knie::N,гола,эзне
41,Knie::N,гола,кумажа
42,Oberschenkel::N,варе,качо
43,Bein::N,ког,пильге
44,Körper::N,хӏума,рунго
45,Haut::N,чкъор,киське
46,Blut::N,цӏий,верь
47,Ader::N,пха,сан
48,Sehne::N,хьорзам,коське сан
49,Knochen::N,даьӏахк,пакарь
50,Gehirn::N,хье,удем
51,Herz::N,дог,седей
52,Magen::N,зорх,пеке
53,Leber::N,доӏах,максо
54,Atem::N,садеӏар,лексема
55,Atem::N,садеӏар,оймень таргсема
56,Hunger::N,мацалла,вачочи
57,Träne::N,бӏаьрхи,селведь
58,Geschmack::N,чам,тансть
59,Geruch::N,хьожа,чине
60,Schlaf::N,наб,удома
61,Traum::N,гӏан,он
62,Himmel::N,стигал,менель
63,Sonne::N,малх,чи
64,Mond::N,бутт,ков
65,Stern::N,седа,теште
66,Luft::N,xӏаваъ,кошт
67,Wind::N,мох,варма
68,Welle::N,тулгӏе,толкун
69,Wasser::N,хи,ведь
70,Stein::N,тӏулг,кев
71,Boden::N,цӏенкъа,мода
72,Erde::N,латта,мастор
73,Staub::N,чан,пуль
74,Rauch::N,кӏур,качамо
75,Funke::N,суй,сятко
76,Feuer::N,цӏе,тол
77,Licht::N,серло,валдо
78,Schatten::N,ӏиндагӏ,сулей
79,Schatten::N,ӏиндагӏ,сулейкс
80,Wetter::N,хенан хӏоттам,ушо
81,Nebel::N,дохк,сув
82,Wolke::N,марха,пель
83,Regen::N,догӏа,пиземс
84,Schnee::N,ло,лов
85,Eis::N,ша,эй
86,Frost::N,шело,кельме
87,Kälte::N,шело,якшамо
88,Hitze::N,йовхо,пси
89,Raureif::N,йис,лекш
90,Regenbogen::N,стелаӏад,пурьгинечирьке
91,Regenbogen::N,стелаӏад,пурьгинеёнкс
92,Donner::N,ткъес,пурьгине
93,Strömung::N,дӏаэхар,чудема
94,Strömung::N,дӏаэхар,чудевкс
95,Strömung::N,дӏасалелар,чудема
96,Strömung::N,дӏасалелар,чудевкс
97,Tropfen::N,тӏадам,петнявкс
98,Schaum::N,чопа,чов
99,Schmutz::N,хатт,рудаз
100,See::N,ӏам,эрьке
101,Sumpf::N,уьшал,чей
102,Moor::N,уьшал,чей
103,Wiese::N,бай,луга
104,Wald::N,хьун,вирь
105,Hügel::N,гу,губорь
106,Hügel::N,гу,пандыне
107,Hügel::N,шу,губорь
108,Hügel::N,шу,пандыне
109,Hügel::N,барз,губорь
110,Hügel::N,барз,пандыне
111,Anhöhe::N,акъари,губорь
112,Anhöhe::N,акъари,пандыне
113,Berg::N,лам,пандо
114,Gipfel::N,бохь,пря
115,Höhle::N,хьех,пещера
116,Abhang::N,басе,пандочама
117,Quelle::N,шовда,ушодкс
118,Bach::N,татол,чудикерькс
119,Fluss::N,хи,лей
120,Ufer::N,хийист,чире
121,Küste::N,йист,лейчире
122,Festland::N,латта,мода
123,Meer::N,xӏорд,моря
124,Bucht::N,чож,усия
125,Insel::N,гӏайре,усия
126,Blume::N,зезаг,цеця
127,Gras::N,буц,тикше
128,Wurzel::N,орам,юр
129,Wurzel::N,орам,ундокс
130,Baum::N,дитт,чувто
131,Stamm::N,гӏад,рунго
132,Stamm::N,тайпа,рунго
133,Rinde::N,кевстиг,суд
134,Rinde::N,кевстиг,керь
135,Ast::N,га,морго
136,Zweig::N,га,тарад
137,Blatt::N,гӏа,лопа
138,Birke::N,дакх,килей
139,Kiefer[Baum]::N,бага,пиче
140,Weide[Baum]::N,дак,каль
141,Tanne::N,база,куз
142,Horn::N,маӏа,сюро
143,Feder::N,пелаг,толга
144,Fell::N,цӏока,пона
145,Flügel::N,тӏам,сёлмо
146,Klaue::N,мӏара,кенже
147,Kralle::N,тlод,кенже
148,Schwanz::N,цӏога,пуло
149,Ei::N,xӏoa,ал
150,Nest::N,бен,пизэ
151,Bau::N,lуьрг,варя
152,Bau::N,lуьрг,пизе
153,Tier::N,дийнат,ракша
154,Herde::N,жа,стада
155,Kuh::N,етт,скал
156,Bulle::N,сту,бука
157,Pferd::N,говр,лишме
158,Schaf::N,жий,реве
159,Schaf::N,уьстагӏ,реве
160,Schwein::N,хьакха,туво
161,Hund::N,жӏаьла,пине
162,Hund::N,жӏаьла,киска
163,Katze::N,цициг,псака
164,Bär::N,ча,овто
165,Eichhörnchen::N,тарсал,ур
166,Elch::N,сай,сярдо
167,Fuchs::N,цхьогал,ривезь
168,Hase::N,пхьагал,нумоло
169,Maus::N,дахка,чеерь
170,Wolf::N,борз,верьгиз
171,Vogel::N,олхазар,нармунь
172,Huhn::N,котам,сараз
173,Hahn::N,нӏаьна,атякш
174,Hahn::N,боргӏал,атякш
175,Gans::N,гӏаз,гала
176,Gans::N,гӏаз,мацей
177,Adler::N,aьрзу,куцькан
178,Adler::N,aьрзу,тумоатякш
179,Ente::N,бад,яксярго
180,Eule::N,бухӏа,корж
181,Kranich::N,гӏаргӏули,карго
182,Krähe::N,къиг,варака
183,Kuckuck::N,aттйокх,куко
184,Schwan::N,гӏургӏаз,локсей
185,Fisch::N,чӏара,кал
186,Barsch::N,окунь,окунь
187,Hecht::N,гӏазкхийн чӏара,щука
188,Schlange[Tier]::N,лаьхьа,гуй
189,Wurm::N,нӏаьна,сукс
190,Spinne::N,гезг,шанжав
191,Ameise::N,зингат,коткудав
192,Laus::N,меза,сий
193,Laus::N,гӏениг,сий
194,Mücke::N,чуьрк,сеське
195,Fliege::N,моза,карво
196,Schmetterling::N,полла,нимиляв
197,Beere::N,цӏазам,умарь
198,Apfel::N,ӏаж,умарь
199,Pilz::N,жӏаьлин нускал,панго
200,Zwiebel::N,xох,чурька
201,Saat::N,чlу,видьметь
202,Korn::N,буьртиг,сюро
203,Heu::N,йол,тикше
204,Schale::N,пардо,кедь
205,Schale::N,пардо,ваткавкс
206,Grube::N,ор,латко
207,Falle::N,кӏело,тувор
208,Falle::N,кӏело,кундамка
209,Spur::N,лар,челькс
210,Spur::N,лар,пильгеки
211,Asche::N,чим,кулов
212,Dreck::N,мода,рудаз
213,Eisen::N,эчиг,кшни
214,Gold::N,деши,сырне
215,Silber::N,дети,сия
216,Kohle::N,кӏора,сэдь
217,Kohle::N,кӏора,уголия
218,Glas::N,aнгали,сулика
219,Lehm::N,поппар,сёвонь
220,Sand::N,гӏум,човар
221,Mensch::N,адам,ломань
222,Mann::N,майра,аля
223,Mann::N,майра,цёраломань
224,Frau::N,зуда,ава
225,Kind::N,бер,эйкакш
226,Junge::N,жимха,цёрыне
227,Mädchen::N,жима йоӏ,тейтерне
228,Familie::N,доьзал,семия
229,Großvater::N,ненада,покштя
230,Großmutter::N,денана,баба
231,Eltern::N,да-нана,тетят-ават
232,Vater::N,да,тетя
233,Mutter::N,нана,ава
234,Sohn::N,кӏант,цёра
235,Tochter::N,йоӏ,тейтерь
236,Bruder::N,ваша,леля
237,Bruder::N,ваша,ялакс
238,Schwester::N,йиша,сазор
239,Onkel::N,деваша,леля
240,Tante::N,дейиша,патя
241,Ehemann::N,майра,мирде
242,Ehefrau::N,зуда,ни
243,Freude::N,самукъа,кеняркс
244,Freude::N,хазахетар,кеняркс
245,Gelächter::N,белам,ракамо
246,Gelächter::N,белам,пейдема
247,Glück::N,ирс,уцяска
248,Kummer::N,бала,рискс
