,Concept_ID,ta,kn
0,Auge::N,கண்,ಕಣ್ಣು
1,Ohr::N,காது,ಕಿವಿ
2,Nase::N,மூக்கு,ಮೂಗು
3,Mund::N,வாய்,ಬಾಯಿ
4,Zahn::N,பல்,ಹಲ್ಲು
5,Zunge::N,நாக்கு,ನಾಲಿಗೆ
6,Lippe::N,உதடு,ತುಟಿ
7,Wange::N,கன்னம்,ಗಲ್ಲ
8,Gesicht::N,முகம்,ಮುಖ
9,Stirn::N,முன்னெற்றி,ಹಣೆ
10,Haar::N,முடி,ಕೂದಲು
11,Schnurrbart::N,மீசை,ಮೀಸೆ
12,Bart::N,தாடி,ಗಡ್ಡ
13,Kinn::N,கீழதாடை,ಗದ್ದ
14,Kiefer[Anatomie]::N,தாடை,ದವಡೆ
15,Kehle::N,தொண்டை,ಗಂಟಲು
16,Hals::N,கழுத்து,ಕೊರಳು
17,Genick::N,கழுத்து,ಹಿಂಗತ್ತು
18,Kopf::N,தலை,ತಲೆ
19,Rücken::N,முதுகு,ಬೆನ್ನು
20,Bauch::N,வயிறு,ಹೊಟ್ಟೆ
21,Nabel::N,தொப்புள்,ಹೊಕ್ಕುಳು
22,Busen::N,மார்பகம்,ಸ್ತನ
23,Brust::N, மார்பு,ಎದೆ
24,Schulter::N,தோள்பட்டை,ಭುಜ
25,Arm::N,கரம்,ತೋಳು
26,Ellenbogen::N,முழங்கை,ಮೊಣಕೈ
27,Hand::N,கை,ಕೈ
28,Handfläche::N,உள்ளங்கை,ಅಂಗೈ
29,Finger::N,விரல்,ಕೈಬೆರಳು
30,Fingernagel::N,விரல் நகம்,ಉಗುರು
31,Nagel[Anatomie]::N,நகம்,ಉಗುರು
32,Zeh::N,கால்விரல்,ಕಾಲ್ಬೆರಳು
33,Fuß::N,கால்,ಪಾದ
34,Ferse::N,குதிகால்,ಹಿಮ್ಮಡಿ
35,Knie::N,முழங்கால்,ಮಂಡಿ
36,Oberschenkel::N,தொடை,ತೊಡೆ
37,Bein::N,கால்,ಕಾಲು
38,Körper::N,உடல்,ದೇಹ
39,Haut::N,சருமம்,ಚರ್ಮ
40,Blut::N,இரத்தம்,ರಕ್ತ
