,Concept_ID,ca,bn
0,Auge::N,ull,চক্ষু
1,Ohr::N,orella,কর্ণ
2,Nase::N,nas,নাক
3,Mund::N,boca,মুখ
4,Zahn::N,dent,দাঁত
5,Zunge::N,llēngua,জিহবা
6,Lippe::N,llavi,অধর
7,Wange::N,galta,গণ্ড
8,Gesicht::N,cara,মুখমণ্ডল
9,Stirn::N,front,কপাল
10,Haar::N,cabēll,চুল
11,Schnurrbart::N,bigoti,গোঁফ
12,Bart::N,barba,শ্মশ্রু
13,Kinn::N,mentó,চিবুক
14,Kinn::N,barbeta,চিবুক
15,Kiefer[Anatomie]::N,queix,চোয়াল
16,Kiefer[Anatomie]::N,mandíbula,চোয়াল
17,Kehle::N,gola,কণ্ঠ
18,Kehle::N,gorja,কণ্ঠ
19,Hals::N,coll,গল
20,Genick::N,nuca,ঘাড়
21,Kopf::N,cap,মাথা
22,Rücken::N,esquena,পৃষ্ঠ
23,Bauch::N,panxa,উদর
24,Nabel::N,llombrígol,নাভি
25,Busen::N,pit,স্তন
26,Busen::N,mama,স্তন
27,Brust::N,pit,বুক
28,Schulter::N,espatlla,স্কন্ধ
29,Arm::N,braç,বাহু
30,Ellenbogen::N,colze,কনুই
31,Hand::N,mà,হাত
32,Handfläche::N,palma,করতল
33,Finger::N,dit,আঙ্গুল
34,Fingernagel::N,ungla,হাতের নখ
35,Nagel[Anatomie]::N,ungla,নখ
36,Zeh::N,dit del peu,আঙ্গুল
37,Fuß::N,peu,পা
38,Ferse::N,taló,গোড়ালি
39,Knie::N,genoll,হাঁটু
40,Oberschenkel::N,cuixa,ঊরু
41,Bein::N,cama,পা
42,Körper::N,cos,দেহ
43,Haut::N,pell,ত্বক
44,Blut::N,sang,রক্ত
45,Ader::N,vena,শিরা
46,Sehne::N,tendó,কণ্ডরা
47,Knochen::N,os,অস্থি
48,Gehirn::N,cervell,মস্তিষ্ক
49,Herz::N,cor,হৃৎপিণ্ড
50,Magen::N,estómac,পাকস্থলী
51,Leber::N,fetge,যকৃৎ
52,Atem::N,alè,শ্বাস
53,Atem::N,hàlit,শ্বাস
54,Hunger::N,fam,ক্ষুধা
55,Hunger::N,gana,ক্ষুধা
56,Träne::N,llàgrima,অশ্রু
57,Geschmack::N,gust,স্বাদ
58,Geschmack::N,sabor,স্বাদ
59,Geruch::N,olor,গন্ধ
60,Schlaf::N,son,ঘুম
61,Traum::N,somni,স্বপ্ন
62,Himmel::N,celm,আকাশ
63,Sonne::N,sol,সূর্য
64,Mond::N,lluna,চন্দ্র
65,Stern::N,estel,নক্ষত্র
66,Stern::N,estrella,নক্ষত্র
67,Luft::N,aire,বায়ু
68,Wind::N,vent,বাতাস
69,Welle::N,ona,ঢেউ
70,Welle::N,ona,তরঙ্গ
71,Wasser::N,āigua,জল
72,Stein::N,pedra,ঢিল
73,Stein::N,pedra,প্রস্তর
74,Boden::N,sòl,ভূতল
75,Erde::N,terra,ভূমি
76,Staub::N,pols,ধুলা
77,Rauch::N,fum,ধোঁয়া
78,Funke::N,guspira,স্ফুলিঙ্গ
79,Funke::N,centella,স্ফুলিঙ্গ
80,Feuer::N,foc,অগ্নি
81,Licht::N,llum,আলো
82,Schatten::N,ombra,ছায়া
83,Wetter::N,temps,আবহাওয়া
84,Nebel::N,boira,কুহেলিকা
85,Wolke::N,núvol,মেঘ
86,Regen::N,pluja,বৃষ্টি
87,Schnee::N,neu,তুষার
88,Eis::N,gel,বরফ
89,Eis::N,glaç,বরফ
90,Frost::N,glaçada,তুষার
91,Kälte::N,fred,শৈত্য
92,Hitze::N,calor,তাপ
93,Raureif::N,gebre,তুহিন
94,Regenbogen::N,arc iris,রামধনু
95,Donner::N,tro,বজ্রধ্বনি
96,Strömung::N,corrent,স্রোত
97,Tropfen::N,gota,ফোঁটা
98,Schaum::N,escuma,ফেনা
99,Schmutz::N,brutícia,ধুলা
100,See::N,llac,হ্রদ
101,Sumpf::N,pantà,জলা
102,Moor::N,pantà,মাঠ
103,Wiese::N,prat,তৃণভূমি
104,Wiese::N,prada,তৃণভূমি
105,Wald::N,bosc,বন
106,Hügel::N,puig,পাহাড়
107,Hügel::N,pujol,পাহাড়
108,Anhöhe::N,turó,টিলা
109,Berg::N,muntanya,পর্বত
110,Gipfel::N,cim,শীর্ষ
111,Höhle::N,cova,গুহা
112,Abhang::N,coster,ঢাল
113,Quelle::N,font,উৎস
114,Bach::N,riera,ক্ষুদ্র নদী
115,Fluss::N,riu,নদী
116,Ufer::N,riba,উপকূল
117,Küste::N,costa,তীর
118,Festland::N,terra ferma,ভূমি
119,Meer::N,mar,সমুদ্র
120,Bucht::N,cala,উপসাগর
121,Bucht::N,badia,উপসাগর
122,Insel::N,illa,দ্বীপ
123,Blume::N,flor,ফুল
124,Gras::N,herba,ঘাস
125,Wurzel::N,rel,শিকড়
126,Wurzel::N,arrel,শিকড়
127,Baum::N,arbre,গাছ
128,Stamm::N,tronc,স্কন্ধ
129,Rinde::N,escorça,বল্কল
130,Ast::N,branca,শাখা
131,Zweig::N,ram,ডাল
132,Blatt::N,fulla,পর্ণ
133,Birke::N,bedoll,ভুর্জ
134,Kiefer[Baum]::N,pi,পাইন গাছ
135,Weide[Baum]::N,salze,উইলো
136,Tanne::N,avet,দেবদারূ গাছ
137,Horn::N,corn,শিং
138,Horn::N,banya,শিং
139,Feder::N,ploma,পালক
140,Fell::N,pell,রোম
141,Flügel::N,ala,ডানা
142,Klaue::N,urpa,নখর
143,Kralle::N,grapa,নখর
144,Schwanz::N,cua,লেজ
145,Ei::N,ou,ডিম
146,Nest::N,niu,কুলায়
147,Bau::N,cau,ডেরা
148,Tier::N,animāl,জন্তু
149,Herde::N,ramat,ঝাঁক
150,Kuh::N,vaca,গোরু
151,Bulle::N,toro,বৃষ
152,Pferd::N,cavāll,ঘোড়া
153,Schaf::N,be,ভেড়া
154,Schaf::N,ovella,ভেড়া
155,Schwein::N,bacó,শূকর
156,Hund::N,ca,কুকুর
157,Hund::N,gos,কুকুর
