,Concept_ID,av,kn
0,Ohr::N,гӏин,ಕಿವಿ
1,Nase::N,мегӏер,ಮೂಗು
2,Mund::N,кӏал,ಬಾಯಿ
3,Zahn::N,гӏус,ಹಲ್ಲು
4,Zunge::N,мацӏ,ನಾಲಿಗೆ
5,Lippe::N,кӏветӏ,ತುಟಿ
6,Wange::N,гӏоно,ಗಲ್ಲ
7,Gesicht::N,гьумер,ಮುಖ
8,Stirn::N,нодо,ಹಣೆ
9,Haar::N,рас,ಕೂದಲು
10,Schnurrbart::N,михъ,ಮೀಸೆ
11,Bart::N,мегеж,ಗಡ್ಡ
12,Kinn::N,нилъу,ಗದ್ದ
13,Kiefer[Anatomie]::N,чанагъ,ದವಡೆ
14,Kehle::N,щекъер,ಗಂಟಲು
15,Hals::N,габур,ಕೊರಳು
16,Genick::N,гъванща,ಹಿಂಗತ್ತು
17,Kopf::N,бетӏер,ತಲೆ
18,Rücken::N,мугъ,ಬೆನ್ನು
19,Bauch::N,чехь,ಹೊಟ್ಟೆ
20,Nabel::N,цӏину,ಹೊಕ್ಕುಳು
21,Busen::N,керен,ಸ್ತನ
22,Brust::N,керен,ಎದೆ
23,Schulter::N,гъажазубетӏер,ಭುಜ
24,Arm::N,гъеж,ತೋಳು
25,Ellenbogen::N,гӏункӏрукь,ಮೊಣಕೈ
26,Hand::N,квер,ಕೈ
27,Handfläche::N,огъохъат,ಅಂಗೈ
28,Handfläche::N,жанисахъат,ಅಂಗೈ
29,Finger::N,килищ,ಕೈಬೆರಳು
30,Fingernagel::N,малъ,ಉಗುರು
31,Nagel[Anatomie]::N,малъ,ಉಗುರು
32,Zeh::N,килищ,ಕಾಲ್ಬೆರಳು
33,Fuß::N,хӏетӏ,ಪಾದ
34,Fuß::N,хӏетӏе,ಪಾದ
35,Ferse::N,эгъе,ಹಿಮ್ಮಡಿ
36,Knie::N,наку,ಮಂಡಿ
37,Oberschenkel::N,мачӏ,ತೊಡೆ
38,Bein::N,бох,ಕಾಲು
39,Körper::N,къаркъала,ದೇಹ
40,Haut::N,тӏом,ಚರ್ಮ
41,Blut::N,би,ರಕ್ತ
42,Ader::N,бидурихь,ನರ
43,Knochen::N,ракьа,ಮೂಳೆ
44,Gehirn::N,гӏадалнах,ಮಿದುಳು
45,Herz::N,ракӏ,ಹೃದಯ
46,Magen::N,кванирукъ,ಉದರ
47,Leber::N,тӏул,ಯಕೃತ್ತು
48,Atem::N,хӏухь,ಉಸಿರು
49,Hunger::N,ракъи,ಹಸಿವು
50,Träne::N,магӏу,ಕಣ್ಣೀರು
51,Geschmack::N,тату,ರುಚಿ
52,Geruch::N,махӏ,ವಾಸನೆ
53,Schlaf::N,макьу,ನಿದ್ರೆ
54,Traum::N,макьу,ಕನಸು
55,Himmel::N,зоб,ಬಾನು
56,Sonne::N,бакъ,ಸೂರ್ಯ
57,Mond::N,моцӏ,ಚಂದ್ರ
