,Concept_ID,bg,lbe
0,Auge::N,око,я
1,Ohr::N,ухо,вичӏи
2,Nase::N,нос,май
3,Mund::N,уста,кьацӏ
4,Zahn::N,зъб,ккарччи
5,Zunge::N,език,маз
6,Lippe::N,устна,мурччи
7,Wange::N,буза,чӏав
8,Gesicht::N,лице,лажин
9,Gesicht::N,образ,лажин
10,Stirn::N,чело,ненттабакӏ
11,Haar::N,коса,чӏара
12,Haar::N,косъм,чӏара
13,Schnurrbart::N,мустаци,ссирссилтту
14,Bart::N,брада,чӏири
15,Kinn::N,брада,лунттубакӏ
16,Kinn::N,брадичка,лунттубакӏ
17,Kiefer[Anatomie]::N,челюст,ххинчулул
18,Kehle::N,гърло,кьакьари
19,Hals::N,врат,ссурссу
20,Genick::N,тил,махъабакӏ
21,Kopf::N,глава,бакӏ
22,Rücken::N,гръб,ттиликӏ
23,Bauch::N,корем,лякьа
24,Nabel::N,пъп,цӏумуккутӏ
25,Busen::N,бозка,ккукку
26,Brust::N,гръд,хъазам
27,Schulter::N,рамо,хъачӏ
28,Schulter::N,плещи,хъачӏ
29,Arm::N,ръка,ка
30,Ellenbogen::N,лакът,ссюрхъ
31,Hand::N,ръка,бартка
32,Hand::N,китка,бартка
33,Handfläche::N,длан,хъат
34,Handfläche::N,длан,битӏянхъ
35,Finger::N,пръст,кӏисса
36,Fingernagel::N,нокът,михь
37,Nagel[Anatomie]::N,нокът,михь
38,Zeh::N,пръст на крак,кӏисса
39,Fuß::N,крак,чӏанччан
40,Fuß::N,нога,чӏанччан
41,Ferse::N,пета,никъа
42,Knie::N,коляно,ник
43,Oberschenkel::N,бедро,жира
44,Bein::N,крак,ччан
45,Bein::N,нога,ччан
46,Körper::N,тяло,чурх
47,Haut::N,кожа,бурчу
48,Blut::N,кръв,оь
49,Ader::N,вена,тунну
50,Ader::N,артерия,тунну
51,Sehne::N,жила,хьхьа
52,Sehne::N,сухожилие,хьхьа
53,Knochen::N,кост,ттаркӏ
54,Gehirn::N,мозък,ня
55,Herz::N,сърце,дакӏ
56,Herz::N,сърце,къюкӏ
57,Magen::N,стомах,лякьа
58,Leber::N,черен дроб,
59,Atem::N,дишане,ссихӏ ласаву
60,Atem::N,дишане,ссихӏ бигьаву
61,Hunger::N,глад,ккаши
62,Träne::N,сълза,макь
63,Geschmack::N,вкус,тӏин
64,Geschmack::N,вкус,тӏааьн
65,Geruch::N,миризма,кьанкь
66,Schlaf::N,сън,шану
67,Traum::N,сън,макӏру
68,Himmel::N,небе,ссав
69,Sonne::N,слънце,баргъ
70,Mond::N,луна,барз
71,Mond::N,месец,барз
72,Stern::N,звезда,цӏуку
73,Luft::N,въздух,гьава
74,Wind::N,вятър,марч
75,Welle::N,вълна,щатӏи
76,Wasser::N,вода,щин
77,Stein::N,камък,чару
78,Boden::N,земя,аьрщи
79,Boden::N,почва,аьрщи
80,Erde::N,земя,аьрщи
81,Erde::N,почва,аьрщи
82,Staub::N,прах,ххит
83,Rauch::N,дим,пуркӏу
84,Rauch::N,пушек,пуркӏу
85,Funke::N,искра,пиягь
86,Feuer::N,огън,цӏу
87,Licht::N,светлина,чани
88,Schatten::N,сянка,ххют
89,Wetter::N,време,гьава
90,Nebel::N,мъгла,шархь ттурлу
91,Wolke::N,облак,ттурлу
92,Regen::N,дъжд,гъарал
93,Schnee::N,сняг,марххала
94,Eis::N,лед,микӏ
95,Frost::N,мраз,дяркъу
96,Frost::N,мраз,замгьар
97,Kälte::N,студ,дяркъу
98,Hitze::N,жега,кӏиришиву
99,Hitze::N,горещина,кӏиришиву
100,Raureif::N,скреж,сил
101,Raureif::N,скреж,бурса
102,Raureif::N,слана,сил
103,Raureif::N,слана,бурса
104,Regenbogen::N,дъга,ссурул ккуртта
105,Donner::N,гръм,къув
106,Strömung::N,течение,экьинанаву
107,Tropfen::N,капка,кӏунтӏ
