,Concept_ID,ps,vep
0,Auge::N,سترګه,sil'm
1,Ohr::N,غوږ,korv
2,Nase::N,پوزه,nena
3,Mund::N,خوله,su
4,Zahn::N,غاښ,pi
5,Zahn::N,غاښ,hambaz
6,Zunge::N,جبه,kel'
7,Lippe::N,شونډه,hul'
8,Wange::N,باړخو,modpolišk
9,Gesicht::N,مخ,mod
10,Stirn::N,تندی,oc
11,Stirn::N,وچولی,oc
12,Haar::N,وېښته,tuk
13,Haar::N,وېښته,hibuz
14,Schnurrbart::N,برېت,habinod
15,Bart::N,ږیره,bard
16,Kinn::N,زنه,löug
17,Kiefer[Anatomie]::N,جامه,hambazlu
18,Kehle::N,غاړه,kurk
19,Hals::N,غاړه,kagl
20,Genick::N,ورمېږ,tagarai
21,Kopf::N,سر,pä
22,Rücken::N,شا,sel'g
23,Bauch::N,نس,vac
24,Bauch::N,نس,koht
25,Bauch::N,ګېډه,vac
26,Bauch::N,ګېډه,koht
27,Nabel::N,نوم,naba
28,Busen::N,تی,niža
29,Brust::N,سینه,rind
30,Schulter::N,اوږه,oug
31,Arm::N,لاس,käzi
32,Ellenbogen::N,څنګل,künambruz
33,Hand::N,لاس,käzi
34,Hand::N,لاس,käzitera
35,Handfläche::N,ورغوی,kämen
36,Finger::N,ګوته,sor'm
37,Fingernagel::N,نوک,künz'
38,Nagel[Anatomie]::N,نوک,künz'
39,Zeh::N,ګوته,barbaz
40,Fuß::N,پښه,jaug
41,Ferse::N,پونده,kand
42,Knie::N,زنګون,komb
43,Knie::N,زنګون,pol'v
44,Oberschenkel::N,پتون,riiže
45,Bein::N,پښه,jaug
46,Körper::N,ځان,hibj
47,Haut::N,پوټکی,nahk
48,Blut::N,وینه,čak
49,Blut::N,وینه,veri
50,Ader::N,رګ,son'
51,Sehne::N,پله,jände
52,Knochen::N,هډوکی,lu
53,Gehirn::N,ماغزه,aivod
54,Herz::N,زړه,südäin
55,Magen::N,معده,südäikoht
56,Leber::N,ينه,maks
57,Leber::N,ځیګر,maks
58,Atem::N,نفس,hengaiduz
59,Hunger::N,ولږه,näl'g
60,Träne::N,اوښکه,kündal'
61,Geschmack::N,مزه,magu
62,Geschmack::N,خوند,magu
63,Geruch::N,بوی,haju
64,Schlaf::N,خوب,uni
65,Traum::N,خوب,unikuva
66,Himmel::N,اسمان,taivaz
67,Sonne::N,لمر,päiväine
68,Mond::N,سپوږمۍ,kudmaine
69,Stern::N,ستوری,tähtaz
70,Luft::N,هوا,il'm
71,Wind::N,ورښ,döl
72,Wind::N,ورښ,tullei
73,Welle::N,موج,ald
74,Welle::N,موج,laineh
75,Wasser::N,اوبه,vezi
76,Stein::N,ډبره,kivi
77,Boden::N,مځکه,ma
78,Boden::N,مځکه,pohj
79,Erde::N,خاوره,ma
80,Staub::N,ګرد,pölü
81,Staub::N,خاوره,pölü
82,Rauch::N,دود,savu
83,Rauch::N,لوګی,savu
84,Funke::N,سپرغۍ,kibin
85,Feuer::N,اور,lämoi
86,Licht::N,رڼا,vauktuz
87,Schatten::N,سیوری,pil'vez
88,Schatten::N,سیوری,kuvahaine
89,Wetter::N,هوا,sä
90,Nebel::N,لړه,sumeg
91,Wolke::N,ورېځ,pil'v
92,Regen::N,وریا,vihm
93,Regen::N,باران,vihm
94,Schnee::N,واوره,lumi
95,Eis::N,یخ,jä
96,Eis::N,کنګل,jä
97,Frost::N,یخ,hala
98,Frost::N,یخ,pakaine
99,Kälte::N,ساړه,vilu
100,Hitze::N,تودوخي,räk
101,Raureif::N,سپینه پرخه,hüde
102,Regenbogen::N,بوډۍ ټال,jumalanbembel'
103,Regenbogen::N,سره زرغونه,jumalanbembel'
104,Donner::N,تالنده,juru
105,Donner::N,تالنده,jumalanjuru
106,Strömung::N,بهېدنه,joksmuz
107,Tropfen::N,قطره,tilkuine
108,Tropfen::N,څاڅکی,tilkuine
109,Schaum::N,ځګ,vaht
110,Schmutz::N,ناپاکي,redu
111,Schmutz::N,ناپاکي,pačak
112,See::N,جهیل,järv
113,Sumpf::N,جبه,so
114,Moor::N,جبه,so
115,Wiese::N,چمن,nit
116,Wiese::N,شنېلی,nit
117,Wald::N,ځنګل,mec
118,Hügel::N,تپه,kukaz
119,Anhöhe::N,غونډۍ,kukaz
120,Berg::N,غ‍‍‍‍‍ر,mägi
121,Gipfel::N,څوکه,ladv
122,Höhle::N,کاز,mägionduz
123,Abhang::N,لمن,paute
124,Quelle::N,چینه,lähte
125,Bach::N,واله,oja
126,Fluss::N,سیند,jogi
127,Ufer::N,غاړه,rand
128,Küste::N,ساحل,randišt
129,Festland::N,وچه,kuivma
130,Meer::N,بحر,meri
131,Meer::N,سمندر,meri
132,Bucht::N,کارۍ,laht
133,Insel::N,ټاپو,sar'
134,Insel::N,جزيره,sar'
135,Blume::N,ګل,änik
136,Gras::N,واښه,hein
137,Wurzel::N,ریښه,jur'
138,Baum::N,ونه,pu
139,Stamm::N,ډډ,tüvi
140,Rinde::N,پوستکی,kor'
141,Ast::N,ښاخ,oks
142,Zweig::N,څانګه,oks
143,Zweig::N,څانګه,barb
144,Blatt::N,پاڼه,lehtez
145,Birke::N,توس,koiv
146,Kiefer[Baum]::N,نښتر,pedai
147,Weide[Baum]::N,وله,raid
148,Tanne::N,ناجو,kuz'
149,Horn::N,ښکر,sar'v
150,Feder::N,بڼکه,höuneh
151,Fell::N,پوستکی,nahk
