,Concept_ID,vep,la
0,Auge::N,sil'm,oculus
1,Ohr::N,korv,auris
2,Nase::N,nena,nasus
3,Mund::N,su,os
4,Zahn::N,pi,dens
5,Zahn::N,hambaz,dens
6,Zunge::N,kel',lingua
7,Lippe::N,hul',labrum
8,Wange::N,modpolišk,gena
9,Gesicht::N,mod,vultus
10,Stirn::N,oc,frons
11,Haar::N,tuk,capillus
12,Haar::N,hibuz,capillus
13,Schnurrbart::N,habinod,barba labri superioris
14,Bart::N,bard,barba
15,Kinn::N,löug,mentum
16,Kiefer[Anatomie]::N,hambazlu,mala
17,Kehle::N,kurk,iugulums
18,Hals::N,kagl,collum
19,Genick::N,tagarai,cervices
20,Kopf::N,pä,caput
21,Rücken::N,sel'g,tergum
22,Bauch::N,vac,venter
23,Bauch::N,koht,venter
24,Nabel::N,naba,umbilicus
25,Busen::N,niža,sinus
26,Brust::N,rind,pectus
27,Schulter::N,oug,umerus
28,Arm::N,käzi,bracchium
29,Ellenbogen::N,künambruz,cubitum
30,Hand::N,käzi,manus
31,Hand::N,käzitera,manus
32,Handfläche::N,kämen,palma
33,Finger::N,sor'm,digitus
34,Fingernagel::N,künz',unguiculus
35,Nagel[Anatomie]::N,künz',unguis
36,Zeh::N,barbaz,digitus
37,Fuß::N,jaug,pes
38,Ferse::N,kand,calx
39,Knie::N,komb,genu
40,Knie::N,pol'v,genu
41,Oberschenkel::N,riiže,femur
42,Bein::N,jaug,crus
43,Körper::N,hibj,corpus
44,Haut::N,nahk,cutis
45,Haut::N,nahk,pellis
46,Blut::N,čak,sanguis
47,Blut::N,veri,sanguis
48,Ader::N,son',vena
49,Sehne::N,jände,nervus
50,Knochen::N,lu,os
51,Gehirn::N,aivod,cerebrum
52,Herz::N,südäin,cor
53,Herz::N,südäin,animus
54,Magen::N,südäikoht,stomachus
55,Leber::N,maks,iecur
56,Atem::N,hengaiduz,spiritus
57,Hunger::N,näl'g,fames
58,Träne::N,kündal',lacrima
59,Geschmack::N,magu,sapor
60,Geschmack::N,magu,gustus
61,Geruch::N,haju,odor
62,Schlaf::N,uni,somnus
63,Traum::N,unikuva,somnium
64,Himmel::N,taivaz,caelum
65,Sonne::N,päiväine,sol
66,Mond::N,kudmaine,luna
67,Stern::N,tähtaz,sidus
68,Stern::N,tähtaz,stella
69,Luft::N,il'm,aer
70,Wind::N,döl,ventus
71,Wind::N,tullei,ventus
72,Welle::N,ald,unda
73,Welle::N,laineh,unda
74,Wasser::N,vezi,aqua
75,Stein::N,kivi,lapis
76,Boden::N,ma,solum
77,Boden::N,pohj,solum
78,Erde::N,ma,terra
79,Staub::N,pölü,pulvis
80,Rauch::N,savu,fumus
81,Funke::N,kibin,scintilla
82,Feuer::N,lämoi,ignis
83,Licht::N,vauktuz,lux
84,Licht::N,vauktuz,lumen
85,Schatten::N,pil'vez,umbra
86,Schatten::N,kuvahaine,umbra
87,Wetter::N,sä,caelum
88,Wetter::N,sä,tempestas
89,Nebel::N,sumeg,nebula
90,Wolke::N,pil'v,nubes
91,Regen::N,vihm,imber
92,Regen::N,vihm,pluvia
93,Schnee::N,lumi,nix
94,Eis::N,jä,glacies
95,Frost::N,hala,gelu
96,Frost::N,pakaine,gelu
97,Kälte::N,vilu,frigus
98,Hitze::N,räk,calor
99,Hitze::N,räk,aestus
100,Raureif::N,hüde,pruina
101,Regenbogen::N,jumalanbembel',arcus
102,Donner::N,juru,tonitrus
103,Donner::N,jumalanjuru,tonitrus
104,Strömung::N,joksmuz,fluctus
105,Tropfen::N,tilkuine,gutta
106,Schaum::N,vaht,spuma
107,Schmutz::N,redu,sordes
108,Schmutz::N,redu,squalor
109,Schmutz::N,pačak,sordes
110,Schmutz::N,pačak,squalor
111,See::N,järv,lacus
112,Sumpf::N,so,palus
113,Moor::N,so,palus
114,Wiese::N,nit,pratum
115,Wald::N,mec,silva
116,Hügel::N,kukaz,collis
117,Anhöhe::N,kukaz,specula
118,Berg::N,mägi,mons
119,Gipfel::N,ladv,vertex
120,Höhle::N,mägionduz,caverna
121,Höhle::N,mägionduz,spelunca
122,Abhang::N,paute,declivum
123,Quelle::N,lähte,fons
124,Bach::N,oja,rivus
125,Fluss::N,jogi,flumen
126,Ufer::N,rand,ripa
