,Concept_ID,ka,hy
0,Auge::N,თვალი,աչք
1,Ohr::N,ყური,ականջ
2,Nase::N,ცხვირი,քիթ
3,Mund::N,პირი,բերան
4,Zahn::N,კბილი,ատամ
5,Zunge::N,ენა,լեզու
6,Lippe::N,ბაგე,շրթունք
7,Wange::N,ლოყა,այտ
8,Wange::N,ლოყა,թուշ
9,Gesicht::N,სახე,դեմք
10,Stirn::N,შუბლი,ճակատ
11,Haar::N,თმა,մազ
12,Schnurrbart::N,ულვაში,բեղ
13,Bart::N,წვერი,մորուք
14,Kinn::N,ნიკაპი,կզակ
15,Kiefer[Anatomie]::N,ყბა,ծնոտ
16,Kehle::N,ყელი,կոկորդ
17,Hals::N,ყელი,վիզ
18,Hals::N,ყელი,պարանոց
19,Hals::N,კისერი,վիզ
20,Hals::N,კისერი,պարանոց
21,Genick::N,კეფა,ծոծրակ
22,Kopf::N,თავი,գլուխ
23,Rücken::N,ზურგი,մեջք
24,Bauch::N,მუცელი,փոր
25,Bauch::N,მუცელი,որովայն
26,Nabel::N,ჭიპი,պորտ
27,Busen::N,ძუძუ,ծոց
28,Brust::N,მკერდი,կուրծք
29,Schulter::N,მხარი,ուս
30,Schulter::N,მკლავი,ուս
31,Arm::N,ხელი,թեւ
32,Arm::N,ხელი,բազուկ
33,Ellenbogen::N,იდაყვი,արմունկ
34,Hand::N,ხელი,ձեռք
35,Handfläche::N,ნები,ափ
36,Handfläche::N,ხელისგული,ափ
37,Finger::N,თითი,մատ
38,Fingernagel::N,ფრჩხილი,եղունգ
39,Nagel[Anatomie]::N,ფრჩხილი,եղունգ
40,Zeh::N,ფეხის თითი,ոտքի մատ
41,Fuß::N,ტერფი,ոտք
42,Fuß::N,ფეხისგული,ոտք
43,Ferse::N,ქუსლი,գարշապար
44,Knie::N,მუხლი,ծունկ
45,Oberschenkel::N,ბარძაყი,ազդր
46,Bein::N,ფეხი,ոտք
47,Körper::N,ტანი,մարմին
48,Körper::N,სხეული,մարմին
49,Haut::N,კანი,մաշկ
50,Blut::N,სისხლი,արյուն
51,Ader::N,ძარღვი,երակ
52,Sehne::N,მყესი,ջիղ
53,Sehne::N,მყესი,ձգտան
54,Knochen::N,ძვალი,ոսկոր
55,Gehirn::N,ტვინი,խելք
56,Herz::N,გული,սիրտ
57,Magen::N,კუჭი,ստամոքս
58,Leber::N,ღვიძლი,լյարդ
59,Atem::N,სუნთქვა,շունչ
60,Hunger::N,შიმშილი,քաղց
61,Träne::N,ცრემლი,արտասուք
62,Geschmack::N,გემო,համ
63,Geschmack::N,გემო,բուրմունք
64,Geruch::N,სუნი,հոտ
65,Geruch::N,სუნი,բուրում
66,Schlaf::N,ძილი,քուն
67,Traum::N,სიზმარი,երազ
68,Himmel::N,ცა,երկինք
69,Sonne::N,მზე,արեւ
70,Mond::N,მთვარე,լուսին
71,Stern::N,ვარსკვლავი,աստղ
72,Luft::N,ჰაერი,օդ
73,Wind::N,ქარი,քամի
74,Welle::N,ტალღა,ալիք
75,Wasser::N,წყალი,ջուր
76,Stein::N,ქვა,քար
77,Boden::N,მიწა,գետին
78,Erde::N,ნიადაგი,հող
