,Concept_ID,be,lv
0,Auge::N,вока,син
1,Auge::N,вока,acs
2,Ohr::N,вуха,пель
3,Ohr::N,вуха,auss
4,Nase::N,нос,ныр
5,Nase::N,нос,deguns
6,Mund::N,рот,вом
7,Mund::N,рот,mute
8,Zahn::N,зуб,пинь
9,Zahn::N,зуб,zobs
10,Zunge::N,язык,кыв
11,Zunge::N,язык,mēle
12,Lippe::N,губа,вом дор
13,Lippe::N,губа,lūpa
14,Wange::N,шчака,бан
15,Wange::N,шчака,vaigs
16,Gesicht::N,твар,чужӧм
17,Gesicht::N,твар,seja
18,Gesicht::N,твар,ģīmis
19,Stirn::N,лоб,плеш
20,Stirn::N,лоб,кымӧс
21,Stirn::N,лоб,piere
22,Haar::N,волас,си
23,Haar::N,волас,юрси
24,Haar::N,волас,mats
25,Haar::N,валасы,си
26,Haar::N,валасы,юрси
27,Haar::N,валасы,mats
28,Schnurrbart::N,вус,ус
29,Schnurrbart::N,вус,пыртсим
30,Schnurrbart::N,вус,ūsas
31,Schnurrbart::N,вусы,ус
32,Schnurrbart::N,вусы,пыртсим
33,Schnurrbart::N,вусы,ūsas
34,Bart::N,барада,тош
35,Bart::N,барада,bārda
36,Kinn::N,падбародак,тшӧка
37,Kinn::N,падбародак,zods
38,Kinn::N,падбародак,smakrs
39,Kiefer[Anatomie]::N,сківіца,черлы
40,Kiefer[Anatomie]::N,сківіца,алака лы
41,Kiefer[Anatomie]::N,сківіца,вомкӧтш лы
42,Kiefer[Anatomie]::N,сківіца,žoklis
43,Kehle::N,горла,голя
44,Kehle::N,горла,rīkle
45,Hals::N,шыя,сьылі
46,Hals::N,шыя,kakls
47,Genick::N,патыліца,юрбӧр
48,Genick::N,патыліца,балябӧж
49,Genick::N,патыліца,sprands
50,Kopf::N,галава,юр
51,Kopf::N,галава,galva
52,Rücken::N,спіна,мыш
53,Rücken::N,спіна,mugura
54,Bauch::N,жывот,рушку
55,Bauch::N,жывот,vēders
56,Nabel::N,пупок,гӧг
57,Nabel::N,пупок,naba
58,Busen::N,грудзі,морӧс
59,Busen::N,грудзі,krūts
60,Brust::N,грудзі,морӧс
61,Brust::N,грудзі,krūts
62,Schulter::N,плячо,пельпом
63,Schulter::N,плячо,plecs
64,Arm::N,рука,ки
65,Arm::N,рука,roka
66,Arm::N,рука,delms
67,Ellenbogen::N,локаць,гырддза
68,Ellenbogen::N,локаць,elkonis
69,Hand::N,кісць,ки
70,Hand::N,кісць,roka
71,Hand::N,кісць,plauksta
72,Handfläche::N,далонь,ки пыдӧс
73,Handfläche::N,далонь,delna
74,Handfläche::N,далонь,plauksta
75,Finger::N,палец,чунь
76,Finger::N,палец,pirksts
77,Fingernagel::N,ногаць,гыж
78,Fingernagel::N,ногаць,nags
79,Nagel[Anatomie]::N,ногаць,гыж
80,Nagel[Anatomie]::N,ногаць,nags
81,Zeh::N,палец,кок чунь
82,Zeh::N,палец,pirksts
83,Fuß::N,нага,кок
84,Fuß::N,нага,kāja
85,Ferse::N,пята,кокбӧр
86,Ferse::N,пята,papēdis
87,Ferse::N,пятка,кокбӧр
88,Ferse::N,пятка,papēdis
89,Knie::N,калена,пидзӧс
90,Knie::N,калена,celis
91,Oberschenkel::N,бядро,лядьвей
92,Oberschenkel::N,бядро,бек
93,Oberschenkel::N,бядро,ciska
94,Oberschenkel::N,бядро,augšstilbs
95,Oberschenkel::N,сцягно,лядьвей
96,Oberschenkel::N,сцягно,бек
97,Oberschenkel::N,сцягно,ciska
98,Oberschenkel::N,сцягно,augšstilbs
99,Bein::N,нага,кок
100,Bein::N,нага,kāja
101,Körper::N,цела,туша
102,Körper::N,цела,вывтыр
103,Körper::N,цела,miesa
104,Körper::N,цела,ķermenis
105,Haut::N,скура,ку
106,Haut::N,скура,āda
107,Blut::N,кроў,вир
108,Blut::N,кроў,asins
109,Ader::N,вена,сӧн
110,Ader::N,вена,asinsvads
111,Ader::N,сасуд,сӧн
112,Ader::N,сасуд,asinsvads
113,Sehne::N,жыла,вез
114,Sehne::N,жыла,dzīsla
115,Sehne::N,цеціва,вез
116,Sehne::N,цеціва,dzīsla
117,Sehne::N,сухажылле,вез
118,Sehne::N,сухажылле,dzīsla
119,Knochen::N,косць,лы
120,Knochen::N,косць,kauls
121,Gehirn::N,мозг,вем
122,Gehirn::N,мозг,smadzenes
123,Herz::N,сэрца,сьӧлӧм
124,Herz::N,сэрца,sirds
125,Magen::N,страўнік,кынӧм
126,Magen::N,страўнік,kuņģis
127,Leber::N,печань,мус
128,Leber::N,печань,aknas
129,Atem::N,дыханне,лов
130,Atem::N,дыханне,elpa
131,Hunger::N,голад,тшыг
132,Hunger::N,голад,bads
133,Hunger::N,голад,izsalkums
134,Träne::N,сляза,синва
135,Träne::N,сляза,asara
136,Geschmack::N,смак,кӧр
137,Geschmack::N,смак,чӧсмӧс
138,Geschmack::N,смак,garša
139,Geruch::N,пах,зын
140,Geruch::N,пах,дук
141,Geruch::N,пах,smaka
142,Schlaf::N,сон,узьӧм
143,Schlaf::N,сон,miegs
144,Traum::N,сон,вӧт
145,Traum::N,сон,вӧтасьӧм
146,Traum::N,сон,sapnis
147,Himmel::N,неба,енэж
148,Himmel::N,неба,debess
149,Sonne::N,сонца,шонді
150,Sonne::N,сонца,saule
151,Mond::N,месяц,тӧлысь
152,Mond::N,месяц,mēness
153,Stern::N,зорка,кодзув
154,Stern::N,зорка,zvaigzne
155,Luft::N,паветра,сынӧд
156,Luft::N,паветра,gaiss
157,Wind::N,вецер,тӧв
158,Wind::N,вецер,vējš
159,Welle::N,хваля,гы
160,Welle::N,хваля,vilnis
161,Wasser::N,вада,ва
162,Wasser::N,вада,ūdens
163,Stein::N,камень,из
164,Stein::N,камень,akmens
165,Boden::N,глеба,му
166,Boden::N,глеба,augsne
167,Erde::N,зямля,му
168,Erde::N,зямля,му-ва
169,Erde::N,зямля,zeme
170,Staub::N,пыл,бус
171,Staub::N,пыл,putekļi
172,Rauch::N,дым,тшын
173,Rauch::N,дым,dūmi
174,Funke::N,іскра,кинь
175,Funke::N,іскра,би кинь
176,Funke::N,іскра,dzirkstele
177,Feuer::N,агонь,би
178,Feuer::N,агонь,uguns
179,Licht::N,святло,югӧр
180,Licht::N,святло,gaisma
181,Schatten::N,цень,вуджӧр
182,Schatten::N,цень,ēna
183,Wetter::N,пагода,поводдя
184,Wetter::N,пагода,laiks
185,Wetter::N,надворʼе,поводдя
