,Concept_ID,hu,lez
0,Auge::N,szem,вил
1,Ohr::N,fül,яб
2,Nase::N,orr,нер
3,Mund::N,száj,сив
4,Zahn::N,fog,сас
5,Zahn::N,fog,свах
6,Zunge::N,nyelv,мез
7,Lippe::N,ajak,пӏуз
8,Wange::N,orca,хъвехъ
9,Gesicht::N,arc,ччин
10,Stirn::N,homlok,пел
11,Haar::N,haj,чӏар
12,Schnurrbart::N,bajusz,спел
13,Schnurrbart::N,bajusz,спелар
14,Bart::N,szakáll,ччуру
15,Kinn::N,áll,чене
16,Kiefer[Anatomie]::N,állkapocs,чене
17,Kehle::N,gége,туьд
18,Kehle::N,torok,туьд
19,Hals::N,nyak,гардан
20,Genick::N,tarkó,кьам
21,Kopf::N,fő,кьил
22,Kopf::N,fej,кьил
23,Rücken::N,hát,далу
24,Bauch::N,has,руфун
25,Nabel::N,köldök,пицӏ
26,Busen::N,mell,мам
27,Busen::N,kebel,мам
28,Brust::N,mell,хур
29,Schulter::N,váll,къуьн
30,Arm::N,kar,гъил
31,Ellenbogen::N,könyök,кьуьнт
32,Hand::N,kéz,капаш
33,Handfläche::N,tenyér,капан юкь
34,Finger::N,ujj,тӏуб
35,Fingernagel::N,köröm,кек
36,Nagel[Anatomie]::N,köröm,кек
37,Zeh::N,lábujj,кул
38,Fuß::N,láb,кӏвач
39,Ferse::N,sarok,дабан
40,Knie::N,térd,мет
41,Oberschenkel::N,comb,
42,Bein::N,láb,кӏвач
43,Bein::N,lábszár,кӏвач
44,Körper::N,test,беден
45,Haut::N,bőr,хам
46,Blut::N,vér,иви
47,Ader::N,ér,дамар
48,Sehne::N,ín,кьуру дамар
49,Knochen::N,csont,кӏараб
50,Gehirn::N,agy,мефт
51,Gehirn::N,agyvelő,мефт
52,Herz::N,szív,рикӏ
53,Magen::N,gyomor,хук
54,Leber::N,máj,лекь
55,Atem::N,lehelet,ял
56,Atem::N,lehelet,нефес
57,Atem::N,lélegzet,ял
58,Atem::N,lélegzet,нефес
59,Hunger::N,éhség,каш
60,Träne::N,könny,вилин нагъв
61,Geschmack::N,íz,дад
62,Geschmack::N,íz,тӏям
63,Geruch::N,szag,ни
64,Schlaf::N,álom,ахвар
65,Schlaf::N,alvás,ахвар
66,Traum::N,álom,ахвар
67,Himmel::N,ég,цав
68,Himmel::N,menny,цав
69,Sonne::N,nap,рагъ
70,Mond::N,hold,варз
71,Stern::N,csillag,гъед
72,Luft::N,levegő,гьава
73,Wind::N,szél,гар
74,Welle::N,hullám,лепе
75,Wasser::N,víz,яд
76,Stein::N,kő,къван
77,Boden::N,föld,накьв
78,Boden::N,talaj,накьв
79,Erde::N,föld,ччил
80,Staub::N,por,руг
81,Rauch::N,füst,гум
82,Funke::N,szikra,цӏелхем
83,Feuer::N,tűz,цӏай
84,Licht::N,fény,экв
85,Schatten::N,árnyék,серин
86,Wetter::N,idő,гьава
87,Wetter::N,időjárás,гьава
88,Nebel::N,köd,ччилин циф
89,Wolke::N,felhő,циф
90,Regen::N,eső,марф
91,Schnee::N,hó,жив
92,Eis::N,jég,мурк
93,Frost::N,fagy,аяз
94,Kälte::N,hideg,мекь
95,Kälte::N,hideg,мекьивал
96,Hitze::N,hő,зегьем
97,Hitze::N,hőség,зегьем
98,Raureif::N,zúzmara,къирав
99,Regenbogen::N,szivárvány,яргъируш
100,Donner::N,dörgés,цавун ван
101,Donner::N,mennydörgés,цавун ван
102,Strömung::N,áramlat,
103,Tropfen::N,csepp,стӏал
104,Schaum::N,hab,каф
105,Schaum::N,tajték,каф
106,Schmutz::N,piszok,чирк
107,Schmutz::N,piszok,кьуруш
108,See::N,tó,вир
109,Sumpf::N,mocsár,уьлен
110,Moor::N,láp,
111,Wiese::N,rét,векь
112,Wiese::N,mező,векь
113,Wald::N,erdő,там
114,Hügel::N,domb,кӏунтӏ
115,Anhöhe::N,magaslat,тепе
116,Anhöhe::N,magaslat,гьуьндуьрвал
117,Berg::N,hegy,дагъ
118,Gipfel::N,csúcs,кӏукӏ
119,Höhle::N,barlang,кьветӏ
120,Abhang::N,lejtő,гуьне
121,Quelle::N,forrás,чешме
122,Bach::N,patak,булах
123,Fluss::N,folyó,вацӏ
124,Ufer::N,part,къерех
125,Küste::N,tengerpart,къерех
126,Festland::N,szárazföld,кьурамат
127,Meer::N,tenger,гьуьл
128,Bucht::N,öböl,бухта
129,Insel::N,sziget,остров
130,Blume::N,virág,цуьк
131,Gras::N,fű,хъач
132,Wurzel::N,gyökér,дувул
133,Baum::N,fa,ттар
134,Stamm::N,tő,тан
135,Stamm::N,törzs,тан
136,Rinde::N,kéreg,чкал
137,Ast::N,ág,тӏур
138,Zweig::N,gally,хел
139,Blatt::N,levél,пеш
140,Birke::N,nyír,верх
141,Kiefer[Baum]::N,fenyő,шамагъаж
142,Weide[Baum]::N,fűz,цӏвелин ттар
143,Tanne::N,fenyő,ель
144,Horn::N,szarv,карч
145,Feder::N,toll,цӏакул
146,Fell::N,szőr,хам
147,Fell::N,bunda,хам
148,Flügel::N,szárny,лув
149,Klaue::N,köröm,къармах
150,Kralle::N,karom,пац
151,Kralle::N,karom,тапас
152,Schwanz::N,farok,ттум
