,Concept_ID,mn,ga
0,Auge::N,нүд,súil
1,Ohr::N,чих,cluas
2,Nase::N,хамар,soc
3,Mund::N,ам,béal
4,Zahn::N,шүд,fiacail
5,Zunge::N,хэл,teanga
6,Lippe::N,уруул,liopa
7,Wange::N,хацар,grua
8,Wange::N,хацар,leiceann
9,Gesicht::N,царай,éadan
10,Gesicht::N,царай,aghaidh
11,Gesicht::N,нүүр,éadan
12,Gesicht::N,нүүр,aghaidh
13,Stirn::N,дух,baithis
14,Stirn::N,дух,clár éadain
15,Haar::N,үс,gruaig
16,Schnurrbart::N,дээд сахал,croiméal
17,Schnurrbart::N,живэр сахал,croiméal
18,Bart::N,сахал,féasóg
19,Kinn::N,эрүү,smig
20,Kiefer[Anatomie]::N,эрүү,giall
21,Kehle::N,хоолой,scornach
22,Hals::N,хүзүү,muinéal
23,Genick::N,шил,baic
24,Genick::N,хүзүү,baic
25,Kopf::N,толгой,ceann
26,Rücken::N,ар,droim
27,Rücken::N,нуруу,droim
28,Bauch::N,хэвлий,bolg
29,Bauch::N,гэдэс,bolg
30,Nabel::N,хүйс,imleacán
31,Busen::N,хөх,cíoch
32,Brust::N,цээж,brollach
33,Schulter::N,мөр,gualainn
34,Schulter::N,бугалга,gualainn
35,Arm::N,гар,lámh
36,Ellenbogen::N,тохой,uillinn
37,Hand::N,гар,lámh
38,Hand::N,алга,lámh
39,Handfläche::N,алга,bos
40,Finger::N,хуруу,méar
41,Fingernagel::N,хурууны хумс,ionga
42,Nagel[Anatomie]::N,хумс,ionga
43,Zeh::N,хуруу,ladhar
44,Fuß::N,хөл,cos
45,Fuß::N,хөл,troigh
46,Ferse::N,өсгий,sáil
47,Knie::N,өвдөг,glúin
48,Oberschenkel::N,гуя,ceathrú
49,Bein::N,хөл,cos
50,Körper::N,бие,corp
51,Körper::N,бие,colainn
52,Haut::N,арьс,cneas
53,Haut::N,арьс,craiceann
54,Blut::N,цус,fuil
55,Ader::N,судас,
