,Concept_ID,uz,kv
0,Auge::N,ko'z,син
1,Ohr::N,quloq,пель
2,Nase::N,burun,ныр
3,Mund::N,og'iz,ӧм
4,Zahn::N,tish,пинь
5,Zunge::N,til,кыв
6,Lippe::N,dudoq,тырп
7,Wange::N,bet,рожабан
8,Gesicht::N,yuz,бан
9,Stirn::N,manglay,кымӧс
10,Haar::N,soch,юрси
11,Schnurrbart::N,mo'ylov,уссэз
12,Bart::N,soqol,тош
13,Kinn::N,ängak,тшӧка
14,Kiefer[Anatomie]::N,iyak,ан
15,Kehle::N,bo'g'iz,юан
16,Hals::N,bo'yin,юан
17,Genick::N,gardan,юр бӧр
18,Kopf::N,bosh,юр
19,Rücken::N,orqa,мышк
20,Bauch::N,qorin,кынӧм
21,Nabel::N,kindik,гӧг
22,Busen::N,ämchak,морос
23,Brust::N,ko'krak,морос
24,Schulter::N,elka,пельпон
25,Arm::N,bilak,ки
26,Ellenbogen::N,tirsak,гырдзза
27,Hand::N,qo'l,кикар
28,Handfläche::N,kaft,ки пыдӧс
29,Finger::N,barmoq,чунь
30,Fingernagel::N,tirnoq,гыж
31,Nagel[Anatomie]::N,tirnoq,гыж
32,Zeh::N,oyoq barmog'i,чунь
33,Fuß::N,oyoq,кокпыдӧс
34,Ferse::N,tovon,кокдзир
35,Knie::N,tiz,пидзӧс
36,Oberschenkel::N,son,лядьбей
37,Bein::N,oyoq,кок
38,Körper::N,badna,вывтыр
39,Haut::N,teri,кучик
40,Blut::N,qon,вир
41,Ader::N,qon tomir,сӧн
42,Sehne::N,tomir,жила
43,Knochen::N,suyak,коска
44,Gehirn::N,miya,вем
45,Herz::N,qalb,сьӧлӧм
46,Magen::N,oshqozon,жӧвдӧк
47,Leber::N,bag'ir,мус
48,Atem::N,dam,лолалӧм
49,Hunger::N,ochlik,тшыг
50,Träne::N,yosh,синва
51,Geschmack::N,tam,кӧр
52,Geruch::N,jid,дук
53,Schlaf::N,uyqu,он
54,Traum::N,tush,вӧт
55,Himmel::N,osmon,небо
56,Sonne::N,quyosh,шондi
57,Mond::N,oy,тӧлiсь
58,Stern::N,yulduz,кӧдзыв
59,Luft::N,havo,ру
60,Wind::N,el,тӧв
61,Welle::N,to'lqin,гы
62,Wasser::N,suv,ва
63,Stein::N,tosh,из
64,Boden::N,tuproq,му
65,Erde::N,er,му
66,Staub::N,chang,бус
67,Rauch::N,tutun,тшын
68,Funke::N,yalt,бичир
69,Feuer::N,o't,би
70,Licht::N,yorug',би
71,Schatten::N,soya,вуджӧр
72,Wetter::N,havo,погоддя
73,Nebel::N,tuman,туман
74,Wolke::N,bulut,кымӧр
75,Regen::N,yomg'ir,зэр
76,Schnee::N,qor,лым
77,Eis::N,muz,йы
78,Frost::N,ajoz,мороз
79,Kälte::N,ajoz,кӧдзыт
80,Hitze::N,issiq,ӧд
81,Raureif::N,qirov,кижа
82,Regenbogen::N,kamalak,енӧшка
83,Donner::N,guldur,гым
84,Strömung::N,oqim,визывтӧм
85,Tropfen::N,tomchi,тёп
86,Schaum::N,ko'pik,быг
87,Schmutz::N,gard,нять
88,See::N,ko'l,ты
89,Sumpf::N,botqoq,арай
90,Moor::N,qir-adir,нюр
91,Wiese::N,o'tzor,видз
92,Wald::N,o'rmon,вӧр
93,Hügel::N,tepa,мыльк
94,Anhöhe::N,adir,вывтас
95,Anhöhe::N,adir,вылынін
96,Berg::N,tog',керӧс
97,Gipfel::N,cho'qqi,йыв
98,Höhle::N,kavak,нора
99,Abhang::N,to'sh,покат
100,Quelle::N,buloq,больган
101,Bach::N,o'zan,шор
102,Fluss::N,daryo,ю
103,Ufer::N,sohil,берег
104,Küste::N,qirg'oq,берег
105,Festland::N,materik,му
106,Meer::N,dengiz,море
107,Bucht::N,qo'ltiq,курья
108,Insel::N,orol,
109,Blume::N,gul,цветок
110,Gras::N,sabza,турун
111,Wurzel::N,tub,вуж
112,Wurzel::N,tomir,вуж
113,Baum::N,daraxt,пу
114,Stamm::N,o'simta,мыр
115,Stamm::N,o'simta,кер
116,Rinde::N,qobiq,кач
117,Ast::N,shox,ув
118,Zweig::N,butoq,ув
119,Blatt::N,barg,лист
120,Birke::N,qayin,кыдз
121,Kiefer[Baum]::N,qarag'ay,пожум
122,Weide[Baum]::N,shum,бадь
123,Tanne::N,archa,кӧз
124,Horn::N,mugiz,сюр
125,Feder::N,par,гӧн
126,Fell::N,mo'yna,кучик
127,Flügel::N,qanot,борд
128,Klaue::N,tirnoq,гыж
129,Kralle::N,tirnoq,кабыр
