,Concept_ID,pt,ce
0,Auge::N,olho,бӏаьрг
1,Ohr::N,orelha,лерг
2,Nase::N,nariz,мара
3,Mund::N,boca,бага
4,Zahn::N,dente,церг
5,Zunge::N,língua,мотт
6,Lippe::N,lábio,балда
7,Wange::N,face,бесни
8,Gesicht::N,cara,юьхь
9,Gesicht::N,rosto,юьхь
10,Stirn::N,testa,хьаж
11,Haar::N,cabelo,мас
12,Schnurrbart::N,bigode,мекх
13,Bart::N,barba,маж
14,Kinn::N,queixo,чӏениг
15,Kiefer[Anatomie]::N,maxila,мочхал
16,Kiefer[Anatomie]::N,mandíbula,мочхал
17,Kehle::N,garganta,къамкъарг
18,Hals::N,colo,ворта
19,Hals::N,pescoço,ворта
20,Genick::N,nuca,кӏесаркӏаг
21,Kopf::N,cabeça,корта
22,Rücken::N,dorso,букъ
23,Rücken::N,costas,букъ
24,Bauch::N,ventre,кийра
25,Bauch::N,barriga,кийра
26,Nabel::N,umbigo,цӏонга
27,Busen::N,seio,зударийн накха
28,Brust::N,peito,накха
29,Schulter::N,ombro,белш
30,Arm::N,braço,пхьарс
31,Ellenbogen::N,cotovelo,пхьаьрсан гола
32,Hand::N,mão,куьг
33,Handfläche::N,palma,кераюкъ
34,Handfläche::N,palma da mão,кераюкъ
35,Finger::N,dedo,пӏелг
36,Fingernagel::N,unha,мӏара
37,Nagel[Anatomie]::N,unha,мӏара
38,Zeh::N,dedo do pé,кога пӏелг
39,Fuß::N,pé,ког
40,Ferse::N,calcanhar,кӏажа
41,Knie::N,joelho,гола
42,Oberschenkel::N,coxa,варе
43,Bein::N,perna,ког
44,Körper::N,corpo,хӏума
45,Haut::N,pele,чкъор
46,Blut::N,sangue,цӏий
47,Ader::N,veia,пха
48,Sehne::N,tendão,хьорзам
49,Knochen::N,osso,даьӏахк
50,Gehirn::N,cérebro,хье
51,Herz::N,coração,дог
52,Magen::N,estômago,зорх
53,Leber::N,fígado,доӏах
54,Atem::N,fôlego,садеӏар
55,Hunger::N,fome,мацалла
56,Träne::N,lágrima,бӏаьрхи
57,Geschmack::N,gosto,чам
58,Geruch::N,odor,хьожа
59,Geruch::N,cheiro,хьожа
60,Schlaf::N,sono,наб
61,Traum::N,sonho,гӏан
62,Himmel::N,céu,стигал
63,Sonne::N,sol,малх
64,Mond::N,lua,бутт
65,Stern::N,estrela,седа
66,Luft::N,ar,xӏаваъ
67,Wind::N,vento,мох
68,Welle::N,onda,тулгӏе
69,Wasser::N,água,хи
70,Stein::N,pedra,тӏулг
71,Boden::N,solo,цӏенкъа
72,Erde::N,terra,латта
73,Staub::N,pó,чан
74,Rauch::N,fumo,кӏур
75,Funke::N,faísca,суй
76,Funke::N,centelha,суй
77,Feuer::N,fogo,цӏе
78,Licht::N,luz,серло
79,Schatten::N,sombra,ӏиндагӏ
80,Wetter::N,tempo,хенан хӏоттам
81,Nebel::N,nevoeiro,дохк
82,Wolke::N,nuvem,марха
83,Regen::N,chuva,догӏа
84,Schnee::N,neve,ло
85,Eis::N,gelo,ша
86,Frost::N,gelo,шело
87,Frost::N,geada,шело
88,Kälte::N,frio,шело
89,Hitze::N,ardor,йовхо
90,Raureif::N,geada,йис
91,Regenbogen::N,arco-iris,стелаӏад
92,Donner::N,trovão,ткъес
93,Strömung::N,corrente,дӏаэхар
94,Strömung::N,corrente,дӏасалелар
95,Tropfen::N,gota,тӏадам
96,Schaum::N,espuma,чопа
97,Schmutz::N,sujidade,хатт
98,Schmutz::N,imundície,хатт
99,See::N,lago,ӏам
100,Sumpf::N,charco,уьшал
101,Sumpf::N,pântano,уьшал
102,Moor::N,pântano,уьшал
103,Wiese::N,prado,бай
104,Wald::N,bosque,хьун
105,Wald::N,floresta,хьун
106,Hügel::N,colina,гу
107,Hügel::N,colina,шу
108,Hügel::N,colina,барз
109,Anhöhe::N,alto,акъари
110,Anhöhe::N,outeiro,акъари
111,Berg::N,monte,лам
112,Berg::N,montanha,лам
113,Gipfel::N,pico,бохь
114,Höhle::N,caverna,хьех
115,Abhang::N,encosta,басе
116,Quelle::N,fonte,шовда
117,Bach::N,regato,татол
118,Bach::N,ribeiro,татол
119,Fluss::N,rio,хи
120,Ufer::N,beira,хийист
121,Küste::N,costa,йист
122,Festland::N,terra firme,латта
123,Meer::N,mar,xӏорд
124,Bucht::N,baía,чож
125,Insel::N,ilha,гӏайре
126,Blume::N,flor,зезаг
