,Concept_ID,en,se
0,Auge::N,eye,tjelmie
1,Auge::N,eye,tjalmme
2,Auge::N,eye,čalbmi
3,Auge::N,eye,čalme
4,Auge::N,eye,čâ´lmm
5,Auge::N,eye,ча̄лльм
6,Ohr::N,ear,bieljie
7,Ohr::N,ear,biellje
8,Ohr::N,ear,beallji
9,Ohr::N,ear,pelji
10,Ohr::N,ear,pe´llj
11,Ohr::N,ear,пе̄лльй
12,Nase::N,nose,njuenie
13,Nase::N,nose,njunnje
14,Nase::N,nose,njunni
15,Nase::N,nose,njuṇe
16,Nase::N,nose,njuu´nn
17,Nase::N,nose,нюннҍ
18,Mund::N,mouth,njaelmie
19,Mund::N,mouth,njálmme
20,Mund::N,mouth,njálbmi
21,Mund::N,mouth,njälmi
22,Mund::N,mouth,njä´lmm
23,Mund::N,mouth,ня̄лльм
24,Zahn::N,tooth,baenie
25,Zahn::N,tooth,bádne
26,Zahn::N,tooth,bátni
27,Zahn::N,tooth,pääṇi
28,Zahn::N,tooth,pää´nn
29,Zahn::N,tooth,па̄ннҍ
30,Zunge::N,tongue,njoektjeme
31,Zunge::N,tongue,njuovtjav
32,Zunge::N,tongue,njuovčča
33,Zunge::N,tongue,njuovčâ
34,Zunge::N,tongue,njuhččâm
35,Zunge::N,tongue,нюхчем
36,Lippe::N,lip,bangseme
37,Lippe::N,lip,njálmmerabdda
38,Lippe::N,lip,bavssa
39,Lippe::N,lip,poovsâ
40,Lippe::N,lip,põõus
41,Lippe::N,lip,пэ̄кс
42,Wange::N,cheek,skiehrie
43,Wange::N,cheek,nierra
44,Wange::N,cheek,muohtu
45,Wange::N,cheek,nieṛâ
46,Wange::N,cheek,njiõrr
47,Wange::N,cheek,нӣрр
48,Gesicht::N,face,ååredæjja
49,Gesicht::N,face,muohto
50,Gesicht::N,face,muođut
51,Gesicht::N,face,ámadadju
52,Gesicht::N,face,muáđuh
53,Gesicht::N,face,muâđ
54,Gesicht::N,face,ка̄ссв
55,Stirn::N,forehead,gaalloe
56,Stirn::N,forehead,gállo
57,Stirn::N,forehead,gállu
58,Stirn::N,forehead,kállu
59,Stirn::N,forehead,käll
60,Stirn::N,forehead,вуэххьц
61,Haar::N,hair,voepte
62,Haar::N,hair,vuoppta
63,Haar::N,hair,vuokta
