,Concept_ID,eu,ta
0,Auge::N,begi,கண்
1,Ohr::N,belarri,காது
2,Nase::N,sudur,மூக்கு
3,Mund::N,aho,வாய்
4,Zahn::N,hortz,பல்
5,Zunge::N,mihi,நாக்கு
6,Lippe::N,ezpain,உதடு
7,Wange::N,masail,கன்னம்
8,Gesicht::N,aurpegi,முகம்
9,Stirn::N,bekoki,முன்னெற்றி
10,Haar::N,ile,முடி
11,Haar::N,bilo,முடி
12,Schnurrbart::N,bibote,மீசை
13,Schnurrbart::N,sudurpeko,மீசை
14,Bart::N,bizar,தாடி
15,Kinn::N,kokots,கீழதாடை
16,Kiefer[Anatomie]::N,masailezur,தாடை
17,Kehle::N,eztarri,தொண்டை
18,Hals::N,sama,கழுத்து
19,Genick::N,garondo,கழுத்து
20,Kopf::N,buru,தலை
21,Rücken::N,bizkar,முதுகு
22,Bauch::N,sabel,வயிறு
23,Nabel::N,zilbor,தொப்புள்
24,Busen::N,titi,மார்பகம்
25,Busen::N,ugatz,மார்பகம்
26,Brust::N,bular, மார்பு
27,Schulter::N,besaburu,தோள்பட்டை
28,Arm::N,beso,கரம்
29,Ellenbogen::N,ukondo,முழங்கை
30,Hand::N,esku,கை
31,Handfläche::N,ahur,உள்ளங்கை
32,Finger::N,hatz,விரல்
33,Fingernagel::N,azazkal,விரல் நகம்
34,Nagel[Anatomie]::N,azazkal,நகம்
35,Zeh::N,behatz,கால்விரல்
36,Fuß::N,oin,கால்
37,Ferse::N,orpo,குதிகால்
38,Ferse::N,oinburu,குதிகால்
39,Knie::N,belaun,முழங்கால்
40,Oberschenkel::N,izter,தொடை
41,Bein::N,zango,கால்
42,Körper::N,soin,உடல்
43,Haut::N,azal,சருமம்
44,Blut::N,odol,இரத்தம்
45,Ader::N,zain,நாளம்
46,Sehne::N,gihar-zain,தசைநார்
47,Knochen::N,hezur,எலுமபு
48,Gehirn::N,garun,மூனை
49,Gehirn::N,burmuin,மூனை
50,Herz::N,bihotz,இதயம
51,Magen::N,urdail,வயிறு
52,Leber::N,gibel,கல்லீரல்
53,Atem::N,hats,மூச்சு
54,Atem::N,arnasa,மூச்சு
55,Hunger::N,gose,பசி
56,Träne::N,malko,கண்ணீர்
57,Geschmack::N,dasta,நறுமணம்
58,Geruch::N,usain,துர்நாற்றம்
59,Schlaf::N,lo,தூக்கம்
60,Traum::N,amets,கனவு
61,Himmel::N,zeru,வானம்
62,Sonne::N,eguzki,சூரியன்
63,Mond::N,ilargi,சந்திரன்
64,Stern::N,izar,நட்சத்திரம்
65,Luft::N,aire,காறறு
66,Wind::N,haize,காற்று
67,Welle::N,uhin,அலை
68,Welle::N,olatu,அலை
69,Wasser::N,ur,நீர்
70,Stein::N,harri,கல்
71,Boden::N,lur,தரை
72,Boden::N,zoru,தரை
73,Erde::N,lur,மண்
74,Staub::N,hauts,தூசி
75,Rauch::N,ke,புகை
76,Funke::N,zirta,தீப்பொறி
77,Funke::N,txinparta,தீப்பொறி
78,Feuer::N,su,தீ
79,Licht::N,argi,வெளிச்சம்
80,Schatten::N,itzal,நிழல்
81,Schatten::N,geriza,நிழல்
82,Wetter::N,eguraldi,வானிலை
83,Nebel::N,laino,பனிமூட்டம்
84,Wolke::N,hodei,மேகம்
85,Regen::N,euri,மழை
86,Schnee::N,elur,உறைபனி
87,Eis::N,horma,பனிக்கட்டி
88,Frost::N,izotzaldi,உறைபனி
89,Kälte::N,hotz,குளிர்ந்த
90,Hitze::N,bero,சூடு
91,Raureif::N,antzigar,உறைபனி வெண்திரை
92,Regenbogen::N,ostadar,வானவில்
93,Regenbogen::N,ortzadar,வானவில்
94,Donner::N,ostots,இடி
95,Donner::N,ihurtzuri,இடி
96,Strömung::N,laster,நீரோட்டம்
97,Tropfen::N,xorta,துளி
98,Schaum::N,bits,நுரை
99,Schmutz::N,lohi,அழுக்கு
