,Concept_ID,kv,fr
0,Auge::N,син,œil
1,Ohr::N,пель,oreille
2,Nase::N,ныр,nez
3,Mund::N,ӧм,bouche
4,Zahn::N,пинь,dent
5,Zunge::N,кыв,langue
6,Lippe::N,тырп,lèvre
7,Wange::N,рожабан,joue
8,Gesicht::N,бан,face
9,Gesicht::N,бан,visage
10,Stirn::N,кымӧс,front
11,Haar::N,юрси,cheveu
12,Schnurrbart::N,уссэз,moustache
13,Bart::N,тош,barbe
14,Kinn::N,тшӧка,menton
15,Kiefer[Anatomie]::N,ан,mâchoire
16,Kehle::N,юан,gorge
17,Hals::N,юан,cou
18,Genick::N,юр бӧр,nuque
19,Kopf::N,юр,tête
20,Rücken::N,мышк,dos
21,Bauch::N,кынӧм,ventre
22,Nabel::N,гӧг,nombril
23,Busen::N,морос,sein
24,Brust::N,морос,poitrine
25,Schulter::N,пельпон,épaule
26,Arm::N,ки,bras
27,Ellenbogen::N,гырдзза,coude
28,Hand::N,кикар,main
29,Handfläche::N,ки пыдӧс,paume
30,Finger::N,чунь,doigt
31,Fingernagel::N,гыж,ongle
32,Nagel[Anatomie]::N,гыж,ongle
33,Zeh::N,чунь,orteil
34,Zeh::N,чунь,doigt de pied
35,Fuß::N,кокпыдӧс,pied
36,Ferse::N,кокдзир,talon
37,Knie::N,пидзӧс,genou
38,Oberschenkel::N,лядьбей,cuisse
39,Bein::N,кок,jambe
40,Körper::N,вывтыр,corps
41,Haut::N,кучик,peau
42,Blut::N,вир,sang
43,Ader::N,сӧн,veine
44,Sehne::N,жила,tendon
45,Knochen::N,коска,os
46,Gehirn::N,вем,cerveau
47,Herz::N,сьӧлӧм,cœur
48,Magen::N,жӧвдӧк,estomac
49,Leber::N,мус,foie
50,Atem::N,лолалӧм,haleine
51,Hunger::N,тшыг,faim
52,Träne::N,синва,larme
53,Geschmack::N,кӧр,goût
54,Geschmack::N,кӧр,saveur
55,Geruch::N,дук,odeur
56,Schlaf::N,он,sommeil
57,Traum::N,вӧт,songe
58,Himmel::N,небо,ciel
59,Sonne::N,шондi,soleil
60,Mond::N,тӧлiсь,lune
61,Stern::N,кӧдзыв,étoile
62,Luft::N,ру,air
63,Wind::N,тӧв,vent
64,Welle::N,гы,vague
65,Wasser::N,ва,eau
66,Stein::N,из,pierre
67,Boden::N,му,sol
68,Boden::N,му,terrain
69,Erde::N,му,terre
70,Staub::N,бус,poussière
71,Rauch::N,тшын,fumée
72,Funke::N,бичир,étincelle
73,Feuer::N,би,feu
74,Licht::N,би,lumière
75,Schatten::N,вуджӧр,ombre
76,Wetter::N,погоддя,temps
77,Nebel::N,туман,brume
78,Nebel::N,туман,brouillard
79,Wolke::N,кымӧр,nuage
80,Regen::N,зэр,pluie
81,Schnee::N,лым,neige
82,Eis::N,йы,glace
83,Frost::N,мороз,gel
84,Frost::N,мороз,gelée
85,Kälte::N,кӧдзыт,froid
86,Hitze::N,ӧд,chaleur
87,Raureif::N,кижа,givre
88,Regenbogen::N,енӧшка,arc-en-ciel
89,Donner::N,гым,tonnerre
90,Strömung::N,визывтӧм,courant
91,Tropfen::N,тёп,goutte
92,Schaum::N,быг,écume
93,Schaum::N,быг,mousse
94,Schmutz::N,нять,boue
95,Schmutz::N,нять,saleté
96,See::N,ты,lac
97,Sumpf::N,арай,marais
98,Sumpf::N,арай,marécage
99,Moor::N,нюр,tourbière
100,Wiese::N,видз,pré
101,Wald::N,вӧр,bois
102,Wald::N,вӧр,forêt
103,Hügel::N,мыльк,coteau
104,Hügel::N,мыльк,colline
105,Anhöhe::N,вывтас,éminence
106,Anhöhe::N,вывтас,élévation
107,Anhöhe::N,вылынін,éminence
108,Anhöhe::N,вылынін,élévation
109,Berg::N,керӧс,mont
110,Berg::N,керӧс,montagne
111,Gipfel::N,йыв,cime
112,Gipfel::N,йыв,sommet
113,Höhle::N,нора,caverne
114,Abhang::N,покат,pente
115,Abhang::N,покат,versant
116,Quelle::N,больган,source
117,Quelle::N,больган,fontaine
118,Bach::N,шор,ruisseau
119,Fluss::N,ю,fleuve
120,Fluss::N,ю,rivière
121,Ufer::N,берег,bord
122,Ufer::N,берег,rivage
123,Küste::N,берег,côte
124,Festland::N,му,terre ferme
125,Meer::N,море,mer
126,Bucht::N,курья,baie
127,Blume::N,цветок,fleur
128,Gras::N,турун,herbe
129,Wurzel::N,вуж,racine
130,Baum::N,пу,arbre
131,Stamm::N,мыр,tronc
132,Stamm::N,кер,tronc
133,Rinde::N,кач,écorce
134,Ast::N,ув,branche
135,Zweig::N,ув,rameau
136,Blatt::N,лист,feuille
137,Birke::N,кыдз,bouleau
138,Kiefer[Baum]::N,пожум,pin
139,Weide[Baum]::N,бадь,saule
140,Tanne::N,кӧз,sapin
141,Horn::N,сюр,corne
142,Feder::N,гӧн,plume
143,Fell::N,кучик,peau
144,Flügel::N,борд,aile
145,Klaue::N,гыж,serre
146,Kralle::N,кабыр,ongle
147,Kralle::N,кабыр,griffe
148,Schwanz::N,бӧж,queue
149,Ei::N,кольть,œuf
150,Nest::N,поз,nid
151,Bau::N,осьта,terrier
152,Bau::N,нора,terrier
153,Tier::N,зверь,animal
154,Herde::N,гурт,troupeau
155,Kuh::N,мӧс,vache
156,Bulle::N,ӧшка,taureau
157,Pferd::N,вӧв,cheval
158,Schaf::N,баля,mouton
159,Schwein::N,порсь,porc
160,Schwein::N,порсь,cochon
161,Hund::N,пон,chien
162,Katze::N,кань,chat
163,Bär::N,ош,ours
164,Eichhörnchen::N,ур,écureuil
165,Elch::N,вӧр мӧс,élan
166,Fuchs::N,руч,renard
167,Hase::N,кӧч,lièvre
