,Concept_ID,,sah
0,Auge::N,,харах
1,Ohr::N,,кулгаах
2,Nase::N,,мурун
3,Mund::N,,айах
4,Zahn::N,,тиис
5,Zunge::N,,тыл
6,Lippe::N,,уос
7,Wange::N,,иэдэс
8,Gesicht::N,,сирэй
9,Stirn::N,,сүүс
10,Haar::N,,баттах
11,Schnurrbart::N,,уос бытыга
12,Bart::N,,сэҥийэ бытыга
13,Kinn::N,,сэҥийэ
14,Kiefer[Anatomie]::N,,сыҥаах
15,Kehle::N,,тамах
16,Kehle::N,,күөмэй
17,Hals::N,,моой
18,Genick::N,,кэтэх
19,Kopf::N,,бас
20,Rücken::N,,көҕүс
21,Bauch::N,,ис
22,Nabel::N,,киин
23,Busen::N,,эмиий
24,Brust::N,,түөс
25,Schulter::N,,сарын
26,Arm::N,,илии
27,Ellenbogen::N,,тоҕонох
28,Hand::N,,илии
29,Handfläche::N,,ытыс
30,Finger::N,,тарбах
31,Fingernagel::N,,тыҥырах
32,Nagel[Anatomie]::N,,тыҥырах
33,Zeh::N,,тарбах
34,Fuß::N,,уллуҥах
35,Ferse::N,,тилэх
36,Knie::N,,тобук
37,Knie::N,,дьилбэк
38,Oberschenkel::N,,уллук
39,Oberschenkel::N,,өттүк
40,Bein::N,,атах
41,Körper::N,,бэйэ
42,Haut::N,,тирии
43,Blut::N,,хаан
44,Ader::N,,вена
45,Ader::N,,күөх_тымыр
46,Sehne::N,,иҥиир
47,Knochen::N,,уҥуох
48,Knochen::N,,уҥгуох
49,Gehirn::N,,мэйии
50,Herz::N,,сүрэх
51,Magen::N,,куртах
52,Leber::N,,быар
53,Atem::N,,тыын
54,Hunger::N,,аас
55,Träne::N,,харах уута
56,Geschmack::N,,амтан
57,Geruch::N,,сыт
58,Schlaf::N,,утуйуу
59,Traum::N,,түүл
60,Himmel::N,,халлаан
61,Sonne::N,,күн
62,Mond::N,,ый
63,Stern::N,,сулус
64,Luft::N,,салгын
65,Wind::N,,тыал
66,Welle::N,,долгун
67,Welle::N,,балхаан
68,Wasser::N,,уу
69,Stein::N,,таас
70,Boden::N,,сир
71,Erde::N,,буор
72,Staub::N,,быыл
73,Rauch::N,,буруо
74,Funke::N,,кыым
75,Feuer::N,,уот
76,Licht::N,,уот
77,Schatten::N,,күлүк
78,Wetter::N,,күн-дьыл
79,Nebel::N,,туман
80,Wolke::N,,былыт
81,Regen::N,,самыыр
82,Schnee::N,,хаар
83,Eis::N,,муус
84,Frost::N,,тымныы
85,Kälte::N,,тымныы
86,Hitze::N,,куйаас
87,Raureif::N,,кырыа
88,Regenbogen::N,,кустук
89,Donner::N,,этиҥ
90,Strömung::N,,сүүрүк
91,Tropfen::N,,таммах
92,Tropfen::N,,хааппыла
93,Schaum::N,,күүгэн
94,Schmutz::N,,кир
95,See::N,,күөл
96,Sumpf::N,,бадараан
97,Moor::N,,дьэбэрэ
98,Wiese::N,,ходуһа
99,Wald::N,,ойуур
100,Hügel::N,,булгунньах
101,Anhöhe::N,,үрдэл
102,Berg::N,,хайа
103,Gipfel::N,,чыпчаал
104,Höhle::N,,хайа_хаспаҕа
105,Höhle::N,,көҥүс
106,Abhang::N,,эниэ
107,Quelle::N,,дьүүктэ
108,Bach::N,,үрүйэ
109,Fluss::N,,өрүс
110,Ufer::N,,биэрэк
111,Küste::N,,кытыл
112,Festland::N,,кураанах сир
113,Meer::N,,муора
114,Bucht::N,,хомо
115,Bucht::N,,бухта
116,Insel::N,,арыы
117,Blume::N,,сибэкки
118,Gras::N,,от
119,Wurzel::N,,силис
120,Baum::N,,мас
121,Stamm::N,,умнас
122,Rinde::N,,хатырык
123,Ast::N,,мутук
124,Zweig::N,,лабаа
125,Blatt::N,,сэбирдэх
126,Birke::N,,хатыҥ
127,Kiefer[Baum]::N,,бэс
128,Weide[Baum]::N,,үөт
129,Weide[Baum]::N,,талах
130,Tanne::N,,харыйа
131,Horn::N,,муос
132,Feder::N,,куорсун
133,Fell::N,,тирии
134,Flügel::N,,кынат
135,Klaue::N,,тыҥырах
136,Kralle::N,,баппаҕай
137,Schwanz::N,,кутурук
138,Ei::N,,сымыыт
139,Nest::N,,уйа
140,Bau::N,,хороон
141,Tier::N,,кыыл
142,Tier::N,,харамай
143,Herde::N,,үөр
144,Kuh::N,,ынах
145,Bulle::N,,оҕус
146,Pferd::N,,сылгы
147,Schaf::N,,овца
148,Schwein::N,,сибиинньэ
149,Hund::N,,ыт
150,Katze::N,,куоска
151,Bär::N,,эһэ
152,Eichhörnchen::N,,тииҥ
