,Concept_ID,bg,mdf
189,Schwarm::N,рояк,ко́вол
190,Schwarm::N,рояк,ме́швеле
191,Huhn::N,кокошка,сараз
192,Hahn::N,петел,а́тякш
193,Gans::N,гъска,маци
194,Adler::N,орел,куцькан
195,Ente::N,патица,яксярга
196,Eule::N,сова,ко́рож
197,Kranich::N,жерав,ка́рга
198,Krähe::N,врана,ва́рси
199,Kuckuck::N,кукувица,ку́ку
200,Schwan::N,лебед,ло́ксти
201,Fisch::N,риба,кал
202,Barsch::N,костур,о́кунь
203,Hecht::N,щука,щу́ка
204,Schlange[Tier]::N,змия,куй
205,Wurm::N,червей,сукс
206,Spinne::N,паяк,унжа́
207,Ameise::N,мравка,панжам
208,Laus::N,въшка,си
209,Mücke::N,комар,ся́ське
210,Fliege::N,муха,кару
211,Schmetterling::N,пеперуда,ме́лав
212,Beere::N,плод,и́мож
213,Apfel::N,ябълка,марь
214,Pilz::N,гъба,панга
215,Zwiebel::N,лук,шурьхкя́
216,Zwiebel::N,кромид,шурьхкя́
217,Saat::N,семе,видьмот
218,Korn::N,зърно,сёра
219,Heu::N,сено,тише
220,Schale::N,кора,кедь
221,Grube::N,яма,лотка
222,Grube::N,дупка,лотка
223,Falle::N,примка,туфкс
224,Falle::N,примка,кунда́ма
225,Schlinge::N,клуп,килькш
226,Spur::N,диря,пильгоки́
227,Spur::N,следа,пильгоки́
228,Asche::N,пепел,кулу
229,Dreck::N,кал,ърда́з
230,Eisen::N,желязо,кшни
231,Gold::N,злато,ока
232,Gold::N,злато,золота
233,Silber::N,сребро,сия́
234,Kohle::N,въглища,седь
235,Kohle::N,въглища,седьвальмя
236,Glas::N,стъкло,кля́нцек
237,Lehm::N,глина,сёвонь
238,Sand::N,пясък,шува́р
239,Mensch::N,човек,ломань
240,Mann::N,мъж,аля
241,Mann::N,мъж,цёраломань
242,Frau::N,жена,ава
243,Kind::N,дете,идь
244,Kind::N,дете,шаба
245,Junge::N,момче,цёраня
246,Mädchen::N,момиче,стирня́
247,Familie::N,фамилия,тнал
248,Familie::N,фамилия,семья
249,Familie::N,семейство,тнал
250,Familie::N,семейство,семья
251,Großvater::N,дядо,атя
252,Großvater::N,дядо,щя́тя
253,Großmutter::N,баба,баба
254,Eltern::N,родители,тя́дят-а́лят
255,Vater::N,баща,аля
256,Mutter::N,майка,ава
257,Mutter::N,майка,тядя
258,Sohn::N,син,цёра
259,Tochter::N,дъщеря,стирь
260,Bruder::N,брат,дуган
261,Bruder::N,брат,пяльне
262,Schwester::N,сестра,ака
263,Schwester::N,сестра,сазор
264,Onkel::N,чичо,оця
265,Onkel::N,чичо,патя
266,Onkel::N,чичо,щеня́
267,Onkel::N,вуйчо,оця
268,Onkel::N,вуйчо,патя
269,Onkel::N,вуйчо,щеня́
270,Tante::N,леля,ака
271,Tante::N,леля,щака
272,Ehemann::N,съпруг,мирде
273,Ehefrau::N,съпруга,ърьвя́
274,Freude::N,радост,ке́нярдема
275,Gelächter::N,смях,рахсема
276,Glück::N,щастие,паваз
277,Kummer::N,тъга,ризф
278,Kummer::N,тъга,пичефкс
279,Wunsch::N,желание,мяль
280,Wunsch::N,желание,таколдома
281,Lust::N,желание,таколдома
282,Geist::N,дух,вайме
283,Gedanke::N,мисъл,мяль
284,Gedächtnis::N,памет,прявий
285,Verstand::N,ум,прявий
286,Verstand::N,разум,прявий
287,Sinn::N,смисъл,ён
288,Grund::N,причина,туфта́л
289,Wahrheit::N,правда,ви́де
290,Wahrheit::N,правда,видеши́
291,Gespräch::N,разговор,корхтама
292,Märchen::N,приказка,ёфкс
293,Erzählung::N,разказ,азкс
294,Nachricht::N,вест,куля́
295,Nachricht::N,известие,куля́
296,Neuigkeit::N,новина,куля́
297,Name::N,име,лем
298,Rätsel::N,гатанка,со́дама ёфкс
299,Rede::N,реч,вал
300,Rede::N,реч,корхтама
301,Rede::N,слово,вал
302,Rede::N,слово,корхтама
303,Sprache::N,език,кяль
304,Stimme::N,глас,вайгяль
305,Wort::N,дума,вал
306,Zeichen::N,знак,тя́ште
307,Zeichen::N,знак,тя́штькс
308,Ruf::N,зов,тердема
309,Lärm::N,шум,гайф
310,Lärm::N,шум,жалакодома
311,Lärm::N,глъчка,гайф
312,Lärm::N,глъчка,жалакодома
313,Laut::N,звук,вайгяль
314,Ton::N,тон,вайгяль
315,Lied::N,песен,мора
316,Ruhe::N,тишина,сетьме
317,Ruhe::N,спокойствие,сетьме
318,Leute::N,хора,ломатть
319,Volk::N,народ,наро́д
320,Arbeit::N,труд,тев
321,Arbeit::N,работа,тев
322,Gast::N,гост,и́нжи
323,Gast::N,гост,ко́нак
324,Geschenk::N,дар,казне
325,Geschenk::N,подарък,казне
326,Spiel::N,игра,налхкома
327,Spiel::N,игра,налхксема
328,Gesellschaft::N,общество,кружок
329,Hilfe::N,помощ,лездома
330,Freund::N,приятел,я́лга
331,Kamerad::N,другар,я́лга
332,Angelegenheit::N,работа,тев
333,Anzahl::N,брой,лувкс
334,Anzahl::N,количество,лувкс
335,Art::N,вид,вид
336,Stück::N,къс,пакш
337,Stück::N,парче,пакш
338,Teil::N,дял,часть
339,Teil::N,дял,пялькс
340,Teil::N,част,часть
341,Teil::N,част,пялькс
342,Hälfte::N,половина,пяле
343,Kreis::N,кръг,шаркс
344,Kreuz::N,кръст,крёз
345,Linie::N,черта,межа
346,Linie::N,черта,китькс
347,Strich::N,щрих,межа
348,Strich::N,черта,межа
349,Abstand::N,дистанция,ётка
350,Abstand::N,разстояние,ётка
351,Entfernung::N,разстояние,ётка
352,Gegend::N,местност,ва́ста
353,Gegend::N,местност,перьфпя́ль
354,Platz::N,място,ва́ста
355,Ort::N,място,ва́ста
356,Seite::N,страна,пяле
357,Mitte::N,среда,кучка́
358,Gegenstand::N,предмет,веща
359,Sache::N,вещ,тев
360,Sache::N,вещ,веща
361,Rand::N,ръб,пе
362,Kante::N,ръб,и́рдез
363,Kante::N,кант,и́рдез
364,Ecke::N,ъгъл,ужа
365,Spitze::N,връх,пря
366,Spitze::N,острие,пря
367,Ende::N,край,пе
368,Loch::N,дупка,варя
369,Winkel::N,кът,ужа
370,Winkel::N,ъгъл,ужа
371,Muster::N,десен,сёрма
372,Muster::N,образец,сёрма
373,Größe::N,големина,серь
374,Länge::N,дължина,кува́лма
375,Höhe::N,висота,серь
376,Höhe::N,височина,серь
377,Gewicht::N,тегло,сталма
378,Gewicht::N,тежест,сталма
379,Menge::N,количество,лувкс
380,Haufen::N,куп,мар
381,Haufen::N,грамада,мар
382,Reihe::N,ред,ряд
383,Reihe::N,редица,ряд
384,Boot::N,лодка,венеж
385,Ruder::N,весло,миле
386,Ruder::N,гребло,миле
387,Schlitten::N,шейна,ну́рда
388,Ski::N,ски,сокс
389,Lagerfeuer::N,огнище,то́лмар
390,Last::N,товар,канкс
391,Last::N,товар,сталма
392,Gang::N,ход,молема
393,Gang::N,вървеж,молема
394,Schritt::N,стъпка,аськолкс
395,Norden::N,север,якшама шире
396,Süden::N,юг,ля́мбе ши́ре
397,Westen::N,запад,ши валгома шире
398,Osten::N,изток,шинь стяма шире
399,Holz::N,дърво,вирь
400,Holz::N,дърво,шуфта
401,Brett::N,дъска,лавця
402,Stange::N,прът,олга
403,Stange::N,върлина,олга
404,Stock::N,прът,байдек
405,Stock::N,тояга,байдек
406,Stab::N,прът,олгоня
407,Rohr::N,цев,турама
408,Rohr::N,тръба,турама
409,Haus::N,къща,куд
410,Heim::N,дом,куд
411,Ofen::N,печка,пянакуд
412,Fußboden::N,под,кия́кс
413,Tisch::N,маса,шра
414,Tisch::N,маса,моркш
415,Stuhl::N,стол,стул
416,Wiege::N,люлка,нюря́м
417,Bett::N,легло,ацам
418,Bett::N,креват,ацам
419,Regal::N,рафт,лавцяланга
420,Regal::N,етажерка,лавцяланга
421,Kiste::N,кутия,парга
422,Kiste::N,сандък,парга
423,Fenster::N,прозорец,валмья
424,Tür::N,врата,кенкш
425,Tor::N,врата,ортат
426,Zaun::N,ограда,перяфкс
427,Dach::N,покрив,кудпря
428,Leiter::N,стълба,куцема
429,Besen::N,метла,тяльме
430,Spaten::N,лопата,ка́йме
431,Schaufel::N,лопата,ко́поня
432,Schaufel::N,лопата,ця́рдом
433,Gabel::N,вилица,ця́нгоня
434,Löffel::N,лъжица,куцю
435,Messer::N,нож,пеель
436,Nagel::N,гвоздей,эска
437,Netz::N,мрежа,
438,Haken::N,кука,кя́чказ
439,Haken::N,закачалка,кя́чказ
440,Griff::N,ръчка,недь
441,Griff::N,ръчка,кунда́мка
442,Griff::N,дръжка,недь
443,Griff::N,дръжка,кунда́мка
444,Schloss::N,брава,замо́к
445,Schloss::N,ключалка,замо́к
446,Bild::N,картина,карти́на
447,Figur::N,фигура,ронга-понда
448,Puppe::N,кукла,ня́ка
449,Beutel::N,кесия,кяскав
450,Bündel::N,връзка,кярьме
451,Tasche::N,чанта,кошяльня
452,Eimer::N,кофа,ве́дарка
453,Deckel::N,капак,тавадкс
454,Deckel::N,капак,вельхкс
455,Deckel::N,похлупак,тавадкс
456,Deckel::N,похлупак,вельхкс
457,Geschirr::N,съдове,кядьге
458,Sack::N,чувал,кяскав
459,Tasse::N,чаша,ша́ваня
460,Topf::N,гърне,кавозь
461,Topf::N,тенджера,кавозь
462,Kessel::N,котел,сргавозь
463,Essen::N,ядене,ярхцама
464,Nahrung::N,храна,ярхцампяль
465,Speise::N,ястие,ярхцама
466,Fleisch::N,месо,пал
467,Fleisch::N,месо,сиволь
468,Getreide::N,зърнено храни,сёра
469,Brei::N,каша,ям
470,Brot::N,хляб,кши
471,Scheibe::N,резен,кочам
472,Fett::N,мазнина,куя́
473,Butter::N,масло,вай
474,Öl::N,олио,вай
475,Öl::N,оливия,вай
476,Salz::N,сол,сал
477,Suppe::N,супа,шонгарям
478,Suppe::N,супа,коршампяль
479,Honig::N,мед,медь
480,Milch::N,мляко,лофца
481,Tee::N,чай,чай
482,Leder::N,кожа,кедь
483,Wolle::N,вълна,пона
484,Stoff::N,плат,котф
485,Stoff::N,материал,котф
486,Nadel::N,игла,салмокс
487,Faden::N,конец,сюре
488,Knopf::N,копче,пуня
489,Knoten::N,възел,сюлма
490,Farbe::N,боя,архтомбяль
491,Kleidung::N,дрехи,щам
492,Kleidung::N,облекло,щам
493,Hemd::N,риза,па́нар
494,Kragen::N,яка,сиве
495,Ärmel::N,ръкав,ожа
496,Hose::N,панталони,понкст
497,Gürtel::N,пояс,каркс
498,Gürtel::N,колан,каркс
499,Mütze::N,каскет,вазь
500,Mütze::N,фуражка,вазь
501,Schuh::N,обувка,башма́к
502,Stiefel::N,ботуш,кя́ме
503,Ring::N,пръстен,суркс
504,Band::N,лента,керькс
505,Band::N,лента,лента
506,Band::N,връзка,керькс
507,Band::N,връзка,лента
508,Kamm::N,гребен,сюрьхцем
509,Spiegel::N,огледало,ванома
510,Riemen::N,каиш,шнань каркс
511,Riemen::N,ремък,шнань каркс
512,Schnur::N,връв,пикс
513,Schnur::N,връв,карькскя
514,Leine::N,връв,вядьме
515,Leine::N,въже,вядьме
516,Decke::N,покривка,вельхкс
517,Kissen::N,възглавница,тоду
518,Tuch::N,сукно,руця́
519,Handtuch::N,пешкир,на́рдама
520,Handtuch::N,кърпа за лице,на́рдама
521,Kraft::N,мощ,вий
522,Kraft::N,сила,вий
523,Stärke::N,сила,вииши
524,Gesundheit::N,здраве,шумбраши́
525,Krankheit::N,болест,урма́
526,Krankheit::N,болест,сярядема
527,Schmerz::N,болка,маряма
528,Wunde::N,рана,керф
529,Fieber::N,треска,маштыкс
530,Fieber::N,температура,маштыкс
531,Arznei::N,лек,надо́бья
532,Arznei::N,лек,пъчка́фтома
533,Arznei::N,лекарство,надо́бья
534,Arznei::N,лекарство,пъчка́фтома
535,Brücke::N,мост,седь
536,Brunnen::N,чешма,эши
537,Brunnen::N,кладенец,эши
538,Weide::N,паша,ванома васта
539,Weide::N,пасище,ванома васта
540,Pfad::N,пътека,ян
541,Pfad::N,пътека,киня́
542,Weg::N,път,ки
543,Straße::N,шосе,ки
544,Dorf::N,село,веле
545,Stadt::N,град,ош
546,Brief::N,писмо,сёрма
547,Buch::N,книга,книга
548,Buchstabe::N,буква,бу́ква
549,Zeitung::N,вестник,газе́та
550,Leben::N,живот,эряф
551,Leben::N,живот,эряма
552,Tod::N,смърт,кулома́
553,Grab::N,гроб,калма
554,Kirche::N,църква,це́рькав
