,Concept_ID,ca,sq
0,Auge::N,ull,sy
1,Ohr::N,orella,vesh
2,Nase::N,nas,hundë
3,Mund::N,boca,gojë
4,Zahn::N,dent,dhëmb
5,Zunge::N,llēngua,gjuhë
6,Lippe::N,llavi,buzë
7,Wange::N,galta,faqe
8,Wange::N,galta,mollëz
9,Gesicht::N,cara,fytyrë
10,Stirn::N,front,ballë
11,Haar::N,cabēll,flokë
12,Schnurrbart::N,bigoti,mustaqe
13,Bart::N,barba,mjekër
14,Kinn::N,mentó,mjekër
15,Kinn::N,barbeta,mjekër
16,Kiefer[Anatomie]::N,queix,nofull
17,Kiefer[Anatomie]::N,mandíbula,nofull
18,Kehle::N,gola,fyt
19,Kehle::N,gola,grykë
20,Kehle::N,gorja,fyt
21,Kehle::N,gorja,grykë
22,Hals::N,coll,qafë
23,Genick::N,nuca,arrëz
24,Kopf::N,cap,kokë
25,Rücken::N,esquena,kurriz
26,Bauch::N,panxa,bark
27,Nabel::N,llombrígol,kërthizë
28,Busen::N,pit,gji
29,Busen::N,mama,gji
30,Brust::N,pit,gjoks
31,Brust::N,pit,kraharor
32,Schulter::N,espatlla,sup
33,Schulter::N,espatlla,krah
34,Arm::N,braç,krah
35,Ellenbogen::N,colze,bërryl
36,Hand::N,mà,dorë
37,Handfläche::N,palma,pëllëmbë
38,Finger::N,dit,gisht
39,Fingernagel::N,ungla,thua
40,Nagel[Anatomie]::N,ungla,thua
41,Zeh::N,dit del peu,gisht i këmbës
42,Fuß::N,peu,këmbë
43,Ferse::N,taló,thembër
44,Knie::N,genoll,gju
45,Oberschenkel::N,cuixa,kofshë
46,Bein::N,cama,këmbë
47,Körper::N,cos,trup
48,Haut::N,pell,lëkurë
49,Blut::N,sang,gjak
50,Ader::N,vena,venë
51,Sehne::N,tendó,dell
52,Knochen::N,os,asht
53,Knochen::N,os,kockë
54,Gehirn::N,cervell,tru
55,Herz::N,cor,zemër
56,Magen::N,estómac,stomak
57,Leber::N,fetge,mëlçi
58,Atem::N,alè,frymë
59,Atem::N,hàlit,frymë
60,Hunger::N,fam,uri
61,Hunger::N,gana,uri
62,Träne::N,llàgrima,lot
63,Geschmack::N,gust,shije
64,Geschmack::N,sabor,shije
65,Geruch::N,olor,erë
66,Schlaf::N,son,gjumë
67,Traum::N,somni,ëndërr
68,Himmel::N,celm,qiell
69,Sonne::N,sol,diell
70,Mond::N,lluna,hënë
71,Stern::N,estel,yll
72,Stern::N,estrella,yll
73,Luft::N,aire,ajër
74,Wind::N,vent,erë
75,Welle::N,ona,valë
76,Welle::N,ona,dallgë
77,Wasser::N,āigua,ujë
78,Stein::N,pedra,gur
79,Boden::N,sòl,tokë
80,Boden::N,sòl,truall
81,Erde::N,terra,dhe
82,Erde::N,terra,baltë
83,Staub::N,pols,pluhur
84,Rauch::N,fum,tym
85,Funke::N,guspira,xixë
86,Funke::N,guspira,shkëndijë
87,Funke::N,centella,xixë
88,Funke::N,centella,shkëndijë
89,Feuer::N,foc,zjarr
90,Licht::N,llum,dritë
91,Schatten::N,ombra,hije
92,Wetter::N,temps,mot
93,Nebel::N,boira,mjegull
94,Wolke::N,núvol,re
95,Regen::N,pluja,shi
96,Schnee::N,neu,borë
97,Eis::N,gel,akull
98,Eis::N,glaç,akull
99,Frost::N,glaçada,ngricë
100,Kälte::N,fred,të ftohtë
101,Hitze::N,calor,vapë
102,Hitze::N,calor,nxehtësi
103,Raureif::N,gebre,cikmë
104,Regenbogen::N,arc iris,ylber
105,Donner::N,tro,gjëmim
106,Donner::N,tro,bubullimë
107,Strömung::N,corrent,rrymë
108,Tropfen::N,gota,pikë
109,Schaum::N,escuma,shkumë
110,Schmutz::N,brutícia,baltë
111,See::N,llac,liqen
112,Sumpf::N,pantà,batak
113,Moor::N,pantà,kënetë
114,Wiese::N,prat,livadh
115,Wiese::N,prada,livadh
116,Wald::N,bosc,pyll
117,Hügel::N,puig,kodër
118,Hügel::N,pujol,kodër
119,Anhöhe::N,turó,bregore
120,Berg::N,muntanya,mal
121,Gipfel::N,cim,kulm
122,Höhle::N,cova,shpellë
123,Höhle::N,cova,zgafelle
124,Abhang::N,coster,shpat
125,Abhang::N,coster,tatëpjetë
126,Quelle::N,font,krua
127,Quelle::N,font,burim
128,Bach::N,riera,virua
129,Fluss::N,riu,lumë
130,Ufer::N,riba,breg
131,Küste::N,costa,anëdet
132,Küste::N,costa,bregdet
133,Festland::N,terra ferma,kontinent
134,Meer::N,mar,det
135,Bucht::N,cala,gji deti
136,Bucht::N,badia,gji deti
137,Insel::N,illa,ishull
138,Insel::N,illa,ujdhesë
139,Blume::N,flor,lule
140,Gras::N,herba,bar
141,Wurzel::N,rel,rrënjë
142,Wurzel::N,arrel,rrënjë
143,Baum::N,arbre,pemë
144,Stamm::N,tronc,trung
145,Rinde::N,escorça,lëvore
146,Ast::N,branca,degë
147,Zweig::N,ram,bisk
148,Blatt::N,fulla,fletë
149,Blatt::N,fulla,gjethe
150,Birke::N,bedoll,mështekën
151,Kiefer[Baum]::N,pi,pishë
152,Weide[Baum]::N,salze,shelg
153,Tanne::N,avet,bredh
154,Horn::N,corn,bri
155,Horn::N,banya,bri
156,Feder::N,ploma,pupël
157,Fell::N,pell,lëkurë
158,Flügel::N,ala,krah
159,Flügel::N,ala,fletë
160,Klaue::N,urpa,kthetër
161,Kralle::N,grapa,thua
162,Kralle::N,grapa,kthetër
163,Schwanz::N,cua,bisht
164,Ei::N,ou,vezë
165,Nest::N,niu,fole
166,Bau::N,cau,strofkë
167,Tier::N,animāl,kafshë
168,Herde::N,ramat,kope
169,Herde::N,ramat,grigjë
170,Kuh::N,vaca,lopë
171,Bulle::N,toro,dem
172,Pferd::N,cavāll,kalë
173,Schaf::N,be,dele
174,Schaf::N,ovella,dele
175,Schwein::N,bacó,derr
176,Hund::N,ca,qen
177,Hund::N,gos,qen
178,Katze::N,gat,mace
179,Bär::N,ós,ari
180,Eichhörnchen::N,esquirol,ketër
181,Elch::N,ant,dre brilopatë
182,Fuchs::N,guilla,dhelpër
183,Hase::N,llebre,lepur
184,Maus::N,ratolí,mi
185,Wolf::N,llop,ujk
186,Vogel::N,au,zog
187,Vogel::N,au,shpend
188,Vogel::N,ocēll,zog
189,Vogel::N,ocēll,shpend
190,Schwarm::N,bandada,luzmë
191,Huhn::N,gallina,pulë
192,Hahn::N,gall,gjel
193,Hahn::N,gall,këndes
194,Gans::N,oca,patë
195,Adler::N,àguila,shqiponjë
196,Ente::N,ànec,rosë
197,Eule::N,òliba,buf
198,Eule::N,mussol,buf
199,Kranich::N,grua,lejlek
200,Kranich::N,grua,kurrillë
201,Krähe::N,cornella,sorrë
202,Kuckuck::N,cucut,qyqe
203,Schwan::N,cigne,mjellmë
204,Fisch::N,peix,peshk
205,Barsch::N,perca,purtekë
206,Hecht::N,lluç,mlysh
207,Schlange[Tier]::N,serp,gjarpër
208,Wurm::N,cuc,krimb
209,Spinne::N,aranya,marimangë
210,Ameise::N,formiga,thnegël
211,Ameise::N,formiga,milingonë
212,Laus::N,poll,morr
213,Mücke::N,mosquit,kunup
214,Mücke::N,mosquit,mushkonjë
215,Fliege::N,mosca,mizë
216,Schmetterling::N,papallona,flutur
217,Beere::N,baia,frutë
218,Beere::N,baia,manaferrë
219,Apfel::N,poma,mollë
220,Pilz::N,bolet,kërpudhë
221,Zwiebel::N,ceba,qepë
222,Saat::N,sembra,farë
223,Korn::N,gra,grurë
224,Korn::N,gra,kokërr
225,Heu::N,fenc,sanë
226,Schale::N,closca,lëkurë
227,Grube::N,sot,gropë
228,Grube::N,clot,gropë
229,Falle::N,trampa,kurth
230,Falle::N,trampa,grackë
231,Schlinge::N,baga,nyjë
232,Spur::N,traça,gjurmë
233,Asche::N,cendra,hi
234,Dreck::N,llot,baltë
235,Eisen::N,ferro,hekur
236,Gold::N,or,ar
237,Gold::N,or,flori
238,Silber::N,plata,argjend
239,Kohle::N,carbó,qymyr
240,Glas::N,vidre,qelq
241,Lehm::N,fang,argjilë
242,Lehm::N,argila,argjilë
243,Sand::N,arena,rërë
244,Mensch::N,humà,njeri
245,Mensch::N,persona,njeri
246,Mann::N,home,burrë
247,Mann::N,home,mashkull
248,Frau::N,dona,grua
249,Frau::N,dona,femër
250,Kind::N,nen,kalama
251,Junge::N,noi,djalë
252,Mädchen::N,noia,gocë
253,Mädchen::N,noia,vajzë
254,Familie::N,família,familje
255,Großvater::N,avi,gjysh
256,Großmutter::N,àvia,gjyshe
257,Eltern::N,pares,prindër
258,Vater::N,pare,atë
259,Mutter::N,mare,nënë
260,Sohn::N,fill,bir
261,Tochter::N,filla,bijë
262,Bruder::N,germà,vëlla
263,Schwester::N,germana,motër
264,Onkel::N,oncle,dajë
265,Onkel::N,oncle,xhaxha
266,Tante::N,tia,teze
267,Tante::N,tia,hallë
268,Ehemann::N,espòs,burrë
269,Ehemann::N,espòs,bashkëshort
270,Ehefrau::N,muller,grua
271,Ehefrau::N,muller,bashkëshorte
272,Freude::N,goig,gaz
273,Freude::N,goig,gëzim
274,Freude::N,alegria,gaz
275,Freude::N,alegria,gëzim
276,Gelächter::N,riallada,qeshje
277,Glück::N,felicitat,lumturi
278,Kummer::N,pena,brengë
279,Kummer::N,pena,pikëllim
280,Wunsch::N,desig,dëshirë
281,Lust::N,ganes,epsh
282,Lust::N,ganes,dashuri
283,Geist::N,ment,frymë
284,Geist::N,ment,shpirt
285,Geist::N,esperit,frymë
286,Geist::N,esperit,shpirt
287,Gedanke::N,pensament,ide
288,Gedanke::N,pensament,mendim
289,Gedächtnis::N,memòria,kujtesë
290,Verstand::N,raó,mend
291,Verstand::N,seny,mend
292,Sinn::N,solta,kuptim
293,Sinn::N,sentit,kuptim
294,Grund::N,raó,arsye
295,Grund::N,causa,arsye
296,Wahrheit::N,veritāt,vërtetë
297,Gespräch::N,conversa,bisedim
298,Märchen::N,conte,përrallë
299,Erzählung::N,narració,tregim
300,Nachricht::N,missatge,lajm
301,Neuigkeit::N,novetat,risi
302,Name::N,nom,emër
303,Rätsel::N,endevinalla,gjëzë
304,Rätsel::N,endevinalla,gjëegjëzë
305,Rede::N,discurs,fjalim
306,Sprache::N,llēngua,gjuhë
307,Stimme::N,veu,zë
308,Wort::N,mot,fjalë
309,Wort::N,paraula,fjalë
310,Zeichen::N,signe,shenjë
311,Zeichen::N,senyal,shenjë
312,Ruf::N,crida,thirrmë
313,Lärm::N,sorōll,zhurmë
314,Laut::N,so,tingull
315,Ton::N,to,ton
316,Lied::N,cançó,këngë
317,Ruhe::N,calma,qetësi
318,Ruhe::N,silenci,qetësi
319,Leute::N,gent,botë
320,Leute::N,gent,njerëz
321,Volk::N,poble,popull
322,Arbeit::N,labor,punë
323,Arbeit::N,treball,punë
324,Gast::N,hoste,mik
325,Gast::N,hoste,mysafir
326,Geschenk::N,regal,dhuratë
327,Geschenk::N,regal,peshqesh
328,Geschenk::N,obsequi,dhuratë
329,Geschenk::N,obsequi,peshqesh
330,Spiel::N,joc,lojë
331,Gesellschaft::N,companyia,shoqëri
332,Hilfe::N,ajut,ndihmë
333,Freund::N,amīc,mik
334,Kamerad::N,company,shok
335,Kamerad::N,camarada,shok
336,Angelegenheit::N,afer,punë
337,Angelegenheit::N,assumpte,punë
338,Anzahl::N,nombre,sasi
339,Anzahl::N,quantitat,sasi
340,Art::N,tipus,lloj
341,Art::N,classe,lloj
342,Stück::N,peça,copë
343,Teil::N,part,pjesë
344,Hälfte::N,meitat,gjysmë
345,Kreis::N,cercle,qark
346,Kreis::N,cercle,rreth
347,Kreuz::N,creu,kryq
348,Linie::N,línia,vijë
349,Strich::N,traç,vizë
350,Strich::N,ratlla,vizë
351,Abstand::N,distància,distancë
352,Entfernung::N,distància,largim
353,Gegend::N,regió,vise
354,Gegend::N,regió,krahinë
355,Gegend::N,contrada,vise
356,Gegend::N,contrada,krahinë
357,Platz::N,cabuda,shesh
358,Ort::N,lloc,vend
359,Seite::N,banda,anë
360,Seite::N,costāt,anë
361,Mitte::N,mig,mes
362,Mitte::N,centre,mes
363,Gegenstand::N,objecte,send
364,Sache::N,cosa,gjë
365,Sache::N,cosa,send
366,Rand::N,vora,qoshe
367,Rand::N,marge,qoshe
368,Kante::N,caire,teh
369,Kante::N,cantell,teh
370,Ecke::N,cantonada,qoshe
371,Spitze::N,punta,majë
372,Ende::N,cap,skaj
373,Ende::N,cap,bisht
374,Loch::N,forāt,vrimë
375,Winkel::N,racó,kënd
376,Muster::N,dibuix,mostër
377,Muster::N,disseny,mostër
378,Größe::N,grandària,madhësi
379,Länge::N,longitud,gjatësi
380,Höhe::N,altura,lartësi
381,Höhe::N,altitud,lartësi
382,Gewicht::N,pes,peshë
383,Menge::N,quantitat,sasi
384,Haufen::N,pila,grumbull
385,Reihe::N,fila,radhë
386,Reihe::N,fila,rresht
387,Boot::N,bot,barkë
388,Boot::N,bot,lundër
389,Boot::N,barca,barkë
390,Boot::N,barca,lundër
391,Ruder::N,rem,rrem
392,Schlitten::N,trineu,sajë
393,Ski::N,esquí,ski
394,Lagerfeuer::N,foc de campament,flakadan
