,Concept_ID,sv,xal
0,Auge::N,öga,нүдн
1,Ohr::N,öra,чикн
2,Nase::N,näsa,хамр
3,Mund::N,mun,амн
4,Zahn::N,tand,шүдн
5,Zunge::N,tunga,келн
6,Lippe::N,läpp,урл
7,Wange::N,kind,халх
8,Gesicht::N,syn,нүр
9,Gesicht::N,ansikte,нүр
10,Stirn::N,panna,маңна
11,Haar::N,hår,үсн
12,Schnurrbart::N,mustasch,сахл
13,Bart::N,skägg,сахл
14,Bart::N,skägg,өргнә сахл
15,Kinn::N,haka,өргн
16,Kiefer[Anatomie]::N,käke,өргн
17,Kehle::N,strupe,хол
18,Hals::N,hals,күзүн
19,Genick::N,nacke,гиҗг
20,Kopf::N,huvud,толһа
21,Rücken::N,rygg,нурһн
22,Bauch::N,buk,гесн
23,Bauch::N,mage,гесн
24,Nabel::N,navel,киисн
25,Busen::N,barm,көкн
26,Brust::N,bröst,чееҗ
27,Schulter::N,skuldra,ээм
28,Arm::N,arm,һар
29,Ellenbogen::N,armbåge,тоха
30,Hand::N,hand,баһлцг
31,Handfläche::N,handflata,альхн
32,Finger::N,finger,хурһн
33,Finger::N,finger,һарин хурһн
34,Fingernagel::N,fingernagel,хумсн
35,Nagel[Anatomie]::N,nagel,хумсн
36,Zeh::N,tå,хурһн
37,Zeh::N,tå,көлин хурһн
38,Fuß::N,fot,тавг
39,Ferse::N,häl,өскә
40,Knie::N,knä,өвдг
41,Oberschenkel::N,lår,һуй
42,Bein::N,ben,көл
43,Körper::N,kropp,махмуд
44,Haut::N,hud,арсн
45,Haut::N,skinn,арсн
46,Blut::N,blod,цусн
47,Ader::N,åder,судцн
48,Sehne::N,sena,шүрүсн
49,Knochen::N,ben,ясн
50,Gehirn::N,hjärna,экн
51,Herz::N,hjärta,зүркн
52,Magen::N,mage,гесн
53,Leber::N,lever,элкн
54,Atem::N,anda,әмсхл
55,Atem::N,andedräkt,әмсхл
56,Hunger::N,svält,харһнлһн
57,Hunger::N,hunger,харһнлһн
58,Träne::N,tår,нульмсн
59,Geschmack::N,smak,амтн
60,Geruch::N,lukt,үнр
61,Schlaf::N,sömn,нөр
62,Traum::N,dröm,зүүдн
63,Himmel::N,himmel,теңгр
64,Sonne::N,sol,нарн
65,Mond::N,måne,сар
66,Stern::N,stjärna,одн
67,Luft::N,luft,аһар
68,Wind::N,vind,салькн
69,Welle::N,våg,дольган
70,Welle::N,bölja,дольган
71,Wasser::N,vatten,усн
72,Stein::N,sten,чолун
73,Boden::N,mark,Һазр
74,Erde::N,jord,Һазр
75,Staub::N,damm,тоосн
76,Rauch::N,rök,утан
77,Funke::N,gnista,очн
78,Feuer::N,eld,һал
79,Licht::N,ljus,герл
80,Schatten::N,skugga,сүүдр
81,Wetter::N,väder,теңгр
82,Nebel::N,dimma,будн
83,Nebel::N,töcken,будн
84,Wolke::N,sky,үүлн
85,Wolke::N,moln,үүлн
86,Regen::N,regn,хур
87,Schnee::N,snö,цасн
88,Eis::N,is,мөсн
89,Frost::N,frost,киитн
90,Kälte::N,köld,киитн
91,Hitze::N,hetta,халун
92,Raureif::N,rimfrost,цаң
93,Raureif::N,rimfrost,кирү
94,Regenbogen::N,regnbåge,солңһ
95,Donner::N,åska,оһтрһун дун
96,Donner::N,dunder,оһтрһун дун
97,Strömung::N,strömning,урсхл
98,Tropfen::N,dropper,дусал
99,Schaum::N,skum,көөсн
100,Schmutz::N,lort,кир
101,Schmutz::N,smuts,кир
102,See::N,sjö,нур
103,Sumpf::N,träsk,унул
104,Moor::N,myr,улм
105,Moor::N,mosse,улм
106,Wiese::N,äng,хадлһн
107,Wald::N,skog,ө-модн
108,Hügel::N,höjd,толһа
109,Hügel::N,kulle,толһа
110,Anhöhe::N,höjd,хамр
111,Anhöhe::N,backe,хамр
112,Berg::N,berg,уул
113,Berg::N,fjäll,уул
114,Gipfel::N,topp,ора
115,Höhle::N,håla,хадин көндә
116,Höhle::N,grotta,хадин көндә
117,Abhang::N,slänt,ташу
118,Abhang::N,sluttning,ташу
119,Quelle::N,källa,булг
120,Bach::N,bäck,һооҗур
121,Fluss::N,älv,һол
122,Fluss::N,flod,һол
123,Ufer::N,strand,көвә
124,Küste::N,kust,көвә
125,Küste::N,kust,теңгсин көвә
126,Festland::N,fastland,хүүрә һазр
127,Meer::N,hav,теңгс
128,Bucht::N,vik,цекә
129,Bucht::N,vik,теңгсин цекә
130,Bucht::N,bukt,цекә
131,Bucht::N,bukt,теңгсин цекә
132,Insel::N,ö,арл
133,Blume::N,blomma,цецг
134,Blume::N,blomster,цецг
135,Gras::N,gräs,ноһан
136,Wurzel::N,rot,уңг
137,Baum::N,träd,модн
138,Stamm::N,stam,шилв
139,Stamm::N,stam,һол модн
140,Rinde::N,bark,көрсн
141,Ast::N,gren,ац
142,Zweig::N,kvist,ац
143,Blatt::N,löv,хамтхасн
144,Blatt::N,blad,хамтхасн
145,Birke::N,björk,хусм модн
146,Kiefer[Baum]::N,tall,шар харһа
147,Weide[Baum]::N,pil,удн
148,Weide[Baum]::N,vide,удн
149,Tanne::N,gran,җөөлн цаһан модн
150,Horn::N,horn,өвр
151,Feder::N,fjäder,өрвлг
152,Fell::N,fäll,арсн
153,Fell::N,skinn,арсн
154,Flügel::N,vinge,җивр
155,Klaue::N,klöv,хумсн
156,Kralle::N,klo,тавг
157,Schwanz::N,svans,сүл
158,Schwanz::N,stjärt,сүл
159,Ei::N,ägg,өндгн
160,Nest::N,rede,үр
161,Nest::N,näste,үр
162,Bau::N,bo,нүкн
163,Tier::N,djur,мал
164,Herde::N,flock,сүрг мал
165,Kuh::N,ko,үкр
166,Bulle::N,tjur,бух
167,Pferd::N,häst,мөрн
