,Concept_ID,hy,os
0,Auge::N,աչք,цӕст
1,Ohr::N,ականջ,хъус
2,Nase::N,քիթ,фындз
3,Mund::N,բերան,дзых
4,Zahn::N,ատամ,дӕндаг
5,Zunge::N,լեզու,ӕвзаг
6,Lippe::N,շրթունք,был
7,Wange::N,այտ,рус
8,Wange::N,այտ,уадул
9,Wange::N,այտ,ӕхсӕрфарс
10,Wange::N,թուշ,рус
11,Wange::N,թուշ,уадул
12,Wange::N,թուշ,ӕхсӕрфарс
13,Gesicht::N,դեմք,цӕсгом
14,Stirn::N,ճակատ,ных
15,Haar::N,մազ,хил
16,Schnurrbart::N,բեղ,рихи
17,Bart::N,մորուք,зачъе
18,Kinn::N,կզակ,роцъо
19,Kiefer[Anatomie]::N,ծնոտ,ӕфсӕр
20,Kehle::N,կոկորդ,хъуыр
21,Hals::N,վիզ,къубал
22,Hals::N,պարանոց,къубал
23,Genick::N,ծոծրակ,къӕбут
24,Kopf::N,գլուխ,сӕр
25,Rücken::N,մեջք,фӕсонтӕ
26,Bauch::N,փոր,гуыбын
27,Bauch::N,որովայն,гуыбын
28,Nabel::N,պորտ,бикъ
29,Busen::N,ծոց,дзидзи
30,Brust::N,կուրծք,риу
31,Schulter::N,ուս,уӕхск
32,Arm::N,թեւ,цонг
33,Arm::N,բազուկ,цонг
34,Ellenbogen::N,արմունկ,рæмбын
35,Hand::N,ձեռք,къух
36,Handfläche::N,ափ,армытъӕпӕн
37,Finger::N,մատ,ӕнруылдз
38,Fingernagel::N,եղունգ,ных
39,Nagel[Anatomie]::N,եղունգ,ных
40,Zeh::N,ոտքի մատ,къух
41,Fuß::N,ոտք,фад
42,Ferse::N,գարշապար,зӕвӕт
43,Knie::N,ծունկ,уӕраг
44,Oberschenkel::N,ազդր,агъд
45,Bein::N,ոտք,зӕнг
46,Körper::N,մարմին,буар
47,Haut::N,մաշկ,царм
48,Blut::N,արյուն,туг
49,Ader::N,երակ,дадзин
50,Ader::N,երակ,тугдадзин
51,Sehne::N,ջիղ,хъиутæ
52,Sehne::N,ջիղ,нуар
53,Sehne::N,ձգտան,хъиутæ
54,Sehne::N,ձգտան,нуар
55,Knochen::N,ոսկոր,стӕг
56,Gehirn::N,խելք,магъз
57,Herz::N,սիրտ,зӕрдӕ
58,Magen::N,ստամոքս,ахсӕн
59,Leber::N,լյարդ,игæр
60,Atem::N,շունչ,улӕфт
61,Hunger::N,քաղց,стонг
62,Träne::N,արտասուք,цæссыг
63,Geschmack::N,համ,ад
64,Geschmack::N,բուրմունք,ад
65,Geruch::N,հոտ,смаг
66,Geruch::N,բուրում,смаг
67,Schlaf::N,քուն,хуыссӕг
68,Traum::N,երազ,фын
69,Himmel::N,երկինք,арв
70,Himmel::N,երկինք,уӕларв
71,Sonne::N,արեւ,хур
