,Concept_ID,el,hu
0,Auge::N,μάτι,szem
1,Auge::N,οφθαλμός,szem
2,Ohr::N,αυτί,fül
3,Nase::N,μύτη,orr
4,Mund::N,στόμα,száj
5,Zahn::N,δόντι,fog
6,Zunge::N,γλώσσα,nyelv
7,Lippe::N,χείλος,ajak
8,Wange::N,παρειά,orca
9,Wange::N,μάγουλο,orca
10,Gesicht::N,πρόσωπο,arc
11,Stirn::N,μέτωπο,homlok
12,Haar::N,μαλλιά,haj
13,Schnurrbart::N,μουστάκι,bajusz
14,Bart::N,γένια,szakáll
15,Kinn::N,πιγούνι,áll
16,Kiefer[Anatomie]::N,σαγόνι,állkapocs
17,Kehle::N,λαρύγγι,gége
18,Kehle::N,λαρύγγι,torok
19,Hals::N,λαιμός,nyak
20,Genick::N,σβέρκος,tarkó
21,Kopf::N,κεφάλι,fő
22,Kopf::N,κεφάλι,fej
23,Rücken::N,ράχη,hát
24,Bauch::N,κοιλιά,has
25,Nabel::N,αφαλός,köldök
26,Busen::N,στήθος,mell
27,Busen::N,στήθος,kebel
28,Brust::N,στήθος,mell
29,Schulter::N,ώμος,váll
30,Arm::N,χέρι,kar
31,Arm::N,μπράτςο,kar
32,Ellenbogen::N,αγκώνας,könyök
33,Hand::N,χέρι,kéz
34,Handfläche::N,παλάμη,tenyér
35,Finger::N,δάχτυλο,ujj
36,Fingernagel::N,νύχι,köröm
37,Nagel[Anatomie]::N,νύχι,köröm
38,Zeh::N,δάχτυλο του ποδιού,lábujj
39,Fuß::N,πόδι,láb
40,Ferse::N,φτέρνα,sarok
41,Knie::N,γόνατο,térd
42,Oberschenkel::N,μηρός,comb
43,Bein::N,πόδι,láb
44,Bein::N,πόδι,lábszár
45,Körper::N,σώμα,test
46,Körper::N,κορμί,test
47,Haut::N,πετσί,bőr
48,Blut::N,αίμα,vér
49,Ader::N,φλέβα,ér
50,Sehne::N,νεύρο,ín
51,Sehne::N,τένοντας,ín
52,Knochen::N,οστό,csont
53,Knochen::N,κόκκαλο,csont
54,Gehirn::N,μυαλό,agy
55,Gehirn::N,μυαλό,agyvelő
56,Gehirn::N,εγκέφαλος,agy
57,Gehirn::N,εγκέφαλος,agyvelő
58,Herz::N,καρδιά,szív
59,Magen::N,στομάχι,gyomor
60,Leber::N,ήπαρ,máj
61,Leber::N,συκωτί,máj
62,Atem::N,αναπνοή,lehelet
63,Atem::N,αναπνοή,lélegzet
64,Hunger::N,πείνα,éhség
65,Träne::N,δάκρυ,könny
66,Geschmack::N,γεύση,íz
67,Geruch::N,οσμή,szag
68,Geruch::N,μυρωδία,szag
69,Schlaf::N,ύπνος,álom
70,Schlaf::N,ύπνος,alvás
71,Traum::N,όνειρο,álom
72,Himmel::N,ουρανός,ég
73,Himmel::N,ουρανός,menny
74,Sonne::N,ήλιος,nap
75,Mond::N,σελήνη,hold
76,Mond::N,φεγγάρι,hold
77,Stern::N,άστρο,csillag
78,Stern::N,αστέρι,csillag
79,Luft::N,αέρας,levegő
