,Concept_ID,de,sl
0,Auge::N,Auge,okó
1,Ohr::N,Ohr,uhó
2,Nase::N,Nase,nós
3,Mund::N,Mund,ústa
4,Zahn::N,Zahn,zób
5,Zunge::N,Zunge,jêzik
6,Lippe::N,Lippe,ústnica
7,Wange::N,Wange,líce
8,Gesicht::N,Gesicht,oblíčje
9,Stirn::N,Stirn,čêlo
10,Haar::N,Haar,lás
11,Schnurrbart::N,Schnurrbart,bŕki
12,Bart::N,Bart,bráda
13,Kinn::N,Kinn,bráda
14,Kiefer[Anatomie]::N,Kiefer,čeljúst
15,Kehle::N,Kehle,gŕlo
16,Hals::N,Hals,vrát
17,Genick::N,Genick,zatílnik
18,Kopf::N,Kopf,gláva
19,Rücken::N,Rücken,hrbèt
20,Bauch::N,Bauch,trébuh
21,Nabel::N,Nabel,pópek
22,Busen::N,Busen,nédrja
23,Brust::N,Brust,pŕsi
24,Schulter::N,Schulter,ráma
25,Schulter::N,Schulter,plêče
26,Arm::N,Arm,rôka
27,Ellenbogen::N,Ellenbogen,komólec
28,Hand::N,Hand,rôka
29,Handfläche::N,Handfläche,dlán
30,Finger::N,Finger,pŕst
31,Fingernagel::N,Fingernagel,nóht na rôki
32,Nagel[Anatomie]::N,Nagel,nóht
33,Zeh::N,Zeh,pŕst na nôgi
34,Fuß::N,Fuß,nôga
35,Ferse::N,Ferse,pêta
36,Knie::N,Knie,koléno
37,Oberschenkel::N,Oberschenkel,stêgno
38,Bein::N,Bein,nôga
39,Körper::N,Körper,teló
40,Haut::N,Haut,kóža
41,Blut::N,Blut,krí
42,Ader::N,Ader,žíla
43,Sehne::N,Sehne,kíta
44,Knochen::N,Knochen,kóst
45,Gehirn::N,Gehirn,možgáni
46,Herz::N,Herz,srcé
47,Magen::N,Magen,želódec
48,Leber::N,Leber,jétra
49,Atem::N,Atem,díh
50,Hunger::N,Hunger,glád
51,Träne::N,Träne,sólza
52,Geschmack::N,Geschmack,okús
53,Geruch::N,Geruch,vónj
54,Schlaf::N,Schlaf,sèn
55,Schlaf::N,Schlaf,spánec
56,Traum::N,Traum,sánje
57,Himmel::N,Himmel,nebó
58,Sonne::N,Sonne,sónce
59,Mond::N,Mond,lúna
60,Mond::N,Mond,mésec
61,Stern::N,Stern,zvézda
62,Luft::N,Luft,zràk
63,Wind::N,Wind,véter
64,Welle::N,Welle,vál
65,Wasser::N,Wasser,vôda
66,Stein::N,Stein,kámen
67,Boden::N,Boden,tlà
68,Erde::N,Erde,pŕst
69,Erde::N,Erde,zêmlja
70,Staub::N,Staub,práh
71,Rauch::N,Rauch,dìm
72,Funke::N,Funke,ískra
73,Feuer::N,Feuer,ôgenj
74,Licht::N,Licht,lúč
75,Schatten::N,Schatten,sénca
76,Wetter::N,Wetter,vrême
77,Nebel::N,Nebel,meglà
78,Wolke::N,Wolke,oblák
79,Regen::N,Regen,dèž
80,Schnee::N,Schnee,snég
81,Eis::N,Eis,léd
82,Frost::N,Frost,zmrzál
83,Kälte::N,Kälte,mràz
84,Hitze::N,Hitze,pripéka
85,Raureif::N,Raureif,ívje
86,Raureif::N,Raureif,slána
87,Regenbogen::N,Regenbogen,mávrica
88,Donner::N,Donner,gròm
89,Strömung::N,Strömung,strúja
90,Tropfen::N,Tropfen,káplja
91,Schaum::N,Schaum,péna
92,Schmutz::N,Schmutz,nesnága
93,See::N,See,jézero
94,Sumpf::N,Sumpf,močvírje
95,Moor::N,Moor,bárje
96,Wiese::N,Wiese,trávnik
97,Wald::N,Wald,lés
98,Wald::N,Wald,gòzd
99,Hügel::N,Hügel,brég
100,Hügel::N,Hügel,goríca
101,Anhöhe::N,Anhöhe,gríč
102,Anhöhe::N,Anhöhe,višína
103,Berg::N,Berg,gôra
104,Berg::N,Berg,planína
105,Gipfel::N,Gipfel,vŕh
106,Höhle::N,Höhle,jáma
107,Höhle::N,Höhle,votlína
108,Abhang::N,Abhang,pobóčje
109,Quelle::N,Quelle,izvír
110,Bach::N,Bach,pôtok
111,Fluss::N,Fluss,réka
112,Ufer::N,Ufer,brég
113,Küste::N,Küste,obála
114,Küste::N,Küste,obréžje
115,Festland::N,Festland,celína
116,Festland::N,Festland,kopnína
117,Meer::N,Meer,mórje
118,Bucht::N,Bucht,zalív
119,Insel::N,Insel,ôtok
120,Blume::N,Blume,cvetlíca
121,Gras::N,Gras,tráva
122,Wurzel::N,Wurzel,korenína
123,Baum::N,Baum,drevó
124,Stamm::N,Stamm,dêblo
125,Rinde::N,Rinde,lúbje
126,Rinde::N,Rinde,skórja
127,Ast::N,Ast,véja
128,Zweig::N,Zweig,véja
129,Blatt::N,Blatt,líst
130,Birke::N,Birke,bréza
131,Kiefer[Baum]::N,Kiefer,bòr
132,Weide[Baum]::N,Weide,vŕba
133,Tanne::N,Tanne,hója
134,Horn::N,Horn,róg
135,Feder::N,Feder,peró
136,Fell::N,Fell,kŕzno
137,Flügel::N,Flügel,krílo
138,Klaue::N,Klaue,párkelj
139,Kralle::N,Kralle,krémpelj
140,Schwanz::N,Schwanz,rèp
141,Ei::N,Ei,jájce
142,Nest::N,Nest,gnézdo
143,Bau::N,Bau,brlòg
144,Tier::N,Tier,živál
145,Herde::N,Herde,čréda
146,Kuh::N,Kuh,kráva
147,Bulle::N,Bulle,bìk
148,Pferd::N,Pferd,kònj
149,Schaf::N,Schaf,ôvca
150,Schwein::N,Schwein,svínja
151,Hund::N,Hund,pès
152,Katze::N,Katze,máčka
153,Bär::N,Bär,mêdved
154,Eichhörnchen::N,Eichhörnchen,véverica
155,Elch::N,Elch,lós
156,Fuchs::N,Fuchs,lisíca
157,Hase::N,Hase,zájec
158,Maus::N,Maus,mìš
159,Wolf::N,Wolf,vólk
160,Vogel::N,Vogel,ptìč
161,Vogel::N,Vogel,ptíca
162,Schwarm::N,Schwarm,játa
163,Huhn::N,Huhn,kokóš
164,Hahn::N,Hahn,petêlin
165,Gans::N,Gans,gós
166,Adler::N,Adler,ôrel
167,Ente::N,Ente,ráca
168,Eule::N,Eule,sôva
169,Kranich::N,Kranich,žerjàv
170,Krähe::N,Krähe,vrána
171,Kuckuck::N,Kuckuck,kúkavica
172,Schwan::N,Schwan,labód
173,Fisch::N,Fisch,ríba
174,Barsch::N,Barsch,ostríž
175,Hecht::N,Hecht,ščúka
176,Schlange[Tier]::N,Schlange,káča
177,Wurm::N,Wurm,čr̀v
178,Wurm::N,Wurm,glísta
179,Spinne::N,Spinne,pájek
180,Ameise::N,Ameise,mrávlja
181,Laus::N,Laus,úš
182,Mücke::N,Mücke,komár
183,Fliege::N,Fliege,múha
184,Schmetterling::N,Schmetterling,metúlj
185,Beere::N,Beere,jágoda
186,Apfel::N,Apfel,jábolko
187,Pilz::N,Pilz,góba
188,Zwiebel::N,Zwiebel,čebúla
189,Saat::N,Saat,séme
