,Concept_ID,mrj,ar
0,Auge::N,сӹнзӓ,عين
1,Ohr::N,пӹлӹш,أذن
2,Nase::N,нер,أنف
3,Mund::N,ышма,فم
4,Zahn::N,пӱ,سن
5,Zunge::N,йӹлмӹ,لسان
6,Lippe::N,тӹрвӹ,شفة
7,Wange::N,шӹргӹ,خد
8,Wange::N,шӹргӹ,وجنة
9,Gesicht::N,лицӓ,وجه
10,Stirn::N,лепкӓ,جبين
11,Haar::N,ӱп,شعر
12,Schnurrbart::N,öрш,شارب
13,Bart::N,пандаш,لحية
14,Kinn::N,онгылаш,ذقن
15,Kiefer[Anatomie]::N,пӱ арата,فك
16,Kehle::N,логер,حلق
17,Hals::N,шӱ,عنق
18,Hals::N,шӱ,رقبة
19,Genick::N,ланга,قفا
20,Kopf::N,вуй,رأس
21,Rücken::N,туп,ظهر
22,Bauch::N,мӹшкӹр,بطن
23,Nabel::N,кӹлӹмдӹ,سرة
24,Busen::N,цӹзӹ,ثدي
25,Brust::N,мел,صدر
26,Schulter::N,ӹнгӹжӓ,كتف
27,Arm::N,кид,ذراع
28,Ellenbogen::N,кӹнервуй,كوع
29,Hand::N,лапа,يد
30,Handfläche::N,кид лапа,كف
31,Finger::N,парня,إصبع
32,Fingernagel::N,кӹч,ظفر
33,Nagel[Anatomie]::N,кӹч,ظفر
34,Zeh::N,парня,إصبع القدم
35,Fuß::N,ял лапа,قدم
36,Ferse::N,ялгавал,كعب
37,Ferse::N,ял кавал,كعب
38,Knie::N,пылвуй,ركبة
39,Oberschenkel::N,ӓрдӹ,فخذ
40,Bein::N,ял,ساق
41,Körper::N,монгыр,جسم
42,Haut::N,кавашты,بشرة
43,Blut::N,вӹр,دم
44,Ader::N,вӹршӓр,عرق
45,Sehne::N,кукшышӱн,طنب
46,Knochen::N,лу,عظم
47,Gehirn::N,вим,دماغ
48,Herz::N,шӱм,قلب
49,Magen::N,шӱм,معدة
50,Leber::N,мокш,كبد
51,Atem::N,шӱлӹш,نفس
52,Hunger::N,шужымаш,جوع
53,Träne::N,сӹнзӓвӹд,دمعة
54,Geschmack::N,тот,طعم
55,Geschmack::N,тот,مذاق
56,Geruch::N,пыш,رائحة
57,Schlaf::N,ом,نوم
58,Schlaf::N,ом,منام
59,Traum::N,ом,حلم
60,Himmel::N,пӹлгом,سماء
61,Sonne::N,кечӹ,شمس
62,Mond::N,тӹлзӹ,قمر
63,Stern::N,шӹдӹр,نجم
64,Stern::N,шӹдӹр,كوكب
65,Luft::N,юж,هواء
66,Luft::N,воздух,هواء
67,Wind::N,мардеж,ريح
68,Welle::N,ко,موجة
69,Welle::N,коэ,موجة
70,Wasser::N,вӹд,ماء
71,Stein::N,кӱ,حجر
72,Boden::N,рок,تراب
73,Erde::N,свет,أرض
74,Staub::N,пырак,غبار
75,Rauch::N,шӹкш,دخان
76,Funke::N,ип,شرارة
77,Funke::N,тылип,شرارة
78,Feuer::N,тыл,نار
79,Licht::N,соты,نور
80,Licht::N,соты,ضوء
81,Licht::N,валгыды,نور
82,Licht::N,валгыды,ضوء
83,Schatten::N,ӹмӹл,ظل
84,Schatten::N,ӹмӹл,فيء
85,Wetter::N,игечӹ,جو
86,Wetter::N,игечӹ,طقس
87,Nebel::N,тӹтӹрӓ,ضباب
88,Wolke::N,пӹл,غيمة
89,Wolke::N,пӹл,سحابة
90,Regen::N,юр,مطر
91,Schnee::N,лым,ثلج
92,Eis::N,и,جليد
93,Frost::N,ӱштӹ,صقيع
94,Kälte::N,ӱштӹ,برد
95,Hitze::N,шокшы,حر
96,Hitze::N,шокшы,حرارة
97,Raureif::N,пöрш,صقيع
98,Regenbogen::N,шанавӹл,قوس قزح
99,Donner::N,хӹдӹртӹш,رعد
100,Strömung::N,йогы,تيار
101,Tropfen::N,капльы,قطرة
102,Tropfen::N,капльык,قطرة
103,Schaum::N,шонг,زبد
104,Schaum::N,шонг,رغوة
105,Schmutz::N,лявӹрӓ,وسخ
106,See::N,йӓр,بحيرة
107,Sumpf::N,лӱкӹ,مستنقع
108,Moor::N,куп,مستنقع
109,Wiese::N,алык,مرج
110,Wald::N,шӹргӹ,غابة
111,Hügel::N,пӱгӹрикӓ,تل
112,Anhöhe::N,кӱкшикӓ,تل
113,Berg::N,кырык,جبل
114,Gipfel::N,неркӓ,قمة
115,Höhle::N,ы́раж,كهف
116,Abhang::N,полом,منحدر
117,Quelle::N,вӹдсӹнзӓ,منبع
118,Bach::N,ӓнгӹр,مجرى
119,Fluss::N,вӹд,نهر
120,Ufer::N,сир,ضفة
121,Küste::N,сир,ساحل
122,Festland::N,мӱлӓндӹ,بر
123,Meer::N,тангыж,بحر
124,Bucht::N,вӹдъял,خليج
125,Insel::N,острок,جزيرة
126,Blume::N,пеледӹш,زهرة
127,Gras::N,шуды,حشيش
128,Wurzel::N,важ,أصل
129,Baum::N,пушӓнгӹ,شجرة
130,Stamm::N,пушӓнгӹ тӹнг,جذع
131,Rinde::N,каргыж,قشرة
132,Ast::N,укш,فرع
133,Zweig::N,укш,غصن
134,Blatt::N,листӹ,ورقة
135,Birke::N,куги,قضبان
136,Kiefer[Baum]::N,йӓктӹ,صنوبرة
137,Weide[Baum]::N,уа,صفصاف
138,Tanne::N,кож,شوح
139,Tanne::N,кож,تبوب
140,Horn::N,шур,قرن
141,Feder::N,пын,ريشة
142,Fell::N,кавашты,فرو
143,Flügel::N,шылдыр,جناح
144,Klaue::N,кӹч,مخلب
145,Kralle::N,лапа,مخلب
146,Schwanz::N,пач,ذيل
147,Ei::N,мыны,بيض
148,Nest::N,пӹжӓш,عش
149,Bau::N,ыраж,جحر
150,Tier::N,во́льык,حيوان
151,Herde::N,кӹтö,قطيع
152,Kuh::N,ышкал,بقرة
153,Bulle::N,ӱшкӱж,ثور
154,Pferd::N,имни,خيل
155,Schaf::N,шарык,شاة
156,Schwein::N,сасна,خنزير
157,Hund::N,пи,كلب
158,Katze::N,коти,قطة
159,Bär::N,мöскӓ,دب
160,Eichhörnchen::N,ур,سنجاب
161,Elch::N,шарды,موظ
162,Fuchs::N,рӹвӹж,ثعلب
163,Hase::N,морен,أرنب
164,Maus::N,каля,فأرة
165,Wolf::N,пирӹ,ذئب
166,Vogel::N,кек,طير
167,Schwarm::N,цуца,سرب
