,Concept_ID,he,no
0,Auge::N,עין,øye
1,Ohr::N,אזן,øre
2,Nase::N,אף,nese
3,Nase::N,חטם,nese
4,Mund::N,פה,munn
5,Zahn::N,שן,tann
6,Zunge::N,לשון,tunge
7,Lippe::N,שפה,leppe
8,Wange::N,לחי,kinn
9,Gesicht::N,פנים,fjes
10,Gesicht::N,פנים,ansikt
11,Stirn::N,מצח,panne
12,Haar::N,שערה,hår
13,Schnurrbart::N,שפם,bart
14,Bart::N,זקן,skjegg
15,Kinn::N,סנטר,hake
16,Kiefer[Anatomie]::N,לסת,kjeve
17,Kehle::N,גרון,strupe
18,Hals::N,צואר,hals
19,Genick::N,ערף,nakke
20,Kopf::N,ראש,hode
21,Rücken::N,גב,rygg
22,Bauch::N,בטן,buk
23,Bauch::N,בטן,mage
24,Nabel::N,טבור,navle
25,Busen::N,שד,barm
26,Brust::N,חזה,bryst
27,Schulter::N,כתף,skulder
28,Arm::N,זרוע,arm
29,Ellenbogen::N,מרפק,albue
30,Hand::N,יד,hånd
31,Handfläche::N,כף יד,håndflate
32,Finger::N,אצבע,finger
33,Fingernagel::N,צפרן,fingernegl
34,Nagel[Anatomie]::N,צפרן,negl
35,Zeh::N,אצבע,tå
36,Fuß::N,רגל,fot
37,Ferse::N,עקב,hæl
38,Knie::N,ברך,kne
39,Oberschenkel::N,ירך,lår
40,Bein::N,רגל,bein
41,Körper::N,גוף,kropp
42,Körper::N,גוף,legeme
43,Haut::N,עור,hud
44,Haut::N,עור,skinn
45,Blut::N,דם,blod
46,Ader::N,וריד,åre
47,Sehne::N,גיד,sene
48,Knochen::N,עצם,bein
49,Knochen::N,עצם,knokkel
50,Gehirn::N,מוח,hjerne
51,Herz::N,לב,hjerte
52,Magen::N,קבה,mage
53,Leber::N,כבד,lever
54,Atem::N,נשימה,pust
55,Hunger::N,רעב,sult
56,Träne::N,דמעה,tåre
57,Geschmack::N,טעם,smak
58,Geruch::N,ריח,lukt
59,Schlaf::N,שנה,søvn
60,Traum::N,חלום,drøm
61,Himmel::N,שמים,himmel
62,Sonne::N,שמש,sol
63,Mond::N,ירח,måne
64,Stern::N,כוכב,stjerne
65,Luft::N,אויר,luft
66,Wind::N,רוח,vind
67,Welle::N,גל,bølge
68,Wasser::N,מים,vann
69,Stein::N,אבן,stein
70,Boden::N,קרקע,bakke
71,Erde::N,אדמה,jord
72,Staub::N,אבק,støv
73,Rauch::N,עשן,røyk
74,Funke::N,ניצוץ,gnist
75,Feuer::N,אש,ild
76,Licht::N,אור,lys
77,Schatten::N,צל,skygge
78,Wetter::N,מזג אויר,vær
79,Nebel::N,ערפל,tåke
80,Wolke::N,ענן,sky
81,Regen::N,גשם,regn
82,Schnee::N,שלג,snø
83,Eis::N,קרח,is
84,Frost::N,צנה,frost
85,Kälte::N,קר,kulde
86,Hitze::N,חם,hete
87,Raureif::N,כפור,rimfrost
88,Regenbogen::N,קשת,regnbue
89,Donner::N,רעם,torden
90,Strömung::N,זרימה,strømning
91,Tropfen::N,טפה,dråpe
92,Schaum::N,קצף,skum
93,Schmutz::N,לכלוך,søl
94,Schmutz::N,לכלוך,skitt
95,See::N,אגם,sjø
96,Sumpf::N,בצה,sump
97,Sumpf::N,בצה,myrlende
98,Moor::N,בצה,myr
99,Moor::N,בצה,myrhei
100,Wiese::N,מרעה,eng
101,Wald::N,יער,skog
102,Hügel::N,תל,haug
103,Hügel::N,תל,bakke
104,Anhöhe::N,מעלה,haug
105,Anhöhe::N,מעלה,bakke
106,Berg::N,הר,berg
107,Berg::N,הר,fjell
108,Gipfel::N,פסגה,topp
109,Höhle::N,מערה,hule
110,Abhang::N,מדרון,li
111,Abhang::N,מדרון,skråning
112,Abhang::N,שפוע,li
113,Abhang::N,שפוע,skråning
114,Quelle::N,מעין,kilde
115,Bach::N,נחל,bekk
116,Fluss::N,נהר,elv
117,Ufer::N,גדה,bredd
118,Küste::N,חוף,kyst
119,Festland::N,יבשה,fastland
120,Meer::N,ים,hav
121,Bucht::N,מפרץ,bukt
122,Insel::N,אי,øy
123,Blume::N,פרח,blomst
124,Gras::N,דשא,gress
125,Wurzel::N,שרש,rot
126,Baum::N,עץ,tre
127,Stamm::N,גזע,stamme
128,Rinde::N,קלפת עץ,bark
129,Ast::N,ענף,gren
130,Zweig::N,ענף,kvist
131,Blatt::N,עלה,blad
132,Birke::N,שדר,bjørk
133,Kiefer[Baum]::N,ארן,furu
134,Weide[Baum]::N,ערבה,selje
135,Weide[Baum]::N,ערבה,piletre
136,Tanne::N,אשוח,gran
137,Horn::N,קרן,horn
138,Feder::N,נוצה,fjær
139,Fell::N,פרוה,skinn
140,Flügel::N,כנף,vinge
141,Klaue::N,טלף,klauv
142,Kralle::N,טפר,klo
143,Schwanz::N,זנב,hale
144,Ei::N,ביצה,egg
145,Nest::N,קן,rede
146,Bau::N,מחלה,hi
147,Tier::N,חיה,dyr
148,Herde::N,עדר,flokk
149,Kuh::N,פרה,ku
150,Bulle::N,פר,tyr
151,Pferd::N,סוס,hest
152,Schaf::N,כבשה,får
153,Schwein::N,חזיר,gris
154,Hund::N,כלב,hund
155,Katze::N,חתול,katt
156,Bär::N,דב,bjørn
157,Eichhörnchen::N,סנאי,ekorn
158,Elch::N,דישון,elg
159,Fuchs::N,שועל,rev
160,Hase::N,ארנב,hare
161,Maus::N,עכבר,mus
162,Wolf::N,זאב,ulv
163,Wolf::N,זאב,varg
164,Vogel::N,צפור,fugl
165,Schwarm::N,נחיל,sverm
166,Schwarm::N,להקה,sverm
167,Huhn::N,תרנגלת,høne
168,Hahn::N,תרנגול,hane
169,Gans::N,אוז,gås
170,Adler::N,עיט,ørn
171,Ente::N,ברוז,and
172,Eule::N,ינשוף,ugle
173,Kranich::N,עגור,trane
174,Kranich::N,כרוכיה,trane
175,Krähe::N,עורב,kråke
176,Kuckuck::N,קוקיה,gjøk
177,Schwan::N,ברבור,svane
178,Fisch::N,דג,fisk
179,Barsch::N,אוקונוס,abbor
180,Hecht::N,זאב הים,gjedde
181,Schlange[Tier]::N,נחש,orm
182,Schlange[Tier]::N,נחש,slange
183,Wurm::N,תולעת,orm
184,Wurm::N,תולעת,mark
185,Spinne::N,עכביש,edderkopp
186,Ameise::N,נמלה,maur
187,Laus::N,כנה,lus
188,Mücke::N,יתוש,mygg
189,Fliege::N,זבוב,flue
190,Schmetterling::N,פרפר,sommerfugl
191,Beere::N,ענבה,bær
192,Apfel::N,תפוח,eple
193,Pilz::N,פטריה,sopp
194,Zwiebel::N,בצל,løk
195,Saat::N,זרעים,sæd
196,Korn::N,גרעין,korn
197,Heu::N,חציר,høy
198,Schale::N,קלפה,skall
199,Grube::N,בור,grop
200,Grube::N,שוחה,grop
201,Falle::N,מלכדת,felle
202,Schlinge::N,לולאה,snare
203,Spur::N,עקבה,spor
204,Asche::N,אפר,aske
205,Dreck::N,זהמה,møkk
206,Dreck::N,זהמה,skitt
207,Eisen::N,ברזל,jern
208,Gold::N,זהב,gull
209,Silber::N,כסף,sølv
210,Kohle::N,פחם,kol
211,Kohle::N,פחם,kull
212,Glas::N,זכוכית,glass
213,Lehm::N,חרסית,leire
214,Sand::N,חול,sand
215,Mensch::N,אדם,menneske
216,Mann::N,איש,mann
217,Mann::N,גבר,mann
218,Frau::N,אשה,kvinne
219,Frau::N,גברת,kvinne
220,Kind::N,ילד,barn
221,Junge::N,ילד,gutt
222,Mädchen::N,נערה,pike
223,Mädchen::N,נערה,jente
224,Familie::N,משפחה,familie
225,Großvater::N,סבא,bestefar
226,Großmutter::N,סבתא,bestemor
227,Eltern::N,הורים,foreldre
228,Vater::N,אב,far
