,Concept_ID,no,ja
0,Auge::N,øye,目
1,Ohr::N,øre,耳
2,Nase::N,nese,鼻
3,Mund::N,munn,口
4,Zahn::N,tann,歯
5,Zunge::N,tunge,舌
6,Lippe::N,leppe,唇
7,Wange::N,kinn,頬
8,Gesicht::N,fjes,顔
9,Gesicht::N,ansikt,顔
10,Stirn::N,panne,額
11,Haar::N,hår,髪
12,Schnurrbart::N,bart,口髭
13,Bart::N,skjegg,髭
14,Kinn::N,hake,顎
15,Kiefer[Anatomie]::N,kjeve,顎
16,Kehle::N,strupe,喉
17,Hals::N,hals,首
18,Genick::N,nakke,首
19,Kopf::N,hode,頭
20,Rücken::N,rygg,背中
21,Bauch::N,buk,腹
22,Bauch::N,buk,お腹
23,Bauch::N,mage,腹
24,Bauch::N,mage,お腹
25,Nabel::N,navle,へそ
26,Busen::N,barm,乳房
27,Brust::N,bryst,胸
28,Schulter::N,skulder,肩
29,Arm::N,arm,腕
30,Ellenbogen::N,albue,肘
31,Hand::N,hånd,手
32,Handfläche::N,håndflate,手のひら
33,Finger::N,finger,指
34,Fingernagel::N,fingernegl,爪
35,Nagel[Anatomie]::N,negl,爪
36,Zeh::N,tå,足の指
37,Fuß::N,fot,足
38,Ferse::N,hæl,かかと
39,Knie::N,kne,膝
40,Oberschenkel::N,lår,上腿
41,Bein::N,bein,足
42,Körper::N,kropp,体
43,Körper::N,legeme,体
44,Haut::N,hud,皮膚
45,Haut::N,skinn,皮膚
46,Blut::N,blod,血
47,Ader::N,åre,血管
48,Sehne::N,sene,腱
49,Knochen::N,bein,骨
50,Knochen::N,knokkel,骨
51,Gehirn::N,hjerne,脳
52,Herz::N,hjerte,心
53,Herz::N,hjerte,心臓
54,Magen::N,mage,胃
55,Leber::N,lever,肝臓
56,Atem::N,pust,息
57,Atem::N,pust,呼吸
58,Hunger::N,sult,空腹
59,Träne::N,tåre,涙
60,Geschmack::N,smak,味
61,Geruch::N,lukt,匂い
62,Schlaf::N,søvn,睡眠
63,Traum::N,drøm,夢
64,Himmel::N,himmel,空
65,Sonne::N,sol,太陽
66,Mond::N,måne,月
67,Stern::N,stjerne,星
68,Luft::N,luft,空気
69,Wind::N,vind,風
70,Welle::N,bølge,波
71,Wasser::N,vann,水
72,Stein::N,stein,石
73,Boden::N,bakke,土地
74,Erde::N,jord,土
75,Staub::N,støv,埃
76,Rauch::N,røyk,煙
77,Funke::N,gnist,火花
78,Feuer::N,ild,火
79,Licht::N,lys,光
80,Schatten::N,skygge,陰
81,Wetter::N,vær,天気
82,Nebel::N,tåke,霧
83,Wolke::N,sky,雲
84,Regen::N,regn,雨
85,Schnee::N,snø,雪
86,Eis::N,is,氷
87,Frost::N,frost,霜
88,Kälte::N,kulde,寒さ
89,Hitze::N,hete,暑さ
90,Raureif::N,rimfrost,霧氷
91,Regenbogen::N,regnbue,虹
92,Donner::N,torden,雷
93,Strömung::N,strømning,流れ
94,Tropfen::N,dråpe,滴
