,Concept_ID,ps,no
0,Auge::N,سترګه,øye
1,Ohr::N,غوږ,øre
2,Nase::N,پوزه,nese
3,Mund::N,خوله,munn
4,Zahn::N,غاښ,tann
5,Zunge::N,جبه,tunge
6,Lippe::N,شونډه,leppe
7,Wange::N,باړخو,kinn
8,Gesicht::N,مخ,fjes
9,Gesicht::N,مخ,ansikt
10,Stirn::N,تندی,panne
11,Stirn::N,وچولی,panne
12,Haar::N,وېښته,hår
13,Schnurrbart::N,برېت,bart
14,Bart::N,ږیره,skjegg
15,Kinn::N,زنه,hake
16,Kiefer[Anatomie]::N,جامه,kjeve
17,Kehle::N,غاړه,strupe
18,Hals::N,غاړه,hals
19,Genick::N,ورمېږ,nakke
20,Kopf::N,سر,hode
21,Rücken::N,شا,rygg
22,Bauch::N,نس,buk
23,Bauch::N,نس,mage
24,Bauch::N,ګېډه,buk
25,Bauch::N,ګېډه,mage
26,Nabel::N,نوم,navle
27,Busen::N,تی,barm
28,Brust::N,سینه,bryst
29,Schulter::N,اوږه,skulder
30,Arm::N,لاس,arm
31,Ellenbogen::N,څنګل,albue
32,Hand::N,لاس,hånd
33,Handfläche::N,ورغوی,håndflate
34,Finger::N,ګوته,finger
35,Fingernagel::N,نوک,fingernegl
36,Nagel[Anatomie]::N,نوک,negl
37,Zeh::N,ګوته,tå
38,Fuß::N,پښه,fot
39,Ferse::N,پونده,hæl
40,Knie::N,زنګون,kne
41,Oberschenkel::N,پتون,lår
42,Bein::N,پښه,bein
43,Körper::N,ځان,kropp
44,Körper::N,ځان,legeme
45,Haut::N,پوټکی,hud
46,Haut::N,پوټکی,skinn
47,Blut::N,وینه,blod
48,Ader::N,رګ,åre
49,Sehne::N,پله,sene
50,Knochen::N,هډوکی,bein
51,Knochen::N,هډوکی,knokkel
52,Gehirn::N,ماغزه,hjerne
53,Herz::N,زړه,hjerte
54,Magen::N,معده,mage
55,Leber::N,ينه,lever
56,Leber::N,ځیګر,lever
57,Atem::N,نفس,pust
58,Hunger::N,ولږه,sult
59,Träne::N,اوښکه,tåre
60,Geschmack::N,مزه,smak
61,Geschmack::N,خوند,smak
62,Geruch::N,بوی,lukt
63,Schlaf::N,خوب,søvn
64,Traum::N,خوب,drøm
65,Himmel::N,اسمان,himmel
66,Sonne::N,لمر,sol
67,Mond::N,سپوږمۍ,måne
68,Stern::N,ستوری,stjerne
69,Luft::N,هوا,luft
70,Wind::N,ورښ,vind
71,Welle::N,موج,bølge
72,Wasser::N,اوبه,vann
73,Stein::N,ډبره,stein
74,Boden::N,مځکه,bakke
75,Erde::N,خاوره,jord
76,Staub::N,ګرد,støv
77,Staub::N,خاوره,støv
78,Rauch::N,دود,røyk
79,Rauch::N,لوګی,røyk
80,Funke::N,سپرغۍ,gnist
81,Feuer::N,اور,ild
82,Licht::N,رڼا,lys
83,Schatten::N,سیوری,skygge
84,Wetter::N,هوا,vær
85,Nebel::N,لړه,tåke
86,Wolke::N,ورېځ,sky
87,Regen::N,وریا,regn
88,Regen::N,باران,regn
89,Schnee::N,واوره,snø
90,Eis::N,یخ,is
91,Eis::N,کنګل,is
92,Frost::N,یخ,frost
93,Kälte::N,ساړه,kulde
94,Hitze::N,تودوخي,hete
95,Raureif::N,سپینه پرخه,rimfrost
96,Regenbogen::N,بوډۍ ټال,regnbue
97,Regenbogen::N,سره زرغونه,regnbue
98,Donner::N,تالنده,torden
99,Strömung::N,بهېدنه,strømning
100,Tropfen::N,قطره,dråpe
101,Tropfen::N,څاڅکی,dråpe
102,Schaum::N,ځګ,skum
103,Schmutz::N,ناپاکي,søl
104,Schmutz::N,ناپاکي,skitt
105,See::N,جهیل,sjø
106,Sumpf::N,جبه,sump
107,Sumpf::N,جبه,myrlende
108,Moor::N,جبه,myr
109,Moor::N,جبه,myrhei
110,Wiese::N,چمن,eng
111,Wiese::N,شنېلی,eng
112,Wald::N,ځنګل,skog
113,Hügel::N,تپه,haug
114,Hügel::N,تپه,bakke
115,Anhöhe::N,غونډۍ,haug
116,Anhöhe::N,غونډۍ,bakke
117,Berg::N,غ‍‍‍‍‍ر,berg
118,Berg::N,غ‍‍‍‍‍ر,fjell
119,Gipfel::N,څوکه,topp
120,Höhle::N,کاز,hule
121,Abhang::N,لمن,li
122,Abhang::N,لمن,skråning
123,Quelle::N,چینه,kilde
124,Bach::N,واله,bekk
125,Fluss::N,سیند,elv
126,Ufer::N,غاړه,bredd
127,Küste::N,ساحل,kyst
128,Festland::N,وچه,fastland
129,Meer::N,بحر,hav
130,Meer::N,سمندر,hav
131,Bucht::N,کارۍ,bukt
132,Insel::N,ټاپو,øy
133,Insel::N,جزيره,øy
134,Blume::N,ګل,blomst
135,Gras::N,واښه,gress
136,Wurzel::N,ریښه,rot
137,Baum::N,ونه,tre
138,Stamm::N,ډډ,stamme
139,Rinde::N,پوستکی,bark
140,Ast::N,ښاخ,gren
141,Zweig::N,څانګه,kvist
142,Blatt::N,پاڼه,blad
143,Birke::N,توس,bjørk
144,Kiefer[Baum]::N,نښتر,furu
145,Weide[Baum]::N,وله,selje
146,Weide[Baum]::N,وله,piletre
147,Tanne::N,ناجو,gran
148,Horn::N,ښکر,horn
149,Feder::N,بڼکه,fjær
150,Fell::N,پوستکی,skinn
151,Flügel::N,وزر,vinge
152,Klaue::N,پنجه,klauv
153,Klaue::N,منګول,klauv
154,Kralle::N,پنجه,klo
155,Kralle::N,منګول,klo
156,Schwanz::N,لکۍ,hale
157,Ei::N,وۍ,egg
158,Ei::N,هګۍ,egg
159,Nest::N,جاله,rede
160,Bau::N,کاز,hi
161,Tier::N,ژوی,dyr
162,Tier::N,حیوان,dyr
163,Herde::N,رمه,flokk
164,Herde::N,غېله,flokk
165,Kuh::N,غوا,ku
166,Bulle::N,غوئی,tyr
167,Pferd::N,آس,hest
168,Schaf::N,پسه,får
169,Schwein::N,سرکوزی,gris
170,Hund::N,سپی,hund
171,Katze::N,پشه,katt
172,Bär::N,خرس,bjørn
173,Eichhörnchen::N,خړ لمی,ekorn
174,Elch::N,ګوزن,elg
175,Fuchs::N,سپلم,rev
176,Hase::N,سوی,hare
177,Maus::N,مږک,mus
178,Wolf::N,لېوه,ulv
179,Wolf::N,لېوه,varg
180,Vogel::N,مرغه,fugl
181,Schwarm::N,سېل,sverm
182,Huhn::N,چرګه,høne
183,Hahn::N,چرګ,hane
184,Gans::N,بته,gås
185,Adler::N,عقاب,ørn
186,Ente::N,ایلۍ,and
187,Eule::N,ګونګی,ugle
188,Kranich::N,کلنګ,trane
189,Krähe::N,کارغه,kråke
190,Kuckuck::N,فاخته,gjøk
191,Schwan::N,قو,svane
192,Fisch::N,کب,fisk
193,Fisch::N,ماهی,fisk
194,Schlange[Tier]::N,مار,orm
195,Schlange[Tier]::N,مار,slange
196,Wurm::N,چینجی,orm
197,Wurm::N,چینجی,mark
198,Spinne::N,غڼه,edderkopp
199,Spinne::N,تارکښ,edderkopp
200,Ameise::N,مېږی,maur
201,Laus::N,سپږه,lus
202,Mücke::N,ماشی,mygg
203,Fliege::N,مچ,flue
204,Schmetterling::N,پتنګ,sommerfugl
205,Beere::N,مېوۍ,bær
206,Apfel::N,مڼه,eple
207,Pilz::N,خرېړی,sopp
208,Zwiebel::N,پیاز,løk
209,Saat::N,تخم,sæd
210,Korn::N,تخم,korn
211,Korn::N,دانه,korn
212,Heu::N,بوس,høy
213,Heu::N,پروړه,høy
214,Schale::N,پوستکی,skall
215,Grube::N,کنده,grop
216,Falle::N,دام,felle
217,Falle::N,لومه,felle
218,Schlinge::N,کړۍ,snare
219,Spur::N,نښه,spor
220,Asche::N,آس,aske
221,Asche::N,ایره,aske
222,Dreck::N,ناپاکي,møkk
223,Dreck::N,ناپاکي,skitt
224,Eisen::N,اوسپنه,jern
225,Gold::N,سره زر,gull
226,Silber::N,نقره,sølv
227,Silber::N,سپین زر,sølv
228,Kohle::N,سکور,kol
229,Kohle::N,سکور,kull
230,Kohle::N,سکاره,kol
231,Kohle::N,سکاره,kull
232,Glas::N,ښيښه,glass
233,Lehm::N,خټه,leire
234,Sand::N,شګه,sand
235,Mensch::N,انسان,menneske
236,Mann::N,سړی,mann
237,Mann::N,نارینه,mann
238,Frau::N,ښځه,kvinne
239,Kind::N,بچی,barn
240,Kind::N,ماشوم,barn
241,Junge::N,هلک,gutt
242,Mädchen::N,نجلۍ,pike
243,Mädchen::N,نجلۍ,jente
244,Familie::N,کورنۍ,familie
245,Großvater::N,بابا,bestefar
246,Großmutter::N,انا,bestemor
247,Eltern::N,مور او پلار,foreldre
248,Vater::N,پلار,far
249,Mutter::N,مور,mor
250,Sohn::N,زوی,sønn
251,Tochter::N,لور,datter
252,Bruder::N,ورور,bror
253,Schwester::N,خور,søster
254,Onkel::N,تره,onkel
255,Onkel::N,ماما,onkel
256,Tante::N,خاله,tante
257,Ehemann::N,مېړه,ektemann
258,Ehefrau::N,مېرمن,hustru
259,Freude::N,خوشحالي,glede
260,Gelächter::N,خندا,latter
261,Glück::N,بخت,lykke
262,Kummer::N,غم,sorg
263,Wunsch::N,هيله,ønske
264,Wunsch::N,غوښتنه,ønske
265,Lust::N,شوق,lyst
266,Lust::N,مینه,lyst
267,Geist::N,روح,ånd
268,Gedanke::N,فکر,tanke
269,Gedächtnis::N,یاد,minne
270,Gedächtnis::N,یاد,hukommelse
271,Gedächtnis::N,حافظه,minne
272,Gedächtnis::N,حافظه,hukommelse
273,Verstand::N,عقل,forstand
274,Verstand::N,شعور,forstand
275,Sinn::N,معنی,mening
276,Sinn::N,معنی,betydning
277,Grund::N,علت,grunn
278,Grund::N,اساس,grunn
279,Wahrheit::N,حقیقت,sannhet
280,Gespräch::N,مرکه,samtale
281,Gespräch::N,خبرې اترې,samtale
282,Märchen::N,افسانه,eventyr
283,Erzählung::N,قصه,fortelling
284,Erzählung::N,کیسه,fortelling
285,Nachricht::N,خبر,melding
286,Neuigkeit::N,نوی خبر,nyhet
287,Name::N,نوم,navn
288,Rätsel::N,کیسۍ,gåte
289,Rätsel::N,چیستان,gåte
290,Rede::N,وینا,tale
291,Sprache::N,ژبه,språk
292,Stimme::N,غږ,stemme
293,Stimme::N,اواز,stemme
294,Wort::N,لغت,ord
295,Wort::N,کلمه,ord
296,Zeichen::N,نښه,tegn
297,Zeichen::N,اشاره,tegn
298,Ruf::N,ږغ,rop
299,Ruf::N,بلنه,rop
300,Lärm::N,غالمغال,bråk
301,Laut::N,ږغ,lyd
302,Ton::N,اواز,tone
303,Lied::N,غزله,vise
304,Lied::N,سندره,vise
305,Ruhe::N,ارامي,ro
306,Leute::N,خلک,folk
307,Volk::N,ولس,folk
308,Arbeit::N,کار,arbeid
309,Gast::N,مېلمه,gjest
310,Geschenk::N,تحفه,gave
311,Geschenk::N,سوغات,gave
312,Spiel::N,لوبه,lek
313,Spiel::N,لوبه,spill
314,Gesellschaft::N,ډله,selskap
315,Hilfe::N,کومک,hjelp
316,Hilfe::N,مرسته,hjelp
317,Freund::N,ملګری,venn
318,Kamerad::N,انډيوال,kamerat
319,Angelegenheit::N,موضوع,sak
320,Angelegenheit::N,موضوع,anliggende
321,Anzahl::N,شمېر,antall
322,Anzahl::N,تعداد,antall
323,Art::N,ډول,art
324,Art::N,ډول,slag
325,Stück::N,ټوټه,stykke
326,Teil::N,برخه,del
327,Hälfte::N,نیم,halvdel
328,Kreis::N,دایره,ring
329,Kreis::N,دایره,sirkel
330,Kreuz::N,صلیب,kors
331,Kreuz::N,صلیب,kryss
332,Linie::N,خط,linje
333,Linie::N,لیکه,linje
334,Strich::N,کرښه,strek
335,Abstand::N,فاصله,avstand
336,Entfernung::N,واټن,avstand
337,Gegend::N,سیمه,strøk
338,Gegend::N,منطقه,strøk
339,Platz::N,ځای,plass
340,Ort::N,ځای,sted
341,Seite::N,مخ,side
342,Seite::N,اړخ,side
343,Mitte::N,وسط,midte
344,Mitte::N,مینځ,midte
345,Gegenstand::N,شی,gjenstand
346,Sache::N,شی,sak
347,Sache::N,څيز,sak
348,Rand::N,څنډه,rand
349,Rand::N,کناره,rand
350,Kante::N,اړخ,kant
351,Ecke::N,ګوټ,hjørne
352,Spitze::N,څوکه,spiss
353,Ende::N,څوکه,ende
354,Loch::N,سوری,hull
355,Winkel::N,کنج,vinkel
356,Winkel::N,کوتی,vinkel
357,Muster::N,نمونه,mønster
358,Größe::N,قد,størrelse
359,Größe::N,لويوالی,størrelse
360,Länge::N,طول,lengde
361,Länge::N,اوږد والی,lengde
