,Concept_ID,mhr,es
0,Auge::N,шинча́,ojo
1,Ohr::N,пы́лыш,oreja
2,Nase::N,нер,nariz
3,Mund::N,умша́,boca
4,Zahn::N,пӱй,diente
5,Zunge::N,йы́лме,lengua
6,Lippe::N,тӱ́рвӧ,labio
7,Wange::N,шӱ́ргӧ,mejilla
8,Gesicht::N,чури́й,cara
9,Stirn::N,саҥга́,frente
10,Haar::N,ӱп,cabello
11,Schnurrbart::N,ӧ́рыш,bigote
12,Bart::N,понда́ш,barba
13,Kinn::N,оҥыла́ш,barbilla
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,mandíbula
15,Kiefer[Anatomie]::N,пӱйората́,mandíbula
16,Kehle::N,лога́р,garganta
17,Hals::N,шӱй,cuello
18,Genick::N,шӱйло́дыш,nuca
19,Genick::N,шӱйло́дыш,cerviz
20,Kopf::N,вуй,cabeza
21,Rücken::N,туп,espalda
22,Bauch::N,мӱ́шкыр,vientre
23,Nabel::N,кы́лымде,ombligo
24,Busen::N,чы́зе,pecho
25,Brust::N,оҥ,pecho
26,Schulter::N,ва́че,hombro
27,Arm::N,кид,brazo
28,Ellenbogen::N,кынерву́й,codo
29,Hand::N,кид,mano
30,Hand::N,копа́,mano
31,Handfläche::N,со́во,palma
32,Finger::N,парня́,dedo
33,Fingernagel::N,кидкӱ́ч,uña
34,Fingernagel::N,парнягӱ́ч,uña
35,Nagel[Anatomie]::N,кӱч,uña
36,Zeh::N,йолварня́,dedo del pie
37,Fuß::N,йол,pie
38,Fuß::N,йолкопа́,pie
39,Ferse::N,тага́н,talón
40,Knie::N,пулву́й,rodilla
41,Oberschenkel::N,э́рде,muslo
42,Bein::N,йол,pierna
43,Körper::N,кап,cuerpo
44,Haut::N,кова́ште,piel
45,Blut::N,вӱр,sangre
46,Ader::N,шӧн,vena
47,Sehne::N,шӧн,tendón
48,Sehne::N,кӱсе́н,tendón
49,Knochen::N,лу,hueso
50,Gehirn::N,вем,cerebro
51,Gehirn::N,вем,encéfalo
52,Gehirn::N,вуйве́м,cerebro
53,Gehirn::N,вуйве́м,encéfalo
54,Herz::N,шӱм,corazón
55,Magen::N,пага́р,estómago
56,Leber::N,мокш,hígado
57,Atem::N,шӱ́лыш,aliento
58,Hunger::N,шужыма́ш,hambre
59,Träne::N,шинчавӱ́д,lágrima
60,Geschmack::N,там,gusto
61,Geruch::N,пуш,olor
62,Schlaf::N,о́мо,sueño
63,Traum::N,йӱдо́мо,sueño
64,Traum::N,йӱдо́мо,ensueño
65,Himmel::N,кава́,cielo
66,Sonne::N,ке́че,sol
67,Mond::N,ты́лзе,luna
68,Stern::N,шӱ́дыр,estrella
69,Luft::N,юж,aire
70,Wind::N,марде́ж,viento
71,Welle::N,то́лкын,ola
72,Welle::N,то́лкын,onda
73,Wasser::N,вӱд,agua
74,Stein::N,кӱ,piedra
75,Boden::N,рок,suelo
76,Erde::N,мла́нде,tierra
77,Staub::N,пура́к,polvo
78,Rauch::N,шикш,humo
79,Funke::N,сеске́м,chispa
80,Funke::N,тулйы́п,chispa
81,Feuer::N,тул,fuego
82,Licht::N,со́то,luz
83,Schatten::N,ӱ́мыл,sombra
84,Wetter::N,иге́че,tiempo
85,Nebel::N,тӱтыра́,niebla
86,Wolke::N,пыл,nube
87,Regen::N,йӱр,lluvia
88,Schnee::N,лум,nieve
89,Eis::N,ий,hielo
90,Frost::N,чатлама́,helada
91,Kälte::N,йӱ́штӧ,frío
92,Hitze::N,шо́кшо,calor
93,Raureif::N,пӧрш,escarcha
94,Raureif::N,по́кшым,escarcha
95,Regenbogen::N,шонанпы́л,arco iris
96,Donner::N,кӱ́дырчӧ,trueno
97,Strömung::N,йо́гын,corriente
98,Tropfen::N,чӱча́лтыш,gota
99,Schaum::N,шоҥ,espuma
100,Schmutz::N,лавыра́,suciedad
101,See::N,ер,lago
102,Sumpf::N,лӱ́кӧ,pantano
103,Moor::N,куп,turbera
104,Wiese::N,о́лык,prado
105,Wiese::N,о́лык,pradera
106,Wald::N,чодыра́,bosque
107,Hügel::N,арка́,colina
108,Anhöhe::N,тӧва́,cerro
109,Anhöhe::N,кӱкшака́,cerro
110,Berg::N,ку́рык,monte
111,Berg::N,ку́рык,montaña
112,Gipfel::N,чаҥга́,cima
113,Gipfel::N,чаҥга́,cumbre
114,Gipfel::N,курыкву́й,cima
115,Gipfel::N,курыкву́й,cumbre
116,Höhle::N,пеще́р,cueva
117,Höhle::N,пеще́р,caverna
118,Höhle::N,курыкпо́мыш,cueva
119,Höhle::N,курыкпо́мыш,caverna
120,Abhang::N,та́йыл,cuesta
121,Abhang::N,та́йыл,declive
122,Quelle::N,важ,fuente
123,Quelle::N,важ,manantial
124,Quelle::N,вӱдшинча́,fuente
125,Quelle::N,вӱдшинча́,manantial
126,Bach::N,изэҥе́р,arroyo
127,Fluss::N,эҥе́р,río
128,Ufer::N,сер,orilla
129,Küste::N,вӱдтӱ́р,costa
130,Festland::N,мла́нде,tierra firme
131,Meer::N,те́ҥыз,mar
132,Bucht::N,икса́,cala
133,Bucht::N,икса́,bahía
134,Insel::N,отро́,isla
135,Blume::N,пеле́дыш,flor
136,Gras::N,шу́до,hierba
137,Wurzel::N,вож,raíz
138,Baum::N,пуше́ҥге,árbol
139,Stamm::N,йы́тыр,tronco
140,Rinde::N,шӱм,corteza
141,Ast::N,укш,rama
142,Zweig::N,торма́к,ramo
143,Blatt::N,лышта́ш,hoja
144,Birke::N,куэ́,abedul
145,Kiefer[Baum]::N,пӱ́нчӧ,pino
146,Weide[Baum]::N,уа́,sauce
147,Tanne::N,кож,abeto
148,Horn::N,шур,asta
149,Horn::N,шур,cuerno
150,Feder::N,пы́стыл,pluma
151,Fell::N,кова́ште,piel
152,Flügel::N,шу́лдыр,ala
153,Klaue::N,кӱч,garra
154,Kralle::N,ла́па,uña
155,Kralle::N,ла́па,garra
156,Kralle::N,копа́,uña
157,Kralle::N,копа́,garra
158,Schwanz::N,поч,cola
