,Concept_ID,tt,az
0,Auge::N,күз,göz
1,Ohr::N,колак,qulaq
2,Nase::N,борын,burun
3,Mund::N,авыз,ağız
4,Mund::N,тамак,ağız
5,Zahn::N,теш,diş
6,Zunge::N,тел,dil
7,Lippe::N,ирен,dodaq
8,Wange::N,яңак,yanaq
9,Gesicht::N,йөз,üz
10,Stirn::N,маңгай,alın
11,Haar::N,чәч,saç
12,Schnurrbart::N,мыек,bığ
13,Bart::N,сакал,saqqal
14,Kinn::N,ияк,çənə
15,Kiefer[Anatomie]::N,казналык,çənə
16,Kehle::N,тамак,boğaz
17,Hals::N,бугаз,boyun
18,Genick::N,җилкә,ənsə
19,Kopf::N,баш,baş
20,Rücken::N,сырт,bel
21,Bauch::N,корсак,qarın
22,Nabel::N,кендек,göbək
23,Busen::N,түш,məmə
24,Brust::N,имчәк,döş
25,Brust::N,күкрәк,döş
26,Schulter::N,иңбаш,çiyin
27,Schulter::N,кулбаш,çiyin
28,Arm::N,кул,qol
29,Ellenbogen::N,терсәк,dirsək
30,Hand::N,кул,əl
31,Handfläche::N,уч,ovuc
32,Finger::N,бармак,barmaq
33,Fingernagel::N,тырнак,barmaq dırnağı
34,Nagel[Anatomie]::N,тырнак,dırnak
35,Zeh::N,бармак,ayaq barmağı
36,Fuß::N,табан,ayaq
37,Ferse::N,үкчә,daban
38,Knie::N,тез,diz
39,Oberschenkel::N,бот,bud
40,Bein::N,аяк,qıç
41,Körper::N,тән,əndam
42,Körper::N,җисем,əndam
43,Haut::N,тире,dəri
44,Blut::N,кан,qan
45,Ader::N,тамыр,damar
46,Sehne::N,сеңер,vətər
47,Knochen::N,сөяк,sümük
48,Gehirn::N,ми,beyin
49,Herz::N,йөрәк,ürək
50,Magen::N,ашказаны,mədə
51,Leber::N,бавыр,qara ciyər
52,Atem::N,сулыш,nəfəs
53,Hunger::N,ачлык,aclıq
54,Träne::N,яшь,göz yaşı
55,Geschmack::N,тәм,tam
56,Geschmack::N,тәм,ləzzət
57,Geschmack::N,зәвык,tam
58,Geschmack::N,зәвык,ləzzət
59,Geruch::N,ис,qoxu
60,Schlaf::N,йокы,yuxu
61,Traum::N,төш,röya
62,Himmel::N,күк,göy
63,Himmel::N,күк,səma
64,Sonne::N,кояш,günəş
65,Mond::N,ай,ay
66,Stern::N,йолдыз,ulduz
67,Luft::N,һава,hava
68,Wind::N,җил,yel
69,Wind::N,җил,külək
70,Welle::N,дулкын,dalğa
71,Wasser::N,су,su
72,Stein::N,таш,daş
73,Boden::N,туфрак,yer
74,Boden::N,туфрак,zəmin
75,Erde::N,җир,yer torpaq
76,Staub::N,тузан,toz
77,Rauch::N,төтен,tüstü
78,Funke::N,очкын,qığılcım
79,Feuer::N,ут,od
80,Licht::N,якты,işıq
81,Schatten::N,күләгә,kölgə
82,Wetter::N,һава,hava
83,Nebel::N,томан,duman
84,Wolke::N,болыт,bulud
85,Regen::N,яңгыр,yağış
86,Regen::N,яңгыр,yağmur
87,Schnee::N,кар,qar
88,Eis::N,боз,buz
89,Frost::N,суык,ayaz
90,Frost::N,салкын,ayaz
91,Kälte::N,суык,soyuq
92,Kälte::N,салкын,soyuq
93,Hitze::N,эсселек,coşğunluq
94,Raureif::N,бәс,qırov
95,Raureif::N,сыкы,qırov
96,Regenbogen::N,салават күпере,göy qurşağı
97,Donner::N,күкрәү,göy gurultusu
98,Strömung::N,агыш'агым,axın
99,Tropfen::N,тамчы,damcı
100,Schaum::N,күбек,köpük
