,Concept_ID,sk,ro
0,Auge::N,oko,ochi
1,Ohr::N,ucho,ureche
2,Nase::N,nos,nas
3,Mund::N,ústa,gură
4,Zahn::N,zub,dinte
5,Zunge::N,jazyk,limbă
6,Lippe::N,pera,buză
7,Wange::N,líce,bucă
8,Wange::N,líce,obraz
9,Gesicht::N,tvár,față
10,Gesicht::N,tvár,figură
11,Gesicht::N,obličaj,față
12,Gesicht::N,obličaj,figură
13,Stirn::N,čelo,frunte
14,Haar::N,vlas,păr
15,Schnurrbart::N,fúzy,mustață
16,Bart::N,brada,barbă
17,Kinn::N,brada,bărbie
18,Kiefer[Anatomie]::N,čeľusť,falcă
19,Kehle::N,hrdlo,beregată
20,Hals::N,krk,gât
21,Genick::N,väzy,ceafă
22,Kopf::N,hlava,cap
23,Rücken::N,chrbát,dos
24,Rücken::N,chrbát,spate
25,Rücken::N,chrbát,spinare
26,Bauch::N,brucho,burtă
27,Bauch::N,brucho,pântece
28,Nabel::N,pupok,buric
29,Busen::N,prsia,sân
30,Brust::N,hruď,piept
31,Schulter::N,plece,umăr
32,Schulter::N,plece,spate
33,Arm::N,rameno,braț
34,Ellenbogen::N,lakeť,cot
35,Hand::N,ruka,mână
36,Handfläche::N,dlaň,palmă
37,Finger::N,prst,deget
38,Fingernagel::N,necht,unghie
39,Nagel[Anatomie]::N,necht,unghie
40,Zeh::N,prst na nohe,deget de la picior
41,Fuß::N,noha,picior
42,Ferse::N,päta,călcâi
43,Knie::N,koleno,genunchi
44,Oberschenkel::N,stehno,coapsă
45,Bein::N,noha,picior
46,Körper::N,telo,corp
47,Haut::N,koža,piele
48,Blut::N,krv,sânge
49,Ader::N,žila,vână
50,Ader::N,žila,arteră
51,Sehne::N,šľacha,tendon
52,Knochen::N,kosť,os
53,Gehirn::N,mozog,creier
54,Herz::N,srdce,inimă
55,Magen::N,žalúdok,stomac
56,Leber::N,pečeň,ficat
57,Atem::N,dych,răsuflare
58,Atem::N,dych,respirație
59,Hunger::N,hlad,foame
60,Träne::N,slza,lacrimă
61,Geschmack::N,chuť,gust
62,Geruch::N,pach,miros
63,Schlaf::N,spánok,somn
64,Traum::N,sen,vis
65,Himmel::N,nebo,cer
66,Sonne::N,slnko,soare
67,Mond::N,mesiac,lună
68,Stern::N,hviezda,stea
69,Luft::N,vzduch,aer
70,Wind::N,vietor,vânt
71,Welle::N,vlna,val
72,Welle::N,vlna,undă
73,Wasser::N,voda,apă
74,Stein::N,kameň,piatră
75,Boden::N,zem,sol
76,Boden::N,zem,pământ
77,Boden::N,pôda,sol
78,Boden::N,pôda,pământ
79,Erde::N,zem,pământ
80,Staub::N,prach,praf
81,Rauch::N,dym,fum
82,Funke::N,iskra,scânteie
83,Feuer::N,oheň,foc
84,Licht::N,svetlo,lumină
85,Schatten::N,tieň,umbră
86,Wetter::N,počasie,timp
87,Wetter::N,počasie,vreme
88,Nebel::N,hmla,ceață
89,Nebel::N,hmla,negură
90,Wolke::N,oblak,nor
91,Wolke::N,mračno,nor
92,Regen::N,dážď,ploaie
93,Schnee::N,sneh,zăpadă
94,Eis::N,ľad,gheață
95,Frost::N,mráz,ger
96,Kälte::N,zima,frig
97,Kälte::N,chlad,frig
98,Hitze::N,horúčava,arșiță
99,Hitze::N,horúčava,căldură
100,Raureif::N,srieň,chiciură
101,Raureif::N,inovať,chiciură
102,Regenbogen::N,dúha,curcubeu
103,Donner::N,hrom,tunet
104,Strömung::N,prúdenie,curent
105,Tropfen::N,kvapka,picătură
106,Schaum::N,pena,spumă
107,Schmutz::N,špina,murdărie
108,Schmutz::N,nečistota,murdărie
109,See::N,jazero,lac
110,Sumpf::N,bahno,mlaștină
111,Moor::N,močiar,bărăgan
112,Wiese::N,lúka,fânaț
113,Wiese::N,lúka,livadă
114,Wald::N,les,codru
115,Wald::N,les,pădure
116,Wald::N,hora,codru
117,Wald::N,hora,pădure
118,Hügel::N,vŕšok,deal
119,Hügel::N,vŕšok,movilă
120,Anhöhe::N,výšina,deal
121,Anhöhe::N,výšina,ridicătură
122,Anhöhe::N,vyvýšenina,deal
123,Anhöhe::N,vyvýšenina,ridicătură
124,Berg::N,hora,munte
125,Gipfel::N,vrchol,pisc
126,Höhle::N,jaskyňa,peșteră
127,Abhang::N,úbočie,pantă
128,Abhang::N,úbočie,versant
129,Quelle::N,prameň,izvor
130,Bach::N,potok,gârlă
131,Fluss::N,rieka,râu
132,Fluss::N,rieka,fluviu
133,Ufer::N,breh,mal
134,Ufer::N,breh,țărm
135,Küste::N,pobrežie,coastă
136,Festland::N,pevnina,uscat
137,Meer::N,more,mare
138,Bucht::N,záliv,golf
139,Bucht::N,zátoka,golf
140,Insel::N,ostrov,insulă
141,Blume::N,kvet,floare
142,Blume::N,kvetina,floare
143,Gras::N,tráva,iarbă
144,Wurzel::N,koreň,rădăcină
145,Baum::N,strom,copac
146,Baum::N,strom,arbore
147,Stamm::N,kmeň,tulpină
148,Rinde::N,kôra,scoarță
149,Ast::N,konár,cracă
150,Ast::N,konár,creangă
151,Zweig::N,vetva,ramură
152,Zweig::N,vetva,creangă
153,Blatt::N,list,frunză
154,Birke::N,breza,mesteacăn
155,Kiefer[Baum]::N,sosna,pin
156,Kiefer[Baum]::N,borovica,pin
157,Weide[Baum]::N,vŕba,salcie
158,Weide[Baum]::N,vŕba,răchită
159,Tanne::N,jedľa,brad
160,Horn::N,roh,corn
161,Feder::N,pero,pană
162,Fell::N,koža,piele
163,Fell::N,kožušina,piele
164,Flügel::N,krídlo,aripă
165,Klaue::N,paznecht,gheară
166,Kralle::N,pazúr,labă
167,Kralle::N,pazúr,gheară
168,Schwanz::N,chvost,coadă
169,Ei::N,vajce,ou
170,Ei::N,vajíčko,ou
171,Nest::N,hniezdo,cuib
172,Bau::N,nora,bârlog
173,Bau::N,nora,vizuină
174,Tier::N,zviera,animal
175,Herde::N,stádo,turmă
176,Herde::N,stádo,cireadă
177,Kuh::N,krava,vacă
178,Bulle::N,býk,taur
179,Pferd::N,kôň,cal
180,Schaf::N,ovca,oaie
181,Schwein::N,sviňa,porc
182,Hund::N,pes,câine
183,Katze::N,mačka,pisică
184,Bär::N,medveď,urs
185,Eichhörnchen::N,veverička,veveriță
186,Elch::N,los,elan
187,Fuchs::N,líška,vulpe
188,Hase::N,zajac,iepure
189,Maus::N,myš,șoarece
190,Wolf::N,vlk,lup
191,Vogel::N,vták,pasăre
192,Schwarm::N,roj,cârd
193,Huhn::N,kurča,găină
194,Huhn::N,sliepka,găină
195,Hahn::N,kohút,cocoș
196,Gans::N,hus,gâscă
197,Adler::N,orol,vultur
198,Ente::N,kačka,rață
199,Ente::N,kačica,rață
200,Eule::N,sova,bufniță
201,Kranich::N,žeriav,cocor
202,Krähe::N,vrana,cioară
203,Kuckuck::N,kukučka,cuc
204,Schwan::N,labuť,lebădă
205,Fisch::N,ryba,pește
206,Barsch::N,ostriež,biban
