,Concept_ID,ka,lt
0,Auge::N,თვალი,akis
1,Ohr::N,ყური,ausis
2,Nase::N,ცხვირი,nosis
3,Mund::N,პირი,burna
4,Zahn::N,კბილი,dantis
5,Zunge::N,ენა,liežuvis
6,Lippe::N,ბაგე,lūpa
7,Wange::N,ლოყა,žandas
8,Wange::N,ლოყა,skruostas
9,Gesicht::N,სახე,veidas
10,Stirn::N,შუბლი,kakta
11,Haar::N,თმა,plaukai
12,Schnurrbart::N,ულვაში,ūsai
13,Bart::N,წვერი,barzda
14,Kinn::N,ნიკაპი,smakras
15,Kiefer[Anatomie]::N,ყბა,žandikaulis
16,Kehle::N,ყელი,gerklė
17,Hals::N,ყელი,kaklas
18,Hals::N,კისერი,kaklas
19,Genick::N,კეფა,sprandas
20,Kopf::N,თავი,galva
21,Rücken::N,ზურგი,nugara
22,Bauch::N,მუცელი,pilvas
23,Nabel::N,ჭიპი,bamba
24,Busen::N,ძუძუ,krūtinė
25,Brust::N,მკერდი,krūtis
26,Schulter::N,მხარი,petys
27,Schulter::N,მკლავი,petys
28,Arm::N,ხელი,ranka
29,Ellenbogen::N,იდაყვი,alkūnė
30,Hand::N,ხელი,ranka
31,Hand::N,ხელი,plaštaka
32,Handfläche::N,ნები,delnas
33,Handfläche::N,ნები,plaštaka
34,Handfläche::N,ხელისგული,delnas
35,Handfläche::N,ხელისგული,plaštaka
36,Finger::N,თითი,pirštas
37,Fingernagel::N,ფრჩხილი,nagas
38,Nagel[Anatomie]::N,ფრჩხილი,nagas
39,Zeh::N,ფეხის თითი,pirštas
40,Fuß::N,ტერფი,pėda
41,Fuß::N,ფეხისგული,pėda
42,Ferse::N,ქუსლი,kulnas
43,Knie::N,მუხლი,kelis
44,Oberschenkel::N,ბარძაყი,kulšis
45,Oberschenkel::N,ბარძაყი,šlaunis
46,Bein::N,ფეხი,koja
47,Körper::N,ტანი,kūnas
48,Körper::N,სხეული,kūnas
49,Haut::N,კანი,oda
50,Blut::N,სისხლი,kraujas
51,Ader::N,ძარღვი,kraujagyslė
52,Sehne::N,მყესი,sausgyslė
53,Knochen::N,ძვალი,kaulas
54,Gehirn::N,ტვინი,smegenys
55,Herz::N,გული,širdis
56,Magen::N,კუჭი,skrandis
57,Leber::N,ღვიძლი,kepenys
58,Atem::N,სუნთქვა,kvapas
59,Hunger::N,შიმშილი,badas
60,Hunger::N,შიმშილი,alkis
61,Träne::N,ცრემლი,ašara
62,Geschmack::N,გემო,skonis
63,Geruch::N,სუნი,kvapas
64,Schlaf::N,ძილი,miegas
65,Traum::N,სიზმარი,sapnas
66,Himmel::N,ცა,dangus
67,Sonne::N,მზე,saulė
68,Mond::N,მთვარე,mėnulis
69,Stern::N,ვარსკვლავი,žvaigždė
70,Luft::N,ჰაერი,oras
71,Wind::N,ქარი,vėjas
72,Welle::N,ტალღა,banga
73,Welle::N,ტალღა,vilnis
74,Wasser::N,წყალი,vanduo
75,Stein::N,ქვა,akmuo
76,Boden::N,მიწა,žemė
77,Boden::N,მიწა,dugnas
78,Erde::N,ნიადაგი,žemė
79,Staub::N,მტვერი,dulkės
80,Rauch::N,ბოლი,dūmai
81,Rauch::N,კვამლი,dūmai
82,Funke::N,ნაკვესი,kibirkštis
83,Feuer::N,ცეცხლი,ugnis
84,Licht::N,შუქი,šviesa
85,Licht::N,სინათლე,šviesa
86,Schatten::N,ლანდი,paūksmė
87,Schatten::N,ჩრდილი,paūksmė
88,Wetter::N,ამინდი,oras
89,Nebel::N,ნისლი,migla
90,Nebel::N,ნისლი,rūkas
91,Wolke::N,ღრუბელი,debesis
92,Regen::N,წვიმა,lietus
93,Schnee::N,თოვლი,sniegas
94,Eis::N,თოში,ledas
95,Eis::N,ყინული,ledas
