,Concept_ID,tt,lez
0,Auge::N,күз,вил
1,Ohr::N,колак,яб
2,Nase::N,борын,нер
3,Mund::N,авыз,сив
4,Mund::N,тамак,сив
5,Zahn::N,теш,сас
6,Zahn::N,теш,свах
7,Zunge::N,тел,мез
8,Lippe::N,ирен,пӏуз
9,Wange::N,яңак,хъвехъ
10,Gesicht::N,йөз,ччин
11,Stirn::N,маңгай,пел
12,Haar::N,чәч,чӏар
13,Schnurrbart::N,мыек,спел
14,Schnurrbart::N,мыек,спелар
15,Bart::N,сакал,ччуру
16,Kinn::N,ияк,чене
17,Kiefer[Anatomie]::N,казналык,чене
18,Kehle::N,тамак,туьд
19,Hals::N,бугаз,гардан
20,Genick::N,җилкә,кьам
21,Kopf::N,баш,кьил
22,Rücken::N,сырт,далу
23,Bauch::N,корсак,руфун
24,Nabel::N,кендек,пицӏ
25,Busen::N,түш,мам
26,Brust::N,имчәк,хур
27,Brust::N,күкрәк,хур
28,Schulter::N,иңбаш,къуьн
29,Schulter::N,кулбаш,къуьн
30,Arm::N,кул,гъил
31,Ellenbogen::N,терсәк,кьуьнт
32,Hand::N,кул,капаш
33,Handfläche::N,уч,капан юкь
34,Finger::N,бармак,тӏуб
35,Fingernagel::N,тырнак,кек
36,Nagel[Anatomie]::N,тырнак,кек
37,Zeh::N,бармак,кул
38,Fuß::N,табан,кӏвач
39,Ferse::N,үкчә,дабан
40,Knie::N,тез,мет
41,Oberschenkel::N,бот,
42,Bein::N,аяк,кӏвач
43,Körper::N,тән,беден
44,Körper::N,җисем,беден
45,Haut::N,тире,хам
46,Blut::N,кан,иви
47,Ader::N,тамыр,дамар
48,Sehne::N,сеңер,кьуру дамар
49,Knochen::N,сөяк,кӏараб
50,Gehirn::N,ми,мефт
51,Herz::N,йөрәк,рикӏ
52,Magen::N,ашказаны,хук
53,Leber::N,бавыр,лекь
54,Atem::N,сулыш,ял
55,Atem::N,сулыш,нефес
56,Hunger::N,ачлык,каш
57,Träne::N,яшь,вилин нагъв
58,Geschmack::N,тәм,дад
59,Geschmack::N,тәм,тӏям
60,Geschmack::N,зәвык,дад
61,Geschmack::N,зәвык,тӏям
62,Geruch::N,ис,ни
63,Schlaf::N,йокы,ахвар
64,Traum::N,төш,ахвар
65,Himmel::N,күк,цав
66,Sonne::N,кояш,рагъ
67,Mond::N,ай,варз
68,Stern::N,йолдыз,гъед
69,Luft::N,һава,гьава
70,Wind::N,җил,гар
71,Welle::N,дулкын,лепе
72,Wasser::N,су,яд
73,Stein::N,таш,къван
74,Boden::N,туфрак,накьв
75,Erde::N,җир,ччил
76,Staub::N,тузан,руг
77,Rauch::N,төтен,гум
78,Funke::N,очкын,цӏелхем
79,Feuer::N,ут,цӏай
80,Licht::N,якты,экв
81,Schatten::N,күләгә,серин
82,Wetter::N,һава,гьава
83,Nebel::N,томан,ччилин циф
84,Wolke::N,болыт,циф
85,Regen::N,яңгыр,марф
86,Schnee::N,кар,жив
87,Eis::N,боз,мурк
88,Frost::N,суык,аяз
89,Frost::N,салкын,аяз
90,Kälte::N,суык,мекь
91,Kälte::N,суык,мекьивал
92,Kälte::N,салкын,мекь
93,Kälte::N,салкын,мекьивал
94,Hitze::N,эсселек,зегьем
95,Raureif::N,бәс,къирав
96,Raureif::N,сыкы,къирав
97,Regenbogen::N,салават күпере,яргъируш
98,Donner::N,күкрәү,цавун ван
99,Strömung::N,агыш'агым,
100,Tropfen::N,тамчы,стӏал
101,Schaum::N,күбек,каф
102,Schmutz::N,пычрак,чирк
103,Schmutz::N,пычрак,кьуруш
104,See::N,күл,вир
105,Sumpf::N,саз,уьлен
106,Moor::N,торфлык,
107,Wiese::N,болын,векь
108,Wald::N,урман,там
109,Hügel::N,калку,кӏунтӏ
110,Anhöhe::N,үр,тепе
111,Anhöhe::N,үр,гьуьндуьрвал
112,Berg::N,тау,дагъ
113,Gipfel::N,оч,кӏукӏ
114,Höhle::N,мәгарә,кьветӏ
115,Abhang::N,кабырга,гуьне
116,Quelle::N,чишмә,чешме
117,Bach::N,елга,булах
118,Fluss::N,дәрья,вацӏ
119,Ufer::N,су кырые,къерех
120,Küste::N,яр буе,къерех
121,Festland::N,коры җир,кьурамат
122,Meer::N,диңгез,гьуьл
123,Bucht::N,бухта,бухта
124,Bucht::N,култык,бухта
125,Insel::N,атау,остров
126,Insel::N,утрау,остров
127,Blume::N,чәчкә,цуьк
128,Gras::N,үлән,хъач
129,Wurzel::N,тамыр,дувул
