,Concept_ID,cy,br
0,Auge::N,llygad,lagad
1,Ohr::N,clust,skouarn
2,Nase::N,trwyn,fri
3,Mund::N,ceg,genoù
4,Zahn::N,dant,dant
5,Zunge::N,tafod,teod
6,Lippe::N,gwefus,muzell
7,Wange::N,boch,chot
8,Gesicht::N,wyneb,dremm
9,Stirn::N,talcen,tal
10,Haar::N,blew,blev
11,Schnurrbart::N,mwstas,mourenn
12,Bart::N,barf,barv
13,Kinn::N,gên,groñj
14,Kiefer[Anatomie]::N,gên,javed
15,Kehle::N,gwddf,gouzoug
16,Hals::N,gwddf,gouzoug
17,Genick::N,gwar,choug
18,Genick::N,gwegil,choug
19,Kopf::N,pen,penn
20,Rücken::N,cefn,kein
21,Bauch::N,bol,kof
22,Nabel::N,bogail,begel
23,Busen::N,bron,bronn
24,Brust::N,brest,bruched
25,Schulter::N,ysgwydd,skoaz
26,Arm::N,braich,brec'h
27,Ellenbogen::N,penelin,ilin
28,Hand::N,llaw,dorn
29,Handfläche::N,palf,palv
30,Finger::N,bys,biz
31,Fingernagel::N,ewin,ivin
32,Nagel[Anatomie]::N,ewin,ivin
33,Zeh::N,bys troed,biz-troad
34,Fuß::N,troed,troad
35,Ferse::N,sawdl,seul
36,Knie::N,glin,glin
37,Oberschenkel::N,clun,morzhed
38,Bein::N,coes,gar
39,Körper::N,corff,korf
40,Haut::N,croen,kroc'hen
41,Blut::N,gwaed,gwad
42,Ader::N,gwythïen,gwazhi
43,Sehne::N,gewyn,stir
44,Knochen::N,asgwrn,askorn
45,Gehirn::N,ymennydd,empenn
46,Herz::N,calon,kalon
47,Magen::N,cylla,stomog
48,Magen::N,stumog,stomog
49,Leber::N,iau,avu
50,Atem::N,anadl,anal
51,Hunger::N,newyn,naon
52,Träne::N,deigryn,daer
53,Geschmack::N,cyflas,blaz
54,Geruch::N,aroglau,c'hwezh
55,Schlaf::N,cwsg,kousked
56,Traum::N,breuddwyd,hune
57,Himmel::N,awyr,oabl
58,Sonne::N,haul,heol
59,Mond::N,lleuad,loar
60,Stern::N,seren,steredenn
61,Luft::N,awyr,aer
62,Wind::N,gwynt,avel
63,Welle::N,ton,houlenn
64,Wasser::N,dŵr,dour
65,Stein::N,carreg,maen
66,Boden::N,llawr,tachenn
67,Erde::N,pridd,douar
68,Staub::N,llwch,poultr
69,Rauch::N,mwg,moged
70,Funke::N,gwreichioni,ful
71,Feuer::N,tân,tan
72,Licht::N,golau,gouloù
73,Schatten::N,cysgod,disheol
74,Wetter::N,tywydd,amzer
75,Nebel::N,niwl,brumenn
76,Wolke::N,cwmwl,koumoulenn
77,Regen::N,glaw,glav
78,Schnee::N,ôd,erc'h
79,Schnee::N,eira,erc'h
80,Eis::N,iâ,skorn
81,Frost::N,rhew,rev
82,Kälte::N,oerni,yen
83,Kälte::N,annwyd,yen
84,Hitze::N,gwres,tommder
85,Raureif::N,barrug,frim
86,Regenbogen::N,enfys,gwareg-ar-glav
87,Donner::N,tyrfau,kurun
88,Strömung::N,cerrynt,red
89,Tropfen::N,dafn,bannac'h
90,Tropfen::N,dafn,takenn
91,Tropfen::N,diferyn,bannac'h
92,Tropfen::N,diferyn,takenn
93,Schaum::N,ewyn,spoum
94,Schmutz::N,baw,fank
95,Schmutz::N,budreddi,fank
96,See::N,llyn,lenn
97,Sumpf::N,cors,gwern
98,Moor::N,rhos,taouarc'heg
99,Wiese::N,dôl,prad
100,Wald::N,coedwig,koad
101,Hügel::N,bryn,torgenn
102,Anhöhe::N,bryn,run
103,Berg::N,mynydd,menez
104,Gipfel::N,copa,barr
105,Höhle::N,ogof,kav
106,Abhang::N,llethr,naou
107,Quelle::N,tarddiad,feunteun
108,Quelle::N,ffynhonnell,feunteun
109,Bach::N,nant,gwazh
110,Bach::N,afonig,gwazh
111,Bach::N,cornant,gwazh
112,Fluss::N,afon,stêr
113,Ufer::N,glan,ribl
114,Küste::N,traeth,aod
115,Küste::N,arfordir,aod
116,Festland::N,tir,douar
117,Meer::N,môr,mor
118,Bucht::N,bae,mor-bihan
119,Insel::N,ynys,enez
120,Blume::N,blodyn,bleunienn
121,Gras::N,glaswellt,geot
122,Wurzel::N,gwreiddyn,gwrizienn
123,Baum::N,coeden,gwezenn
124,Stamm::N,colfen,kef
125,Stamm::N,boncyff,kef
126,Rinde::N,rhisgl,rusk
127,Ast::N,cangen,barr
128,Zweig::N,cainc,bod
129,Zweig::N,cangen,bod
130,Blatt::N,deilen,delienn
131,Birke::N,bedwen,bezvenn
132,Kiefer[Baum]::N,pinwydden,pinenn
133,Weide[Baum]::N,helygen,halegenn
134,Tanne::N,ffynidwydden,sapenn
135,Horn::N,corn,korn
136,Feder::N,plufyn,pluñv
137,Fell::N,ffwr,kreoñ
138,Flügel::N,adain,askell
139,Klaue::N,crafanc,skilf
140,Kralle::N,ewin,skilf
141,Schwanz::N,cwt,lost
142,Schwanz::N,cynffon,lost
143,Ei::N,wy,vi
144,Nest::N,nyth,neizh
145,Bau::N,ffau,douarenn
146,Tier::N,anifail,loen
147,Herde::N,praidd,tropell
148,Herde::N,diadell,tropell
149,Kuh::N,buwch,buoc'h
150,Bulle::N,tarw,tarv
151,Pferd::N,ceffyl,marc'h
152,Schaf::N,dafad,dañvad
153,Schwein::N,mochyn,pemoc'h
154,Hund::N,ci,ki
155,Katze::N,cath,kazh
156,Bär::N,arth,arzh
157,Eichhörnchen::N,gwiwer,gwiñver
158,Elch::N,elc,karv-dour
159,Fuchs::N,cadno,louarn
160,Hase::N,ysgyfarnog,gad
161,Maus::N,llygoden,logodenn
162,Wolf::N,blaidd,bleiz
163,Vogel::N,aderyn,labous
164,Schwarm::N,haid,nijad
165,Huhn::N,cyw,yar
166,Hahn::N,ceiliog,kilhog
167,Gans::N,gŵydd,gwazenn
168,Adler::N,eryr,erer
169,Ente::N,hwyad,houad
170,Eule::N,tylluan,toud
171,Kranich::N,garan,garan
172,Kranich::N,crychydd,garan
173,Krähe::N,brân,bran
174,Kuckuck::N,cog,koukoug
175,Kuckuck::N,cwcw,koukoug
176,Schwan::N,alarch,alarc'h
177,Fisch::N,pysgod,pesk
178,Barsch::N,draenog,brell
179,Hecht::N,penhwyad,beked
180,Schlange[Tier]::N,neidr,naer
181,Wurm::N,abwydyn,preñv
182,Wurm::N,pryf genwair,preñv
183,Spinne::N,cor,kevnidenn
184,Spinne::N,pryf copyn,kevnidenn
185,Ameise::N,morgrugyn,merion
186,Laus::N,lleuen,laouenn
187,Mücke::N,gwybedyn,moustik
188,Fliege::N,cleren,kelienenn
189,Schmetterling::N,glöyn byw,balafenn
190,Schmetterling::N,iâr fach yr haf,balafenn
191,Beere::N,aeronen,hog
192,Apfel::N,afal,aval
193,Pilz::N,madarch,kabell-touseg
194,Zwiebel::N,nionyn,ognonenn
195,Zwiebel::N,winwnsyn,ognonenn
196,Saat::N,had,had
197,Korn::N,grawn,ed
198,Heu::N,gwair,foenn
199,Schale::N,croen,peliadur
200,Schale::N,plisgyn,peliadur
201,Grube::N,pwll,
202,Grube::N,pydew,
203,Falle::N,magl,pech
204,Schlinge::N,cwlwm rhedeg,krouglas
205,Spur::N,ôl,
206,Asche::N,lludw,ludu
207,Dreck::N,baw,fank
208,Dreck::N,budreddi,fank
209,Eisen::N,haearn,houarn
210,Gold::N,aur,aour
211,Silber::N,arian,arc'hant
212,Kohle::N,glo,glaou
213,Glas::N,gwydr,gwer
214,Lehm::N,clai,
215,Sand::N,tywod,traezh
216,Mensch::N,dyn,den
217,Mann::N,dyn,den
218,Frau::N,merch,maouez
219,Frau::N,gwraig,maouez
220,Kind::N,plentyn,bugel
221,Junge::N,hogyn,paotr
222,Junge::N,bachgen,paotr
223,Mädchen::N,merch,plac'h
224,Mädchen::N,geneth,plac'h
225,Familie::N,teulu,familh
226,Familie::N,tylwyth,familh
227,Großvater::N,taid,tad-kozh
228,Großvater::N,tad-cu,tad-kozh
229,Großmutter::N,nain,mamm-gozh
230,Großmutter::N,mam-gu,mamm-gozh
231,Eltern::N,rhieni,kerent
232,Vater::N,tad,tad
233,Mutter::N,mam,mamm
234,Sohn::N,mab,mab
235,Tochter::N,merch,merc'h
236,Bruder::N,brawd,breur
237,Schwester::N,chwaer,c'hoar
238,Onkel::N,ewythr,eontr
239,Tante::N,modryb,moereb
240,Ehemann::N,gŵr,gwaz
241,Ehefrau::N,gwraig,gwreg
242,Freude::N,gorfoledd,levenez
243,Gelächter::N,chwerthin,c'hoarzherezh
244,Glück::N,hapusrwydd,chañs
245,Kummer::N,galar,doan
246,Wunsch::N,dymuniad,c'hoant
247,Lust::N,chwant,c'hoant
248,Geist::N,ysbryd,spered
249,Gedanke::N,meddwl,soñj
250,Gedächtnis::N,cof,eñvor
251,Verstand::N,meddwl,skiant
252,Sinn::N,ystyr,ster
253,Grund::N,achos,kaoz
254,Grund::N,rheswm,kaoz
255,Wahrheit::N,gwir,gwirionez
256,Wahrheit::N,gwirionedd,gwirionez
257,Gespräch::N,sgwrs,kaozeadenn
258,Märchen::N,chwedl werin,kaoz korriganez
259,Erzählung::N,stori,kontadenn
260,Nachricht::N,neges,keloù
261,Neuigkeit::N,newydd,kelaouenn
262,Name::N,enw,anv
263,Rätsel::N,pos,divinatez
264,Rede::N,araith,diskour
265,Sprache::N,iaith,yezh
266,Stimme::N,llais,mouezh
267,Wort::N,gair,ger
268,Zeichen::N,arwydd,sin
269,Ruf::N,galwad,galv
270,Lärm::N,trwst,trouz
271,Laut::N,sain,
272,Ton::N,tôn,ton
273,Lied::N,cân,kanaouenn
274,Ruhe::N,tawelwch,sioulded
275,Leute::N,pobl,tud
276,Volk::N,pobl,pobl
277,Arbeit::N,gwaith,labour
278,Gast::N,gwestai,kouviad
279,Geschenk::N,rhodd,prof
280,Geschenk::N,anrheg,prof
281,Spiel::N,chwarae,c'hoari
282,Gesellschaft::N,cwmni,kompagnunezh
283,Gesellschaft::N,cwmni,kavandad
284,Hilfe::N,cymorth,sikour
285,Freund::N,cyfaill,mignon
286,Kamerad::N,cydymaith,kamarad
287,Angelegenheit::N,pwnc,afer
288,Anzahl::N,cyfrif,niver
289,Art::N,bath,sort
290,Stück::N,darn,tamm
291,Teil::N,rhan,pezh
292,Hälfte::N,hanner,hanterenn
293,Kreis::N,cylch,kelc'h
294,Kreuz::N,croes,kroaz
