,Concept_ID,is,hi
0,Auge::N,auga,आँख
1,Auge::N,auga,चक्षु
2,Ohr::N,eyra,कान
3,Ohr::N,eyra,कर्ण
4,Nase::N,nef,नाक
5,Nase::N,nef,नासा
6,Mund::N,munnur,मुख
7,Mund::N,munnur,मुँह
8,Zahn::N,tönn,दंत
9,Zahn::N,tönn,दाँत
10,Zunge::N,tunga,जीभ
11,Zunge::N,tunga,ज़बान
12,Zunge::N,tunga,जिह्वा
13,Lippe::N,vör,ओंठ
14,Lippe::N,vör,होंठ
15,Wange::N,kinn,गाल
16,Wange::N,kinn,कपोल
17,Wange::N,vangi,गाल
18,Wange::N,vangi,कपोल
19,Gesicht::N,andlit,मुँह
20,Gesicht::N,andlit,चेहरा
21,Stirn::N,enni,माथा
22,Stirn::N,enni,मस्तक
23,Haar::N,hár,बाल
24,Schnurrbart::N,yfirskegg,मूँछें
25,Bart::N,skegg,दाढ़ी
26,Kinn::N,haka,चिबुक
27,Kiefer[Anatomie]::N,kjálki,जबड़ा
28,Kiefer[Anatomie]::N,skoltur,जबड़ा
29,Kehle::N,kverk,गला
30,Hals::N,háls,गला
31,Hals::N,háls,गरदन
32,Genick::N,hnakki,गरदन
33,Genick::N,hnakki,ग्रीवा
34,Kopf::N,höfuð,सिर
35,Kopf::N,höfuð,शीर्ष
36,Rücken::N,hryggur,पीठ
37,Bauch::N,kviður,उदर
38,Nabel::N,nafli,नाभि
39,Nabel::N,nafli,ढोंढी
40,Busen::N,barmur,कुच
41,Busen::N,barmur,स्तन
42,Brust::N,brjóst,वक्ष
43,Schulter::N,öxl,कंधा
44,Schulter::N,öxl,स्कंध
45,Arm::N,armur,बाँह
46,Arm::N,armur,बाज़ू
47,Ellenbogen::N,olnbogi,कुहनी
48,Hand::N,hönd,हाथ
49,Hand::N,hönd,हस्त
50,Handfläche::N,lófi,हथेली
51,Finger::N,fingur,उँगली
52,Finger::N,fingur,अँगुली
53,Fingernagel::N,fingurnögl,नख
54,Fingernagel::N,fingurnögl,नाख़ून
55,Nagel[Anatomie]::N,nögl,नख
56,Nagel[Anatomie]::N,nögl,नाख़ून
57,Zeh::N,tá,उँगली
58,Zeh::N,tá,पाँव की उँगली
59,Fuß::N,fótur,चरण
60,Fuß::N,fótur,पाँव
61,Ferse::N,hæll,एड़ी
62,Knie::N,kné,जानु
63,Knie::N,kné,घुटना
64,Oberschenkel::N,læri,उरु
65,Bein::N,fótleggur,टाँग
66,Körper::N,búkur,तन
67,Körper::N,búkur,देह
68,Körper::N,búkur,शरीर
69,Körper::N,líkami,तन
70,Körper::N,líkami,देह
71,Körper::N,líkami,शरीर
72,Haut::N,húð,चर्म
73,Haut::N,húð,त्वचा
74,Haut::N,skinn,चर्म
75,Haut::N,skinn,त्वचा
76,Blut::N,blóð,लहू
77,Blut::N,blóð,ख़ून
78,Ader::N,æð,रग
79,Ader::N,æð,शिरा
80,Sehne::N,sin,कंडरा
81,Sehne::N,sin,स्नायु
82,Knochen::N,bein,अस्थि
83,Gehirn::N,heili,दिमाग़
84,Gehirn::N,heili,मस्तिष्क
85,Herz::N,hjarta,दिल
86,Herz::N,hjarta,हृदय
87,Magen::N,magi,मेदा
88,Magen::N,magi,अमाशय
89,Leber::N,lifur,जिगर
90,Leber::N,lifur,यकृत्
91,Atem::N,andi,दम
92,Atem::N,andi,साँस
93,Atem::N,andi,श्वास
94,Atem::N,andardráttur,दम
95,Atem::N,andardráttur,साँस
96,Atem::N,andardráttur,श्वास
97,Hunger::N,hungur,भूख
98,Hunger::N,hungur,क्षुधा
99,Träne::N,tár,आँसू
100,Träne::N,tár,अश्रु
101,Geschmack::N,smekkur,स्वाद
102,Geschmack::N,smekkur,ज़ायक़ा
103,Geruch::N,lykt,बू
104,Geruch::N,lykt,गंध
105,Schlaf::N,svefn,नींद
106,Schlaf::N,svefn,निद्रा
107,Traum::N,draumur,सपना
108,Traum::N,draumur,स्वप्न
109,Himmel::N,himinn,आकाश
110,Himmel::N,himinn,आसमान
111,Sonne::N,sól,रवि
112,Sonne::N,sól,सूरज
113,Sonne::N,sól,सूर्य
114,Mond::N,tungl,चाँद
115,Mond::N,tungl,चंद्र
116,Stern::N,stjarna,तारा
117,Stern::N,stjarna,सितारा
118,Luft::N,loft,हवा
119,Luft::N,loft,वायु
120,Wind::N,vindur,पाद
121,Welle::N,alda,लहर
122,Welle::N,alda,तरंग
123,Welle::N,bylgja,लहर
124,Welle::N,bylgja,तरंग
125,Wasser::N,vatn,जल
126,Wasser::N,vatn,पानी
127,Stein::N,steinn,पत्थर
128,Boden::N,botn,मिट्टी
129,Erde::N,jörð,भूमि
130,Erde::N,jörð,ज़मीन
131,Staub::N,ryk,धूल
132,Staub::N,duft,धूल
133,Rauch::N,reykur,धूआँ
134,Rauch::N,reykur,धुम्र
135,Funke::N,neisti,चिनगारी
136,Funke::N,neisti,स्फुलिंग
137,Feuer::N,eldur,आग
138,Feuer::N,eldur,आतिश
139,Feuer::N,eldur,अग्नि
140,Licht::N,ljós,रोशनी
141,Licht::N,ljós,प्रकाश
142,Schatten::N,skuggi,छाया
143,Schatten::N,skuggi,परछाई
144,Wetter::N,veður,ऋतु
145,Wetter::N,veður,मौसम
146,Nebel::N,þoka,धुँध
147,Nebel::N,þoka,कुहरा
148,Wolke::N,ský,मेघ
149,Wolke::N,ský,अभ्र
150,Regen::N,regn,मेंह
151,Regen::N,regn,बारिश
152,Schnee::N,snjór,हिम
153,Schnee::N,snjór,बर्फ़
154,Eis::N,ís,हिम
155,Eis::N,ís,बर्फ़
156,Frost::N,frost,ठंड
157,Kälte::N,kuldi,सर्दी
158,Kälte::N,kuldi,शीतलता
159,Hitze::N,hiti,ताप
160,Hitze::N,hiti,गरमी
