,Concept_ID,lv,hr
0,Auge::N,син,oko
1,Auge::N,acs,oko
2,Ohr::N,пель,uho
3,Ohr::N,auss,uho
4,Nase::N,ныр,nos
5,Nase::N,deguns,nos
6,Mund::N,вом,usta
7,Mund::N,mute,usta
8,Zahn::N,пинь,zub
9,Zahn::N,zobs,zub
10,Zunge::N,кыв,jezik
11,Zunge::N,mēle,jezik
12,Lippe::N,вом дор,usna
13,Lippe::N,lūpa,usna
14,Wange::N,бан,obraz
15,Wange::N,vaigs,obraz
16,Gesicht::N,чужӧм,lice
17,Gesicht::N,seja,lice
18,Gesicht::N,ģīmis,lice
19,Stirn::N,плеш,čelo
20,Stirn::N,кымӧс,čelo
21,Stirn::N,piere,čelo
22,Haar::N,си,kosa
23,Haar::N,юрси,kosa
24,Haar::N,mats,kosa
25,Schnurrbart::N,ус,brkovi
26,Schnurrbart::N,пыртсим,brkovi
27,Schnurrbart::N,ūsas,brkovi
28,Bart::N,тош,brada
29,Bart::N,bārda,brada
30,Kinn::N,тшӧка,brada
31,Kinn::N,тшӧка,podbradak
32,Kinn::N,zods,brada
33,Kinn::N,zods,podbradak
34,Kinn::N,smakrs,brada
35,Kinn::N,smakrs,podbradak
36,Kiefer[Anatomie]::N,черлы,čeljust
37,Kiefer[Anatomie]::N,алака лы,čeljust
38,Kiefer[Anatomie]::N,вомкӧтш лы,čeljust
39,Kiefer[Anatomie]::N,žoklis,čeljust
40,Kehle::N,голя,grlo
41,Kehle::N,rīkle,grlo
42,Hals::N,сьылі,vrat
43,Hals::N,kakls,vrat
44,Genick::N,юрбӧр,zatiljak
45,Genick::N,балябӧж,zatiljak
46,Genick::N,sprands,zatiljak
47,Kopf::N,юр,glava
48,Kopf::N,galva,glava
49,Rücken::N,мыш,leđa
50,Rücken::N,мыш,hrbat
51,Rücken::N,mugura,leđa
52,Rücken::N,mugura,hrbat
53,Bauch::N,рушку,trbuh
54,Bauch::N,vēders,trbuh
55,Nabel::N,гӧг,pupak
56,Nabel::N,naba,pupak
57,Busen::N,морӧс,sisa
58,Busen::N,морӧс,njedra
59,Busen::N,krūts,sisa
60,Busen::N,krūts,njedra
61,Brust::N,морӧс,prsa
62,Brust::N,krūts,prsa
63,Schulter::N,пельпом,rame
64,Schulter::N,пельпом,pleći
65,Schulter::N,plecs,rame
66,Schulter::N,plecs,pleći
67,Arm::N,ки,ruka
68,Arm::N,roka,ruka
69,Arm::N,delms,ruka
70,Ellenbogen::N,гырддза,lakat
71,Ellenbogen::N,elkonis,lakat
72,Hand::N,ки,ruka
73,Hand::N,roka,ruka
74,Hand::N,plauksta,ruka
75,Handfläche::N,ки пыдӧс,dlan
76,Handfläche::N,delna,dlan
77,Handfläche::N,plauksta,dlan
78,Finger::N,чунь,prst
79,Finger::N,pirksts,prst
80,Fingernagel::N,гыж,nokat
81,Fingernagel::N,nags,nokat
82,Nagel[Anatomie]::N,гыж,nokat
83,Nagel[Anatomie]::N,nags,nokat
84,Zeh::N,кок чунь,nozni prst
85,Zeh::N,pirksts,nozni prst
86,Fuß::N,кок,noga
87,Fuß::N,кок,stopalo
88,Fuß::N,kāja,noga
89,Fuß::N,kāja,stopalo
90,Ferse::N,кокбӧр,peta
91,Ferse::N,papēdis,peta
92,Knie::N,пидзӧс,koljeno
93,Knie::N,celis,koljeno
94,Oberschenkel::N,лядьвей,bedro
95,Oberschenkel::N,бек,bedro
96,Oberschenkel::N,ciska,bedro
97,Oberschenkel::N,augšstilbs,bedro
98,Bein::N,кок,noga
99,Bein::N,kāja,noga
100,Körper::N,туша,tijelo
101,Körper::N,вывтыр,tijelo
102,Körper::N,miesa,tijelo
103,Körper::N,ķermenis,tijelo
104,Haut::N,ку,put
105,Haut::N,ку,koža
106,Haut::N,āda,put
107,Haut::N,āda,koža
108,Blut::N,вир,krv
109,Blut::N,asins,krv
110,Ader::N,сӧн,žila
111,Ader::N,asinsvads,žila
112,Sehne::N,вез,tetiva
113,Sehne::N,dzīsla,tetiva
114,Knochen::N,лы,kost
115,Knochen::N,kauls,kost
116,Gehirn::N,вем,
117,Gehirn::N,smadzenes,
118,Herz::N,сьӧлӧм,srce
119,Herz::N,sirds,srce
120,Magen::N,кынӧм,stomak
121,Magen::N,кынӧм,želudac
122,Magen::N,kuņģis,stomak
123,Magen::N,kuņģis,želudac
124,Leber::N,мус,jetra
125,Leber::N,aknas,jetra
126,Atem::N,лов,dah
127,Atem::N,elpa,dah
128,Hunger::N,тшыг,glad
129,Hunger::N,bads,glad
130,Hunger::N,izsalkums,glad
131,Träne::N,синва,suza
132,Träne::N,asara,suza
133,Geschmack::N,кӧр,ukus
134,Geschmack::N,чӧсмӧс,ukus
135,Geschmack::N,garša,ukus
136,Geruch::N,зын,njuh
137,Geruch::N,зын,miris
138,Geruch::N,дук,njuh
139,Geruch::N,дук,miris
140,Geruch::N,smaka,njuh
141,Geruch::N,smaka,miris
142,Schlaf::N,узьӧм,san
143,Schlaf::N,miegs,san
144,Traum::N,вӧт,san
145,Traum::N,вӧтасьӧм,san
146,Traum::N,sapnis,san
147,Himmel::N,енэж,nebo
148,Himmel::N,debess,nebo
149,Sonne::N,шонді,sunce
150,Sonne::N,saule,sunce
151,Mond::N,тӧлысь,mjesec
152,Mond::N,mēness,mjesec
153,Stern::N,кодзув,zvijezda
154,Stern::N,zvaigzne,zvijezda
155,Luft::N,сынӧд,zrak
156,Luft::N,gaiss,zrak
157,Wind::N,тӧв,vjetar
158,Wind::N,vējš,vjetar
159,Welle::N,гы,val
160,Welle::N,гы,talas
161,Welle::N,vilnis,val
162,Welle::N,vilnis,talas
163,Wasser::N,ва,voda
164,Wasser::N,ūdens,voda
165,Stein::N,из,kamen
166,Stein::N,akmens,kamen
167,Boden::N,му,tlo
168,Boden::N,му,zemlja
169,Boden::N,augsne,tlo
170,Boden::N,augsne,zemlja
171,Erde::N,му,zemlja
172,Erde::N,му-ва,zemlja
173,Erde::N,zeme,zemlja
174,Staub::N,бус,prah
175,Staub::N,бус,prašina
176,Staub::N,putekļi,prah
177,Staub::N,putekļi,prašina
178,Rauch::N,тшын,dim
179,Rauch::N,dūmi,dim
180,Funke::N,кинь,iskra
181,Funke::N,кинь,varnica
182,Funke::N,би кинь,iskra
183,Funke::N,би кинь,varnica
184,Funke::N,dzirkstele,iskra
185,Funke::N,dzirkstele,varnica
186,Feuer::N,би,vatra
187,Feuer::N,uguns,vatra
188,Licht::N,югӧр,svjetlo
189,Licht::N,gaisma,svjetlo
190,Schatten::N,вуджӧр,hlad
191,Schatten::N,вуджӧр,sjena
192,Schatten::N,ēna,hlad
193,Schatten::N,ēna,sjena
194,Wetter::N,поводдя,vrijeme
195,Wetter::N,laiks,vrijeme
196,Nebel::N,ру,magla
197,Nebel::N,онь,magla
198,Nebel::N,migla,magla
199,Wolke::N,кымӧр,oblak
200,Wolke::N,mākonis,oblak
201,Regen::N,зэр,kiša
202,Regen::N,lietus,kiša
203,Schnee::N,лым,snijeg
204,Schnee::N,sniegs,snijeg
205,Eis::N,йи,led
206,Eis::N,ledus,led
207,Frost::N,кӧдзыд,mraz
208,Frost::N,sals,mraz
209,Kälte::N,кӧдзыд,studen
210,Kälte::N,кӧдзыд,hladnoća
211,Kälte::N,saltums,studen
212,Kälte::N,saltums,hladnoća
213,Kälte::N,aukstums,studen
214,Kälte::N,aukstums,hladnoća
215,Hitze::N,пӧсь,vrućina
216,Hitze::N,гожӧд,vrućina
217,Hitze::N,karstums,vrućina
218,Raureif::N,пуж,inje
219,Raureif::N,гыӧр,inje
220,Raureif::N,sarma,inje
221,Regenbogen::N,ӧшкамӧшка,duga
222,Regenbogen::N,varavīksne,duga
223,Donner::N,гым,grom
224,Donner::N,гым,grmljavina
225,Donner::N,pērkons,grom
226,Donner::N,pērkons,grmljavina
227,Strömung::N,ва ныр,struja
