,Concept_ID,et,ady
0,Auge::N,silm,нэ
1,Ohr::N,kõrv,тхьакӏу́м
2,Nase::N,nina,пэ
3,Mund::N,suu,жэ
4,Zahn::N,hammas,цэ
5,Zunge::N,keel,бзэгу
6,Lippe::N,huul,ӏупшӏэ́
7,Wange::N,põsk,нэкӏу́шъу
8,Gesicht::N,nägu,нэ́гу
9,Stirn::N,otsmik,натӏэ́
10,Haar::N,juus,шъхьацы́
11,Schnurrbart::N,vurrud,
12,Schnurrbart::N,vuntsid,
13,Bart::N,habe,жакӏэ́
14,Kinn::N,lõug,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,lõualuu,жэпкъы́
16,Kehle::N,kõri,чый
17,Hals::N,kael,пшъэ
18,Genick::N,kukal,шъхьэпхэтыку
19,Kopf::N,pea,шъхьэ́
20,Rücken::N,selg,кӏыбы́
21,Bauch::N,kõht,ныбэ́
22,Nabel::N,naba,
23,Busen::N,rind,бгъэ́
24,Brust::N,rind,бгъэ́
25,Schulter::N,õlg,блыпкъ
26,Arm::N,käsivars,ӏэ
27,Ellenbogen::N,küünarnukk,ӏэнтэ́гъу
28,Hand::N,käsi,ӏэтхьэцу
29,Handfläche::N,pihk,ӏэ́гу
30,Finger::N,sõrm,ӏэхъуа́мб
31,Fingernagel::N,küüs,ӏэбжъа́н
32,Nagel[Anatomie]::N,küüs,ӏэбжъа́н
33,Zeh::N,varvas,ӏэхъуа́мб
34,Fuß::N,jalg,лъэгу
35,Ferse::N,kand,лъэдакъэ
36,Knie::N,põlv,лъагуа́ндж
37,Oberschenkel::N,reis,ко
38,Bein::N,jalg,лъакъо́
39,Körper::N,ihu,пкъышъол
40,Körper::N,keha,пкъышъол
41,Haut::N,nahk,кӏы́шъу
42,Blut::N,veri,лъы
43,Ader::N,veen,льытф
44,Sehne::N,kõõlus,фэ
45,Knochen::N,luu,къупшъхьэ́
46,Gehirn::N,aju,куцӏы
47,Herz::N,süda,гу
48,Magen::N,magu,мышкӏу
49,Leber::N,maks,шӏу
50,Atem::N,hingeõhk,къэщэныр
51,Atem::N,hingamine,къэщэныр
52,Hunger::N,nälg,гъаблэ́
53,Träne::N,pisar,нэпсы
54,Geschmack::N,maitse,ӏэшӏугъа́кӏ
55,Geruch::N,lõhn,мэ
56,Schlaf::N,uni,пчыхьы́пӏ
57,Traum::N,unenägu,пчыхьы́пӏ
58,Himmel::N,taevas,уашъо́
59,Sonne::N,päike,тыгъэ
60,Mond::N,kuu,мазэ
61,Stern::N,täht,жъуагъо́
62,Luft::N,õhk,жьы
63,Wind::N,tuul,жьыбгъэ́
64,Welle::N,laine,ор
65,Welle::N,laine,оры
66,Wasser::N,vesi,псы
67,Stein::N,kivi,мыжъо́
68,Boden::N,maa,чӏ́ыгу
69,Boden::N,pinnas,чӏ́ыгу
70,Erde::N,maa,чӏ́ыгу
71,Staub::N,põrm,сап
72,Rauch::N,suits,ӏугъо́
73,Funke::N,säde,мэшӏуа́ч
74,Feuer::N,tuli,машӏо́
75,Licht::N,valgus,нэфы
76,Licht::N,valgus,нэфын
77,Schatten::N,vari,жьау́
78,Schatten::N,vari,ныбжьыкъу
79,Wetter::N,ilm,
80,Nebel::N,udu,пща́гъу
81,Wolke::N,pilv,ошъуапщэ
82,Regen::N,sadu,ощхы
83,Schnee::N,lumi,осы́
84,Eis::N,jää,мылы
85,Frost::N,pakane,
86,Kälte::N,külm,чъыӏэ́
87,Kälte::N,külmus,чъыӏэ́
88,Hitze::N,kuumus,фэба́е
89,Hitze::N,palavus,фэба́е
90,Raureif::N,härmatis,
91,Regenbogen::N,vikerkaar, лэгъупэкъо́пс
92,Donner::N,kõu,шыблэ́
93,Donner::N,müristamine,шыблэ́
94,Strömung::N,voolus,ток
95,Strömung::N,jõevool,ток
96,Tropfen::N,tilk,ткӏопс
97,Tropfen::N,tilk,гъуаткӏу
98,Schaum::N,vaht,тхъурбэ
99,Schmutz::N,pori,псынжъы
100,Schmutz::N,mustus,псынжъы
101,See::N,järv,хыку́м
102,See::N,järv,псыхъура́й
103,Sumpf::N,soo,орыжъ
104,Moor::N,raba,орыжъ
105,Wiese::N,aas,хъупӏэ́
106,Wiese::N,aas,мэкъупӏ
107,Wiese::N,nurm,хъупӏэ́
108,Wiese::N,nurm,мэкъупӏ
109,Wald::N,mets,мэзы́
110,Hügel::N,küngas,ӏуашъхь
111,Anhöhe::N,küngas,чӏыӏэтыгъ
112,Berg::N,mägi,къушъхьэ́
113,Gipfel::N,mäetipp,шыгу
114,Höhle::N,koobas,гъочӏэгъ
115,Abhang::N,nõlvak,чапэ
116,Quelle::N,allikas,псынэчэ́чъ
117,Bach::N,oja,псышкуашку
118,Fluss::N,jõgi,псыхъо́
119,Ufer::N,kallas,нэпкъы
120,Küste::N,rannik,ӏушъо
121,Festland::N,mander,чӏл́ыгу
122,Festland::N,maismaa,чӏл́ыгу
123,Meer::N,meri,хы
124,Bucht::N,laht,хыблыгу
125,Insel::N,saar,хыгъэхъу́н
126,Blume::N,lill,къэгъа́гь
127,Gras::N,rohi,уцы́
128,Wurzel::N,juur,лъапсэ́
129,Baum::N,puu,чъыгы́
130,Stamm::N,tüvi,пкъы
131,Rinde::N,koor,пхъашъо́
132,Ast::N,oks,куамэ
133,Zweig::N,oks,къутамэ́
134,Blatt::N,leht,тхьап
135,Birke::N,kask,пчэн
136,Kiefer[Baum]::N,mänd,сэснэй
137,Weide[Baum]::N,paju,пце́л
138,Tanne::N,nulg,ель
139,Horn::N,sarv,бжъэ
140,Feder::N,sulg,къамӏы́й
141,Fell::N,karvkate,шъо
142,Fell::N,karusnahk,шъо
143,Flügel::N,tiib,тамэ́
144,Flügel::N,tiivik,тамэ́
145,Klaue::N,küüs,лъэбжъа́н
146,Kralle::N,küünis,лъакъо
147,Schwanz::N,saba,кӏэ
148,Ei::N,muna,кӏэнкӏэ́
149,Nest::N,pesa,набгъо́
150,Bau::N,urg,гъу
151,Bau::N,urg,бы
152,Tier::N,loom,псэу́шъхь
153,Herde::N,kari,ӏэхъогъу
154,Kuh::N,lehm,чэмы́
155,Bulle::N,pull,цу
156,Pferd::N,hobune,шы
157,Schaf::N,lammas,мэлы́
158,Schwein::N,siga,къо
159,Hund::N,koer,бьэ
160,Katze::N,kass,чэты́у
161,Bär::N,karu,мышъэ́
162,Eichhörnchen::N,orav,цызэ́
163,Elch::N,põder,лось
164,Fuchs::N,rebane,баджэ́
165,Hase::N,jänes,тхьакӏумкӏы́хь
166,Maus::N,hiir,цыгъо́
167,Wolf::N,hunt,тыгъу́жъ
168,Vogel::N,lind,бзы́у
169,Schwarm::N,parv,отэр
170,Huhn::N,kana,чэты́
171,Hahn::N,kukk,атакъэ́
172,Gans::N,hani,къа́з
173,Adler::N,kotkas,
174,Ente::N,part,псычэ́т
175,Eule::N,kakk,тыгъурыгъу
176,Eule::N,öökull,тыгъурыгъу
177,Kranich::N,kurg,къэрэ́у
178,Krähe::N,vares,къолэ́жъ
179,Kuckuck::N,kägu,куку́у
180,Schwan::N,luik,
181,Fisch::N,kala,пцэжъы́й
182,Barsch::N,ahven,тхыкъэц
183,Hecht::N,haug,лэнд
184,Schlange[Tier]::N,uss,блэ́
185,Wurm::N,uss,хьамлыу
186,Wurm::N,vagel,хьамлыу
187,Spinne::N,ämblik,бэдж
188,Ameise::N,sipelgas,къамзэ́гу
189,Laus::N,täi,цӏэ
190,Mücke::N,sääsk,аргъо́й
191,Fliege::N,kärbes,бадзэ́
192,Schmetterling::N,liblikas,хьампӏыра́шъу
193,Beere::N,mari,маткӏо
194,Apfel::N,õun,мыӏэры́с
195,Pilz::N,seen,хьаӏу
196,Zwiebel::N,sibul,бжьыны́
197,Saat::N,seeme,чылапхъ
198,Korn::N,iva,цэ
199,Korn::N,tera,цэ
200,Heu::N,hein,мэкъу
201,Schale::N,koor,кӏы́шъу
202,Grube::N,kaevand,машэ́
203,Falle::N,lõks,зэраубытырэ́ ӏэмэпсы́м
204,Falle::N,püünis,зэраубытырэ́ ӏэмэпсы́м
205,Schlinge::N,aas,бзыуубыт
206,Spur::N,jälg,ужы
207,Spur::N,jälg,лъэуж
208,Asche::N,tuhk,яжьэ́
209,Dreck::N,saast,псынжъы
210,Dreck::N,mustus,псынжъы
211,Eisen::N,raud,гыучӏы́
212,Eisen::N,raud,къэнджа́л
213,Gold::N,kuld,дышъэ́
214,Silber::N,hõbe,тыжьы́н
215,Kohle::N,süsi,шӏомыкӏ
216,Glas::N,klaas,апч
217,Lehm::N,savi,етӏагъо́
218,Sand::N,liiv,пшахъо
219,Mensch::N,inimene,цӏыфы́
220,Mann::N,mees,хъулъфы́гъ
221,Frau::N,naine,бӏылъфыгъэ́
222,Kind::N,laps,кӏэлэцӏы́кӏу
223,Junge::N,poiss,кӏэлэцӏы́кӏу
224,Mädchen::N,tüdruk,пшъэшъэжъый
225,Familie::N,perekond,быны́
226,Familie::N,perekond,уна́гъу
227,Großvater::N,vanaisa,тэтэ́жъ
228,Großmutter::N,vanaema,нэнэ́жъ
229,Eltern::N,vanemad,ны-тыхэ́р
230,Vater::N,isa,ты
231,Mutter::N,ema,ны
232,Sohn::N,poeg,къо
233,Tochter::N,tütar,пхъу
234,Bruder::N,vend,шы
235,Schwester::N,õde,шы́пхъу
236,Onkel::N,onu,янэ́ш
237,Tante::N,tädi,атэшыпхъу
238,Ehemann::N,mees,лӏы
239,Ehemann::N,abikaasa,лӏы
240,Ehefrau::N,naine,шъу́з
241,Ehefrau::N,abikaasa,шъу́з
242,Freude::N,rõõm,гушӏуа́гъу
243,Gelächter::N,naer,щхыныр
244,Glück::N,õnn,насы́п
245,Kummer::N,mure,тхьамыкӏагъу
246,Kummer::N,kurbus,тхьамыкӏагъу
247,Wunsch::N,soov,шӏонгъоны́гъ
248,Lust::N,himu,шӏонгъоны́гъ
249,Geist::N,vaim,гу
250,Gedanke::N,mõte,гупшыс
251,Gedächtnis::N,mälu,память
252,Verstand::N,aru,акъы́л
253,Verstand::N,mõistus,акъы́л
254,Sinn::N,tähendus,мэхьанэ
255,Grund::N,põhjus,ушъхьагъу
256,Wahrheit::N,tõde,шъыпкъэ́
257,Gespräch::N,kõne,гущыӏ
258,Gespräch::N,vestlus,гущыӏ
259,Märchen::N,muinasjutt,пшысэ
260,Erzählung::N,jutustus,къэба́р
261,Nachricht::N,teade,къэба́р
262,Neuigkeit::N,uudis,къэбарыкӏ
263,Name::N,nimi,цӏэ
264,Rätsel::N,mõistatus,коджэхь-къоджэшх
265,Rede::N,kõne,гущыӏ
266,Sprache::N,keel,бзэ
267,Stimme::N,hääl,макъэ́
268,Wort::N,sõna,гущыӏ
269,Zeichen::N,märk,тамы́гъ
270,Ruf::N,hüüe,джэ макъ
271,Lärm::N,müra,макъэ
272,Laut::N,hääl,макъэ
273,Ton::N,toon,
274,Lied::N,laul,орэ́д
275,Ruhe::N,rahu,самбырыныгъ
276,Ruhe::N,vaikus,самбырыныгъ
277,Leute::N,inimesed,цӏыфхэ́р
278,Volk::N,rahvas,цӏыф лъэпкъ
