,Concept_ID,et,da
0,Auge::N,silm,øje
1,Ohr::N,kõrv,øre
2,Nase::N,nina,næse
3,Mund::N,suu,mund
4,Zahn::N,hammas,tand
5,Zunge::N,keel,tunge
6,Lippe::N,huul,læbe
7,Wange::N,põsk,kind
8,Gesicht::N,nägu,ansigt
9,Stirn::N,otsmik,pande
10,Haar::N,juus,hår
11,Schnurrbart::N,vurrud,overskæg
12,Schnurrbart::N,vuntsid,overskæg
13,Bart::N,habe,skæg
14,Kinn::N,lõug,hage
15,Kiefer[Anatomie]::N,lõualuu,kæbe
16,Kehle::N,kõri,strube
17,Hals::N,kael,hals
18,Genick::N,kukal,nakke
19,Kopf::N,pea,hoved
20,Rücken::N,selg,ryg
21,Bauch::N,kõht,mave
22,Nabel::N,naba,navle
23,Busen::N,rind,barm
24,Brust::N,rind,bryst
25,Schulter::N,õlg,skulder
26,Arm::N,käsivars,arm
27,Ellenbogen::N,küünarnukk,albue
28,Hand::N,käsi,hånd
29,Handfläche::N,pihk,håndflade
30,Finger::N,sõrm,finger
31,Fingernagel::N,küüs,fingernegl
32,Nagel[Anatomie]::N,küüs,negl
33,Zeh::N,varvas,tå
34,Fuß::N,jalg,fod
35,Ferse::N,kand,hæl
36,Knie::N,põlv,knæ
37,Oberschenkel::N,reis,lår
38,Bein::N,jalg,ben
39,Körper::N,ihu,krop
40,Körper::N,ihu,legeme
41,Körper::N,keha,krop
42,Körper::N,keha,legeme
43,Haut::N,nahk,hud
44,Blut::N,veri,blod
45,Ader::N,veen,åre
46,Sehne::N,kõõlus,sene
47,Knochen::N,luu,ben
48,Gehirn::N,aju,hjerne
49,Herz::N,süda,hjerte
50,Magen::N,magu,mave
51,Leber::N,maks,lever
52,Atem::N,hingeõhk,ånde
53,Atem::N,hingamine,ånde
54,Hunger::N,nälg,sult
55,Träne::N,pisar,tåre
56,Geschmack::N,maitse,smag
57,Geruch::N,lõhn,lugt
58,Schlaf::N,uni,søvn
59,Traum::N,unenägu,drøm
60,Himmel::N,taevas,himmel
61,Sonne::N,päike,sol
62,Mond::N,kuu,måne
63,Stern::N,täht,stjerne
64,Luft::N,õhk,luft
65,Wind::N,tuul,vind
66,Welle::N,laine,bølge
67,Wasser::N,vesi,vand
68,Stein::N,kivi,sten
69,Boden::N,maa,jord
70,Boden::N,pinnas,jord
71,Erde::N,maa,jord
72,Staub::N,põrm,støv
73,Rauch::N,suits,røg
74,Funke::N,säde,gnist
75,Feuer::N,tuli,ild
76,Licht::N,valgus,lys
77,Schatten::N,vari,skygge
78,Wetter::N,ilm,vejr
79,Nebel::N,udu,tåge
80,Wolke::N,pilv,sky
81,Regen::N,sadu,regn
82,Schnee::N,lumi,sne
83,Eis::N,jää,is
84,Frost::N,pakane,frost
85,Kälte::N,külm,kulde
86,Kälte::N,külmus,kulde
87,Hitze::N,kuumus,hede
88,Hitze::N,palavus,hede
89,Raureif::N,härmatis,rimfrost
90,Regenbogen::N,vikerkaar,regnbue
91,Donner::N,kõu,torden
92,Donner::N,müristamine,torden
93,Strömung::N,voolus,strømning
94,Strömung::N,jõevool,strømning
95,Tropfen::N,tilk,dråbe
96,Schaum::N,vaht,skum
97,Schmutz::N,pori,snavs
98,Schmutz::N,mustus,snavs
99,See::N,järv,sø
100,Sumpf::N,soo,sump
101,Moor::N,raba,mose
102,Wiese::N,aas,eng
103,Wiese::N,nurm,eng
104,Wald::N,mets,skov
105,Hügel::N,küngas,høj
106,Hügel::N,küngas,bakke
107,Anhöhe::N,küngas,høj
108,Anhöhe::N,küngas,bakke
109,Berg::N,mägi,bjerg
110,Gipfel::N,mäetipp,top
111,Höhle::N,koobas,hule
112,Abhang::N,nõlvak,skrænt
113,Abhang::N,nõlvak,skråning
114,Quelle::N,allikas,kilde
115,Bach::N,oja,bæk
116,Fluss::N,jõgi,flod
117,Ufer::N,kallas,bred
118,Küste::N,rannik,kyst
119,Festland::N,mander,fastland
120,Festland::N,maismaa,fastland
121,Meer::N,meri,hav
122,Bucht::N,laht,bugt
123,Insel::N,saar,ø
124,Blume::N,lill,blomst
125,Gras::N,rohi,græs
126,Wurzel::N,juur,rod
127,Baum::N,puu,træ
128,Stamm::N,tüvi,stamme
129,Rinde::N,koor,bark
130,Ast::N,oks,gren
131,Zweig::N,oks,kvist
132,Blatt::N,leht,blad
