,Concept_ID,tt,el
0,Auge::N,күз,μάτι
1,Auge::N,күз,οφθαλμός
2,Ohr::N,колак,αυτί
3,Nase::N,борын,μύτη
4,Mund::N,авыз,στόμα
5,Mund::N,тамак,στόμα
6,Zahn::N,теш,δόντι
7,Zunge::N,тел,γλώσσα
8,Lippe::N,ирен,χείλος
9,Wange::N,яңак,παρειά
10,Wange::N,яңак,μάγουλο
11,Gesicht::N,йөз,πρόσωπο
12,Stirn::N,маңгай,μέτωπο
13,Haar::N,чәч,μαλλιά
14,Schnurrbart::N,мыек,μουστάκι
15,Bart::N,сакал,γένια
16,Kinn::N,ияк,πιγούνι
17,Kiefer[Anatomie]::N,казналык,σαγόνι
18,Kehle::N,тамак,λαρύγγι
19,Hals::N,бугаз,λαιμός
20,Genick::N,җилкә,σβέρκος
21,Kopf::N,баш,κεφάλι
22,Rücken::N,сырт,ράχη
23,Bauch::N,корсак,κοιλιά
24,Nabel::N,кендек,αφαλός
25,Busen::N,түш,στήθος
26,Brust::N,имчәк,στήθος
27,Brust::N,күкрәк,στήθος
28,Schulter::N,иңбаш,ώμος
29,Schulter::N,кулбаш,ώμος
30,Arm::N,кул,χέρι
31,Arm::N,кул,μπράτςο
32,Ellenbogen::N,терсәк,αγκώνας
33,Hand::N,кул,χέρι
34,Handfläche::N,уч,παλάμη
35,Finger::N,бармак,δάχτυλο
36,Fingernagel::N,тырнак,νύχι
37,Nagel[Anatomie]::N,тырнак,νύχι
38,Zeh::N,бармак,δάχτυλο του ποδιού
39,Fuß::N,табан,πόδι
40,Ferse::N,үкчә,φτέρνα
41,Knie::N,тез,γόνατο
42,Oberschenkel::N,бот,μηρός
43,Bein::N,аяк,πόδι
44,Körper::N,тән,σώμα
45,Körper::N,тән,κορμί
46,Körper::N,җисем,σώμα
47,Körper::N,җисем,κορμί
48,Haut::N,тире,πετσί
49,Blut::N,кан,αίμα
50,Ader::N,тамыр,φλέβα
51,Sehne::N,сеңер,νεύρο
52,Sehne::N,сеңер,τένοντας
53,Knochen::N,сөяк,οστό
54,Knochen::N,сөяк,κόκκαλο
55,Gehirn::N,ми,μυαλό
56,Gehirn::N,ми,εγκέφαλος
57,Herz::N,йөрәк,καρδιά
58,Magen::N,ашказаны,στομάχι
59,Leber::N,бавыр,ήπαρ
60,Leber::N,бавыр,συκωτί
61,Atem::N,сулыш,αναπνοή
62,Hunger::N,ачлык,πείνα
63,Träne::N,яшь,δάκρυ
64,Geschmack::N,тәм,γεύση
65,Geschmack::N,зәвык,γεύση
66,Geruch::N,ис,οσμή
67,Geruch::N,ис,μυρωδία
68,Schlaf::N,йокы,ύπνος
69,Traum::N,төш,όνειρο
70,Himmel::N,күк,ουρανός
71,Sonne::N,кояш,ήλιος
72,Mond::N,ай,σελήνη
73,Mond::N,ай,φεγγάρι
74,Stern::N,йолдыз,άστρο
75,Stern::N,йолдыз,αστέρι
76,Luft::N,һава,αέρας
77,Wind::N,җил,αέρας
78,Wind::N,җил,άνεμος
79,Welle::N,дулкын,κύμα
80,Wasser::N,су,νερό
81,Stein::N,таш,πέτρα
82,Boden::N,туфрак,χώμα
83,Erde::N,җир,γη
84,Staub::N,тузан,σκόνη
85,Rauch::N,төтен,καπνός
86,Funke::N,очкын,σπίθα
87,Funke::N,очкын,σπινθήρας
88,Feuer::N,ут,φωτιά
89,Licht::N,якты,φως
90,Schatten::N,күләгә,σκιά
91,Schatten::N,күләгә,ίσκιος
92,Wetter::N,һава,καιρός
93,Nebel::N,томан,ομίχλη
94,Wolke::N,болыт,σύννεφο
95,Regen::N,яңгыр,βροχή
96,Schnee::N,кар,χιόνι
