,Concept_ID,be,kv
0,Auge::N,вока,син
1,Ohr::N,вуха,пель
2,Nase::N,нос,ныр
3,Mund::N,рот,ӧм
4,Zahn::N,зуб,пинь
5,Zunge::N,язык,кыв
6,Lippe::N,губа,тырп
7,Wange::N,шчака,рожабан
8,Gesicht::N,твар,бан
9,Stirn::N,лоб,кымӧс
10,Haar::N,волас,юрси
11,Haar::N,валасы,юрси
12,Schnurrbart::N,вус,уссэз
13,Schnurrbart::N,вусы,уссэз
14,Bart::N,барада,тош
15,Kinn::N,падбародак,тшӧка
16,Kiefer[Anatomie]::N,сківіца,ан
17,Kehle::N,горла,юан
18,Hals::N,шыя,юан
19,Genick::N,патыліца,юр бӧр
20,Kopf::N,галава,юр
21,Rücken::N,спіна,мышк
22,Bauch::N,жывот,кынӧм
23,Nabel::N,пупок,гӧг
24,Busen::N,грудзі,морос
25,Brust::N,грудзі,морос
26,Schulter::N,плячо,пельпон
27,Arm::N,рука,ки
28,Ellenbogen::N,локаць,гырдзза
29,Hand::N,кісць,кикар
30,Handfläche::N,далонь,ки пыдӧс
31,Finger::N,палец,чунь
32,Fingernagel::N,ногаць,гыж
33,Nagel[Anatomie]::N,ногаць,гыж
34,Zeh::N,палец,чунь
35,Fuß::N,нага,кокпыдӧс
36,Ferse::N,пята,кокдзир
37,Ferse::N,пятка,кокдзир
38,Knie::N,калена,пидзӧс
39,Oberschenkel::N,бядро,лядьбей
40,Oberschenkel::N,сцягно,лядьбей
41,Bein::N,нага,кок
42,Körper::N,цела,вывтыр
43,Haut::N,скура,кучик
44,Blut::N,кроў,вир
45,Ader::N,вена,сӧн
46,Ader::N,сасуд,сӧн
47,Sehne::N,жыла,жила
48,Sehne::N,цеціва,жила
49,Sehne::N,сухажылле,жила
50,Knochen::N,косць,коска
51,Gehirn::N,мозг,вем
52,Herz::N,сэрца,сьӧлӧм
53,Magen::N,страўнік,жӧвдӧк
54,Leber::N,печань,мус
55,Atem::N,дыханне,лолалӧм
56,Hunger::N,голад,тшыг
57,Träne::N,сляза,синва
58,Geschmack::N,смак,кӧр
59,Geruch::N,пах,дук
60,Schlaf::N,сон,он
61,Traum::N,сон,вӧт
62,Himmel::N,неба,небо
63,Sonne::N,сонца,шондi
64,Mond::N,месяц,тӧлiсь
65,Stern::N,зорка,кӧдзыв
66,Luft::N,паветра,ру
67,Wind::N,вецер,тӧв
68,Welle::N,хваля,гы
69,Wasser::N,вада,ва
70,Stein::N,камень,из
71,Boden::N,глеба,му
72,Erde::N,зямля,му
73,Staub::N,пыл,бус
74,Rauch::N,дым,тшын
75,Funke::N,іскра,бичир
76,Feuer::N,агонь,би
77,Licht::N,святло,би
78,Schatten::N,цень,вуджӧр
79,Wetter::N,пагода,погоддя
80,Wetter::N,надворʼе,погоддя
81,Nebel::N,туман,туман
82,Wolke::N,воблака,кымӧр
83,Regen::N,дождж,зэр
84,Schnee::N,снег,лым
85,Eis::N,лёд,йы
86,Frost::N,мароз,мороз
87,Kälte::N,холад,кӧдзыт
88,Hitze::N,спёка,ӧд
89,Raureif::N,іней,кижа
90,Regenbogen::N,вясёлка,енӧшка
91,Donner::N,гром,гым
92,Strömung::N,цячэнне,визывтӧм
93,Tropfen::N,кропля,тёп
94,Schaum::N,пена,быг
95,Schmutz::N,гразь,нять
96,See::N,возера,ты
97,Sumpf::N,багна,арай
98,Moor::N,балота,нюр
99,Wiese::N,луг,видз
100,Wald::N,лес,вӧр
101,Hügel::N,узгорак,мыльк
102,Anhöhe::N,узвышша,вывтас
103,Anhöhe::N,узвышша,вылынін
104,Berg::N,гара,керӧс
105,Gipfel::N,вяршыня,йыв
106,Höhle::N,пячора,нора
107,Abhang::N,схіл,покат
108,Quelle::N,крыніца,больган
109,Bach::N,ручай,шор
110,Fluss::N,рака,ю
111,Ufer::N,бераг,берег
112,Küste::N,узбярэжжа,берег
113,Festland::N,суша,му
114,Meer::N,мора,море
115,Bucht::N,бухта,курья
116,Insel::N,востраў,
117,Blume::N,кветка,цветок
118,Gras::N,трава,турун
119,Wurzel::N,корань,вуж
120,Baum::N,дрэва,пу
121,Stamm::N,ствол,мыр
122,Stamm::N,ствол,кер
123,Rinde::N,кара,кач
124,Ast::N,сук,ув
125,Zweig::N,галіна,ув
126,Blatt::N,ліст,лист
127,Birke::N,бяроза,кыдз
128,Kiefer[Baum]::N,хвоя,пожум
129,Kiefer[Baum]::N,сасна,пожум
130,Weide[Baum]::N,вярба,бадь
131,Tanne::N,яліна,кӧз
132,Horn::N,рог,сюр
133,Feder::N,пяро,гӧн
134,Fell::N,шкура,кучик
135,Flügel::N,крыло,борд
136,Klaue::N,кіпцюр,гыж
137,Kralle::N,лапа,кабыр
138,Schwanz::N,хвост,бӧж
139,Ei::N,яйка,кольть
140,Nest::N,гняздо,поз
141,Bau::N,нара,осьта
142,Bau::N,нара,нора
143,Tier::N,жывёла,зверь
144,Herde::N,статак,гурт
145,Kuh::N,карова,мӧс
146,Bulle::N,бык,ӧшка
147,Pferd::N,конь,вӧв
148,Schaf::N,авечка,баля
149,Schwein::N,свіння,порсь
150,Hund::N,сабака,пон
151,Katze::N,кошка,кань
152,Bär::N,мядзведзь,ош
153,Eichhörnchen::N,вавёрка,ур
154,Elch::N,лось,вӧр мӧс
155,Fuchs::N,ліса,руч
156,Hase::N,заяц,кӧч
157,Maus::N,мыш,шыр
158,Wolf::N,воўк,кӧин
159,Vogel::N,птах,кай
160,Vogel::N,птушка,кай
161,Schwarm::N,чарада,стая
162,Schwarm::N,чарада,чукӧр
163,Huhn::N,курыца,курӧг
164,Hahn::N,певень,петух
