,Concept_ID,sah,lez
0,Auge::N,харах,вил
1,Ohr::N,кулгаах,яб
2,Nase::N,мурун,нер
3,Mund::N,айах,сив
4,Zahn::N,тиис,сас
5,Zahn::N,тиис,свах
6,Zunge::N,тыл,мез
7,Lippe::N,уос,пӏуз
8,Wange::N,иэдэс,хъвехъ
9,Gesicht::N,сирэй,ччин
10,Stirn::N,сүүс,пел
11,Haar::N,баттах,чӏар
12,Schnurrbart::N,уос бытыга,спел
13,Schnurrbart::N,уос бытыга,спелар
14,Bart::N,сэҥийэ бытыга,ччуру
15,Kinn::N,сэҥийэ,чене
16,Kiefer[Anatomie]::N,сыҥаах,чене
17,Kehle::N,тамах,туьд
18,Kehle::N,күөмэй,туьд
19,Hals::N,моой,гардан
20,Genick::N,кэтэх,кьам
21,Kopf::N,бас,кьил
22,Rücken::N,көҕүс,далу
23,Bauch::N,ис,руфун
24,Nabel::N,киин,пицӏ
25,Busen::N,эмиий,мам
26,Brust::N,түөс,хур
27,Schulter::N,сарын,къуьн
28,Arm::N,илии,гъил
29,Ellenbogen::N,тоҕонох,кьуьнт
30,Hand::N,илии,капаш
31,Handfläche::N,ытыс,капан юкь
32,Finger::N,тарбах,тӏуб
33,Fingernagel::N,тыҥырах,кек
34,Nagel[Anatomie]::N,тыҥырах,кек
35,Zeh::N,тарбах,кул
36,Fuß::N,уллуҥах,кӏвач
37,Ferse::N,тилэх,дабан
38,Knie::N,тобук,мет
39,Knie::N,дьилбэк,мет
40,Oberschenkel::N,уллук,
41,Oberschenkel::N,өттүк,
42,Bein::N,атах,кӏвач
43,Körper::N,бэйэ,беден
44,Haut::N,тирии,хам
45,Blut::N,хаан,иви
46,Ader::N,вена,дамар
47,Ader::N,күөх_тымыр,дамар
48,Sehne::N,иҥиир,кьуру дамар
49,Knochen::N,уҥуох,кӏараб
50,Knochen::N,уҥгуох,кӏараб
51,Gehirn::N,мэйии,мефт
52,Herz::N,сүрэх,рикӏ
53,Magen::N,куртах,хук
54,Leber::N,быар,лекь
55,Atem::N,тыын,ял
56,Atem::N,тыын,нефес
57,Hunger::N,аас,каш
58,Träne::N,харах уута,вилин нагъв
59,Geschmack::N,амтан,дад
60,Geschmack::N,амтан,тӏям
61,Geruch::N,сыт,ни
62,Schlaf::N,утуйуу,ахвар
63,Traum::N,түүл,ахвар
64,Himmel::N,халлаан,цав
65,Sonne::N,күн,рагъ
66,Mond::N,ый,варз
67,Stern::N,сулус,гъед
68,Luft::N,салгын,гьава
69,Wind::N,тыал,гар
70,Welle::N,долгун,лепе
71,Welle::N,балхаан,лепе
72,Wasser::N,уу,яд
73,Stein::N,таас,къван
74,Boden::N,сир,накьв
75,Erde::N,буор,ччил
76,Staub::N,быыл,руг
77,Rauch::N,буруо,гум
78,Funke::N,кыым,цӏелхем
79,Feuer::N,уот,цӏай
80,Licht::N,уот,экв
81,Schatten::N,күлүк,серин
82,Wetter::N,күн-дьыл,гьава
83,Nebel::N,туман,ччилин циф
84,Wolke::N,былыт,циф
85,Regen::N,самыыр,марф
86,Schnee::N,хаар,жив
87,Eis::N,муус,мурк
88,Frost::N,тымныы,аяз
89,Kälte::N,тымныы,мекь
90,Kälte::N,тымныы,мекьивал
91,Hitze::N,куйаас,зегьем
92,Raureif::N,кырыа,къирав
93,Regenbogen::N,кустук,яргъируш
94,Donner::N,этиҥ,цавун ван
95,Strömung::N,сүүрүк,
96,Tropfen::N,таммах,стӏал
97,Tropfen::N,хааппыла,стӏал
98,Schaum::N,күүгэн,каф
99,Schmutz::N,кир,чирк
100,Schmutz::N,кир,кьуруш
101,See::N,күөл,вир
102,Sumpf::N,бадараан,уьлен
103,Moor::N,дьэбэрэ,
104,Wiese::N,ходуһа,векь
105,Wald::N,ойуур,там
106,Hügel::N,булгунньах,кӏунтӏ
107,Anhöhe::N,үрдэл,тепе
108,Anhöhe::N,үрдэл,гьуьндуьрвал
109,Berg::N,хайа,дагъ
