,Concept_ID,no,ps
0,Auge::N,øye,سترګه
1,Ohr::N,øre,غوږ
2,Nase::N,nese,پوزه
3,Mund::N,munn,خوله
4,Zahn::N,tann,غاښ
5,Zunge::N,tunge,جبه
6,Lippe::N,leppe,شونډه
7,Wange::N,kinn,باړخو
8,Gesicht::N,fjes,مخ
9,Gesicht::N,ansikt,مخ
10,Stirn::N,panne,تندی
11,Stirn::N,panne,وچولی
12,Haar::N,hår,وېښته
13,Schnurrbart::N,bart,برېت
14,Bart::N,skjegg,ږیره
15,Kinn::N,hake,زنه
16,Kiefer[Anatomie]::N,kjeve,جامه
17,Kehle::N,strupe,غاړه
18,Hals::N,hals,غاړه
19,Genick::N,nakke,ورمېږ
20,Kopf::N,hode,سر
21,Rücken::N,rygg,شا
22,Bauch::N,buk,نس
23,Bauch::N,buk,ګېډه
24,Bauch::N,mage,نس
25,Bauch::N,mage,ګېډه
26,Nabel::N,navle,نوم
27,Busen::N,barm,تی
28,Brust::N,bryst,سینه
29,Schulter::N,skulder,اوږه
30,Arm::N,arm,لاس
31,Ellenbogen::N,albue,څنګل
32,Hand::N,hånd,لاس
33,Handfläche::N,håndflate,ورغوی
34,Finger::N,finger,ګوته
35,Fingernagel::N,fingernegl,نوک
36,Nagel[Anatomie]::N,negl,نوک
37,Zeh::N,tå,ګوته
38,Fuß::N,fot,پښه
39,Ferse::N,hæl,پونده
40,Knie::N,kne,زنګون
41,Oberschenkel::N,lår,پتون
42,Bein::N,bein,پښه
43,Körper::N,kropp,ځان
44,Körper::N,legeme,ځان
45,Haut::N,hud,پوټکی
46,Haut::N,skinn,پوټکی
47,Blut::N,blod,وینه
48,Ader::N,åre,رګ
49,Sehne::N,sene,پله
50,Knochen::N,bein,هډوکی
51,Knochen::N,knokkel,هډوکی
52,Gehirn::N,hjerne,ماغزه
53,Herz::N,hjerte,زړه
54,Magen::N,mage,معده
55,Leber::N,lever,ينه
56,Leber::N,lever,ځیګر
57,Atem::N,pust,نفس
58,Hunger::N,sult,ولږه
59,Träne::N,tåre,اوښکه
60,Geschmack::N,smak,مزه
61,Geschmack::N,smak,خوند
62,Geruch::N,lukt,بوی
63,Schlaf::N,søvn,خوب
64,Traum::N,drøm,خوب
65,Himmel::N,himmel,اسمان
66,Sonne::N,sol,لمر
67,Mond::N,måne,سپوږمۍ
68,Stern::N,stjerne,ستوری
69,Luft::N,luft,هوا
70,Wind::N,vind,ورښ
71,Welle::N,bølge,موج
72,Wasser::N,vann,اوبه
73,Stein::N,stein,ډبره
74,Boden::N,bakke,مځکه
75,Erde::N,jord,خاوره
76,Staub::N,støv,ګرد
77,Staub::N,støv,خاوره
78,Rauch::N,røyk,دود
79,Rauch::N,røyk,لوګی
80,Funke::N,gnist,سپرغۍ
81,Feuer::N,ild,اور
82,Licht::N,lys,رڼا
83,Schatten::N,skygge,سیوری
84,Wetter::N,vær,هوا
85,Nebel::N,tåke,لړه
86,Wolke::N,sky,ورېځ
87,Regen::N,regn,وریا
88,Regen::N,regn,باران
89,Schnee::N,snø,واوره
90,Eis::N,is,یخ
91,Eis::N,is,کنګل
92,Frost::N,frost,یخ
93,Kälte::N,kulde,ساړه
94,Hitze::N,hete,تودوخي
95,Raureif::N,rimfrost,سپینه پرخه
96,Regenbogen::N,regnbue,بوډۍ ټال
97,Regenbogen::N,regnbue,سره زرغونه
98,Donner::N,torden,تالنده
99,Strömung::N,strømning,بهېدنه
100,Tropfen::N,dråpe,قطره
101,Tropfen::N,dråpe,څاڅکی
102,Schaum::N,skum,ځګ
103,Schmutz::N,søl,ناپاکي
104,Schmutz::N,skitt,ناپاکي
105,See::N,sjø,جهیل
106,Sumpf::N,sump,جبه
107,Sumpf::N,myrlende,جبه
108,Moor::N,myr,جبه
109,Moor::N,myrhei,جبه
110,Wiese::N,eng,چمن
111,Wiese::N,eng,شنېلی
112,Wald::N,skog,ځنګل
113,Hügel::N,haug,تپه
114,Hügel::N,bakke,تپه
115,Anhöhe::N,haug,غونډۍ
116,Anhöhe::N,bakke,غونډۍ
117,Berg::N,berg,غ‍‍‍‍‍ر
118,Berg::N,fjell,غ‍‍‍‍‍ر
119,Gipfel::N,topp,څوکه
120,Höhle::N,hule,کاز
121,Abhang::N,li,لمن
122,Abhang::N,skråning,لمن
123,Quelle::N,kilde,چینه
124,Bach::N,bekk,واله
125,Fluss::N,elv,سیند
126,Ufer::N,bredd,غاړه
127,Küste::N,kyst,ساحل
128,Festland::N,fastland,وچه
129,Meer::N,hav,بحر
130,Meer::N,hav,سمندر
131,Bucht::N,bukt,کارۍ
132,Insel::N,øy,ټاپو
