,Concept_ID,pt,ro
0,Auge::N,olho,ochi
1,Ohr::N,orelha,ureche
2,Nase::N,nariz,nas
3,Mund::N,boca,gură
4,Zahn::N,dente,dinte
5,Zunge::N,língua,limbă
6,Lippe::N,lábio,buză
7,Wange::N,face,bucă
8,Wange::N,face,obraz
9,Gesicht::N,cara,față
10,Gesicht::N,cara,figură
11,Gesicht::N,rosto,față
12,Gesicht::N,rosto,figură
13,Stirn::N,testa,frunte
14,Haar::N,cabelo,păr
15,Schnurrbart::N,bigode,mustață
16,Bart::N,barba,barbă
17,Kinn::N,queixo,bărbie
18,Kiefer[Anatomie]::N,maxila,falcă
19,Kiefer[Anatomie]::N,mandíbula,falcă
20,Kehle::N,garganta,beregată
21,Hals::N,colo,gât
22,Hals::N,pescoço,gât
23,Genick::N,nuca,ceafă
24,Kopf::N,cabeça,cap
25,Rücken::N,dorso,dos
26,Rücken::N,dorso,spate
27,Rücken::N,dorso,spinare
28,Rücken::N,costas,dos
29,Rücken::N,costas,spate
30,Rücken::N,costas,spinare
31,Bauch::N,ventre,burtă
32,Bauch::N,ventre,pântece
33,Bauch::N,barriga,burtă
34,Bauch::N,barriga,pântece
35,Nabel::N,umbigo,buric
36,Busen::N,seio,sân
37,Brust::N,peito,piept
38,Schulter::N,ombro,umăr
39,Schulter::N,ombro,spate
40,Arm::N,braço,braț
41,Ellenbogen::N,cotovelo,cot
42,Hand::N,mão,mână
43,Handfläche::N,palma,palmă
44,Handfläche::N,palma da mão,palmă
45,Finger::N,dedo,deget
46,Fingernagel::N,unha,unghie
47,Nagel[Anatomie]::N,unha,unghie
48,Zeh::N,dedo do pé,deget de la picior
49,Fuß::N,pé,picior
50,Ferse::N,calcanhar,călcâi
51,Knie::N,joelho,genunchi
52,Oberschenkel::N,coxa,coapsă
53,Bein::N,perna,picior
54,Körper::N,corpo,corp
55,Haut::N,pele,piele
56,Blut::N,sangue,sânge
57,Ader::N,veia,vână
58,Ader::N,veia,arteră
59,Sehne::N,tendão,tendon
60,Knochen::N,osso,os
61,Gehirn::N,cérebro,creier
62,Herz::N,coração,inimă
63,Magen::N,estômago,stomac
64,Leber::N,fígado,ficat
65,Atem::N,fôlego,răsuflare
66,Atem::N,fôlego,respirație
67,Hunger::N,fome,foame
68,Träne::N,lágrima,lacrimă
69,Geschmack::N,gosto,gust
70,Geruch::N,odor,miros
71,Geruch::N,cheiro,miros
72,Schlaf::N,sono,somn
73,Traum::N,sonho,vis
74,Himmel::N,céu,cer
75,Sonne::N,sol,soare
76,Mond::N,lua,lună
77,Stern::N,estrela,stea
78,Luft::N,ar,aer
79,Wind::N,vento,vânt
80,Welle::N,onda,val
81,Welle::N,onda,undă
82,Wasser::N,água,apă
83,Stein::N,pedra,piatră
84,Boden::N,solo,sol
85,Boden::N,solo,pământ
86,Erde::N,terra,pământ
87,Staub::N,pó,praf
88,Rauch::N,fumo,fum
