,Concept_ID,he,ps
0,Auge::N,עין,سترګه
1,Ohr::N,אזן,غوږ
2,Nase::N,אף,پوزه
3,Nase::N,חטם,پوزه
4,Mund::N,פה,خوله
5,Zahn::N,שן,غاښ
6,Zunge::N,לשון,جبه
7,Lippe::N,שפה,شونډه
8,Wange::N,לחי,باړخو
9,Gesicht::N,פנים,مخ
10,Stirn::N,מצח,تندی
11,Stirn::N,מצח,وچولی
12,Haar::N,שערה,وېښته
13,Schnurrbart::N,שפם,برېت
14,Bart::N,זקן,ږیره
15,Kinn::N,סנטר,زنه
16,Kiefer[Anatomie]::N,לסת,جامه
17,Kehle::N,גרון,غاړه
18,Hals::N,צואר,غاړه
19,Genick::N,ערף,ورمېږ
20,Kopf::N,ראש,سر
21,Rücken::N,גב,شا
22,Bauch::N,בטן,نس
23,Bauch::N,בטן,ګېډه
24,Nabel::N,טבור,نوم
25,Busen::N,שד,تی
26,Brust::N,חזה,سینه
27,Schulter::N,כתף,اوږه
28,Arm::N,זרוע,لاس
29,Ellenbogen::N,מרפק,څنګل
30,Hand::N,יד,لاس
31,Handfläche::N,כף יד,ورغوی
32,Finger::N,אצבע,ګوته
33,Fingernagel::N,צפרן,نوک
34,Nagel[Anatomie]::N,צפרן,نوک
35,Zeh::N,אצבע,ګوته
36,Fuß::N,רגל,پښه
37,Ferse::N,עקב,پونده
38,Knie::N,ברך,زنګون
39,Oberschenkel::N,ירך,پتون
40,Bein::N,רגל,پښه
41,Körper::N,גוף,ځان
42,Haut::N,עור,پوټکی
43,Blut::N,דם,وینه
44,Ader::N,וריד,رګ
45,Sehne::N,גיד,پله
46,Knochen::N,עצם,هډوکی
47,Gehirn::N,מוח,ماغزه
48,Herz::N,לב,زړه
49,Magen::N,קבה,معده
50,Leber::N,כבד,ينه
51,Leber::N,כבד,ځیګر
52,Atem::N,נשימה,نفس
53,Hunger::N,רעב,ولږه
54,Träne::N,דמעה,اوښکه
55,Geschmack::N,טעם,مزه
56,Geschmack::N,טעם,خوند
57,Geruch::N,ריח,بوی
58,Schlaf::N,שנה,خوب
59,Traum::N,חלום,خوب
60,Himmel::N,שמים,اسمان
61,Sonne::N,שמש,لمر
62,Mond::N,ירח,سپوږمۍ
63,Stern::N,כוכב,ستوری
64,Luft::N,אויר,هوا
65,Wind::N,רוח,ورښ
66,Welle::N,גל,موج
67,Wasser::N,מים,اوبه
68,Stein::N,אבן,ډبره
69,Boden::N,קרקע,مځکه
70,Erde::N,אדמה,خاوره
71,Staub::N,אבק,ګرد
72,Staub::N,אבק,خاوره
73,Rauch::N,עשן,دود
74,Rauch::N,עשן,لوګی
75,Funke::N,ניצוץ,سپرغۍ
76,Feuer::N,אש,اور
77,Licht::N,אור,رڼا
78,Schatten::N,צל,سیوری
79,Wetter::N,מזג אויר,هوا
80,Nebel::N,ערפל,لړه
81,Wolke::N,ענן,ورېځ
82,Regen::N,גשם,وریا
83,Regen::N,גשם,باران
84,Schnee::N,שלג,واوره
85,Eis::N,קרח,یخ
86,Eis::N,קרח,کنګل
87,Frost::N,צנה,یخ
88,Kälte::N,קר,ساړه
89,Hitze::N,חם,تودوخي
90,Raureif::N,כפור,سپینه پرخه
91,Regenbogen::N,קשת,بوډۍ ټال
92,Regenbogen::N,קשת,سره زرغونه
93,Donner::N,רעם,تالنده
94,Strömung::N,זרימה,بهېدنه
95,Tropfen::N,טפה,قطره
96,Tropfen::N,טפה,څاڅکی
97,Schaum::N,קצף,ځګ
98,Schmutz::N,לכלוך,ناپاکي
99,See::N,אגם,جهیل
100,Sumpf::N,בצה,جبه
101,Moor::N,בצה,جبه
102,Wiese::N,מרעה,چمن
103,Wiese::N,מרעה,شنېلی
104,Wald::N,יער,ځنګل
