,Concept_ID,fi,ab
0,Auge::N,silmä,ала
1,Ohr::N,korva,алымҳа
2,Nase::N,nenä,аҧынҵа
3,Mund::N,suu,аҧышə
4,Zahn::N,hammas,ахаҧыц
5,Zunge::N,kieli,абз
6,Lippe::N,huuli,ақьышə
7,Wange::N,poski,аӡамҩа
8,Gesicht::N,naama,аҿы
9,Gesicht::N,kasvot,аҿы
10,Stirn::N,otsa,алахь
11,Haar::N,hius,ахəыц
12,Haar::N,tukka,ахəыц
13,Schnurrbart::N,viikset,аҧаҵа
14,Bart::N,parta,ажакьа
15,Kinn::N,leuka,ацламкəыгə
16,Kiefer[Anatomie]::N,leukaluu,ацламҳəа
17,Kehle::N,kurkku,ахəда
18,Hals::N,kaula,ахəда
19,Genick::N,niska,ахəдаџьал
20,Kopf::N,pää,ахы
21,Rücken::N,selkä,азқəа
22,Bauch::N,maha,амгəа
23,Bauch::N,vatsa,амгəа
24,Nabel::N,napa,аҷапан
25,Busen::N,rinta,агəыҧҳəы
26,Brust::N,rinta,агəышҧы
27,Schulter::N,olka,ажəҩахыр
28,Schulter::N,hartia,ажəҩахыр
29,Schulter::N,olkapää,ажəҩахыр
30,Arm::N,käsivarsi,амахəар
31,Ellenbogen::N,kyynärpää,амашьхəылҵ
32,Hand::N,käsi,анапы
33,Handfläche::N,kämmen,анапсаргəыҵа
34,Finger::N,sormi,анацəа
35,Fingernagel::N,kynsi,анапхыц
36,Nagel[Anatomie]::N,kynsi,ашьапхыц
37,Zeh::N,varvas,ашьацəа
38,Fuß::N,jalka,ашьапсыргəыҵа
39,Ferse::N,kantapää,ашьхəа
40,Knie::N,polvi,ашьамхы
41,Oberschenkel::N,reisi,ауаҭəа
42,Bein::N,jalka,ашьапы
43,Körper::N,keho,ацəеижь
44,Körper::N,ruumis,ацəеижь
45,Haut::N,iho,ацəа
46,Blut::N,veri,ашьа
47,Ader::N,suoni,ада
48,Sehne::N,jänne,адаш
49,Knochen::N,luu,абаҩ
50,Gehirn::N,aivot,ахшлыбаҩ
51,Gehirn::N,aivot,ахшыбаҩ
52,Herz::N,sydän,агəы
53,Magen::N,maha,аца
54,Magen::N,maha,ацар
55,Magen::N,vatsa,аца
56,Magen::N,vatsa,ацар
57,Leber::N,maksa,агəаҵəа
58,Atem::N,henki,аҧсыҧлагаҩгара
59,Atem::N,hengitys,аҧсыҧлагаҩгара
60,Hunger::N,nälkä,амла
61,Träne::N,kyynel,алабжыш
62,Geschmack::N,maku,агьама
63,Geruch::N,haju,афҩы
64,Schlaf::N,uni,ацəа
65,Traum::N,uni,аҧхыӡ
66,Himmel::N,taivas,ажəҩан
67,Sonne::N,aurinko,амра
68,Mond::N,kuu,амза
69,Stern::N,tähti,аеҵəа
70,Luft::N,ilma,аҳаир
71,Wind::N,tuuli,аҧша
72,Welle::N,aalto,ацəқəырҧа
73,Wasser::N,vesi,аӡы
74,Stein::N,kivi,ахаҳə
75,Boden::N,maa,адгьыл
76,Boden::N,maaperä,адгьыл
77,Erde::N,maa,адгьыл
78,Staub::N,pöly,асаба
79,Rauch::N,savu,алҩа
80,Funke::N,kipinä,акəиц
81,Funke::N,kipinä,ацҧхь
82,Feuer::N,tuli,амца
83,Licht::N,valo,алашара
84,Schatten::N,varjo,ашəшьыра
85,Wetter::N,sää,амш
86,Nebel::N,sumu,анаҟəа
87,Wolke::N,pilvi,аҧсҭҳəа
88,Regen::N,sade,ақəа
89,Schnee::N,lumi,асы
90,Eis::N,jää,аҵаа
91,Frost::N,halla,аҵаа
92,Frost::N,pakkanen,аҵаа
93,Kälte::N,vilu,ахьҭа
94,Kälte::N,kylmyys,ахьҭа
95,Hitze::N,helle,ашоура
