,Concept_ID,it,ce
0,Auge::N,occhio,бӏаьрг
1,Ohr::N,orecchio,лерг
2,Nase::N,naso,мара
3,Mund::N,bocca,бага
4,Zahn::N,dente,церг
5,Zunge::N,lingua,мотт
6,Lippe::N,labbro,балда
7,Wange::N,guancia,бесни
8,Gesicht::N,viso,юьхь
9,Gesicht::N,faccia,юьхь
10,Stirn::N,fronte,хьаж
11,Haar::N,capello,мас
12,Schnurrbart::N,baffi,мекх
13,Schnurrbart::N,mustacchi,мекх
14,Bart::N,barba,маж
15,Kinn::N,mento,чӏениг
16,Kiefer[Anatomie]::N,mascella,мочхал
17,Kehle::N,gola,къамкъарг
18,Hals::N,collo,ворта
19,Genick::N,nuca,кӏесаркӏаг
20,Kopf::N,capo,корта
21,Kopf::N,testa,корта
22,Rücken::N,dorso,букъ
23,Rücken::N,schiena,букъ
24,Bauch::N,ventre,кийра
25,Nabel::N,ombelico,цӏонга
26,Busen::N,seno,зударийн накха
27,Brust::N,petto,накха
28,Schulter::N,spalla,белш
29,Arm::N,braccio,пхьарс
30,Ellenbogen::N,gomito,пхьаьрсан гола
31,Hand::N,mano,куьг
32,Handfläche::N,palma,кераюкъ
33,Finger::N,dito,пӏелг
34,Fingernagel::N,unghia,мӏара
35,Nagel[Anatomie]::N,unghia,мӏара
36,Zeh::N,dito del piede,кога пӏелг
37,Fuß::N,piede,ког
38,Ferse::N,tallone,кӏажа
39,Ferse::N,calcagno,кӏажа
40,Knie::N,ginocchio,гола
41,Oberschenkel::N,fèmore,варе
42,Bein::N,gamba,ког
43,Körper::N,corpo,хӏума
44,Haut::N,pelle,чкъор
45,Blut::N,sangue,цӏий
46,Ader::N,vena,пха
47,Sehne::N,tèndine,хьорзам
48,Knochen::N,osso,даьӏахк
49,Gehirn::N,cervello,хье
50,Herz::N,cuore,дог
51,Magen::N,stòmaco,зорх
52,Leber::N,fegato,доӏах
53,Atem::N,fiato,садеӏар
54,Atem::N,respiro,садеӏар
55,Hunger::N,fame,мацалла
56,Träne::N,làcrima,бӏаьрхи
57,Geschmack::N,gusto,чам
58,Geschmack::N,sapore,чам
59,Geruch::N,odore,хьожа
60,Schlaf::N,sonno,наб
61,Traum::N,sogno,гӏан
62,Himmel::N,cielo,стигал
63,Sonne::N,sole,малх
64,Mond::N,luna,бутт
65,Stern::N,stella,седа
66,Luft::N,aria,xӏаваъ
67,Wind::N,vento,мох
68,Welle::N,onda,тулгӏе
69,Wasser::N,acqua,хи
70,Stein::N,sasso,тӏулг
71,Stein::N,pietra,тӏулг
72,Boden::N,suolo,цӏенкъа
73,Boden::N,terreno,цӏенкъа
74,Erde::N,terra,латта
75,Staub::N,polvere,чан
76,Rauch::N,fumo,кӏур
77,Funke::N,scintilla,суй
78,Feuer::N,fuoco,цӏе
79,Licht::N,luce,серло
80,Schatten::N,ombra,ӏиндагӏ
81,Wetter::N,tempo,хенан хӏоттам
82,Nebel::N,nebbia,дохк
83,Wolke::N,nube,марха
84,Wolke::N,nùvola,марха
85,Regen::N,pioggia,догӏа
86,Schnee::N,neve,ло
87,Eis::N,ghiaccio,ша
88,Frost::N,gelo,шело
89,Kälte::N,freddo,шело
90,Hitze::N,caldo,йовхо
91,Hitze::N,calura,йовхо
92,Raureif::N,brina,йис
93,Regenbogen::N,arcobaleno,стелаӏад
94,Donner::N,tuono,ткъес
95,Strömung::N,corrente,дӏаэхар
96,Strömung::N,corrente,дӏасалелар
97,Tropfen::N,goccia,тӏадам
98,Schaum::N,spuma,чопа
99,Schaum::N,schiuma,чопа
100,Schmutz::N,sudiciume,хатт
101,See::N,lago,ӏам
102,Sumpf::N,palude,уьшал
103,Moor::N,torbiera,уьшал
104,Wiese::N,prato,бай
105,Wald::N,bosco,хьун
106,Wald::N,foresta,хьун
107,Hügel::N,colle,гу
108,Hügel::N,colle,шу
109,Hügel::N,colle,барз
110,Hügel::N,collina,гу
111,Hügel::N,collina,шу
112,Hügel::N,collina,барз
113,Anhöhe::N,altura,акъари
114,Berg::N,monte,лам
115,Berg::N,montagna,лам
116,Gipfel::N,cima,бохь
117,Höhle::N,grotta,хьех
118,Höhle::N,caverna,хьех
119,Abhang::N,pendìo,басе
120,Quelle::N,sorgente,шовда
121,Bach::N,ruscello,татол
122,Fluss::N,fiume,хи
123,Ufer::N,riva,хийист
124,Küste::N,costa,йист
125,Festland::N,terraferma,латта
126,Meer::N,mare,xӏорд
127,Bucht::N,cala,чож
128,Insel::N,ìsola,гӏайре
129,Blume::N,fiore,зезаг
130,Gras::N,erba,буц
131,Wurzel::N,radice,орам
132,Baum::N,àlbero,дитт
133,Stamm::N,tronco,гӏад
134,Stamm::N,tronco,тайпа
135,Rinde::N,corteccia,кевстиг
136,Ast::N,ramo,га
137,Zweig::N,ramo,га
138,Blatt::N,foglia,гӏа
139,Birke::N,betulla,дакх
140,Kiefer[Baum]::N,pino,бага
141,Weide[Baum]::N,sàlice,дак
142,Tanne::N,abete,база
143,Horn::N,corno,маӏа
144,Feder::N,penna,пелаг
145,Fell::N,manto,цӏока
146,Fell::N,pelame,цӏока
147,Flügel::N,ala,тӏам
148,Klaue::N,grinfia,мӏара
149,Kralle::N,unghia,тlод
150,Kralle::N,artiglio,тlод
151,Schwanz::N,coda,цӏога
152,Ei::N,uovo,xӏoa
153,Nest::N,nido,бен
154,Bau::N,covo,lуьрг
155,Tier::N,bestia,дийнат
156,Tier::N,animale,дийнат
157,Herde::N,gregge,жа
158,Kuh::N,vacca,етт
159,Bulle::N,toro,сту
160,Pferd::N,cavallo,говр
161,Schaf::N,pècora,жий
162,Schaf::N,pècora,уьстагӏ
163,Schwein::N,porco,хьакха
164,Schwein::N,maiale,хьакха
