,Concept_ID,hu,es
0,Auge::N,szem,ojo
1,Ohr::N,fül,oreja
2,Nase::N,orr,nariz
3,Mund::N,száj,boca
4,Zahn::N,fog,diente
5,Zunge::N,nyelv,lengua
6,Lippe::N,ajak,labio
7,Wange::N,orca,mejilla
8,Gesicht::N,arc,cara
9,Stirn::N,homlok,frente
10,Haar::N,haj,cabello
11,Schnurrbart::N,bajusz,bigote
12,Bart::N,szakáll,barba
13,Kinn::N,áll,barbilla
14,Kiefer[Anatomie]::N,állkapocs,mandíbula
15,Kehle::N,gége,garganta
16,Kehle::N,torok,garganta
17,Hals::N,nyak,cuello
18,Genick::N,tarkó,nuca
19,Genick::N,tarkó,cerviz
20,Kopf::N,fő,cabeza
21,Kopf::N,fej,cabeza
22,Rücken::N,hát,espalda
23,Bauch::N,has,vientre
24,Nabel::N,köldök,ombligo
25,Busen::N,mell,pecho
26,Busen::N,kebel,pecho
27,Brust::N,mell,pecho
28,Schulter::N,váll,hombro
29,Arm::N,kar,brazo
30,Ellenbogen::N,könyök,codo
31,Hand::N,kéz,mano
32,Handfläche::N,tenyér,palma
33,Finger::N,ujj,dedo
34,Fingernagel::N,köröm,uña
35,Nagel[Anatomie]::N,köröm,uña
36,Zeh::N,lábujj,dedo del pie
37,Fuß::N,láb,pie
38,Ferse::N,sarok,talón
39,Knie::N,térd,rodilla
40,Oberschenkel::N,comb,muslo
41,Bein::N,láb,pierna
42,Bein::N,lábszár,pierna
43,Körper::N,test,cuerpo
44,Haut::N,bőr,piel
45,Blut::N,vér,sangre
46,Ader::N,ér,vena
47,Sehne::N,ín,tendón
48,Knochen::N,csont,hueso
49,Gehirn::N,agy,cerebro
50,Gehirn::N,agy,encéfalo
51,Gehirn::N,agyvelő,cerebro
52,Gehirn::N,agyvelő,encéfalo
53,Herz::N,szív,corazón
54,Magen::N,gyomor,estómago
55,Leber::N,máj,hígado
56,Atem::N,lehelet,aliento
57,Atem::N,lélegzet,aliento
58,Hunger::N,éhség,hambre
