,Concept_ID,mhr,mdf
0,Auge::N,шинча́,сельме
1,Ohr::N,пы́лыш,пиле
2,Nase::N,нер,шалхка
3,Mund::N,умша́,курга
4,Zahn::N,пӱй,пей
5,Zunge::N,йы́лме,кяль
6,Lippe::N,тӱ́рвӧ,търва́
7,Wange::N,шӱ́ргӧ,щёка
8,Gesicht::N,чури́й,шама
9,Stirn::N,саҥга́,коня
10,Haar::N,ӱп,шя́ярь
11,Schnurrbart::N,ӧ́рыш,уса́
12,Bart::N,понда́ш,сакал
13,Kinn::N,оҥыла́ш,ула
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,саласка
15,Kiefer[Anatomie]::N,пӱйората́,саласка
16,Kehle::N,лога́р,кълдома
17,Kehle::N,лога́р,кърга́парь
18,Hals::N,шӱй,сялдаз
19,Genick::N,шӱйло́дыш,шовонь
20,Kopf::N,вуй,пря
21,Rücken::N,туп,копорь
22,Bauch::N,мӱ́шкыр,пеке
23,Nabel::N,кы́лымде,по́кон
24,Busen::N,чы́зе,потя
25,Brust::N,оҥ,мяште
26,Schulter::N,ва́че,лафту
27,Arm::N,кид,кядь
28,Ellenbogen::N,кынерву́й,кенерьба́карь
29,Hand::N,кид,кядь
30,Hand::N,копа́,кядь
31,Handfläche::N,со́во,кядьлапш
32,Finger::N,парня́,сур
33,Fingernagel::N,кидкӱ́ч,кенже
34,Fingernagel::N,парнягӱ́ч,кенже
35,Nagel[Anatomie]::N,кӱч,кенже
36,Zeh::N,йолварня́,пильгосу́р
37,Fuß::N,йол,пильге
38,Fuß::N,йол,пильгелапа
39,Fuß::N,йолкопа́,пильге
40,Fuß::N,йолкопа́,пильгелапа
41,Ferse::N,тага́н,кочкяря
42,Knie::N,пулву́й,эль
43,Knie::N,пулву́й,пълма́нжа
44,Oberschenkel::N,э́рде,пильгепукша
45,Bein::N,йол,пильге
46,Körper::N,кап,ро́нга
47,Körper::N,кап,по́нда
48,Haut::N,кова́ште,киське
49,Blut::N,вӱр,вер
50,Ader::N,шӧн,сан
51,Ader::N,шӧн,верза́н
52,Sehne::N,шӧн,коське сан
53,Sehne::N,кӱсе́н,коське сан
54,Knochen::N,лу,пакарь
55,Gehirn::N,вем,уй
56,Gehirn::N,вуйве́м,уй
57,Herz::N,шӱм,седи
58,Magen::N,пага́р,коткърдазь
59,Leber::N,мокш,макса
60,Atem::N,шӱ́лыш,лекома
61,Atem::N,шӱ́лыш,ваймонь тарксема
62,Hunger::N,шужыма́ш,вачеши
