,Concept_ID,ady,hi
0,Auge::N,нэ,आँख
1,Auge::N,нэ,चक्षु
2,Ohr::N,тхьакӏу́м,कान
3,Ohr::N,тхьакӏу́м,कर्ण
4,Nase::N,пэ,नाक
5,Nase::N,пэ,नासा
6,Mund::N,жэ,मुख
7,Mund::N,жэ,मुँह
8,Zahn::N,цэ,दंत
9,Zahn::N,цэ,दाँत
10,Zunge::N,бзэгу,जीभ
11,Zunge::N,бзэгу,ज़बान
12,Zunge::N,бзэгу,जिह्वा
13,Lippe::N,ӏупшӏэ́,ओंठ
14,Lippe::N,ӏупшӏэ́,होंठ
15,Wange::N,нэкӏу́шъу,गाल
16,Wange::N,нэкӏу́шъу,कपोल
17,Gesicht::N,нэ́гу,मुँह
18,Gesicht::N,нэ́гу,चेहरा
19,Stirn::N,натӏэ́,माथा
20,Stirn::N,натӏэ́,मस्तक
21,Haar::N,шъхьацы́,बाल
22,Bart::N,жакӏэ́,दाढ़ी
23,Kinn::N,жэкӏэпэпкъ,चिबुक
24,Kiefer[Anatomie]::N,жэпкъы́,जबड़ा
25,Kehle::N,чый,गला
26,Hals::N,пшъэ,गला
27,Hals::N,пшъэ,गरदन
28,Genick::N,шъхьэпхэтыку,गरदन
29,Genick::N,шъхьэпхэтыку,ग्रीवा
30,Kopf::N,шъхьэ́,सिर
31,Kopf::N,шъхьэ́,शीर्ष
32,Rücken::N,кӏыбы́,पीठ
33,Bauch::N,ныбэ́,उदर
34,Busen::N,бгъэ́,कुच
35,Busen::N,бгъэ́,स्तन
36,Brust::N,бгъэ́,वक्ष
37,Schulter::N,блыпкъ,कंधा
38,Schulter::N,блыпкъ,स्कंध
39,Arm::N,ӏэ,बाँह
40,Arm::N,ӏэ,बाज़ू
41,Ellenbogen::N,ӏэнтэ́гъу,कुहनी
42,Hand::N,ӏэтхьэцу,हाथ
43,Hand::N,ӏэтхьэцу,हस्त
44,Handfläche::N,ӏэ́гу,हथेली
45,Finger::N,ӏэхъуа́мб,उँगली
46,Finger::N,ӏэхъуа́мб,अँगुली
47,Fingernagel::N,ӏэбжъа́н,नख
48,Fingernagel::N,ӏэбжъа́н,नाख़ून
49,Nagel[Anatomie]::N,ӏэбжъа́н,नख
50,Nagel[Anatomie]::N,ӏэбжъа́н,नाख़ून
51,Zeh::N,ӏэхъуа́мб,उँगली
52,Zeh::N,ӏэхъуа́мб,पाँव की उँगली
53,Fuß::N,лъэгу,चरण
54,Fuß::N,лъэгу,पाँव
55,Ferse::N,лъэдакъэ,एड़ी
56,Knie::N,лъагуа́ндж,जानु
57,Knie::N,лъагуа́ндж,घुटना
58,Oberschenkel::N,ко,उरु
59,Bein::N,лъакъо́,टाँग
60,Körper::N,пкъышъол,तन
61,Körper::N,пкъышъол,देह
62,Körper::N,пкъышъол,शरीर
63,Haut::N,кӏы́шъу,चर्म
64,Haut::N,кӏы́шъу,त्वचा
65,Blut::N,лъы,लहू
66,Blut::N,лъы,ख़ून
67,Ader::N,льытф,रग
68,Ader::N,льытф,शिरा
69,Sehne::N,фэ,कंडरा
70,Sehne::N,фэ,स्नायु
71,Knochen::N,къупшъхьэ́,अस्थि
72,Gehirn::N,куцӏы,दिमाग़
73,Gehirn::N,куцӏы,मस्तिष्क
74,Herz::N,гу,दिल
75,Herz::N,гу,हृदय
76,Magen::N,мышкӏу,मेदा
77,Magen::N,мышкӏу,अमाशय
78,Leber::N,шӏу,जिगर
79,Leber::N,шӏу,यकृत्
80,Atem::N,къэщэныр,दम
81,Atem::N,къэщэныр,साँस
82,Atem::N,къэщэныр,श्वास
83,Hunger::N,гъаблэ́,भूख
84,Hunger::N,гъаблэ́,क्षुधा
85,Träne::N,нэпсы,आँसू
86,Träne::N,нэпсы,अश्रु
87,Geschmack::N,ӏэшӏугъа́кӏ,स्वाद
88,Geschmack::N,ӏэшӏугъа́кӏ,ज़ायक़ा
89,Geruch::N,мэ,बू
90,Geruch::N,мэ,गंध
91,Schlaf::N,пчыхьы́пӏ,नींद
92,Schlaf::N,пчыхьы́пӏ,निद्रा
93,Traum::N,пчыхьы́пӏ,सपना
94,Traum::N,пчыхьы́пӏ,स्वप्न
95,Himmel::N,уашъо́,आकाश
96,Himmel::N,уашъо́,आसमान
97,Sonne::N,тыгъэ,रवि
98,Sonne::N,тыгъэ,सूरज
99,Sonne::N,тыгъэ,सूर्य
100,Mond::N,мазэ,चाँद
101,Mond::N,мазэ,चंद्र
102,Stern::N,жъуагъо́,तारा
103,Stern::N,жъуагъо́,सितारा
104,Luft::N,жьы,हवा
105,Luft::N,жьы,वायु
106,Wind::N,жьыбгъэ́,पाद
107,Welle::N,ор,लहर
108,Welle::N,ор,तरंग
109,Welle::N,оры,लहर
110,Welle::N,оры,तरंग
111,Wasser::N,псы,जल
112,Wasser::N,псы,पानी
113,Stein::N,мыжъо́,पत्थर
114,Boden::N,чӏ́ыгу,मिट्टी
115,Erde::N,чӏ́ыгу,भूमि
116,Erde::N,чӏ́ыгу,ज़मीन
117,Staub::N,сап,धूल
118,Rauch::N,ӏугъо́,धूआँ
119,Rauch::N,ӏугъо́,धुम्र
120,Funke::N,мэшӏуа́ч,चिनगारी
121,Funke::N,мэшӏуа́ч,स्फुलिंग
122,Feuer::N,машӏо́,आग
123,Feuer::N,машӏо́,आतिश
124,Feuer::N,машӏо́,अग्नि
125,Licht::N,нэфы,रोशनी
126,Licht::N,нэфы,प्रकाश
127,Licht::N,нэфын,रोशनी
128,Licht::N,нэфын,प्रकाश
129,Schatten::N,жьау́,छाया
130,Schatten::N,жьау́,परछाई
131,Schatten::N,ныбжьыкъу,छाया
132,Schatten::N,ныбжьыкъу,परछाई
133,Nebel::N,пща́гъу,धुँध
134,Nebel::N,пща́гъу,कुहरा
135,Wolke::N,ошъуапщэ,मेघ
136,Wolke::N,ошъуапщэ,अभ्र
137,Regen::N,ощхы,मेंह
138,Regen::N,ощхы,बारिश
139,Schnee::N,осы́,हिम
140,Schnee::N,осы́,बर्फ़
141,Eis::N,мылы,हिम
142,Eis::N,мылы,बर्फ़
143,Kälte::N,чъыӏэ́,सर्दी
144,Kälte::N,чъыӏэ́,शीतलता
