,Concept_ID,se,fr
0,Auge::N,tjelmie,œil
1,Auge::N,tjalmme,œil
2,Auge::N,čalbmi,œil
3,Auge::N,čalme,œil
4,Auge::N,čâ´lmm,œil
5,Auge::N,ча̄лльм,œil
6,Ohr::N,bieljie,oreille
7,Ohr::N,biellje,oreille
8,Ohr::N,beallji,oreille
9,Ohr::N,pelji,oreille
10,Ohr::N,pe´llj,oreille
11,Ohr::N,пе̄лльй,oreille
12,Nase::N,njuenie,nez
13,Nase::N,njunnje,nez
14,Nase::N,njunni,nez
15,Nase::N,njuṇe,nez
16,Nase::N,njuu´nn,nez
17,Nase::N,нюннҍ,nez
18,Mund::N,njaelmie,bouche
19,Mund::N,njálmme,bouche
20,Mund::N,njálbmi,bouche
21,Mund::N,njälmi,bouche
22,Mund::N,njä´lmm,bouche
23,Mund::N,ня̄лльм,bouche
24,Zahn::N,baenie,dent
25,Zahn::N,bádne,dent
26,Zahn::N,bátni,dent
27,Zahn::N,pääṇi,dent
28,Zahn::N,pää´nn,dent
29,Zahn::N,па̄ннҍ,dent
30,Zunge::N,njoektjeme,langue
31,Zunge::N,njuovtjav,langue
32,Zunge::N,njuovčča,langue
33,Zunge::N,njuovčâ,langue
34,Zunge::N,njuhččâm,langue
35,Zunge::N,нюхчем,langue
36,Lippe::N,bangseme,lèvre
37,Lippe::N,njálmmerabdda,lèvre
38,Lippe::N,bavssa,lèvre
39,Lippe::N,poovsâ,lèvre
40,Lippe::N,põõus,lèvre
41,Lippe::N,пэ̄кс,lèvre
42,Wange::N,skiehrie,joue
43,Wange::N,nierra,joue
44,Wange::N,muohtu,joue
45,Wange::N,nieṛâ,joue
46,Wange::N,njiõrr,joue
47,Wange::N,нӣрр,joue
48,Gesicht::N,ååredæjja,face
49,Gesicht::N,ååredæjja,visage
50,Gesicht::N,muohto,face
51,Gesicht::N,muohto,visage
52,Gesicht::N,muođut,face
53,Gesicht::N,muođut,visage
54,Gesicht::N,ámadadju,face
55,Gesicht::N,ámadadju,visage
56,Gesicht::N,muáđuh,face
