,Concept_ID,os,eu
0,Auge::N,цӕст,begi
1,Ohr::N,хъус,belarri
2,Nase::N,фындз,sudur
3,Mund::N,дзых,aho
4,Zahn::N,дӕндаг,hortz
5,Zunge::N,ӕвзаг,mihi
6,Lippe::N,был,ezpain
7,Wange::N,рус,masail
8,Wange::N,уадул,masail
9,Wange::N,ӕхсӕрфарс,masail
10,Gesicht::N,цӕсгом,aurpegi
11,Stirn::N,ных,bekoki
12,Haar::N,хил,ile
13,Haar::N,хил,bilo
14,Schnurrbart::N,рихи,bibote
15,Schnurrbart::N,рихи,sudurpeko
16,Bart::N,зачъе,bizar
17,Kinn::N,роцъо,kokots
18,Kiefer[Anatomie]::N,ӕфсӕр,masailezur
19,Kehle::N,хъуыр,eztarri
20,Hals::N,къубал,sama
21,Genick::N,къӕбут,garondo
22,Kopf::N,сӕр,buru
23,Rücken::N,фӕсонтӕ,bizkar
24,Bauch::N,гуыбын,sabel
25,Nabel::N,бикъ,zilbor
26,Busen::N,дзидзи,titi
27,Busen::N,дзидзи,ugatz
28,Brust::N,риу,bular
29,Schulter::N,уӕхск,besaburu
30,Arm::N,цонг,beso
31,Ellenbogen::N,рæмбын,ukondo
32,Hand::N,къух,esku
33,Handfläche::N,армытъӕпӕн,ahur
34,Finger::N,ӕнруылдз,hatz
35,Fingernagel::N,ных,azazkal
36,Nagel[Anatomie]::N,ных,azazkal
37,Zeh::N,къух,behatz
38,Fuß::N,фад,oin
39,Ferse::N,зӕвӕт,orpo
40,Ferse::N,зӕвӕт,oinburu
41,Knie::N,уӕраг,belaun
42,Oberschenkel::N,агъд,izter
43,Bein::N,зӕнг,zango
44,Körper::N,буар,soin
45,Haut::N,царм,azal
46,Blut::N,туг,odol
47,Ader::N,дадзин,zain
48,Ader::N,тугдадзин,zain
49,Sehne::N,хъиутæ,gihar-zain
50,Sehne::N,нуар,gihar-zain
51,Knochen::N,стӕг,hezur
52,Gehirn::N,магъз,garun
53,Gehirn::N,магъз,burmuin
54,Herz::N,зӕрдӕ,bihotz
55,Magen::N,ахсӕн,urdail
56,Leber::N,игæр,gibel
57,Atem::N,улӕфт,hats
58,Atem::N,улӕфт,arnasa
59,Hunger::N,стонг,gose
60,Träne::N,цæссыг,malko
61,Geschmack::N,ад,dasta
62,Geruch::N,смаг,usain
63,Schlaf::N,хуыссӕг,lo
64,Traum::N,фын,amets
65,Himmel::N,арв,zeru
66,Himmel::N,уӕларв,zeru
67,Sonne::N,хур,eguzki
68,Mond::N,мӕй,ilargi
69,Stern::N,стъалы,izar
70,Luft::N,уӕлдӕф,aire
71,Wind::N,дымгӕ,haize
72,Welle::N,уылӕн,uhin
73,Welle::N,уылӕн,olatu
74,Wasser::N,дон,ur
75,Stein::N,дур,harri
76,Boden::N,зӕхх,lur
77,Boden::N,зӕхх,zoru
78,Erde::N,сыджыт,lur
79,Staub::N,рыг,hauts
80,Rauch::N,фӕздӕг,ke
81,Funke::N,цӕхӕр,zirta
82,Funke::N,цӕхӕр,txinparta
83,Feuer::N,зынг,su
84,Licht::N,рухс,argi
85,Schatten::N,аууон,itzal
86,Schatten::N,аууон,geriza
87,Wetter::N,боныхъӕд,eguraldi
88,Nebel::N,мигъ,laino
89,Wolke::N,ӕврагъ,hodei
90,Regen::N,уарын,euri
91,Schnee::N,мит,elur
92,Eis::N,их,horma
93,Frost::N,ихæн,izotzaldi
94,Kälte::N,уазал,hotz
95,Hitze::N,ӕнтӕф,bero
96,Raureif::N,халас,antzigar
97,Regenbogen::N,арвырон,ostadar
98,Regenbogen::N,арвырон,ortzadar
99,Regenbogen::N,арвырдын,ostadar
100,Regenbogen::N,арвырдын,ortzadar
101,Donner::N,æрвнæрын,ostots
102,Donner::N,æрвнæрын,ihurtzuri
103,Strömung::N,цыд,laster
104,Tropfen::N,æртах,xorta
105,Schaum::N,фынк,bits
106,Schmutz::N,цъыф,lohi
107,Schmutz::N,цъыф,zikin
108,See::N,цад,laku
109,See::N,цад,aintzira
110,Sumpf::N,цъыфдзаст,zingira
111,Moor::N,цъыфдзаст,zohikaztegi
112,Wiese::N,уыгӕрдӕн,larre
113,Wiese::N,уыгӕрдӕн,belardi
114,Wald::N,хъӕд,baso
115,Wald::N,хъӕд,oihan
116,Hügel::N,обау,muino
117,Hügel::N,обау,pentoka
118,Hügel::N,къуыбыр,muino
119,Hügel::N,къуыбыр,pentoka
120,Anhöhe::N,уæлвæз,garai
121,Anhöhe::N,уæлвæз,goragune
122,Anhöhe::N,уæлхох,garai
123,Anhöhe::N,уæлхох,goragune
124,Berg::N,хох,mendi
125,Gipfel::N,цъупп,gain
126,Gipfel::N,цъупп,tontor
127,Höhle::N,лӕгӕт,kobazulo
128,Abhang::N,къул,aldapa
129,Quelle::N,суадон,iturri
130,Quelle::N,суадон,iturbegi
131,Bach::N,мӕсчъыдон,lats
132,Bach::N,мӕсчъыдон,erreka
133,Fluss::N,дон,ibai
134,Fluss::N,дон,uhaitz
135,Fluss::N,цӕугӕдон,ibai
136,Fluss::N,цӕугӕдон,uhaitz
137,Ufer::N,был,bazter
138,Küste::N,донбыл,itsasalde
139,Festland::N,сурзæхх,lehor
140,Meer::N,денджыз,itsaso
141,Bucht::N,донбакæлæн,golko
142,Insel::N,сакъадах,irla
143,Insel::N,сакъадах,uharte
144,Blume::N,дидинӕг,lili
145,Gras::N,кӕрдӕг,belar
146,Wurzel::N,уидаг,zuztar
147,Wurzel::N,уидаг,sustrai
148,Baum::N,бӕлас,zuhaitz
149,Stamm::N,хӕтӕл,enbor
150,Rinde::N,цъар,azal
151,Ast::N,арх,adar
152,Zweig::N,къалиу,abar
153,Blatt::N,сыф,hosto
154,Birke::N,бæрз,urki
155,Kiefer[Baum]::N,нӕзы,ler
156,Weide[Baum]::N,хӕрис,zume
157,Weide[Baum]::N,хӕрис,sahats
158,Tanne::N,наз,izei
159,Horn::N,сыкъа,adar
160,Feder::N,сис,luma
161,Feder::N,сис,hegaki
162,Fell::N,царм,ile
163,Fell::N,царм,larru
164,Flügel::N,базыр,hego
165,Klaue::N,ных,atzapar
166,Kralle::N,дзӕмбы,erpe
167,Kralle::N,дзӕмбы,atzapar
168,Schwanz::N,къӕдзил,isats
169,Schwanz::N,къӕдзил,buztan
170,Ei::N,айк,arrautza
171,Nest::N,ахстон,habia
172,Bau::N,хуынкъ,ohantze
173,Tier::N,сырд,abere
174,Tier::N,сырд,piztia
175,Tier::N,цӕрӕгой,abere
176,Tier::N,цӕрӕгой,piztia
177,Herde::N,дзуг,saldo
178,Herde::N,дзуг,abere talde
179,Herde::N,рӕгъау,saldo
180,Herde::N,рӕгъау,abere talde
181,Kuh::N,хъуг,behi
182,Bulle::N,гал,zezen
183,Pferd::N,бӕх,zaldi
184,Schaf::N,фыс,ardi
185,Schwein::N,хуы,urde
186,Schwein::N,хуы,txerri
187,Hund::N,куыдз,txakur
188,Katze::N,гӕды,katu
189,Bär::N,арс,hartz
190,Eichhörnchen::N,æхсæрæг,urtxintxa
191,Elch::N,цæгатаг саг,altze
192,Fuchs::N,рувас,azeri
193,Hase::N,тæрхъус,erbi
194,Maus::N,мыст,sagu
195,Wolf::N,бирӕгъ,otso
196,Vogel::N,цъиу,txori
197,Vogel::N,цъиу,hegazti
198,Vogel::N,маргъ,txori
199,Vogel::N,маргъ,hegazti
200,Schwarm::N,бал,aldra
201,Huhn::N,карк,oilo
202,Hahn::N,уасӕг,oilar
203,Gans::N,хъаз,antzara
204,Adler::N,цӕргӕс,arrano
205,Ente::N,ацц,ahate
206,Eule::N, уыг,hontza
207,Eule::N,сидахъ,hontza
208,Kranich::N,зырнæг,kurrilo
209,Kranich::N,хърихъупп,kurrilo
210,Krähe::N,халон,bele
211,Kuckuck::N,гаккук,kuku
212,Schwan::N,доныхъаз,beltxarga
213,Fisch::N,кӕсаг,arrain
214,Barsch::N,окунь,perka
215,Hecht::N,хихор кӕсаг,lutxo
216,Schlange[Tier]::N,калм,suge
217,Wurm::N,зулкъ,har
218,Wurm::N,къуыдыргалм,har
219,Spinne::N,хӕлуарӕг,armiarma
220,Ameise::N,мæлдзыг,inurri
221,Laus::N,сыст,zorri
222,Mücke::N,къогъо,eltxo
223,Fliege::N,бындз,euli
224,Schmetterling::N,гæлæбу,pinpirin
225,Schmetterling::N,гæлæбу,tximeleta
226,Beere::N,гагадыргъ,baia
227,Apfel::N,фӕткъуы,sagar
228,Pilz::N,зокъо,onddo
229,Pilz::N,зокъо,perretxiko
230,Pilz::N,къозо,onddo
231,Pilz::N,къозо,perretxiko
232,Zwiebel::N,хъӕдындз,tipula
233,Saat::N,тауинаг,haziak
234,Saat::N,мыггаг,haziak
235,Korn::N,мыггаг,ale
236,Korn::N,мыггаг,pikor
237,Korn::N,тауинаг,ale
238,Korn::N,тауинаг,pikor
239,Heu::N,хос,belar ondu
240,Schale::N,цъар,azal
241,Grube::N,урм,hobi
242,Grube::N,къахт,hobi
243,Grube::N,дзыхъхъ,hobi
244,Falle::N,цъысым,harrapagailu
245,Falle::N,къӕппӕг,harrapagailu
246,Schlinge::N,цасм,bilur
247,Schlinge::N,цасм,xedera
248,Spur::N,фæд,lorratz
249,Asche::N,фӕнык,errauts
250,Asche::N,ӕртхутӕг,errauts
251,Dreck::N,цъыф,satsukeria
252,Eisen::N,ӕфсӕйнаг,burdina
253,Gold::N,сыгъзӕрин,urre
254,Gold::N,сыгъзӕрин,urregorri
255,Silber::N,ӕвзист,zilar
256,Silber::N,ӕвзист,urrezuri
257,Kohle::N,ӕвзалы,ikatz
258,Glas::N,авг,beira
259,Lehm::N,ӕлыг,buztin
260,Sand::N,змис,harea
261,Sand::N,змис,hondar
262,Mensch::N,лӕг,gizaki
263,Mensch::N,адӕймаг,gizaki
264,Mensch::N,удгоймаг,gizaki
265,Mann::N,лӕг,gizon
266,Mann::N,нӕлгоймаг,gizon
267,Frau::N,сылгоймаг,andere
268,Frau::N,сылгоймаг,emakume
269,Kind::N,сывӕллон,haur
270,Junge::N,лӕппу,mutil
271,Mädchen::N,чызг,neska
272,Familie::N,бинонтæ,sendi
273,Familie::N,бинонтæ,familia
274,Großvater::N,фыдыфыд,aitona
275,Großvater::N,фыдыфыд,aitatxi
276,Großvater::N,мадыфыд,aitona
277,Großvater::N,мадыфыд,aitatxi
