,Concept_ID,sah,it
0,Auge::N,харах,occhio
1,Ohr::N,кулгаах,orecchio
2,Nase::N,мурун,naso
3,Mund::N,айах,bocca
4,Zahn::N,тиис,dente
5,Zunge::N,тыл,lingua
6,Lippe::N,уос,labbro
7,Wange::N,иэдэс,guancia
8,Gesicht::N,сирэй,viso
9,Gesicht::N,сирэй,faccia
10,Stirn::N,сүүс,fronte
11,Haar::N,баттах,capello
12,Schnurrbart::N,уос бытыга,baffi
13,Schnurrbart::N,уос бытыга,mustacchi
14,Bart::N,сэҥийэ бытыга,barba
15,Kinn::N,сэҥийэ,mento
16,Kiefer[Anatomie]::N,сыҥаах,mascella
17,Kehle::N,тамах,gola
18,Kehle::N,күөмэй,gola
19,Hals::N,моой,collo
20,Genick::N,кэтэх,nuca
21,Kopf::N,бас,capo
22,Kopf::N,бас,testa
23,Rücken::N,көҕүс,dorso
24,Rücken::N,көҕүс,schiena
25,Bauch::N,ис,ventre
26,Nabel::N,киин,ombelico
27,Busen::N,эмиий,seno
28,Brust::N,түөс,petto
29,Schulter::N,сарын,spalla
30,Arm::N,илии,braccio
31,Ellenbogen::N,тоҕонох,gomito
32,Hand::N,илии,mano
33,Handfläche::N,ытыс,palma
34,Finger::N,тарбах,dito
35,Fingernagel::N,тыҥырах,unghia
36,Nagel[Anatomie]::N,тыҥырах,unghia
37,Zeh::N,тарбах,dito del piede
38,Fuß::N,уллуҥах,piede
39,Ferse::N,тилэх,tallone
40,Ferse::N,тилэх,calcagno
41,Knie::N,тобук,ginocchio
42,Knie::N,дьилбэк,ginocchio
43,Oberschenkel::N,уллук,fèmore
44,Oberschenkel::N,өттүк,fèmore
45,Bein::N,атах,gamba
46,Körper::N,бэйэ,corpo
47,Haut::N,тирии,pelle
48,Blut::N,хаан,sangue
49,Ader::N,вена,vena
50,Ader::N,күөх_тымыр,vena
51,Sehne::N,иҥиир,tèndine
52,Knochen::N,уҥуох,osso
53,Knochen::N,уҥгуох,osso
54,Gehirn::N,мэйии,cervello
55,Herz::N,сүрэх,cuore
56,Magen::N,куртах,stòmaco
57,Leber::N,быар,fegato
58,Atem::N,тыын,fiato
59,Atem::N,тыын,respiro
60,Hunger::N,аас,fame
61,Träne::N,харах уута,làcrima
62,Geschmack::N,амтан,gusto
63,Geschmack::N,амтан,sapore
64,Geruch::N,сыт,odore
65,Schlaf::N,утуйуу,sonno
66,Traum::N,түүл,sogno
67,Himmel::N,халлаан,cielo
68,Sonne::N,күн,sole
69,Mond::N,ый,luna
70,Stern::N,сулус,stella
71,Luft::N,салгын,aria
72,Wind::N,тыал,vento
73,Welle::N,долгун,onda
74,Welle::N,балхаан,onda
75,Wasser::N,уу,acqua
76,Stein::N,таас,sasso
77,Stein::N,таас,pietra
78,Boden::N,сир,suolo
79,Boden::N,сир,terreno
80,Erde::N,буор,terra
81,Staub::N,быыл,polvere
82,Rauch::N,буруо,fumo
83,Funke::N,кыым,scintilla
84,Feuer::N,уот,fuoco
85,Licht::N,уот,luce
86,Schatten::N,күлүк,ombra
87,Wetter::N,күн-дьыл,tempo
88,Nebel::N,туман,nebbia
89,Wolke::N,былыт,nube
90,Wolke::N,былыт,nùvola
91,Regen::N,самыыр,pioggia
92,Schnee::N,хаар,neve
93,Eis::N,муус,ghiaccio
94,Frost::N,тымныы,gelo
95,Kälte::N,тымныы,freddo
96,Hitze::N,куйаас,caldo
97,Hitze::N,куйаас,calura
98,Raureif::N,кырыа,brina
99,Regenbogen::N,кустук,arcobaleno
100,Donner::N,этиҥ,tuono
101,Strömung::N,сүүрүк,corrente
102,Tropfen::N,таммах,goccia
103,Tropfen::N,хааппыла,goccia
104,Schaum::N,күүгэн,spuma
105,Schaum::N,күүгэн,schiuma
106,Schmutz::N,кир,sudiciume
107,See::N,күөл,lago
108,Sumpf::N,бадараан,palude
109,Moor::N,дьэбэрэ,torbiera
110,Wiese::N,ходуһа,prato
111,Wald::N,ойуур,bosco
112,Wald::N,ойуур,foresta
113,Hügel::N,булгунньах,colle
114,Hügel::N,булгунньах,collina
115,Anhöhe::N,үрдэл,altura
116,Berg::N,хайа,monte
117,Berg::N,хайа,montagna
118,Gipfel::N,чыпчаал,cima
119,Höhle::N,хайа_хаспаҕа,grotta
120,Höhle::N,хайа_хаспаҕа,caverna
121,Höhle::N,көҥүс,grotta
122,Höhle::N,көҥүс,caverna
123,Abhang::N,эниэ,pendìo
124,Quelle::N,дьүүктэ,sorgente
125,Bach::N,үрүйэ,ruscello
126,Fluss::N,өрүс,fiume
127,Ufer::N,биэрэк,riva
128,Küste::N,кытыл,costa
129,Festland::N,кураанах сир,terraferma
130,Meer::N,муора,mare
131,Bucht::N,хомо,cala
132,Bucht::N,бухта,cala
133,Insel::N,арыы,ìsola
134,Blume::N,сибэкки,fiore
135,Gras::N,от,erba
136,Wurzel::N,силис,radice
137,Baum::N,мас,àlbero
138,Stamm::N,умнас,tronco
139,Rinde::N,хатырык,corteccia
140,Ast::N,мутук,ramo
141,Zweig::N,лабаа,ramo
142,Blatt::N,сэбирдэх,foglia
143,Birke::N,хатыҥ,betulla
144,Kiefer[Baum]::N,бэс,pino
145,Weide[Baum]::N,үөт,sàlice
146,Weide[Baum]::N,талах,sàlice
147,Tanne::N,харыйа,abete
148,Horn::N,муос,corno
149,Feder::N,куорсун,penna
150,Fell::N,тирии,manto
151,Fell::N,тирии,pelame
152,Flügel::N,кынат,ala
153,Klaue::N,тыҥырах,grinfia
154,Kralle::N,баппаҕай,unghia
155,Kralle::N,баппаҕай,artiglio
156,Schwanz::N,кутурук,coda
157,Ei::N,сымыыт,uovo
158,Nest::N,уйа,nido
159,Bau::N,хороон,covo
160,Tier::N,кыыл,bestia
161,Tier::N,кыыл,animale
162,Tier::N,харамай,bestia
163,Tier::N,харамай,animale
164,Herde::N,үөр,gregge
165,Kuh::N,ынах,vacca
166,Bulle::N,оҕус,toro
167,Pferd::N,сылгы,cavallo
168,Schaf::N,овца,pècora
169,Schwein::N,сибиинньэ,porco
170,Schwein::N,сибиинньэ,maiale
171,Hund::N,ыт,cane
172,Katze::N,куоска,gatta
173,Bär::N,эһэ,orso
174,Eichhörnchen::N,тииҥ,scoiàttolo
175,Elch::N,тайах,alce
176,Fuchs::N,саһыл,volpe
177,Hase::N,куобах,lepre
178,Maus::N,кутуйах,topo
179,Maus::N,кутуйах,sorcio
180,Wolf::N,бөрө,lupo
181,Vogel::N,көтөр,uccello
182,Schwarm::N,бөлөх,stormo
183,Huhn::N,куурусса,gallina
184,Hahn::N,бөтүүк,gallo
185,Gans::N,хаас,oca
186,Adler::N,хотой,àquila
187,Ente::N,кус,ànatra
188,Eule::N,мэкчиргэ,gufo
189,Eule::N,мэкчиргэ,civetta
190,Kranich::N,туруйа,gru
191,Krähe::N,тураах,cornacchia
192,Kuckuck::N,кэҕэ,cuccù
193,Kuckuck::N,кэҕэ,cùculo
194,Schwan::N,куба,cigno
195,Fisch::N,балык,pesce
196,Barsch::N,алыһар,pèrsico
197,Hecht::N,сордон,luccio
198,Schlange[Tier]::N,моҕой,serpente
199,Schlange[Tier]::N,эриэн үөн,serpente
200,Wurm::N,үөн,baco
201,Wurm::N,үөн,verme
202,Spinne::N,ооҕуй,ragno
203,Ameise::N,кымырдаҕас,formica
204,Laus::N,быт,pidocchio
205,Mücke::N,кумаар,zanzara
206,Fliege::N,сахсырҕа,mosca
207,Schmetterling::N,лыах,farfalla
208,Schmetterling::N,үрүмэччи,farfalla
209,Beere::N,отон,bacca
210,Apfel::N,яблоко,mela
211,Pilz::N,тэллэй,fungo
212,Zwiebel::N,луук,cipolla
213,Saat::N,сиэмэ,semente
214,Korn::N,сиэмэ,grano
215,Heu::N,от,fieno
216,Schale::N,хах,buccia
217,Grube::N,дьаама,cava
218,Grube::N,дьаама,fossa
219,Falle::N,сохсо,tràppola
220,Schlinge::N,уктаа,laccio
221,Spur::N,суол,traccia
222,Asche::N,күл,cenere
223,Dreck::N,бадараан,fango
224,Eisen::N,тимир,ferro
225,Gold::N,көмүс,oro
226,Gold::N,кыһыл көмүс,oro
227,Silber::N,көмүс,argento
228,Silber::N,үрүҥ көмүс,argento
229,Kohle::N,чох,carbone
230,Glas::N,өстүөкүлэ,vetro
231,Lehm::N,туой,argilla
232,Sand::N,кумах,arena
233,Sand::N,кумах,sabbia
234,Mensch::N,киһи,uomo
235,Mensch::N,киһи,èssere umano
236,Mann::N,эр,uomo
237,Frau::N,дьахтар,donna
238,Kind::N,оҕо,bambino
239,Junge::N,уол,ragazzo
240,Mädchen::N,кыыс оҕо,ragazza
241,Familie::N,кэргэн,famiglia
242,Großvater::N,эһэ,nonno
243,Großmutter::N,эбэ,nonna
244,Eltern::N,аҕа-ийэ,genitori
245,Vater::N,аҕа,padre
246,Mutter::N,ийэ,madre
247,Sohn::N,уол,figlio
248,Tochter::N,кыыс,figlia
249,Bruder::N,убай,fratello
250,Bruder::N,быраат,fratello
251,Schwester::N,аҕас,sorella
252,Schwester::N,балыс,sorella
253,Onkel::N,таай,zio
254,Onkel::N,абаҕа,zio
255,Tante::N,эдьиий,zia
256,Ehemann::N,эр,marito
257,Ehefrau::N,ойох,moglie
258,Freude::N,үөрүү,gioia
259,Freude::N,үөрүү,piacere
260,Gelächter::N,күлүү,risata
261,Glück::N,дьол,felicità
262,Glück::N,соргу,felicità
263,Kummer::N,кутурҕан,afflizione
264,Wunsch::N,баҕарыы,desiderio
265,Lust::N,баҕа,voglia
266,Geist::N,тыын,mente
267,Geist::N,тыын,spìrito
268,Gedanke::N,санаа,idea
269,Gedanke::N,санаа,pensiero
270,Gedächtnis::N,өй,memoria
271,Verstand::N,өй,intelletto
272,Sinn::N,суолта,senso
273,Sinn::N,суолта,significato
274,Grund::N,төрүөт,causa
275,Grund::N,төрүөт,motivo
276,Grund::N,төрүөт,ragione
277,Wahrheit::N,кырдьык,verità
278,Gespräch::N,бэсиэдэ,discorso
