,Concept_ID,vep,av
0,Auge::N,sil'm,
1,Ohr::N,korv,гӏин
2,Nase::N,nena,мегӏер
3,Mund::N,su,кӏал
4,Zahn::N,pi,гӏус
5,Zahn::N,hambaz,гӏус
6,Zunge::N,kel',мацӏ
7,Lippe::N,hul',кӏветӏ
8,Wange::N,modpolišk,гӏоно
9,Gesicht::N,mod,гьумер
10,Stirn::N,oc,нодо
11,Haar::N,tuk,рас
12,Haar::N,hibuz,рас
13,Schnurrbart::N,habinod,михъ
14,Bart::N,bard,мегеж
15,Kinn::N,löug,нилъу
16,Kiefer[Anatomie]::N,hambazlu,чанагъ
17,Kehle::N,kurk,щекъер
18,Hals::N,kagl,габур
19,Genick::N,tagarai,гъванща
20,Kopf::N,pä,бетӏер
21,Rücken::N,sel'g,мугъ
22,Bauch::N,vac,чехь
23,Bauch::N,koht,чехь
24,Nabel::N,naba,цӏину
25,Busen::N,niža,керен
26,Brust::N,rind,керен
27,Schulter::N,oug,гъажазубетӏер
28,Arm::N,käzi,гъеж
29,Ellenbogen::N,künambruz,гӏункӏрукь
30,Hand::N,käzi,квер
31,Hand::N,käzitera,квер
32,Handfläche::N,kämen,огъохъат
33,Handfläche::N,kämen,жанисахъат
34,Finger::N,sor'm,килищ
35,Fingernagel::N,künz',малъ
36,Nagel[Anatomie]::N,künz',малъ
37,Zeh::N,barbaz,килищ
38,Fuß::N,jaug,хӏетӏ
39,Fuß::N,jaug,хӏетӏе
40,Ferse::N,kand,эгъе
41,Knie::N,komb,наку
42,Knie::N,pol'v,наку
43,Oberschenkel::N,riiže,мачӏ
44,Bein::N,jaug,бох
45,Körper::N,hibj,къаркъала
46,Haut::N,nahk,тӏом
47,Blut::N,čak,би
48,Blut::N,veri,би
49,Ader::N,son',бидурихь
50,Sehne::N,jände,
51,Knochen::N,lu,ракьа
52,Gehirn::N,aivod,гӏадалнах
53,Herz::N,südäin,ракӏ
54,Magen::N,südäikoht,кванирукъ
55,Leber::N,maks,тӏул
56,Atem::N,hengaiduz,хӏухь
57,Hunger::N,näl'g,ракъи
58,Träne::N,kündal',магӏу
59,Geschmack::N,magu,тату
60,Geruch::N,haju,махӏ
61,Schlaf::N,uni,макьу
62,Traum::N,unikuva,макьу
63,Himmel::N,taivaz,зоб
64,Sonne::N,päiväine,бакъ
65,Mond::N,kudmaine,моцӏ
66,Stern::N,tähtaz,цӏва
67,Luft::N,il'm,гьава
68,Wind::N,döl,гьури
69,Wind::N,tullei,гьури
70,Welle::N,ald,карачел
71,Welle::N,laineh,карачел
72,Wasser::N,vezi,лъим
73,Stein::N,kivi,гьецӏо
74,Boden::N,ma,ракь
75,Boden::N,pohj,ракь
76,Erde::N,ma,ракь
77,Erde::N,ma,дуниял
78,Staub::N,pölü,хӏур
79,Rauch::N,savu,кӏкӏуй
80,Funke::N,kibin,
81,Feuer::N,lämoi,цӏа
82,Licht::N,vauktuz,канлъи
83,Schatten::N,pil'vez,рагӏад
84,Schatten::N,kuvahaine,рагӏад
85,Wetter::N,sä,гьава-бакъ
86,Nebel::N,sumeg,гӏодобнакӏкӏ
87,Wolke::N,pil'v,накӏкӏ
88,Regen::N,vihm,цӏад
89,Schnee::N,lumi,гӏазу
90,Eis::N,jä,цӏер
91,Frost::N,hala,замгьари
92,Frost::N,pakaine,замгьари
93,Kälte::N,vilu,квач
94,Hitze::N,räk,багӏари
95,Raureif::N,hüde,мартӏ
96,Regenbogen::N,jumalanbembel',нур
97,Regenbogen::N,jumalanbembel',чамбара
98,Donner::N,juru,гъугъай
99,Donner::N,juru,гъугъади
100,Donner::N,jumalanjuru,гъугъай
101,Donner::N,jumalanjuru,гъугъади
102,Strömung::N,joksmuz,чвахи
103,Tropfen::N,tilkuine,резел
104,Tropfen::N,tilkuine,тӏинкӏ
105,Tropfen::N,tilkuine,къатӏра
106,Tropfen::N,tilkuine,тӏенкӏел
107,Schaum::N,vaht,полоп
108,Schmutz::N,redu,чороклъи
109,Schmutz::N,pačak,чороклъи
110,See::N,järv,хӏор
111,Sumpf::N,so,хьуцӏ
112,Moor::N,so,
113,Wiese::N,nit,мегъ
114,Wiese::N,nit,гӏурдаллъи
115,Wald::N,mec,рохь
116,Hügel::N,kukaz,гохӏ
117,Anhöhe::N,kukaz,сийитма
118,Berg::N,mägi,мегӏер
119,Gipfel::N,ladv,тӏогь
120,Höhle::N,mägionduz,нохъо
121,Abhang::N,paute,лабаллъи
122,Quelle::N,lähte,ицц
123,Bach::N,oja,лъар
124,Fluss::N,jogi,гӏор
125,Ufer::N,rand,рагӏал
126,Küste::N,randišt,рагӏал
127,Festland::N,kuivma,ракь
128,Festland::N,kuivma,ракъдаллъи
129,Meer::N,meri,ралъад
130,Bucht::N,laht,кӏветӏ
131,Insel::N,sar',чӏинкӏиллъи
132,Blume::N,änik,тӏегь
133,Gras::N,hein,хер
134,Wurzel::N,jur',кьибил
135,Baum::N,pu,гъветӏ
136,Stamm::N,tüvi,рохти
137,Rinde::N,kor',макъар
138,Ast::N,oks,ноцӏ
139,Zweig::N,oks,гӏаркьел
140,Zweig::N,barb,гӏаркьел
141,Blatt::N,lehtez,тӏамах
142,Birke::N,koiv,мах
143,Birke::N,koiv,махигъветӏ
144,Kiefer[Baum]::N,pedai,накӏкӏигъветӏ
145,Weide[Baum]::N,raid,рицӏцӏ
146,Weide[Baum]::N,raid,рицӏцӏигъветӏ
147,Tanne::N,kuz',ёлка
148,Horn::N,sar'v,лълъар
149,Feder::N,höuneh,хӏули
150,Fell::N,nahk,тӏом
151,Fell::N,nahk,цӏоко
152,Flügel::N,suug,кваркьи
153,Klaue::N,künz',галъ
154,Kralle::N,künz',квачӏ
155,Kralle::N,künz',катиквачӏ
