,Concept_ID,it,eu
0,Auge::N,occhio,begi
1,Ohr::N,orecchio,belarri
2,Nase::N,naso,sudur
3,Mund::N,bocca,aho
4,Zahn::N,dente,hortz
5,Zunge::N,lingua,mihi
6,Lippe::N,labbro,ezpain
7,Wange::N,guancia,masail
8,Gesicht::N,viso,aurpegi
9,Gesicht::N,faccia,aurpegi
10,Stirn::N,fronte,bekoki
11,Haar::N,capello,ile
12,Haar::N,capello,bilo
13,Schnurrbart::N,baffi,bibote
14,Schnurrbart::N,baffi,sudurpeko
15,Schnurrbart::N,mustacchi,bibote
16,Schnurrbart::N,mustacchi,sudurpeko
17,Bart::N,barba,bizar
18,Kinn::N,mento,kokots
19,Kiefer[Anatomie]::N,mascella,masailezur
20,Kehle::N,gola,eztarri
21,Hals::N,collo,sama
22,Genick::N,nuca,garondo
23,Kopf::N,capo,buru
24,Kopf::N,testa,buru
25,Rücken::N,dorso,bizkar
26,Rücken::N,schiena,bizkar
27,Bauch::N,ventre,sabel
28,Nabel::N,ombelico,zilbor
29,Busen::N,seno,titi
30,Busen::N,seno,ugatz
31,Brust::N,petto,bular
32,Schulter::N,spalla,besaburu
33,Arm::N,braccio,beso
34,Ellenbogen::N,gomito,ukondo
35,Hand::N,mano,esku
36,Handfläche::N,palma,ahur
37,Finger::N,dito,hatz
38,Fingernagel::N,unghia,azazkal
39,Nagel[Anatomie]::N,unghia,azazkal
40,Zeh::N,dito del piede,behatz
41,Fuß::N,piede,oin
42,Ferse::N,tallone,orpo
43,Ferse::N,tallone,oinburu
44,Ferse::N,calcagno,orpo
45,Ferse::N,calcagno,oinburu
46,Knie::N,ginocchio,belaun
47,Oberschenkel::N,fèmore,izter
48,Bein::N,gamba,zango
49,Körper::N,corpo,soin
50,Haut::N,pelle,azal
51,Blut::N,sangue,odol
52,Ader::N,vena,zain
53,Sehne::N,tèndine,gihar-zain
54,Knochen::N,osso,hezur
55,Gehirn::N,cervello,garun
56,Gehirn::N,cervello,burmuin
57,Herz::N,cuore,bihotz
58,Magen::N,stòmaco,urdail
59,Leber::N,fegato,gibel
60,Atem::N,fiato,hats
61,Atem::N,fiato,arnasa
62,Atem::N,respiro,hats
63,Atem::N,respiro,arnasa
64,Hunger::N,fame,gose
65,Träne::N,làcrima,malko
66,Geschmack::N,gusto,dasta
67,Geschmack::N,sapore,dasta
68,Geruch::N,odore,usain
69,Schlaf::N,sonno,lo
70,Traum::N,sogno,amets
71,Himmel::N,cielo,zeru
72,Sonne::N,sole,eguzki
73,Mond::N,luna,ilargi
74,Stern::N,stella,izar
75,Luft::N,aria,aire
76,Wind::N,vento,haize
77,Welle::N,onda,uhin
78,Welle::N,onda,olatu
79,Wasser::N,acqua,ur
80,Stein::N,sasso,harri
81,Stein::N,pietra,harri
82,Boden::N,suolo,lur
83,Boden::N,suolo,zoru
84,Boden::N,terreno,lur
85,Boden::N,terreno,zoru
