,Concept_ID,sl,mhr
0,Auge::N,okó,шинча́
1,Ohr::N,uhó,пы́лыш
2,Nase::N,nós,нер
3,Mund::N,ústa,умша́
4,Zahn::N,zób,пӱй
5,Zunge::N,jêzik,йы́лме
6,Lippe::N,ústnica,тӱ́рвӧ
7,Wange::N,líce,шӱ́ргӧ
8,Gesicht::N,oblíčje,чури́й
9,Stirn::N,čêlo,саҥга́
10,Haar::N,lás,ӱп
11,Schnurrbart::N,bŕki,ӧ́рыш
12,Bart::N,bráda,понда́ш
13,Kinn::N,bráda,оҥыла́ш
14,Kiefer[Anatomie]::N,čeljúst,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,čeljúst,пӱйората́
16,Kehle::N,gŕlo,лога́р
17,Hals::N,vrát,шӱй
18,Genick::N,zatílnik,шӱйло́дыш
19,Kopf::N,gláva,вуй
20,Rücken::N,hrbèt,туп
21,Bauch::N,trébuh,мӱ́шкыр
22,Nabel::N,pópek,кы́лымде
23,Busen::N,nédrja,чы́зе
24,Brust::N,pŕsi,оҥ
25,Schulter::N,ráma,ва́че
26,Schulter::N,plêče,ва́че
27,Arm::N,rôka,кид
28,Ellenbogen::N,komólec,кынерву́й
29,Hand::N,rôka,кид
30,Hand::N,rôka,копа́
31,Handfläche::N,dlán,со́во
32,Finger::N,pŕst,парня́
33,Fingernagel::N,nóht na rôki,кидкӱ́ч
34,Fingernagel::N,nóht na rôki,парнягӱ́ч
35,Nagel[Anatomie]::N,nóht,кӱч
36,Zeh::N,pŕst na nôgi,йолварня́
37,Fuß::N,nôga,йол
38,Fuß::N,nôga,йолкопа́
39,Ferse::N,pêta,тага́н
40,Knie::N,koléno,пулву́й
41,Oberschenkel::N,stêgno,э́рде
42,Bein::N,nôga,йол
43,Körper::N,teló,кап
44,Haut::N,kóža,кова́ште
45,Blut::N,krí,вӱр
46,Ader::N,žíla,шӧн
47,Sehne::N,kíta,шӧн
48,Sehne::N,kíta,кӱсе́н
49,Knochen::N,kóst,лу
50,Gehirn::N,možgáni,вем
51,Gehirn::N,možgáni,вуйве́м
52,Herz::N,srcé,шӱм
53,Magen::N,želódec,пага́р
54,Leber::N,jétra,мокш
55,Atem::N,díh,шӱ́лыш
56,Hunger::N,glád,шужыма́ш
57,Träne::N,sólza,шинчавӱ́д
58,Geschmack::N,okús,там
59,Geruch::N,vónj,пуш
60,Schlaf::N,sèn,о́мо
61,Schlaf::N,spánec,о́мо
62,Traum::N,sánje,йӱдо́мо
63,Himmel::N,nebó,кава́
64,Sonne::N,sónce,ке́че
65,Mond::N,lúna,ты́лзе
66,Mond::N,mésec,ты́лзе
67,Stern::N,zvézda,шӱ́дыр
68,Luft::N,zràk,юж
69,Wind::N,véter,марде́ж
70,Welle::N,vál,то́лкын
71,Wasser::N,vôda,вӱд
72,Stein::N,kámen,кӱ
73,Boden::N,tlà,рок
74,Erde::N,pŕst,мла́нде
75,Erde::N,zêmlja,мла́нде
76,Staub::N,práh,пура́к
77,Rauch::N,dìm,шикш
78,Funke::N,ískra,сеске́м
79,Funke::N,ískra,тулйы́п
80,Feuer::N,ôgenj,тул
81,Licht::N,lúč,со́то
82,Schatten::N,sénca,ӱ́мыл
83,Wetter::N,vrême,иге́че
84,Nebel::N,meglà,тӱтыра́
85,Wolke::N,oblák,пыл
86,Regen::N,dèž,йӱр
87,Schnee::N,snég,лум
88,Eis::N,léd,ий
89,Frost::N,zmrzál,чатлама́
90,Kälte::N,mràz,йӱ́штӧ
91,Hitze::N,pripéka,шо́кшо
92,Raureif::N,ívje,пӧрш
93,Raureif::N,ívje,по́кшым
94,Raureif::N,slána,пӧрш
95,Raureif::N,slána,по́кшым
96,Regenbogen::N,mávrica,шонанпы́л
97,Donner::N,gròm,кӱ́дырчӧ
98,Strömung::N,strúja,йо́гын
99,Tropfen::N,káplja,чӱча́лтыш
100,Schaum::N,péna,шоҥ
101,Schmutz::N,nesnága,лавыра́
102,See::N,jézero,ер
103,Sumpf::N,močvírje,лӱ́кӧ
104,Moor::N,bárje,куп
105,Wiese::N,trávnik,о́лык
106,Wald::N,lés,чодыра́
107,Wald::N,gòzd,чодыра́
108,Hügel::N,brég,арка́
109,Hügel::N,goríca,арка́
110,Anhöhe::N,gríč,тӧва́
111,Anhöhe::N,gríč,кӱкшака́
112,Anhöhe::N,višína,тӧва́
113,Anhöhe::N,višína,кӱкшака́
114,Berg::N,gôra,ку́рык
115,Berg::N,planína,ку́рык
116,Gipfel::N,vŕh,чаҥга́
117,Gipfel::N,vŕh,курыкву́й
118,Höhle::N,jáma,пеще́р
119,Höhle::N,jáma,курыкпо́мыш
120,Höhle::N,votlína,пеще́р
121,Höhle::N,votlína,курыкпо́мыш
122,Abhang::N,pobóčje,та́йыл
123,Quelle::N,izvír,важ
124,Quelle::N,izvír,вӱдшинча́
125,Bach::N,pôtok,изэҥе́р
126,Fluss::N,réka,эҥе́р
127,Ufer::N,brég,сер
128,Küste::N,obála,вӱдтӱ́р
129,Küste::N,obréžje,вӱдтӱ́р
130,Festland::N,celína,мла́нде
131,Festland::N,kopnína,мла́нде
132,Meer::N,mórje,те́ҥыз
133,Bucht::N,zalív,икса́
134,Insel::N,ôtok,отро́
135,Blume::N,cvetlíca,пеле́дыш
136,Gras::N,tráva,шу́до
137,Wurzel::N,korenína,вож
138,Baum::N,drevó,пуше́ҥге
139,Stamm::N,dêblo,йы́тыр
140,Rinde::N,lúbje,шӱм
141,Rinde::N,skórja,шӱм
142,Ast::N,véja,укш
143,Zweig::N,véja,торма́к
144,Blatt::N,líst,лышта́ш
145,Birke::N,bréza,куэ́
146,Kiefer[Baum]::N,bòr,пӱ́нчӧ
147,Weide[Baum]::N,vŕba,уа́
148,Tanne::N,hója,кож
149,Horn::N,róg,шур
150,Feder::N,peró,пы́стыл
151,Fell::N,kŕzno,кова́ште
152,Flügel::N,krílo,шу́лдыр
153,Klaue::N,párkelj,кӱч
154,Kralle::N,krémpelj,ла́па
155,Kralle::N,krémpelj,копа́
156,Schwanz::N,rèp,поч
157,Ei::N,jájce,му́но
158,Nest::N,gnézdo,пыжа́ш
159,Bau::N,brlòg,пыжа́ш
160,Tier::N,živál,я́нлык
161,Tier::N,živál,живо́тный
162,Herde::N,čréda,кӱ́тӱ
163,Herde::N,čréda,тӱшка́
164,Kuh::N,kráva,ушка́л
165,Bulle::N,bìk,ӱ́шкыж
166,Pferd::N,kònj,и́мне
167,Schaf::N,ôvca,шо́рык
168,Schwein::N,svínja,сӧсна́
169,Hund::N,pès,пий
170,Katze::N,máčka,пы́рыс
171,Bär::N,mêdved,маска́
172,Eichhörnchen::N,véverica,ур
173,Elch::N,lós,шо́рдо
174,Fuchs::N,lisíca,ры́выж
175,Hase::N,zájec,мера́ҥ
176,Maus::N,mìš,коля́
177,Wolf::N,vólk,пи́ре
178,Vogel::N,ptìč,ка́йык
179,Vogel::N,ptíca,ка́йык
180,Schwarm::N,játa,каша́к
181,Huhn::N,kokóš,чы́ве
182,Hahn::N,petêlin,агыта́н
183,Gans::N,gós,ко́мбо
184,Adler::N,ôrel,карагу́ш
185,Ente::N,ráca,лу́до
186,Eule::N,sôva,тумна́
187,Kranich::N,žerjàv,турня́
188,Krähe::N,vrána,кора́к
189,Kuckuck::N,kúkavica,куку́
190,Schwan::N,labód,йӱ́ксӧ
191,Fisch::N,ríba,кол
192,Barsch::N,ostríž,ола́ҥге
193,Hecht::N,ščúka,нуж
194,Hecht::N,ščúka,чорта́н
195,Schlange[Tier]::N,káča,ки́шке
196,Wurm::N,čr̀v,шукш
197,Wurm::N,glísta,шукш
198,Spinne::N,pájek,эҥыре́мыш
199,Ameise::N,mrávlja,ку́тко
200,Laus::N,úš,тий
201,Mücke::N,komár,шыҥа́
202,Fliege::N,múha,ка́рме
203,Schmetterling::N,metúlj,лы́ве
204,Beere::N,jágoda,мӧр
205,Apfel::N,jábolko,олма́
206,Pilz::N,góba,по́ҥго
207,Zwiebel::N,čebúla,шога́н
208,Saat::N,séme,нӧ́шмӧ
209,Saat::N,séme,туш
210,Korn::N,zŕno,шу́рно
211,Heu::N,senó,шу́до
212,Schale::N,lupína,шӱм
213,Grube::N,jáma,выне́м
214,Falle::N,pást,лӧ́дӧ
215,Schlinge::N,zánka,о́птыш
216,Schlinge::N,zánka,шӧрга́лтыш
217,Schlinge::N,pêtlja,о́птыш
218,Schlinge::N,pêtlja,шӧрга́лтыш
219,Spur::N,sléd,кыша́
220,Asche::N,pepél,ло́мыж
221,Dreck::N,bláto,лавыра́
222,Eisen::N,želézo,кӱ́ртньӧ
223,Gold::N,zlató,шӧ́ртньӧ
224,Silber::N,srebró,ший
225,Kohle::N,ógel,мландышӱ́й
226,Glas::N,stêklo,янда́
227,Lehm::N,ílo,шун
228,Sand::N,pések,ошма́
229,Mensch::N,člôvek,еҥ
230,Mensch::N,člôvek,айде́ме
231,Mann::N,móž,пӧръе́ҥ
232,Mann::N,môški,пӧръе́ҥ
233,Frau::N,gospá,ӱдырама́ш
234,Frau::N,žénska,ӱдырама́ш
235,Kind::N,déte,аза́
236,Kind::N,otròk,аза́
237,Junge::N,fànt,рве́зе
238,Junge::N,déček,рве́зе
239,Mädchen::N,deklè,ӱдыра́ш
240,Mädchen::N,déklica,ӱдыра́ш
241,Familie::N,družína,еш
242,Großvater::N,dèd,коча́
243,Großvater::N,dédek,коча́
244,Großmutter::N,bábica,кова́
245,Eltern::N,stárši,ача́-ава́
246,Vater::N,ôče,ача́
247,Mutter::N,máma,ава́
248,Sohn::N,sín,э́рге
249,Tochter::N,hčí,ӱ́дыр
250,Tochter::N,hčérka,ӱ́дыр
251,Bruder::N,bràt,иза́
252,Bruder::N,bràt,шо́льо
253,Schwester::N,sêstra,ака́
254,Onkel::N,újec,иза́
255,Onkel::N,stríc,иза́
256,Tante::N,têta,кока́
257,Tante::N,strína,кока́
258,Ehemann::N,móž,мари́й
259,Ehemann::N,sopróg,мари́й
260,Ehefrau::N,žêna,ва́те
261,Ehefrau::N,sopróga,ва́те
262,Freude::N,rádost,куа́н
263,Freude::N,rádost,куаныма́ш
264,Freude::N,vesêlje,куа́н
265,Freude::N,vesêlje,куаныма́ш
266,Gelächter::N,sméh,во́штылтыш
267,Gelächter::N,grohòt,во́штылтыш
268,Glück::N,sréča,пиа́л
