,Concept_ID,pt,lez
0,Auge::N,olho,вил
1,Ohr::N,orelha,яб
2,Nase::N,nariz,нер
3,Mund::N,boca,сив
4,Zahn::N,dente,сас
5,Zahn::N,dente,свах
6,Zunge::N,língua,мез
7,Lippe::N,lábio,пӏуз
8,Wange::N,face,хъвехъ
9,Gesicht::N,cara,ччин
10,Gesicht::N,rosto,ччин
11,Stirn::N,testa,пел
12,Haar::N,cabelo,чӏар
13,Schnurrbart::N,bigode,спел
14,Schnurrbart::N,bigode,спелар
15,Bart::N,barba,ччуру
16,Kinn::N,queixo,чене
17,Kiefer[Anatomie]::N,maxila,чене
18,Kiefer[Anatomie]::N,mandíbula,чене
19,Kehle::N,garganta,туьд
20,Hals::N,colo,гардан
21,Hals::N,pescoço,гардан
22,Genick::N,nuca,кьам
23,Kopf::N,cabeça,кьил
24,Rücken::N,dorso,далу
25,Rücken::N,costas,далу
26,Bauch::N,ventre,руфун
27,Bauch::N,barriga,руфун
28,Nabel::N,umbigo,пицӏ
29,Busen::N,seio,мам
30,Brust::N,peito,хур
31,Schulter::N,ombro,къуьн
32,Arm::N,braço,гъил
33,Ellenbogen::N,cotovelo,кьуьнт
34,Hand::N,mão,капаш
35,Handfläche::N,palma,капан юкь
36,Handfläche::N,palma da mão,капан юкь
37,Finger::N,dedo,тӏуб
38,Fingernagel::N,unha,кек
39,Nagel[Anatomie]::N,unha,кек
40,Zeh::N,dedo do pé,кул
41,Fuß::N,pé,кӏвач
42,Ferse::N,calcanhar,дабан
43,Knie::N,joelho,мет
44,Oberschenkel::N,coxa,
45,Bein::N,perna,кӏвач
46,Körper::N,corpo,беден
47,Haut::N,pele,хам
48,Blut::N,sangue,иви
49,Ader::N,veia,дамар
50,Sehne::N,tendão,кьуру дамар
51,Knochen::N,osso,кӏараб
52,Gehirn::N,cérebro,мефт
53,Herz::N,coração,рикӏ
54,Magen::N,estômago,хук
55,Leber::N,fígado,лекь
56,Atem::N,fôlego,ял
57,Atem::N,fôlego,нефес
58,Hunger::N,fome,каш
59,Träne::N,lágrima,вилин нагъв
60,Geschmack::N,gosto,дад
61,Geschmack::N,gosto,тӏям
62,Geruch::N,odor,ни
63,Geruch::N,cheiro,ни
64,Schlaf::N,sono,ахвар
65,Traum::N,sonho,ахвар
66,Himmel::N,céu,цав
67,Sonne::N,sol,рагъ
68,Mond::N,lua,варз
69,Stern::N,estrela,гъед
70,Luft::N,ar,гьава
71,Wind::N,vento,гар
72,Welle::N,onda,лепе
73,Wasser::N,água,яд
74,Stein::N,pedra,къван
75,Boden::N,solo,накьв
76,Erde::N,terra,ччил
77,Staub::N,pó,руг
78,Rauch::N,fumo,гум
79,Funke::N,faísca,цӏелхем
80,Funke::N,centelha,цӏелхем
81,Feuer::N,fogo,цӏай
82,Licht::N,luz,экв
83,Schatten::N,sombra,серин
84,Wetter::N,tempo,гьава
85,Nebel::N,nevoeiro,ччилин циф
86,Wolke::N,nuvem,циф
87,Regen::N,chuva,марф
88,Schnee::N,neve,жив
89,Eis::N,gelo,мурк
90,Frost::N,gelo,аяз
91,Frost::N,geada,аяз
92,Kälte::N,frio,мекь
93,Kälte::N,frio,мекьивал
94,Hitze::N,ardor,зегьем
95,Raureif::N,geada,къирав
96,Regenbogen::N,arco-iris,яргъируш
97,Donner::N,trovão,цавун ван
98,Strömung::N,corrente,
99,Tropfen::N,gota,стӏал
100,Schaum::N,espuma,каф
101,Schmutz::N,sujidade,чирк
102,Schmutz::N,sujidade,кьуруш
103,Schmutz::N,imundície,чирк
104,Schmutz::N,imundície,кьуруш
105,See::N,lago,вир
106,Sumpf::N,charco,уьлен
107,Sumpf::N,pântano,уьлен
108,Moor::N,pântano,
109,Wiese::N,prado,векь
110,Wald::N,bosque,там
111,Wald::N,floresta,там
112,Hügel::N,colina,кӏунтӏ
113,Anhöhe::N,alto,тепе
114,Anhöhe::N,alto,гьуьндуьрвал
115,Anhöhe::N,outeiro,тепе
116,Anhöhe::N,outeiro,гьуьндуьрвал
117,Berg::N,monte,дагъ
118,Berg::N,montanha,дагъ
119,Gipfel::N,pico,кӏукӏ
120,Höhle::N,caverna,кьветӏ
121,Abhang::N,encosta,гуьне
122,Quelle::N,fonte,чешме
123,Bach::N,regato,булах
124,Bach::N,ribeiro,булах
125,Fluss::N,rio,вацӏ
126,Ufer::N,beira,къерех
127,Küste::N,costa,къерех
128,Festland::N,terra firme,кьурамат
129,Meer::N,mar,гьуьл
130,Bucht::N,baía,бухта
131,Insel::N,ilha,остров
132,Blume::N,flor,цуьк
133,Gras::N,erva,хъач
134,Wurzel::N,raiz,дувул
135,Baum::N,árvore,ттар
136,Stamm::N,tronco,тан
137,Rinde::N,casca,чкал
138,Ast::N,ramo,тӏур
139,Zweig::N,galho,хел
140,Blatt::N,folha,пеш
141,Birke::N,bétula,верх
142,Kiefer[Baum]::N,pinheiro,шамагъаж
143,Weide[Baum]::N,salgueiro,цӏвелин ттар
144,Tanne::N,abeto,ель
145,Horn::N,corno,карч
146,Horn::N,chifre,карч
147,Feder::N,pena,цӏакул
148,Fell::N,pele,хам
149,Flügel::N,asa,лув
150,Klaue::N,pata,къармах
151,Kralle::N,unha,пац
152,Kralle::N,unha,тапас
153,Kralle::N,garra,пац
154,Kralle::N,garra,тапас
155,Schwanz::N,rabo,ттум
156,Schwanz::N,cauda,ттум
157,Ei::N,ovo,кака
158,Nest::N,ninho,муг
159,Bau::N,toca,тӏеквен
160,Bau::N,covil,тӏеквен
161,Tier::N,animal,гьайван
162,Herde::N,rebanho,суьруь
163,Kuh::N,vaca,ккал
164,Bulle::N,touro,яц
165,Bulle::N,touro,бугъа
166,Pferd::N,cavalo,балкӏан
167,Schaf::N,ovelha,хеб
168,Schwein::N,porco,вак
169,Hund::N,cão,кицӏ
170,Katze::N,gata,кац
171,Bär::N,urso,сев
172,Eichhörnchen::N,esquilo,белка
173,Elch::N,alce,лось
174,Fuchs::N,raposa,сикӏ
175,Hase::N,lebre,къуьр
176,Maus::N,rato,кьиф
177,Wolf::N,lobo,жанавур
178,Vogel::N,ave,луван ничхир
179,Vogel::N,pássaro,луван ничхир
180,Schwarm::N,bando,луж
181,Schwarm::N,enxame,луж
182,Huhn::N,galinha,верч
183,Hahn::N,galo,кӏек
184,Gans::N,ganso,къаз
