,Concept_ID,vep,ca
0,Auge::N,sil'm,ull
1,Ohr::N,korv,orella
2,Nase::N,nena,nas
3,Mund::N,su,boca
4,Zahn::N,pi,dent
5,Zahn::N,hambaz,dent
6,Zunge::N,kel',llēngua
7,Lippe::N,hul',llavi
8,Wange::N,modpolišk,galta
9,Gesicht::N,mod,cara
10,Stirn::N,oc,front
11,Haar::N,tuk,cabēll
12,Haar::N,hibuz,cabēll
13,Schnurrbart::N,habinod,bigoti
14,Bart::N,bard,barba
15,Kinn::N,löug,mentó
16,Kinn::N,löug,barbeta
17,Kiefer[Anatomie]::N,hambazlu,queix
18,Kiefer[Anatomie]::N,hambazlu,mandíbula
19,Kehle::N,kurk,gola
20,Kehle::N,kurk,gorja
21,Hals::N,kagl,coll
22,Genick::N,tagarai,nuca
23,Kopf::N,pä,cap
24,Rücken::N,sel'g,esquena
25,Bauch::N,vac,panxa
26,Bauch::N,koht,panxa
27,Nabel::N,naba,llombrígol
28,Busen::N,niža,pit
29,Busen::N,niža,mama
30,Brust::N,rind,pit
31,Schulter::N,oug,espatlla
32,Arm::N,käzi,braç
33,Ellenbogen::N,künambruz,colze
34,Hand::N,käzi,mà
35,Hand::N,käzitera,mà
36,Handfläche::N,kämen,palma
37,Finger::N,sor'm,dit
38,Fingernagel::N,künz',ungla
39,Nagel[Anatomie]::N,künz',ungla
40,Zeh::N,barbaz,dit del peu
41,Fuß::N,jaug,peu
42,Ferse::N,kand,taló
43,Knie::N,komb,genoll
44,Knie::N,pol'v,genoll
45,Oberschenkel::N,riiže,cuixa
46,Bein::N,jaug,cama
47,Körper::N,hibj,cos
48,Haut::N,nahk,pell
49,Blut::N,čak,sang
50,Blut::N,veri,sang
51,Ader::N,son',vena
52,Sehne::N,jände,tendó
53,Knochen::N,lu,os
54,Gehirn::N,aivod,cervell
55,Herz::N,südäin,cor
56,Magen::N,südäikoht,estómac
57,Leber::N,maks,fetge
58,Atem::N,hengaiduz,alè
59,Atem::N,hengaiduz,hàlit
60,Hunger::N,näl'g,fam
61,Hunger::N,näl'g,gana
62,Träne::N,kündal',llàgrima
63,Geschmack::N,magu,gust
64,Geschmack::N,magu,sabor
65,Geruch::N,haju,olor
66,Schlaf::N,uni,son
67,Traum::N,unikuva,somni
68,Himmel::N,taivaz,celm
69,Sonne::N,päiväine,sol
70,Mond::N,kudmaine,lluna
71,Stern::N,tähtaz,estel
72,Stern::N,tähtaz,estrella
73,Luft::N,il'm,aire
74,Wind::N,döl,vent
75,Wind::N,tullei,vent
76,Welle::N,ald,ona
77,Welle::N,laineh,ona
78,Wasser::N,vezi,āigua
79,Stein::N,kivi,pedra
80,Boden::N,ma,sòl
81,Boden::N,pohj,sòl
82,Erde::N,ma,terra
83,Staub::N,pölü,pols
84,Rauch::N,savu,fum
85,Funke::N,kibin,guspira
86,Funke::N,kibin,centella
87,Feuer::N,lämoi,foc
88,Licht::N,vauktuz,llum
89,Schatten::N,pil'vez,ombra
90,Schatten::N,kuvahaine,ombra
91,Wetter::N,sä,temps
92,Nebel::N,sumeg,boira
93,Wolke::N,pil'v,núvol
94,Regen::N,vihm,pluja
95,Schnee::N,lumi,neu
96,Eis::N,jä,gel
97,Eis::N,jä,glaç
98,Frost::N,hala,glaçada
99,Frost::N,pakaine,glaçada
100,Kälte::N,vilu,fred
101,Hitze::N,räk,calor
102,Raureif::N,hüde,gebre
103,Regenbogen::N,jumalanbembel',arc iris
104,Donner::N,juru,tro
105,Donner::N,jumalanjuru,tro
106,Strömung::N,joksmuz,corrent
107,Tropfen::N,tilkuine,gota
108,Schaum::N,vaht,escuma
109,Schmutz::N,redu,brutícia
110,Schmutz::N,pačak,brutícia
111,See::N,järv,llac
112,Sumpf::N,so,pantà
113,Moor::N,so,pantà
114,Wiese::N,nit,prat
115,Wiese::N,nit,prada
116,Wald::N,mec,bosc
117,Hügel::N,kukaz,puig
118,Hügel::N,kukaz,pujol
119,Anhöhe::N,kukaz,turó
120,Berg::N,mägi,muntanya
121,Gipfel::N,ladv,cim
122,Höhle::N,mägionduz,cova
123,Abhang::N,paute,coster
124,Quelle::N,lähte,font
125,Bach::N,oja,riera
126,Fluss::N,jogi,riu
127,Ufer::N,rand,riba
128,Küste::N,randišt,costa
129,Festland::N,kuivma,terra ferma
130,Meer::N,meri,mar
131,Bucht::N,laht,cala
132,Bucht::N,laht,badia
133,Insel::N,sar',illa
134,Blume::N,änik,flor
135,Gras::N,hein,herba
136,Wurzel::N,jur',rel
137,Wurzel::N,jur',arrel
138,Baum::N,pu,arbre
139,Stamm::N,tüvi,tronc
140,Rinde::N,kor',escorça
141,Ast::N,oks,branca
142,Zweig::N,oks,ram
143,Zweig::N,barb,ram
144,Blatt::N,lehtez,fulla
145,Birke::N,koiv,bedoll
146,Kiefer[Baum]::N,pedai,pi
147,Weide[Baum]::N,raid,salze
148,Tanne::N,kuz',avet
149,Horn::N,sar'v,corn
150,Horn::N,sar'v,banya
151,Feder::N,höuneh,ploma
152,Fell::N,nahk,pell
153,Flügel::N,suug,ala
154,Klaue::N,künz',urpa
155,Kralle::N,künz',grapa
156,Schwanz::N,händ,cua
157,Ei::N,muna,ou
158,Nest::N,peza,niu
159,Bau::N,uru,cau
160,Tier::N,živat,animāl
161,Herde::N,kogo,ramat
162,Kuh::N,lehm,vaca
163,Bulle::N,härg,toro
164,Pferd::N,hebo,cavāll
165,Schaf::N,lambaz,be
166,Schaf::N,lambaz,ovella
167,Schwein::N,siga,bacó
168,Hund::N,koir,ca
169,Hund::N,koir,gos
170,Katze::N,kaži,gat
171,Bär::N,kondi,ós
172,Eichhörnchen::N,orav,esquirol
173,Elch::N,hirb',ant
174,Fuchs::N,reboi,guilla
175,Hase::N,jäniš,llebre
176,Maus::N,hir',ratolí
177,Wolf::N,händikaz,llop
178,Vogel::N,lind,au
179,Vogel::N,lind,ocēll
180,Schwarm::N,parveh,bandada
181,Huhn::N,kana,gallina
182,Hahn::N,kukoi,gall
183,Gans::N,hanh',oca
184,Adler::N,orl,àguila
185,Ente::N,sorz,ànec
186,Eule::N,hir'pulo,òliba
187,Eule::N,hir'pulo,mussol
188,Kranich::N,kurg,grua
189,Krähe::N,variš,cornella
190,Kuckuck::N,kägi,cucut
191,Schwan::N,joucen,cigne
192,Fisch::N,kala,peix
193,Barsch::N,ahven,perca
194,Hecht::N,haug',lluç
195,Schlange[Tier]::N,kü,serp
196,Schlange[Tier]::N,mado,serp
197,Wurm::N,mado,cuc
198,Spinne::N,hämähouk,aranya
199,Ameise::N,murahaine,formiga
200,Laus::N,täi,poll
201,Mücke::N,säs'k,mosquit
202,Fliege::N,kärbhaine,mosca
203,Schmetterling::N,lipkaine,papallona
204,Beere::N,marj,baia
205,Apfel::N,jablok,poma
206,Pilz::N,sen',bolet
207,Pilz::N,babuk,bolet
208,Zwiebel::N,lauk,ceba
209,Saat::N,semned,sembra
210,Korn::N,jüvä,gra
211,Korn::N,vill',gra
212,Heu::N,hein,fenc
213,Schale::N,kor',closca
214,Grube::N,kop,sot
215,Grube::N,kop,clot
216,Falle::N,rida,trampa
217,Schlinge::N,rihm,baga
218,Spur::N,jäl'g,traça
219,Asche::N,tuhk,cendra
220,Dreck::N,redu,llot
221,Dreck::N,pačak,llot
222,Eisen::N,raud,ferro
223,Gold::N,kuld,or
224,Silber::N,hobed,plata
225,Kohle::N,hil',carbó
226,Glas::N,stökol,vidre
227,Lehm::N,savi,fang
228,Lehm::N,savi,argila
229,Sand::N,lete,arena
230,Mensch::N,mez',humà
231,Mensch::N,mez',persona
232,Mensch::N,ristit,humà
233,Mensch::N,ristit,persona
234,Mann::N,mez',home
235,Frau::N,naine,dona
236,Kind::N,laps',nen
237,Junge::N,poig,noi
238,Junge::N,prihaine,noi
239,Mädchen::N,neičukaine,noia
240,Familie::N,kanz,família
241,Familie::N,pereh,família
242,Großvater::N,ded,avi
243,Großmutter::N,bab,àvia
244,Eltern::N,vanhembad,pares
245,Eltern::N,kazvatajad,pares
246,Vater::N,tat,pare
247,Mutter::N,mam,mare
248,Sohn::N,poig,fill
249,Tochter::N,tütär,filla
250,Bruder::N,veik,germà
251,Bruder::N,vell',germà
252,Schwester::N,čiža,germana
253,Schwester::N,sizar,germana
254,Onkel::N,däd',oncle
255,Tante::N,tädi,tia
256,Ehemann::N,mužik,espòs
257,Ehefrau::N,ak,muller
258,Freude::N,ilo,goig
259,Freude::N,ilo,alegria
260,Freude::N,ihastuz,goig
261,Freude::N,ihastuz,alegria
262,Gelächter::N,nagr,riallada
263,Glück::N,oza,felicitat
264,Kummer::N,gor'a,pena
265,Wunsch::N,taht,desig
266,Lust::N,himo,ganes
267,Geist::N,heng,ment
268,Geist::N,heng,esperit
269,Gedanke::N,meletuz,pensament
