,Concept_ID,lt,udm
0,Auge::N,akis,син
1,Ohr::N,ausis,пель
2,Nase::N,nosis,ныр
3,Mund::N,burna,ым
4,Zahn::N,dantis,пинь
5,Zunge::N,liežuvis,кыл
6,Lippe::N,lūpa,ымдур
7,Wange::N,žandas,бам
8,Wange::N,skruostas,бам
9,Gesicht::N,veidas,ымныр
10,Stirn::N,kakta,кымес
11,Haar::N,plaukai,йырси
12,Schnurrbart::N,ūsai,мыйык
13,Bart::N,barzda,туш
14,Kinn::N,smakras,ангес
15,Kiefer[Anatomie]::N,žandikaulis,ан
16,Kiefer[Anatomie]::N,žandikaulis,анлы
17,Kehle::N,gerklė,гульым
18,Hals::N,kaklas,чырты
19,Genick::N,sprandas,йырбер
20,Kopf::N,galva,йыр
21,Rücken::N,nugara,мыш
22,Bauch::N,pilvas,кӧт
23,Nabel::N,bamba,гогы
24,Busen::N,krūtinė,ноны
25,Brust::N,krūtis,мӧля
26,Schulter::N,petys,пельпум
27,Arm::N,ranka,суй
28,Ellenbogen::N,alkūnė,гырпум
29,Hand::N,ranka,ки
30,Hand::N,plaštaka,ки
31,Handfläche::N,delnas,ки пыдэс
32,Handfläche::N,delnas,кырым пыдэс
33,Handfläche::N,plaštaka,ки пыдэс
34,Handfläche::N,plaštaka,кырым пыдэс
35,Finger::N,pirštas,чиньы
36,Fingernagel::N,nagas,гижы
37,Fingernagel::N,nagas,гиждӥнь
38,Nagel[Anatomie]::N,nagas,гижы
39,Zeh::N,pirštas,пыдчиньы
40,Fuß::N,pėda,пыд
41,Ferse::N,kulnas,пыдбер
42,Knie::N,kelis,пыдес
43,Oberschenkel::N,kulšis,макес
44,Oberschenkel::N,šlaunis,макес
45,Bein::N,koja,пыд
46,Körper::N,kūnas,мугор
47,Körper::N,kūnas,вылтыр
48,Haut::N,oda,ку
49,Blut::N,kraujas,вир
50,Ader::N,kraujagyslė,вирсэр
51,Sehne::N,sausgyslė,вуж
52,Knochen::N,kaulas,лы
53,Gehirn::N,smegenys,вим
54,Herz::N,širdis,сюлэм
55,Magen::N,skrandis,ӝуш
56,Leber::N,kepenys,мус
57,Atem::N,kvapas,лул
58,Atem::N,kvapas,шокан
59,Hunger::N,badas,кӧтсюман
60,Hunger::N,alkis,кӧтсюман
61,Träne::N,ašara,синкыли
62,Geschmack::N,skonis,шӧм
63,Geruch::N,kvapas,зын
64,Schlaf::N,miegas,вӧт
65,Traum::N,sapnas,уйвӧт
66,Himmel::N,dangus,ин
67,Sonne::N,saulė,шунды
68,Mond::N,mėnulis,толэзь
69,Stern::N,žvaigždė,кизили
70,Luft::N,oras,омыр
71,Wind::N,vėjas,тӧл
72,Welle::N,banga,тулкым
73,Welle::N,vilnis,тулкым
74,Wasser::N,vanduo,ву
75,Stein::N,akmuo,из
76,Boden::N,žemė,музъем
77,Boden::N,dugnas,музъем
78,Erde::N,žemė,му
79,Staub::N,dulkės,пыль
80,Rauch::N,dūmai,ӵын
