,Concept_ID,kl,be
0,Auge::N,isi,вока
1,Ohr::N,siut,вуха
2,Mund::N,paaq,рот
3,Mund::N,qaneq,рот
4,Zahn::N,kigut,зуб
5,Zunge::N,oqaq,язык
6,Lippe::N,qarloq,губа
7,Wange::N,ersaq,шчака
8,Gesicht::N,kiinaq,твар
9,Stirn::N,qaaq,лоб
10,Haar::N,meqqoq,волас
11,Haar::N,meqqoq,валасы
12,Bart::N,umik,барада
13,Kinn::N,talloq,падбародак
14,Kiefer[Anatomie]::N,alleroq,сківіца
15,Kehle::N,malaq,горла
16,Hals::N,qungaseq,шыя
17,Genick::N,pukusuk,патыліца
18,Kopf::N,niaqoq,галава
19,Rücken::N,qimerlut,спіна
20,Bauch::N,naaq,жывот
21,Nabel::N,qalaseq,пупок
22,Busen::N,iviangeq,грудзі
23,Brust::N,iviangeq,грудзі
24,Schulter::N,ersik,плячо
25,Schulter::N,assaqqoq,плячо
26,Arm::N,taleq,рука
27,Ellenbogen::N,ikusik,локаць
28,Hand::N,assak,кісць
29,Handfläche::N,itumak,далонь
30,Finger::N,inuak,палец
31,Fingernagel::N,kikiak,ногаць
32,Nagel[Anatomie]::N,kukik,ногаць
33,Zeh::N,isigak,палец
34,Ferse::N,kimmik,пята
35,Ferse::N,kimmik,пятка
36,Knie::N,seeqqoq,калена
37,Oberschenkel::N,uppat,бядро
38,Oberschenkel::N,uppat,сцягно
39,Oberschenkel::N,quttoraq,бядро
40,Oberschenkel::N,quttoraq,сцягно
41,Bein::N,isigak,нага
42,Körper::N,timi,цела
43,Haut::N,mattak,скура
44,Blut::N,aak,кроў
45,Ader::N,taqaq,вена
46,Ader::N,taqaq,сасуд
47,Sehne::N,ujalu,жыла
48,Sehne::N,ujalu,цеціва
49,Sehne::N,ujalu,сухажылле
50,Sehne::N,ujaloq,жыла
51,Sehne::N,ujaloq,цеціва
52,Sehne::N,ujaloq,сухажылле
53,Knochen::N,saanikut,косць
54,Gehirn::N,qarasaq,мозг
55,Herz::N,uummat,сэрца
56,Magen::N,aqajaroq,страўнік
57,Leber::N,tinguk,печань
58,Atem::N,anerneq,дыханне
59,Hunger::N,kaanneq,голад
60,Träne::N,qia,сляза
61,Träne::N,qiak,сляза
62,Geschmack::N,qilanaartuut,смак
63,Geruch::N,tipi,пах
64,Geruch::N,tipik,пах
65,Traum::N,sinnattoq,сон
66,Traum::N,sinnattugaq,сон
67,Himmel::N,qilak,неба
68,Sonne::N,seqineq,сонца
69,Mond::N,qaammat,месяц
70,Stern::N,ulloriaq,зорка
71,Luft::N,silaannaq,паветра
72,Wind::N,anori,вецер
73,Wind::N,anorsarik,вецер
74,Welle::N,aalappaa,хваля
75,Wasser::N,imeq,вада
76,Stein::N,ujarak,камень
77,Boden::N,nateq,глеба
78,Erde::N,issoq,зямля
79,Staub::N,pujualanerit,пыл
80,Staub::N,pujoralanerit,пыл
81,Rauch::N,iseq,дым
82,Rauch::N,pujoq,дым
83,Funke::N,illoorneq,іскра
84,Feuer::N,inneq,агонь
85,Licht::N,qaamaneq,святло
86,Schatten::N,tarraq,цень
87,Wetter::N,sila,пагода
88,Wetter::N,sila,надворʼе
89,Nebel::N,pujoq,туман
90,Wolke::N,nuia,воблака
91,Regen::N,sialuk,дождж
92,Schnee::N,aput,снег
93,Eis::N,siku,лёд
94,Frost::N,issi,мароз
95,Frost::N,issik,мароз
96,Kälte::N,issi,холад
97,Hitze::N,kianneq,спёка
98,Hitze::N,kiassuseq,спёка
99,Raureif::N,kaneq,іней
100,Regenbogen::N,neriusaaq,вясёлка
101,Donner::N,kalleq,гром
102,Tropfen::N,kuseriarneq,кропля
103,Schaum::N,qapuk,пена
104,Schmutz::N,minguk,гразь
105,See::N,taseq,возера
106,Sumpf::N,maqulluk,багна
107,Wiese::N,masarsuk,луг
108,Hügel::N,qattuneq,узгорак
109,Hügel::N,majuariaq,узгорак
110,Hügel::N,majorajaaq,узгорак
111,Hügel::N,qaqqannguaq,узгорак
112,Berg::N,qaqqaq,гара
113,Höhle::N,qaarusuk,пячора
114,Abhang::N,ippik,схіл
115,Abhang::N,sivinganeq,схіл
116,Abhang::N,sivingajaaq,схіл
117,Abhang::N,kussangajaaq,схіл
118,Bach::N,kuunnguaq,ручай
119,Fluss::N,kuuk,рака
120,Ufer::N,sissap sinaa,бераг
121,Küste::N,sineriak,узбярэжжа
122,Meer::N,imaq,мора
123,Bucht::N,ikeq,бухта
124,Bucht::N,kangerluk,бухта
125,Bucht::N,kangerliumaneq,бухта
126,Insel::N,qeqertaq,востраў
127,Blume::N,naasoq,кветка
128,Gras::N,ivigaq,трава
129,Wurzel::N,niulutaq,корань
130,Baum::N,orpik,дрэва
131,Stamm::N,kanaartaq,ствол
132,Rinde::N,ameraq,кара
133,Ast::N,avalequt,сук
134,Zweig::N,avalequt,галіна
135,Blatt::N,pilutaq,ліст
136,Birke::N,patitsit,бяроза
137,Weide[Baum]::N,palleq,вярба
138,Tanne::N,orsuerneq,яліна
139,Horn::N,nassuk,рог
140,Feder::N,suluk,пяро
141,Fell::N,ameq,шкура
142,Flügel::N,suluk,крыло
143,Flügel::N,isaroq,крыло
144,Klaue::N,kukik,кіпцюр
145,Kralle::N,kukik,лапа
146,Schwanz::N,pamioq,хвост
147,Schwanz::N,paperuusaq,хвост
148,Ei::N,mannik,яйка
149,Nest::N,ullut,гняздо
150,Bau::N,ini,нара
151,Tier::N,uumasoq,жывёла
152,Herde::N,unguukkat,статак
153,Kuh::N,ussik,карова
154,Bulle::N,angukulak,бык
155,Bulle::N,anguteralak,бык
156,Bulle::N,angutikulooq,бык
157,Schaf::N,sava,авечка
158,Schwein::N,puuluki,свіння
159,Hund::N,qimmeq,сабака
160,Katze::N,puisaaq,кошка
161,Bär::N,allaq,мядзведзь
162,Eichhörnchen::N,sissinnguaq,вавёрка
163,Fuchs::N,terianniaq,ліса
164,Hase::N,ukaleq,заяц
165,Maus::N,teriannguaq,мыш
166,Wolf::N,amaroq,воўк
167,Vogel::N,timmiaq,птах
168,Vogel::N,timmiaq,птушка
169,Huhn::N,kukkukooq,курыца
170,Huhn::N,marloraaqaaq,курыца
171,Hahn::N,kiasiusaq,певень
172,Gans::N,nerleq,гусь
173,Adler::N,nattoralik,арол
174,Eule::N,uppik,сава
175,Kranich::N,qorlorfik,жораў
176,Kranich::N,qorlorfik,журавель
177,Krähe::N,tuluatsiaq,варона
178,Kuckuck::N,kukkooq,зязюля
179,Schwan::N,qussuk,лебедзь
180,Fisch::N,aalisagaq,рыба
181,Schlange[Tier]::N,pulateriarsuk,змяя
182,Schlange[Tier]::N,pulateriaarsuk,змяя
183,Spinne::N,aasiaq,павук
184,Spinne::N,nissavaarsuk,павук
185,Ameise::N,uniaaluk,мурашка
186,Laus::N,kumak,вош
187,Mücke::N,ippernaq,камар
188,Fliege::N,ippernaq,муха
189,Schmetterling::N,paluaq,матыль
190,Schmetterling::N,pakkaluaq,матыль
191,Schmetterling::N,utsuppaluaq,матыль
192,Schmetterling::N,taqaleqisaaq,матыль
193,Beere::N,paarmaq,ягада
194,Beere::N,paarngaq,ягада
195,Apfel::N,iipili,яблык
196,Pilz::N,anngiusaq,грыб
197,Zwiebel::N,uanitsoq,цыбуля
198,Saat::N,naatsiiassaq,семя
199,Korn::N,maannineq,зерне
200,Schale::N,niutsivik,шалупінне
201,Schale::N,ilulissaq qaartussaq,шалупінне
202,Grube::N,itersaq,яма
203,Falle::N,pualavoq,пастка
204,Schlinge::N,orseq,сіло
205,Schlinge::N,norloq,сіло
206,Spur::N,tumaa,след
207,Asche::N,arsat,попел
208,Dreck::N,minguk,бруд
209,Eisen::N,savimineq,жалеза
210,Eisen::N,saffiugassaq,жалеза
211,Gold::N,kuulti,золата
212,Silber::N,siilviuvoq,сребра
213,Kohle::N,aamarsuit aamaruutissat,вугаль
214,Glas::N,igalaaq,шкло
215,Glas::N,imertarfik,шкло
