,Concept_ID,da,ps
0,Auge::N,øje,سترګه
1,Ohr::N,øre,غوږ
2,Nase::N,næse,پوزه
3,Mund::N,mund,خوله
4,Zahn::N,tand,غاښ
5,Zunge::N,tunge,جبه
6,Lippe::N,læbe,شونډه
7,Wange::N,kind,باړخو
8,Gesicht::N,ansigt,مخ
9,Stirn::N,pande,تندی
10,Stirn::N,pande,وچولی
11,Haar::N,hår,وېښته
12,Schnurrbart::N,overskæg,برېت
13,Bart::N,skæg,ږیره
14,Kinn::N,hage,زنه
15,Kiefer[Anatomie]::N,kæbe,جامه
16,Kehle::N,strube,غاړه
17,Hals::N,hals,غاړه
18,Genick::N,nakke,ورمېږ
19,Kopf::N,hoved,سر
20,Rücken::N,ryg,شا
21,Bauch::N,mave,نس
22,Bauch::N,mave,ګېډه
23,Nabel::N,navle,نوم
24,Busen::N,barm,تی
25,Brust::N,bryst,سینه
26,Schulter::N,skulder,اوږه
27,Arm::N,arm,لاس
28,Ellenbogen::N,albue,څنګل
29,Hand::N,hånd,لاس
30,Handfläche::N,håndflade,ورغوی
31,Finger::N,finger,ګوته
32,Fingernagel::N,fingernegl,نوک
33,Nagel[Anatomie]::N,negl,نوک
34,Zeh::N,tå,ګوته
35,Fuß::N,fod,پښه
36,Ferse::N,hæl,پونده
37,Knie::N,knæ,زنګون
38,Oberschenkel::N,lår,پتون
39,Bein::N,ben,پښه
40,Körper::N,krop,ځان
41,Körper::N,legeme,ځان
42,Haut::N,hud,پوټکی
43,Blut::N,blod,وینه
44,Ader::N,åre,رګ
45,Sehne::N,sene,پله
46,Knochen::N,ben,هډوکی
47,Gehirn::N,hjerne,ماغزه
48,Herz::N,hjerte,زړه
49,Magen::N,mave,معده
50,Leber::N,lever,ينه
51,Leber::N,lever,ځیګر
52,Atem::N,ånde,نفس
53,Hunger::N,sult,ولږه
54,Träne::N,tåre,اوښکه
55,Geschmack::N,smag,مزه
56,Geschmack::N,smag,خوند
57,Geruch::N,lugt,بوی
58,Schlaf::N,søvn,خوب
59,Traum::N,drøm,خوب
60,Himmel::N,himmel,اسمان
61,Sonne::N,sol,لمر
62,Mond::N,måne,سپوږمۍ
63,Stern::N,stjerne,ستوری
64,Luft::N,luft,هوا
65,Wind::N,vind,ورښ
66,Welle::N,bølge,موج
67,Wasser::N,vand,اوبه
68,Stein::N,sten,ډبره
69,Boden::N,jord,مځکه
70,Erde::N,jord,خاوره
71,Staub::N,støv,ګرد
72,Staub::N,støv,خاوره
73,Rauch::N,røg,دود
74,Rauch::N,røg,لوګی
75,Funke::N,gnist,سپرغۍ
76,Feuer::N,ild,اور
77,Licht::N,lys,رڼا
78,Schatten::N,skygge,سیوری
79,Wetter::N,vejr,هوا
80,Nebel::N,tåge,لړه
81,Wolke::N,sky,ورېځ
82,Regen::N,regn,وریا
83,Regen::N,regn,باران
84,Schnee::N,sne,واوره
85,Eis::N,is,یخ
86,Eis::N,is,کنګل
87,Frost::N,frost,یخ
88,Kälte::N,kulde,ساړه
89,Hitze::N,hede,تودوخي
90,Raureif::N,rimfrost,سپینه پرخه
91,Regenbogen::N,regnbue,بوډۍ ټال
92,Regenbogen::N,regnbue,سره زرغونه
93,Donner::N,torden,تالنده
94,Strömung::N,strømning,بهېدنه
95,Tropfen::N,dråbe,قطره
96,Tropfen::N,dråbe,څاڅکی
97,Schaum::N,skum,ځګ
98,Schmutz::N,snavs,ناپاکي
99,See::N,sø,جهیل
100,Sumpf::N,sump,جبه
101,Moor::N,mose,جبه
102,Wiese::N,eng,چمن
103,Wiese::N,eng,شنېلی
104,Wald::N,skov,ځنګل
105,Hügel::N,høj,تپه
106,Hügel::N,bakke,تپه
107,Anhöhe::N,høj,غونډۍ
108,Anhöhe::N,bakke,غونډۍ
109,Berg::N,bjerg,غ‍‍‍‍‍ر
110,Gipfel::N,top,څوکه
111,Höhle::N,hule,کاز
112,Abhang::N,skrænt,لمن
113,Abhang::N,skråning,لمن
114,Quelle::N,kilde,چینه
115,Bach::N,bæk,واله
116,Fluss::N,flod,سیند
117,Ufer::N,bred,غاړه
118,Küste::N,kyst,ساحل
119,Festland::N,fastland,وچه
120,Meer::N,hav,بحر
121,Meer::N,hav,سمندر
122,Bucht::N,bugt,کارۍ
